year,peuvent_VERB assembler_VERB,peuvent_VERB rassembler_VERB
1800,0.0,3.772997558826319e-08
1801,2.3811825844433088e-09,2.1430643926123594e-08
1802,0.0,2.0140561218795483e-08
1803,1.950339223455444e-09,2.9255089017965474e-08
1804,1.730295728918918e-08,5.6852570651244605e-08
1805,8.528632911009026e-09,6.822906328807221e-08
1806,1.4408345627714425e-08,1.4408345627714425e-08
1807,2.562259560079383e-08,2.2775640928784924e-08
1808,2.039466551195801e-08,2.945896149242344e-08
1809,0.0,1.581321384946932e-08
1810,0.0,2.3401266702194334e-08
1811,0.0,1.504245972228091e-08
1812,2.1337665856435706e-08,5.3344164641089264e-09
1813,2.8757416448144113e-09,6.614205716459765e-08
1814,7.552024783308298e-08,3.1466771410748606e-09
1815,1.6183340889597275e-08,8.091670444798638e-09
1816,0.0,7.184571870766376e-08
1817,0.0,4.514932783195036e-08
1818,4.768470951432846e-09,2.1458118837358597e-08
1819,1.035105001712111e-09,7.452756278780726e-08
1820,1.1866481131050932e-09,2.0173018810965004e-08
1821,1.577838126820552e-08,2.070912508145284e-08
1822,3.208197085768916e-08,1.5038423839541792e-08
1823,1.2847492847356534e-08,1.7788837070042973e-08
1824,2.0210670470532932e-08,2.5263338088166165e-08
1825,4.4027217427355936e-09,5.2832657360113444e-08
1826,6.1655889282974385e-09,2.7304752237000685e-08
1827,8.295545583791863e-09,1.935627302884768e-08
1828,1.8344602503717056e-09,1.6510142586412258e-08
1829,1.7146351893870815e-08,1.457439946506156e-08
1830,6.262101504006523e-09,2.1917355041978226e-08
1831,1.5591206103948707e-09,1.5591206548037917e-08
1832,0.0,2.841293600397421e-08
1833,9.266902800675325e-09,1.853380560135065e-08
1834,8.401078055442213e-09,1.5868701908061666e-08
1835,2.2689263801112247e-09,1.9664028627630614e-08
1836,6.72075017860152e-09,4.704525213838906e-09
1837,6.957890930081589e-10,2.0177884252348122e-08
1838,2.5879863585487328e-08,1.5149188570262595e-08
1839,1.3283802502428443e-08,1.3982949909063791e-08
1840,6.3696887764308485e-09,1.6561189752906103e-08
1841,5.778493683550323e-09,2.3756030032018316e-08
1842,3.3541325272778977e-09,1.341653010911159e-08
1843,3.5441467538532834e-09,3.18973185642335e-08
1844,8.232841963717874e-09,7.1351298203126134e-09
1845,1.3392547515422848e-08,1.674068350610014e-08
1846,1.7563503984519002e-09,1.2294452567118697e-08
1847,8.089835468183537e-09,5.3932236454556914e-09
1848,8.045221711050488e-10,5.63165514222419e-09
1849,0.0,2.513824481908955e-09
1850,2.7155984128057753e-09,7.467895635215882e-09
1851,6.449438760824933e-10,1.3543821175687754e-08
1852,3.906327261660181e-09,1.5625309046640723e-08
1853,2.388772735173461e-09,1.6721408258035808e-08
1854,1.0391328908454511e-09,1.7145692865483397e-08
1855,1.0613874223963649e-09,1.326734277995456e-08
1856,1.4496129630003907e-08,1.9673318973900678e-08
1857,6.345961978126979e-09,1.4644527368545823e-08
1858,1.0276719919488642e-08,4.404308473482388e-09
1859,1.4258085379026397e-08,1.4258085379026397e-08
1860,3.204028820036342e-09,7.323494255473406e-09
1861,2.357981809808507e-09,1.3676294763342867e-08
1862,9.939570055905733e-09,9.487771457372673e-09
1863,0.0,6.493007020935693e-09
1864,5.753673537611803e-09,1.0548401263577034e-08
1865,6.589582213223366e-09,1.1767110841276462e-08
1866,5.352174259343201e-09,3.4059290943133647e-09
1867,6.308654931785895e-09,2.9602150064533816e-08
1868,9.87974857480367e-09,6.421836395986702e-09
1869,6.8369265804335555e-09,1.953407657850903e-09
1870,7.454262984651905e-09,8.027668307875047e-09
1871,8.496941816815706e-09,8.496941816815706e-09
1872,2.0560953828407946e-08,3.0236697590169115e-09
1873,5.387403856360606e-09,7.183205141814142e-09
1874,2.9873046258899194e-09,1.0156835372754358e-08
1875,5.721527140956084e-10,1.1443054503956773e-08
1876,6.04601479992084e-10,5.441413541973361e-09
1877,8.040260901509555e-09,8.040260901509555e-09
1878,2.4156354694326865e-09,3.0195443923020093e-09
1879,4.27652757650776e-09,2.5659165459046562e-08
1880,5.776061406947974e-09,1.4761046607247863e-08
1881,8.367009307619355e-09,1.3945015142624584e-09
1882,1.9966154951589488e-08,6.655385131892899e-09
1883,6.319338941018771e-10,6.319338941018771e-10
1884,7.2618666635548834e-09,1.5844072720483382e-08
1885,9.023890079618013e-09,4.511945039809007e-09
1886,1.1616235084943582e-08,5.162771099520569e-09
1887,1.1752064210668323e-08,3.9173548849191775e-09
1888,5.07249175996094e-09,6.340614699951175e-09
1889,4.385595886446936e-09,3.132568426877924e-09
1890,5.243509182406569e-09,1.9663159989136147e-09
1891,7.649063604731055e-09,5.099376032546843e-09
1892,1.191017329205124e-08,5.014809900671935e-09
1893,2.46336657738766e-08,2.463366621796581e-09
1894,6.301539290376468e-09,6.301539290376468e-10
1895,1.8055843487019274e-09,6.018614495673091e-09
1896,5.89702897624278e-10,8.255840455717589e-09
1897,5.826713334045053e-09,5.2440420894583895e-09
1898,1.13167097914868e-09,4.52668391659472e-09
1899,4.4220627160029835e-09,7.738609753005221e-09
1900,1.038210628578895e-09,4.671947717582725e-09
1901,0.0,3.353243460679778e-09
1902,4.419255628107521e-09,4.910283735171106e-09
1903,4.860198465905796e-09,9.1803746826713e-09
1904,1.6123875568041512e-09,1.0211787859759625e-08
1905,5.676835002077496e-09,4.1286072338664326e-09
1906,3.600929110447737e-09,1.5432553013283723e-09
1907,1.028568674676933e-09,8.228549397415463e-09
1908,1.4734167219643268e-09,5.893666887857307e-09
1909,8.801573692096554e-09,8.801573692096554e-09
1910,2.67207544979442e-09,1.6032452032632705e-09
1911,7.980561100850991e-09,0.0
1912,4.167536982180309e-09,5.2094213387476884e-09
1913,3.71209285532359e-09,6.363587878865928e-09
1914,5.357394972094198e-09,1.2723813114234872e-08
1915,2.3561523843085297e-09,2.3561523843085297e-09
1916,2.197492410260793e-09,2.197492410260793e-09
1917,2.1932848870420685e-09,9.869782324756216e-09
1918,2.2972752589112133e-09,6.89182577673364e-09
1919,8.287063479883727e-09,6.4454939163738345e-09
1920,7.572231730534895e-10,7.572231730534895e-09
1921,8.330022005509363e-09,1.5145495524393482e-08
1922,2.2133805899215986e-09,9.591316185719734e-09
1923,6.369568872344189e-09,3.1847844361720945e-09
1924,3.867487219366694e-09,2.578324886925998e-09
1925,1.0998177923937646e-09,4.399271169575059e-09
1926,0.0,4.458455382660986e-09
1927,3.3447675740205796e-09,8.919379901328739e-09
1928,0.0,3.4278122562625413e-09
1929,2.2280812750352652e-09,1.3368487650211591e-08
1930,4.201441416995522e-09,1.1553964007759987e-08
1931,0.0,9.124285327288817e-09
1932,3.287861094491973e-09,3.287861094491973e-09
1933,3.4411986593596566e-09,1.1470662197865522e-09
1934,5.990790086229936e-09,8.38710612072191e-09
1935,9.574627313213568e-09,9.574627313213568e-09
1936,3.6374143697059935e-09,2.424942913137329e-09
1937,1.2591118148108649e-09,6.295559185076627e-09
1938,0.0,1.2965214457594243e-09
1939,1.5294050470515685e-09,3.058810094103137e-09
1940,2.5357829169792012e-09,5.0715658339584024e-09
1941,0.0,8.854508237732261e-09
1942,6.068423541449874e-09,6.068423541449874e-09
1943,2.0322646676618206e-08,1.7419411690866582e-08
1944,9.639558484764166e-09,0.0
1945,6.535512131478072e-09,8.714016175304096e-09
1946,1.3921104269343232e-09,8.352662561605939e-09
1947,0.0,1.3112957830685446e-08
1948,5.435944139264848e-09,8.697510267552389e-09
1949,3.9268033269479474e-09,5.890204768377316e-09
1950,7.444753258312176e-09,1.1698897850465073e-08
1951,2.1322803522849654e-09,1.0661401539380222e-08
1952,0.0,2.003512733494972e-08
1953,1.0773827385790469e-09,1.4005975934594517e-08
1954,1.9545072227344917e-09,1.8567819282111486e-08
1955,9.385607846468247e-10,1.5016972554349195e-08
1956,8.72114158667614e-10,1.2209598665435806e-08
1957,4.417518795207798e-09,1.4136060322300636e-08
1958,4.1361216673863055e-09,1.4062814024384807e-08
1959,0.0,1.4726420971555854e-08
1960,4.152500121534786e-09,1.038124963770315e-08
1961,3.47407969059077e-09,1.181187059273725e-08
1962,3.170978146727066e-09,1.5220695814832652e-08
1963,3.879631726988464e-09,1.4871922360271128e-08
1964,6.083968440151466e-09,1.7035111099517053e-08
1965,3.2832261354087677e-09,2.5171399187229326e-08
1966,4.431259803538978e-09,1.9940669560014612e-08
1967,4.930335695263466e-09,1.429797347185513e-08
1968,3.5931326802796093e-09,1.6169096284102125e-08
1969,1.8167031212712459e-09,2.043791091921321e-08
1970,3.6789800095249348e-09,1.609553734738256e-08
1971,2.0553589941130213e-09,1.4387513402880359e-08
1972,3.5911027485013847e-09,2.205963234302999e-08
1973,3.3079223804577396e-09,1.2129047988196362e-08
1974,1.1251143350321513e-09,1.5751600912494723e-08
1975,8.567219822452898e-09,1.6563292959403952e-08
1976,2.856763492431469e-09,1.9425991482080462e-08
1977,1.7630346071939584e-09,2.4094806150287695e-08
1978,5.346532105932056e-09,1.128712323605896e-08
1979,2.925986564150662e-09,2.808947208166046e-08
1980,4.548120546843393e-09,1.989802811408481e-08
1981,5.69299452024552e-09,1.8344094243616382e-08
1982,8.069752865935698e-09,2.4209258597807093e-08
1983,5.052252838311233e-09,2.841892232652299e-08
1984,5.219107812592938e-09,1.9136727757995686e-08
1985,5.414002135495366e-09,2.5866899733273385e-08
1986,1.1988970927134801e-09,3.11713250766843e-08
1987,1.8332451112712533e-09,2.199894133525504e-08
1988,2.398621523624911e-09,1.5591039570495013e-08
1989,2.7440609784434855e-09,2.689179900983163e-08
1990,2.724325431913144e-09,3.214704236143007e-08
1991,4.68917216167597e-09,2.989347080983862e-08
1992,1.65298330578878e-09,2.0937788391961476e-08
1993,1.661762283333701e-09,2.1602909683338112e-08
1994,2.637463358823311e-09,2.2682185019107237e-08
1995,2.1689803286761844e-09,2.277429267394382e-08
1996,2.135236876199542e-09,2.4555223632205525e-08
1997,5.753873377756236e-09,2.109753616252874e-08
1998,4.7681290027412615e-09,2.5747898035888284e-08
1999,3.656160929565999e-09,2.970630674781205e-08
2000,3.092622158362701e-09,2.8275401575683645e-08
2001,2.6287270138425356e-09,2.1467938537966802e-08
2002,3.504977197366088e-09,1.9715496790695397e-08
2003,5.416999737661854e-09,2.9168459647621603e-08
2004,7.928623979580607e-09,3.655976854588516e-08
2005,4.503749373441224e-09,2.8373621674404603e-08
2006,6.1768350434476815e-09,3.9943532925690306e-08
2007,2.3966877371606188e-09,3.355362920842708e-08
2008,2.9802078582719105e-09,3.4911003865545354e-08
2009,2.384096253749135e-09,2.098004614481397e-08
2010,3.7790344187271785e-09,2.220182793166714e-08
2011,1.1471915639660324e-09,2.791499476018089e-08
2012,2.7234021704458655e-09,1.9063815415165664e-08
2013,3.3469500504423877e-09,2.2870825233667347e-08
2014,4.330890313042346e-09,2.013864097705209e-08
2015,3.103205470367243e-09,2.1500781599570473e-08
2016,2.278474076078396e-09,2.2577607339258066e-08
2017,3.2702947017071438e-09,2.3143623906207722e-08
2018,1.5488800242380307e-09,1.3681773936013997e-08
2019,2.806086474294034e-09,1.989770481714004e-08
