year,fut_VERB à_ADP,fut_VERB a_ADP,fut_VERB ras_ADJ
1800,9.784639587451238e-06,1.8864987794131594e-08,0.0
1801,1.0210510481556412e-05,4.0480104601670064e-08,0.0
1802,1.0041188943432644e-05,2.6854081625060644e-08,0.0
1803,8.680959581397474e-06,3.705644502360883e-08,1.950339223455444e-09
1804,9.835494893195573e-06,5.932442159739537e-08,0.0
1805,1.1127023753942922e-05,7.391481915419718e-08,0.0
1806,1.0996449418598786e-05,7.492339904047185e-08,0.0
1807,9.423421033716295e-06,5.978605877032805e-08,0.0
1808,1.060749218595447e-05,4.5321479902327155e-08,0.0
1809,9.679945833340753e-06,4.5180611252249037e-08,2.259030518203531e-09
1810,1.035272089211503e-05,7.020380188293984e-08,9.360507036149102e-09
1811,1.2176871678093448e-05,1.1031137958639192e-07,0.0
1812,1.0844868484127801e-05,5.60113715408761e-08,2.6672082320544632e-09
1813,1.104572402255144e-05,6.901779769918903e-08,2.8757416448144113e-09
1814,1.3304151252668817e-05,1.1328037530233814e-07,6.293354282149721e-09
1815,1.3510392818716355e-05,9.170560399951455e-08,0.0
1816,1.0952995580737479e-05,5.3304887615013286e-08,0.0
1817,1.1253080629103351e-05,5.1376821463833267e-08,0.0
1818,1.2114300261600874e-05,8.106400350982312e-08,1.1921177378582115e-09
1819,1.2831161257054191e-05,6.417651354784226e-08,0.0
1820,1.288818475586595e-05,9.137190204455692e-08,2.3732962262101864e-09
1821,1.1964943951170426e-05,7.889190634102761e-08,0.0
1822,1.3124533325026277e-05,5.81485721795616e-08,0.0
1823,1.3864421816833783e-05,8.696764730586892e-08,0.0
1824,1.4117153114057146e-05,1.178955804093107e-07,1.6842225392110777e-09
1825,1.4963089597586077e-05,8.277116414490138e-08,8.805443041381977e-10
1826,1.2403403161442839e-05,4.844391454650321e-08,1.7615968683770689e-09
1827,1.2244225217727944e-05,6.083400216905233e-08,2.7651818612639545e-09
1828,1.0762778401840478e-05,4.219258409321469e-08,0.0
1829,1.2425961358530913e-05,4.8009785869052024e-08,0.0
1830,1.184372104034992e-05,1.7846989486258735e-07,2.0873671680021744e-09
1831,1.0276164175593294e-05,9.042899762334855e-08,7.795603274018958e-09
1832,1.1235286365263164e-05,7.170883620233326e-08,0.0
1833,1.0977804777212441e-05,6.023486709416659e-08,1.1583628500844156e-09
1834,1.064416574081406e-05,6.814207687000362e-08,0.0
1835,1.1700097275024746e-05,9.983276072489389e-08,7.563087933704082e-10
1836,1.2580571819853503e-05,1.229897250709655e-07,0.0
1837,1.2090031304978766e-05,6.540417185618708e-08,0.0
1838,1.4148710761219263e-05,1.161437792607245e-07,6.312161904276081e-10
1839,1.132199486164609e-05,7.69062267202969e-08,6.9914751765765e-10
1840,1.1834881661343388e-05,1.006410839110572e-07,6.369688665408546e-10
1841,1.0721031685534399e-05,5.6500827572136814e-08,0.0
1842,1.1138403351651505e-05,1.2410290395337142e-07,1.341653010911159e-09
1843,1.1096132766397204e-05,7.619915548540135e-08,0.0
1844,1.0532548913033679e-05,8.013299140907648e-08,1.097712254427563e-09
1845,9.8262235042057e-06,8.09133013923713e-08,0.0
1846,9.968459380615968e-06,9.19156706302715e-08,0.0
1847,9.364253855892457e-06,7.280851654911658e-08,3.235934187273415e-09
1848,9.237523954652715e-06,8.045221733254948e-08,0.0
1849,8.308189535455313e-06,7.206296892547925e-08,1.6758829879393033e-09
1850,8.758484000281896e-06,8.214685465190996e-08,6.788996032014438e-10
1851,9.245270121027716e-06,7.739326246536393e-08,0.0
1852,8.512538443028461e-06,9.63560697897492e-08,1.3021090872200602e-09
1853,9.779038009583019e-06,8.062108047823813e-08,2.9859659189668264e-09
