year,devait_VERB emporter_VERB,devait_VERB remporter_VERB
1800,1.5720821977538435e-08,3.144164484325529e-09
1801,1.904946067554647e-08,2.3811825400343878e-08
1802,4.475680270843441e-09,8.951360541686881e-09
1803,1.950339223455444e-09,1.5602713787643552e-08
1804,9.887403784603066e-09,4.943701892301533e-09
1805,3.1271653710973624e-08,2.842877711017877e-09
1806,1.152667650217154e-08,0.0
1807,3.131650672116848e-08,2.8469551160981155e-09
1808,4.5321478125970316e-08,2.945896149242344e-08
1809,2.9367397402779716e-08,1.3554183553310395e-08
1810,3.978215445954447e-08,0.0
1811,5.264861258069686e-08,8.524060746140094e-08
1812,5.3344166417446104e-08,5.3344164641089264e-09
1813,1.1502966579257645e-08,0.0
1814,9.440030979135372e-09,6.293354282149721e-09
1815,2.4275012222574333e-08,0.0
1816,3.0128852301913867e-08,6.952811659743929e-09
1817,6.694555310104988e-08,2.6466848268569265e-08
1818,1.668964877410417e-08,1.1921176934492905e-08
1819,1.5526575580793178e-08,5.175524897538253e-09
1820,7.001224133773576e-08,1.0679833017945839e-08
1821,1.676452932031225e-08,9.861488514673056e-09
1822,3.208197085768916e-08,2.7069162911175226e-08
1823,7.412015179397713e-08,6.917880934764753e-09
1824,3.621078548121659e-08,1.6842225392110777e-09
1825,6.427973175959778e-08,1.2327619813845558e-08
1826,4.315912249808207e-08,3.52319382557198e-08
1827,3.502563927781921e-08,8.295545583791863e-09
1828,6.420610532131832e-08,4.586150570418113e-09
1829,6.601345603485242e-08,1.3717081692732336e-08
1830,2.1917355041978226e-08,2.2961039292113128e-08
1831,6.548306430431694e-08,4.8332740476553226e-08
1832,4.7354891563600177e-08,3.788391467196561e-08
1833,9.382738852536932e-08,2.6642345218874652e-08
1834,3.9205030333278046e-08,1.213489042584115e-08
1835,3.2521278114927554e-08,1.5126175867408165e-08
1836,5.9142600150607905e-08,3.091545153210973e-08
1837,4.940102726891382e-08,2.99189295560609e-08
1838,6.690891751759409e-08,2.7773513266993177e-08
1839,5.453350482298447e-08,2.1673573158409454e-08
1840,6.497082694068013e-08,3.694419348221345e-08
1841,6.163726595787011e-08,3.531301828729738e-08
1842,8.45241387992246e-08,3.4882980060046975e-08
1843,6.497602100807853e-08,2.8353174030826267e-08
1844,8.342613000422716e-08,1.3172547497219966e-08
1845,4.073566373108406e-08,3.348136701220028e-08
1846,6.908311434017378e-08,2.6345256642912318e-08
1847,6.795461615638487e-08,3.613459753637471e-08
1848,8.367030801537112e-08,1.206783295515379e-08
1849,1.0306680309213334e-07,1.8434713311421547e-08
1850,8.282574981421931e-08,4.5486274302675156e-08
1851,6.320450296470881e-08,2.4507867735223954e-08
1852,6.510545347282459e-08,2.929745512858517e-08
1853,6.748282999069488e-08,4.120633079196523e-08
1854,5.871100938747986e-08,4.46827144173767e-08
1855,8.650307847801741e-08,2.175844215912548e-08
1856,8.645906035553708e-08,3.36517302912398e-08
1857,1.2496663259753404e-07,4.002837528105374e-08
1858,8.025628517316363e-08,4.8447393652395476e-08
1859,9.776972831332387e-08,2.2914779407301467e-08
1860,9.154367575092692e-08,3.3871160098897235e-08
1861,1.0327960353606613e-07,1.5562680033553988e-08
1862,8.629353942524176e-08,3.4336697041226216e-08
1863,5.793760138317339e-08,2.996772607843923e-08
1864,8.726404843173441e-08,2.9247839705703882e-08
1865,5.601144792422019e-08,1.97687466396701e-08
1866,7.298419291146274e-08,3.405929049904444e-08
1867,8.589476152565112e-08,2.3778776281346836e-08
1868,6.372437866275504e-08,2.1735445443482604e-08
1869,5.7137174991339634e-08,1.660396442559886e-08
1870,9.346499751927695e-08,3.383088653663435e-08
1871,7.753459385639871e-08,3.823623728749226e-08
1872,7.680120717168393e-08,2.7817760539505798e-08
1873,7.84166616085713e-08,1.9155214303623325e-08
1874,7.169531102135807e-08,2.3300975371398636e-08
1875,9.040012827199462e-08,1.4875970677508121e-08
1876,1.0157305041502696e-07,1.1487427897804992e-08
1877,6.679601227688181e-08,2.288381928394756e-08
1878,9.300196524009152e-08,2.3552445327368332e-08
1879,6.414791187125957e-08,2.7491964260661916e-08
1880,6.867095692086878e-08,1.9895322722618403e-08
1881,5.647731171620762e-08,1.743126887276958e-08
1882,7.786800892972678e-08,2.2628309892525067e-08
1883,6.761692361578753e-08,9.479008689083912e-09
1884,6.205595326491675e-08,1.386356363042296e-08
1885,7.21911206369441e-08,7.7347630522695e-09
1886,8.002295004416737e-08,2.8395241713496944e-08
1887,9.66280850889234e-08,1.0446279397058333e-08
1888,5.389522428345117e-08,3.1703073943845084e-08
1889,7.956723635516028e-08,2.4434033463194282e-08
1890,8.586246025288347e-08,2.3595791986963377e-08
1891,4.9081492647928826e-08,1.784781566982474e-08
1892,9.90424950941815e-08,2.005923960268774e-08
1893,1.1454654469389425e-07,1.1085149687062312e-08
1894,7.687877712214686e-08,1.7014155417882648e-08
1895,9.629783193076946e-08,9.629783193076946e-09
1896,9.081424678925032e-08,7.66613794667137e-09
1897,7.516460698298033e-08,1.1653426668090106e-08
1898,9.902120723381813e-08,1.4145887128336199e-08
1899,7.793885714590942e-08,8.291367592505594e-09
1900,6.02162160134867e-08,8.824790675987515e-09
1901,5.3651895370876446e-08,1.620734302321125e-08
1902,7.070809004972034e-08,1.276673788908056e-08
1903,7.830319503909777e-08,1.3500550899436803e-08
1904,6.879520242364379e-08,2.1498500757388683e-08
1905,8.773290716135307e-08,9.805441791854719e-09
1906,6.430230570231288e-08,1.2346042410626978e-08
1907,6.839981381290272e-08,1.9542804707839423e-08
1908,5.009616899087632e-08,2.4556944921982904e-08
1909,5.280944037622248e-08,2.4204327431220918e-08
1910,1.004700322937424e-07,1.1222716089775986e-08
1911,9.417062329930559e-08,3.5646507967612706e-08
1912,7.970414372948653e-08,1.4586379215586476e-08
1913,6.946916641936696e-08,2.5454351515463713e-08
1914,5.089525245693949e-08,2.8126324380650658e-08
1915,4.947920118070215e-08,1.5314990164938536e-08
1916,7.471474106068854e-08,1.9777431248257926e-08
1917,8.55381117048637e-08,1.6449636319748606e-08
1918,9.418828739171659e-08,2.6418664589300533e-08
1919,7.09004339682906e-08,1.5653341733923298e-08
1920,6.587841738792122e-08,7.572231730534895e-09
1921,5.679560644011872e-08,2.120369302360814e-08
1922,6.861480272846165e-08,2.4347187377316004e-08
1923,7.749642350063368e-08,2.0170300985000722e-08
1924,6.187979550986711e-08,2.836157442231979e-08
1925,8.35861513337477e-08,1.4297631523163545e-08
1926,7.690835701623655e-08,1.5604593173179637e-08
1927,8.361918446553318e-08,1.3379070296082318e-08
1928,6.284322751071159e-08,2.399468712610542e-08
1929,9.135133183235666e-08,1.893869061575515e-08
1930,6.617270287279098e-08,1.2604324695075775e-08
1931,9.010231849515549e-08,2.167017854048936e-08
1932,6.466126478699152e-08,2.1919072779041926e-08
1933,7.685343916818965e-08,2.7529589274877253e-08
1934,5.6313425034204556e-08,2.516131836216573e-08
1935,8.258115968828861e-08,1.555876849579363e-08
1936,7.032334536916096e-08,2.3036957230715416e-08
1937,7.554670844456268e-08,2.6441348666139675e-08
1938,5.963998717106733e-08,2.074434313215079e-08
1939,8.564668263488784e-08,2.2941076593951948e-08
1940,4.3108308034334186e-08,2.5357829613881222e-08
1941,3.836953510472085e-08,2.3612020783048138e-08
1942,1.0316320242509391e-07,2.4273694165799498e-08
1943,6.387117679196308e-08,2.0322646676618206e-08
1944,4.4984606262232774e-08,2.8918675454292497e-08
1945,7.84261473540937e-08,2.3963544037997053e-08
1946,6.542919095409161e-08,3.3410650246423756e-08
1947,8.344609625510202e-08,2.3841742802233057e-08
1948,5.870819563824625e-08,2.2830963786191205e-08
1949,6.47922533403289e-08,3.043272656100271e-08
1950,4.4668517773516214e-08,2.2334258886758107e-08
1951,6.290227361205325e-08,2.7719645245838365e-08
1952,7.170466886918803e-08,1.1599284199803606e-08
1953,4.632745742583211e-08,1.6160740301529586e-08
1954,4.593092128857279e-08,1.3681550115052232e-08
1955,5.349796339260138e-08,2.7218263198847126e-08
1956,7.761816078755146e-08,2.3547082506070183e-08
1957,5.742774433770137e-08,2.3854601849393475e-08
1958,4.053399393910695e-08,2.6471179026543723e-08
1959,7.053180439697826e-08,2.325224279786653e-08
1960,4.6369581951921646e-08,1.591791587429725e-08
1961,6.670232721717184e-08,2.501337270643944e-08
1962,4.756467220090599e-08,2.473363025501385e-08
1963,5.1728427763464424e-08,1.8104948651398445e-08
1964,7.422441683502257e-08,2.1293889318485526e-08
1965,5.143720827049947e-08,2.134096988015699e-08
1966,5.0405581930590415e-08,1.9386762417639147e-08
1967,6.015009290649687e-08,3.106111279294055e-08
1968,5.973583228069401e-08,2.0211372131484495e-08
1969,6.540130925714038e-08,1.407944960618579e-08
1970,5.0126104156333895e-08,2.0694262303777577e-08
1971,4.3162540208641076e-08,1.9525909777939887e-08
1972,4.565830735714371e-08,3.026786643545165e-08
1973,4.520827090459534e-08,2.3706776985932265e-08
1974,3.2628314272642456e-08,1.518904291231138e-08
1975,4.740528680713396e-08,1.599214449754527e-08
1976,3.599522102604169e-08,1.428381679602353e-08
1977,5.465406971438824e-08,1.5279633558407113e-08
1978,4.871284886576177e-08,1.3069301196821925e-08
1979,5.442335293537326e-08,1.345953837272873e-08
1980,2.8994268319593175e-08,1.1370301145063877e-08
1981,3.479052068655619e-08,1.5813874654213578e-08
1982,3.786576385778062e-08,2.110550845202397e-08
1983,3.34711742766558e-08,1.8314416649900522e-08
1984,4.407246478876914e-08,2.3196033538397387e-08
1985,3.66949031160857e-08,1.564045071233977e-08
1986,3.1770774455708306e-08,1.9182353483415682e-08
1987,4.460896363411848e-08,1.4665960890170027e-08
1988,3.7178633505163816e-08,1.3792074149421296e-08
1989,3.457516939420202e-08,1.7013178421620978e-08
1990,3.923028657482064e-08,1.1442167213715493e-08
1991,4.6891720728581276e-08,1.1136783939491579e-08
1992,5.0691486563891885e-08,1.2672871640972971e-08
1993,3.43430848204207e-08,1.883330469354405e-08
1994,2.953958855300698e-08,1.5824779708850656e-08
1995,5.097103894513566e-08,1.3013881527967897e-08
1996,4.110330920070737e-08,1.5480466686312866e-08
1997,4.075660342550691e-08,1.2466725429760572e-08
1998,3.766822231909828e-08,8.582632382569955e-09
1999,3.1991408633302854e-08,1.0054442611817649e-08
2000,4.064589020913445e-08,8.394259509714175e-09
2001,4.687896648647438e-08,1.0076787404500465e-08
2002,3.986911423226047e-08,1.0076809608960957e-08
2003,4.0835843151398876e-08,6.250384210204629e-09
2004,3.215497557107483e-08,9.250062049659391e-09
2005,2.9274373147814003e-08,9.457874483587148e-09
2006,3.417848759568187e-08,1.4412615101377924e-08
2007,3.595031472514165e-08,1.3181781888249589e-08
2008,4.5554603644859526e-08,1.2346575317678798e-08
2009,4.052963475942306e-08,1.192048149079028e-08
2010,4.6293170186118004e-08,1.2281861749841028e-08
2011,4.0916500410048684e-08,1.1089518636708817e-08
2012,5.991484641754141e-08,1.0212757750593937e-08
2013,6.387096362914235e-08,1.338780020176955e-08
2014,6.431372412407654e-08,1.515811653973742e-08
2015,5.9404221985914774e-08,1.773260294157808e-08
2016,6.814708797264757e-08,1.7192121504194802e-08
2017,5.760750099170764e-08,1.509366853724714e-08
2018,5.705041417058965e-08,1.1358453733123497e-08
2019,5.1785050914077146e-08,1.224474122096808e-08
