year,devait_VERB abattre_VERB,devait_VERB rabattre_VERB
1800,3.144164484325529e-09,0.0
1801,4.7623651688866175e-09,0.0
1802,4.475680270843441e-09,0.0
1803,5.851017448321727e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,8.528632911009026e-09,2.842877711017877e-09
1806,1.4408345627714425e-08,0.0
1807,1.1387820464392462e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,1.3554183553310395e-08,0.0
1810,9.360507036149102e-09,0.0
1811,2.2563691359778204e-08,0.0
1812,1.600324850414836e-08,0.0
1813,1.7254450312975678e-08,2.300593315851529e-08
1814,9.440030979135372e-09,0.0
1815,1.8880564667256294e-08,0.0
1816,2.3176038865813098e-09,0.0
1817,7.784366928831332e-09,0.0
1818,2.384235386898581e-08,0.0
1819,1.449147024601416e-08,0.0
1820,2.966620371580575e-08,0.0
1821,1.972297702934611e-08,9.86148829262845e-10
1822,2.8071724500478012e-08,2.0051231786055723e-09
1823,2.4706716672540097e-08,0.0
1824,1.0947446504872005e-08,1.0947446504872005e-08
1825,2.0252519661312363e-08,1.7610886082763955e-09
1826,1.2331177856594877e-08,0.0
1827,2.3964910056406552e-08,0.0
1828,9.172301140836225e-09,0.0
1829,1.971830521085849e-08,3.429270423183084e-09
1830,6.262101504006523e-09,4.174734336004349e-09
1831,6.236482441579483e-09,0.0
1832,1.352996914505411e-08,1.3529969367098715e-09
1833,2.6642345218874652e-08,0.0
1834,1.4935249481595747e-08,0.0
1835,2.117664621437143e-08,0.0
1836,3.293167694096155e-08,0.0
1837,3.061472142462662e-08,1.3915781860163179e-09
1838,3.9135404250600914e-08,6.312161904276081e-10
1839,1.11863602825224e-08,5.5931801412612e-09
1840,1.8472096741106725e-08,8.917564464638872e-09
1841,8.346713542550788e-09,0.0
1842,2.4149754196400863e-08,1.341653010911159e-09
1843,3.2488010504039266e-08,5.906911071384968e-10
1844,2.5796238034558883e-08,5.488561272137815e-10
1845,1.674068350610014e-08,2.7901139176833567e-09
1846,2.6345256642912318e-08,0.0
1847,3.4516631330916425e-08,1.6179670936367074e-09
1848,2.735375304041554e-08,4.82713291560799e-09
1849,5.111443002192573e-08,0.0
1850,1.9009188889640427e-08,4.073397619208663e-09
