year,devait_VERB entrer_VERB,devait_VERB rentrer_VERB
1800,1.1947824418712116e-07,2.2009151834367913e-08
1801,1.619204113012529e-07,2.8574191901498125e-08
1802,1.0294064622939914e-07,6.713520406265161e-09
1803,1.794312112224361e-07,7.80135707145746e-08
1804,2.0021992952479195e-07,3.213406074564773e-08
1805,1.194008660831969e-07,4.264316544322355e-08
1806,1.7578182109900808e-07,4.610670600868616e-08
1807,2.5337899955957255e-07,8.825561081948763e-08
1808,1.5182695278781466e-07,3.172503681980743e-08
1809,2.5301142159150913e-07,3.388545621874073e-08
1810,2.0593115834799391e-07,7.020380277111826e-09
1811,2.1811567307850055e-07,2.757784400841956e-08
1812,1.7336853375127248e-07,3.467370746079723e-08
1813,3.4796474324139126e-07,3.163315653864629e-08
1814,2.8320093292677484e-07,7.552024783308298e-08
1815,1.780167480092132e-07,2.966945977789237e-08
1816,1.0660977523002657e-07,8.57513455798653e-08
1817,2.00836666408577e-07,3.42512151974006e-08
1818,2.1815755246734625e-07,6.795070817133819e-08
1819,2.4739009063523554e-07,1.1075623262968293e-07
1820,2.183432457059098e-07,5.3399165977907614e-08
1821,2.0413280310549453e-07,6.804427243878308e-08
1822,3.198171611984435e-07,8.72228582693424e-08
1823,2.6189121626885026e-07,6.621399961659336e-08
1824,3.031600499525666e-07,1.0610602174665473e-07
1825,2.668049319254351e-07,1.1359021812040737e-07
1826,2.3605397814208118e-07,1.3123896280831104e-07
1827,3.032482709386386e-07,9.770309361556428e-08
1828,2.669139576028101e-07,9.539193257523948e-08
1829,3.189221615684801e-07,5.658296231558779e-08
1830,2.8388194550643675e-07,8.245100246995207e-08
1831,2.401045833266835e-07,1.3720261904381914e-07
1832,3.7342715586419217e-07,1.785955987543275e-07
1833,2.710569049213518e-07,1.957633202209763e-07
1834,3.631132585724117e-07,8.307732457524253e-08
1835,3.4487680977690616e-07,8.546289365085613e-08
1836,3.447744916229567e-07,1.1089237261785456e-07
1837,3.4789454161909816e-07,1.391578194898102e-07
1838,3.5663714470501873e-07,1.495982360211201e-07
1839,3.1881126005828264e-07,1.3353717065456294e-07
1840,4.2294732338632457e-07,1.6242705669355928e-07
1841,3.9101141169339826e-07,1.0272877659645019e-07
1842,3.656004423646664e-07,1.6569414640343894e-07
1843,2.9357349262681964e-07,8.91943585656918e-08
1844,3.1833656066737603e-07,1.410560201975386e-07
1845,3.7666538332814525e-07,1.439698849026172e-07
1846,4.478693540477252e-07,1.270426821520232e-07
1847,3.9909855331643485e-07,1.310553301436812e-07
1848,3.370948036263144e-07,1.4400946213299903e-07
1849,3.502595404825115e-07,1.6842624006585538e-07
1850,3.4759659683913924e-07,1.3170652835015062e-07
1851,3.5213935234423843e-07,9.545169632474426e-08
1852,2.682344586446561e-07,7.942865209997763e-08
1853,2.872499180739396e-07,1.2660495940508554e-07
1854,3.2472902944391535e-07,1.2053941134126944e-07
1855,3.6830144267696596e-07,7.53585069901419e-08
1856,3.303046867131343e-07,1.2114622904846328e-07
1857,3.758761977223912e-07,1.5523198726441478e-07
1858,3.2298262908625475e-07,1.1010771316932733e-07
1859,3.45758564890275e-07,1.3137807286511816e-07
1860,3.249800499816047e-07,1.492161914029566e-07
1861,3.702031392549543e-07,1.3346176785944408e-07
1862,2.9863889494663454e-07,1.3779857965801057e-07
1863,3.221530562314001e-07,9.889349428249261e-08
1864,2.550795272782125e-07,1.3089606909488793e-07
1865,3.690165897296538e-07,1.1720042181195822e-07
1866,2.4279407284666377e-07,1.1044941317095436e-07
1867,3.275647770806245e-07,1.232614152968381e-07
1868,2.9787440780637553e-07,1.2349684652690485e-07
1869,2.558963956289517e-07,1.289249098590517e-07
1870,3.3429503787374415e-07,1.2844269292600075e-07
1871,3.1438685255125165e-07,1.1258448040507574e-07
1872,3.440935927301325e-07,1.2094677970253542e-07
1873,3.513784747610771e-07,1.38875307698072e-07
