year,devraient_VERB approcher_VERB,devraient_VERB rapprocher_VERB
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,4.943701892301533e-09
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,2.697223555614414e-09
1816,0.0,0.0
1817,0.0,1.556873407970727e-09
1818,0.0,2.5034472272977837e-08
1819,0.0,0.0
1820,4.746592452420373e-09,1.542642635854463e-08
1821,0.0,0.0
1822,0.0,0.0
1823,1.8777104315859106e-08,1.9765373782121287e-09
1824,0.0,0.0
1825,0.0,0.0
1826,2.642395191543301e-09,2.4662355713189754e-08
1827,0.0,0.0
1828,0.0,1.8344602503717056e-09
1829,8.57317605795771e-10,2.571952872898464e-09
1830,0.0,4.174734336004349e-09
1831,0.0,0.0
1832,1.3529969367098715e-09,0.0
1833,2.3167257001688313e-09,9.266902800675325e-09
1834,9.334530925997342e-10,3.733812370398937e-09
1835,7.563087933704082e-10,0.0
1836,7.392825018825988e-09,9.409050427677812e-09
1837,2.7831563720326358e-09,6.957890930081589e-10
1838,0.0,3.1560809521380406e-09
1839,0.0,0.0
1840,0.0,1.0828470564661075e-08
1841,0.0,0.0
1842,0.0,0.0
1843,0.0,0.0
1844,0.0,4.390849017710252e-09
1845,1.1160455892778032e-09,0.0
1846,0.0,9.367202125076801e-09
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,5.431196825611551e-09
1851,6.449438760824933e-10,6.449438760824933e-10
1852,1.3021090872200602e-09,0.0
1853,0.0,0.0
1854,0.0,1.0391328908454511e-09
1855,0.0,0.0
1856,0.0,5.177189232874468e-10
1857,0.0,8.78671624349181e-09
1858,1.468102750479261e-09,9.787352039936081e-10
1859,2.5460866748261424e-09,5.092173349652285e-10
1860,4.577183909670879e-10,5.034902272882391e-09
1861,4.715963730639317e-10,0.0
1862,0.0,0.0
1863,0.0,0.0
1864,1.4384183844029508e-09,4.794727948009836e-10
1865,0.0,0.0
1866,4.865612912574591e-10,0.0
1867,3.396968040192405e-09,0.0
1868,0.0,4.93987406535723e-10
1869,0.0,9.767038289254515e-10
1870,5.160643912205387e-09,5.734048791339319e-10
1871,0.0,5.3105884134652115e-09
1872,6.047339295989218e-10,6.047339295989218e-10
1873,2.3944017879529156e-09,0.0
1874,0.0,0.0
1875,2.2886108563824337e-09,2.8607636259891933e-09
1876,0.0,0.0
1877,1.2369631985365004e-09,6.184815992682502e-10
1878,0.0,2.4156354694326865e-09
1879,0.0,2.443730107160036e-09
1880,6.417846254436199e-10,1.9253538763308597e-09
1881,0.0,2.7890030285249168e-09
1882,1.3310770263785798e-09,0.0
1883,0.0,1.8958017378167824e-09
1884,0.0,6.601696966868076e-10
1885,0.0,0.0
1886,0.0,0.0
1887,0.0,1.3057849246322917e-09
1888,0.0,0.0
1889,0.0,6.265136742733546e-10
1890,0.0,6.554386478008212e-10
1891,0.0,2.5496880162734215e-09
1892,0.0,6.268512375839919e-10
1893,6.158416554491453e-10,1.1700991287000306e-08
1894,6.301539290376468e-10,0.0
1895,6.018614495673091e-10,1.2037228991346183e-09
1896,0.0,0.0
1897,0.0,4.078699600285063e-09
1898,0.0,1.6975064687230201e-09
1899,0.0,6.080336234504102e-09
1900,0.0,5.191053142894475e-10
1901,0.0,4.470991132876634e-09
1902,0.0,4.910283846193408e-10
1903,5.400220270956879e-10,0.0
1904,0.0,2.6873125946735854e-09
1905,0.0,2.580379465655369e-09
1906,5.144184522798412e-10,0.0
1907,0.0,5.142843484406967e-09
1908,1.964555629285769e-09,9.822778146428846e-10
1909,5.500983557560346e-10,0.0
1910,0.0,2.67207544979442e-09
1911,0.0,1.5961122423746588e-09
1912,1.0418842455450772e-09,4.167536982180309e-09
1913,0.0,0.0
1914,0.0,1.1384464038144415e-08
1915,0.0,3.534228465440492e-09
1916,0.0,0.0
1917,0.0,0.0
1918,0.0,2.2972752589112133e-09
1919,0.0,9.207848372660976e-10
1920,2.2716695191604686e-09,0.0
1921,0.0,0.0
1922,0.0,0.0
1923,3.1847844361720945e-09,6.369568872344189e-09
1924,0.0,0.0
1925,0.0,1.0998177923937646e-09
1926,0.0,0.0
1927,0.0,5.574612327308159e-09
1928,0.0,0.0
1929,0.0,1.1140406375176326e-09
1930,0.0,0.0
1931,0.0,0.0
1932,0.0,3.287861094491973e-09
1933,0.0,0.0
1934,0.0,4.7926320689839486e-09
1935,0.0,4.787313656606784e-09
1936,0.0,1.2124714565686645e-09
1937,0.0,0.0
1938,0.0,0.0
1939,0.0,0.0
1940,0.0,2.5357829169792012e-09
1941,0.0,0.0
1942,0.0,0.0
1943,0.0,0.0
1944,0.0,0.0
1945,0.0,0.0
1946,2.7842208538686464e-09,0.0
1947,0.0,1.1920870957027319e-09
1948,1.0871887834440486e-09,1.0871887834440486e-09
1949,3.9268033269479474e-09,9.817008317369869e-10
1950,2.1270722960764488e-09,1.0635361480382244e-09
1951,0.0,1.0661401761424827e-09
1952,3.1634410646574906e-09,1.0544803918932644e-09
1953,1.0773827385790469e-09,0.0
1954,9.772536113672459e-10,4.886268278880834e-09
1955,0.0,9.385607846468247e-10
1956,8.72114158667614e-10,1.744228317335228e-09
1957,2.6505113659425206e-09,8.835037701437898e-10
1958,8.272243445794913e-10,2.4816730892496253e-09
1959,0.0,0.0
1960,1.1765417085030094e-08,0.0
1961,3.47407969059077e-09,0.0
1962,5.0735651235811474e-09,1.2683912808952869e-09
1963,1.2932106496776896e-09,6.466053248388448e-10
1964,2.4335873316516654e-09,2.4335873316516654e-09
1965,1.0944086747954884e-09,1.0944086747954884e-09
1966,1.1078149508847446e-09,5.539074754423723e-10
1967,4.930335695263466e-09,1.4791006197611978e-09
1968,1.3474247273492779e-09,1.7965663401398047e-09
1969,4.995933444718048e-09,1.3625273131978588e-09
1970,4.598724956395017e-09,1.8394900047624674e-09
1971,1.541519245584766e-09,1.0276794970565106e-09
1972,1.0260293725750103e-09,3.0780880067027283e-09
1973,1.6539611902288698e-09,2.205281512956958e-09
1974,4.500457340128605e-09,2.2502286700643026e-09
1975,5.140332159925265e-09,1.7134440533084216e-09
1976,1.7140580066410394e-09,1.7140580066410394e-09
1977,4.11374712072643e-09,4.7014254711541525e-09
1978,1.1881182704343018e-09,1.7821774056514528e-09
1979,3.5111840102075575e-09,1.7555920051037788e-09
1980,5.6851505725319385e-09,1.1370301367108482e-09
1981,2.5302198114474095e-09,4.427884725544118e-09
1982,4.345251713999687e-09,1.2415004579935385e-09
1983,5.68378455412244e-09,5.052252838311233e-09
1984,4.059305780401701e-09,5.799008495621649e-10
1985,3.0077789148208467e-09,6.015558051686298e-10
1986,6.593933843390687e-09,4.7955883708539204e-09
1987,3.6664902225425067e-09,2.4443267410134695e-09
1988,4.797243047249822e-09,1.798966087207532e-09
1989,1.0976244357863152e-09,5.488121956886971e-09
1990,5.44865097484859e-10,3.814055737905164e-09
1991,1.7584396161396398e-09,1.1722930404189924e-09
1992,3.856960972825618e-09,3.30596661157756e-09
1993,3.323524566667402e-09,2.2156829704300662e-09
1994,5.274926606624319e-10,1.0549853213248639e-09
1995,1.626735190995987e-09,1.626735190995987e-09
1996,1.6014276571496566e-09,1.067618438099771e-09
1997,9.58978896292706e-10,3.835915585170824e-09
1998,4.768129224785866e-10,1.9072516899143466e-09
1999,3.1991407301035224e-09,1.8280804647829996e-09
2000,4.4180314962005696e-10,1.7672125984802278e-09
2001,1.7524847129024579e-09,2.190605918883648e-09
2002,2.1906108038649563e-09,1.3143663935011318e-09
2003,1.6667691671301554e-09,8.333845835650777e-10
2004,4.845270407116686e-09,3.523833003171717e-09
2005,2.702249757291497e-09,1.3511248786457486e-09
2006,2.0589450144825605e-09,1.6471559671771274e-09
2007,2.7961355453243186e-09,1.997239706952314e-09
2008,4.6831836186811415e-09,2.554463751636149e-09
2009,1.430457752249481e-09,0.0
2010,2.8342759250676863e-09,2.8342759250676863e-09
2011,4.5887662558641296e-09,2.6767803529281764e-09
2012,1.0212758416727752e-09,1.3617010852229328e-09
2013,1.1156500168141292e-09,1.6734750252211938e-09
2014,1.2992671383216248e-09,1.5158115873603606e-09
2015,1.5516027351836215e-09,6.649726325136385e-10
2016,4.1426800878596737e-10,1.2428040818690533e-09
2017,2.264050280587071e-09,1.2578056374223934e-09
2018,1.8070267504555204e-09,7.744400121190154e-10
2019,5.1019755087367e-10,5.1019755087367e-10
