year,pouvant_VERB apporter_VERB,pouvant_VERB rapporter_VERB
1800,6.288328968651058e-09,6.288328968651058e-09
1801,0.0,9.524730337773235e-09
1802,6.713520406265161e-09,8.951360541686881e-09
1803,2.5354410126965377e-08,0.0
1804,2.4718509461507665e-09,3.707776485839531e-08
1805,3.1271653710973624e-08,0.0
1806,8.645007376628655e-09,2.0171682990621775e-08
1807,2.8469551160981155e-09,5.693910232196231e-09
1808,9.064295980465431e-09,2.2660739951163578e-09
1809,1.129515236897305e-08,4.518061036407062e-09
1810,1.8721014072298203e-08,2.8081521108447305e-08
1811,2.5070768572277302e-08,0.0
1812,4.5342538612658245e-08,1.8670457180292033e-08
1813,4.3136125782439194e-08,2.5881675469463516e-08
1814,1.5733386149463513e-08,1.2586708564299443e-08
1815,1.8880564667256294e-08,2.1577788444915313e-08
1816,9.270415546325239e-09,3.7081662185300956e-08
1817,1.556873407970727e-09,6.227493631882908e-09
1818,5.0068944545955674e-08,8.344824387052086e-09
1819,5.175524897538253e-09,2.070210003424222e-09
1820,9.493184904840746e-09,2.7292905713238724e-08
1821,2.9584463767662328e-09,3.94459531705138e-09
1822,1.7043547018147365e-08,1.5038423839541792e-08
1823,2.174191138237802e-08,2.075364236020505e-08
1824,1.7684335773537896e-08,1.6000115010683658e-08
1825,4.4027217427355936e-09,2.201360693732113e-08
1826,2.8185549894033102e-08,8.807984341885344e-10
1827,1.6591091167583727e-08,1.013900075008678e-08
1828,3.668920500743411e-09,5.503380862137419e-09
1829,5.143905745796928e-09,1.800366966620004e-08
1830,1.878630406793036e-08,6.262101504006523e-09
1831,1.091384405071949e-08,4.677361609140007e-09
1832,1.6235963684607668e-08,1.2176972319366541e-08
1833,1.3900354645102198e-08,2.6642345218874652e-08
1834,2.240287422239362e-08,2.42697808516823e-08
1835,6.806779140333674e-09,2.193295500774184e-08
1836,9.409050427677812e-09,2.688300071440608e-08
1837,2.435261770017405e-08,1.6698937344017395e-08
1838,4.1660268124132926e-08,5.049729523420865e-09
1839,1.8177836125232716e-08,1.677954131196202e-08
1840,1.9109066329292546e-08,1.52872523528913e-08
