year,devrait_VERB appliquer_VERB,devrait_VERB rappliquer_VERB
1800,1.2576657937302116e-08,0.0
1801,0.0,0.0
1802,1.5664880947952042e-08,0.0
1803,3.900678446910888e-09,0.0
1804,7.4155526164076946e-09,0.0
1805,5.685755422035754e-09,0.0
1806,2.881669125542885e-09,0.0
1807,5.693910232196231e-09,0.0
1808,6.798221985349073e-09,0.0
1809,1.581321384946932e-08,0.0
1810,0.0,0.0
1811,1.2535384286138651e-08,0.0
1812,1.8670457180292033e-08,0.0
1813,0.0,0.0
1814,1.2586708564299443e-08,0.0
1815,5.394447111228828e-09,0.0
1816,4.6352077731626196e-09,0.0
1817,1.556873407970727e-09,0.0
1818,3.5763532135746345e-09,0.0
1819,4.140420006848444e-09,0.0
1820,2.3732962262101864e-09,0.0
1821,1.7750679148775816e-08,0.0
1822,7.017931125119503e-09,0.0
1823,1.581229902569703e-08,0.0
1824,2.947389532437228e-08,0.0
1825,4.842993561737785e-08,0.0
1826,3.3470339388941284e-08,0.0
1827,1.474763688946723e-08,0.0
1828,4.953042775923677e-08,0.0
1829,2.0575622983187714e-08,0.0
1830,3.5485243188304594e-08,0.0
1831,4.5214498811674275e-08,0.0
1832,5.141388470519814e-08,0.0
1833,3.359252431778259e-08,0.0
1834,3.360431222176885e-08,0.0
1835,3.857174846189082e-08,0.0
1836,3.49478987970997e-08,0.0
1837,1.948209416013924e-08,0.0
1838,2.7773513266993177e-08,0.0
1839,4.055055669027752e-08,0.0
1840,1.7835128929277744e-08,0.0
1841,3.5955071808757566e-08,0.0
1842,4.9641162291891305e-08,0.0
1843,1.8902115428431898e-08,0.0
1844,3.896878553177885e-08,0.0
1845,2.9575208060350633e-08,0.0
1846,3.0443406018321184e-08,0.0
1847,3.7752563741833e-08,0.0
1848,2.494018680465615e-08,0.0
1849,4.9438547478075634e-08,0.0
1850,2.4440385715251978e-08,0.0
1851,3.418202609850596e-08,0.0
1852,2.8646400807019745e-08,0.0
1853,4.120633079196523e-08,0.0
1854,5.871100938747986e-08,0.0
1855,3.290301009428731e-08,0.0
1856,3.2616291889553395e-08,0.0
1857,1.5620829074691756e-08,0.0
1858,2.300027723833864e-08,0.0
1859,3.258990943777462e-08,0.0
1860,1.4189270203246451e-08,0.0
1861,2.9238975685075275e-08,0.0
1862,2.4848924695675123e-08,0.0
1863,2.8968800691586694e-08,0.0
1864,1.1986819536957682e-08,0.0
1865,2.4004906507002488e-08,0.0
1866,2.4814625021463144e-08,0.0
1867,3.688136729351754e-08,0.0
1868,2.8157282727647726e-08,0.0
1869,2.9789466893248573e-08,0.0
1870,3.612450782952692e-08,0.0
1871,1.1683295220166201e-08,0.0
1872,3.4469834986339265e-08,0.0
1873,3.5317427204972773e-08,0.0
1874,2.6288279997288555e-08,0.0
1875,4.1194994082616176e-08,0.0
1876,3.929909553335165e-08,0.0
1877,1.9791411176584006e-08,0.0
1878,1.4493812372506909e-08,0.0
1879,2.016077260691418e-08,0.0
1880,4.299957012676714e-08,0.0
1881,4.811030152040985e-08,0.0
1882,3.8601232432711186e-08,0.0
1883,2.274962085380139e-08,0.0
1884,3.300848305798354e-08,0.0
1885,5.801071978339678e-08,0.0
1886,4.4528899678653033e-08,0.0
1887,5.288428894800745e-08,0.0
1888,4.375024076352929e-08,0.0
1889,2.380751951136517e-08,0.0
1890,1.6385966361553983e-08,0.0
1891,4.0157587477551715e-08,0.0
1892,3.2596265242545996e-08,0.0
1893,5.788911394688512e-08,0.0
1894,2.6466464575491955e-08,0.0
1895,3.250051960890232e-08,0.0
1896,3.951009475144929e-08,0.0
1897,5.302309347143819e-08,0.0
1898,3.960848360406999e-08,0.0
1899,4.311511148102909e-08,0.0
1900,3.114631752509922e-08,0.0
1901,3.968004591570207e-08,0.0
