year,pourraient_VERB avoir_VERB,pourraient_VERB ravoir_VERB
1800,1.245089151780121e-06,0.0
1801,9.691412969914381e-07,0.0
1802,1.2017201242997544e-06,0.0
1803,1.1214450523766573e-06,0.0
1804,1.5152446621868876e-06,0.0
1805,1.0291216767654987e-06,0.0
1806,1.5330480209740927e-06,0.0
1807,2.365819682381698e-06,0.0
1808,1.4933427792129805e-06,0.0
1809,1.2740931651933352e-06,0.0
1810,1.595966409695393e-06,0.0
1811,1.4892035551383742e-06,0.0
1812,1.506972694187425e-06,0.0
1813,1.2624506098291022e-06,0.0
1814,1.7023522786985268e-06,0.0
1815,1.5805729844942107e-06,0.0
1816,1.2816349226341117e-06,0.0
1817,1.4805866612732643e-06,0.0
1818,1.6820781638671178e-06,0.0
1819,1.6540977867407491e-06,0.0
1820,1.480936816733447e-06,7.119888678630559e-09
1821,1.5009185290182359e-06,0.0
1822,1.3694991594093153e-06,0.0
1823,1.4191538184604724e-06,9.882686891060644e-10
1824,1.5856954860282713e-06,3.3684450784221553e-09
1825,1.9697777133842465e-06,0.0
1826,1.6550202417420223e-06,0.0
1827,2.2204410470294533e-06,0.0
1828,1.8867423250412685e-06,0.0
1829,2.1827306682098424e-06,0.0
1830,1.777393094926083e-06,0.0
1831,1.8288484397999127e-06,0.0
1832,1.8982547089763102e-06,1.3529969367098715e-09
1833,2.2367987639881903e-06,0.0
1834,2.5791309781197924e-06,0.0
1835,2.051109504463966e-06,0.0
1836,1.969851837202441e-06,0.0
1837,1.7137285794888157e-06,1.0436836284100082e-08
1838,1.754781010276929e-06,0.0
1839,1.97858753381297e-06,3.4957374772659477e-09
1840,1.8484836346033262e-06,0.0
1841,1.6969510170383728e-06,0.0
1842,1.9239303128415486e-06,6.708265054555795e-10
1843,1.733678345772205e-06,0.0
1844,1.8946514046547236e-06,0.0
1845,1.743821258060052e-06,5.580227946389016e-10
1846,1.9167637219652534e-06,0.0
1847,2.009515128520434e-06,0.0
1848,2.2365716176864225e-06,0.0
1849,2.1518337689485634e-06,0.0
1850,1.7081114265238284e-06,6.788996032014438e-10
1851,1.4949798696761718e-06,6.449438760824933e-10
1852,1.6243810705418582e-06,0.0
1853,1.464317733734788e-06,1.1943863675867306e-09
1854,1.5124579704206553e-06,5.195664454227256e-10
1855,1.4307502169685904e-06,5.306937111981824e-10
1856,1.4718749525854946e-06,0.0
1857,1.3453438896249281e-06,9.763018171682347e-10
1858,1.5008904483693186e-06,0.0
1859,1.5994515933925868e-06,0.0
1860,1.6606023791609914e-06,0.0
1861,1.5944673350531957e-06,0.0
1862,1.6337038459823816e-06,0.0
1863,1.5353464277723106e-06,0.0
1864,1.5376692772406386e-06,1.4384183844029508e-09
1865,1.382870891575294e-06,0.0
1866,1.4124874496701523e-06,0.0
1867,1.3461699381878134e-06,4.85281148598915e-10
1868,1.4775163208469166e-06,1.975949626142892e-09
1869,1.446498345103464e-06,4.883519144627257e-10
1870,1.3618365528600407e-06,0.0
1871,1.527325252936862e-06,1.0621177271019633e-09
1872,1.4979259503888898e-06,0.0
1873,1.2810049838662962e-06,0.0
1874,1.4518300304189324e-06,0.0
1875,1.4790147133680875e-06,0.0
1876,1.379700620418589e-06,0.0
1877,1.248714397661388e-06,0.0
1878,1.3986528983878088e-06,0.0
1879,1.3306110986377462e-06,0.0
1880,1.593551246514835e-06,0.0
1881,1.5074560906214174e-06,0.0
1882,1.2944724403496366e-06,0.0
1883,1.2461736105251475e-06,0.0
1884,1.344765678368276e-06,0.0
1885,1.3013737998335273e-06,0.0
1886,1.3636168887387612e-06,0.0
1887,1.4076362049308955e-06,0.0
1888,1.386058329444495e-06,0.0
1889,1.1703275504260091e-06,0.0
1890,1.2597530485436437e-06,0.0
1891,1.3207384199631633e-06,0.0
1892,1.3928633961768355e-06,6.268512375839919e-10
1893,1.2581645023601595e-06,0.0
1894,1.3044186744082253e-06,0.0
1895,1.3277063999339589e-06,0.0
1896,1.385801851938595e-06,5.89702897624278e-10
1897,1.3512149052985478e-06,0.0
1898,1.4445780607275083e-06,0.0
1899,1.4819437410551473e-06,0.0
1900,1.279075490856485e-06,5.191053142894475e-10
1901,1.3636522453452926e-06,0.0
1902,1.3174291098039248e-06,0.0
1903,1.345194846180675e-06,0.0
1904,1.238851154994336e-06,0.0
1905,1.3185739362597815e-06,0.0
1906,1.2953056511832983e-06,0.0
1907,1.4009104916112847e-06,5.142843373384665e-10
1908,1.3732243360209395e-06,0.0
1909,1.2047154314132058e-06,0.0
1910,1.3306935215950944e-06,0.0
1911,1.3689323168364353e-06,0.0
1912,1.3534075833376846e-06,0.0
1913,1.2663539337154361e-06,0.0
1914,1.218137640535133e-06,0.0
1915,1.482019797549583e-06,0.0
1916,1.2580644579429645e-06,0.0
1917,1.2424958413248532e-06,0.0
1918,1.2910686564282514e-06,0.0
1919,1.1031002031813841e-06,0.0
1920,1.3062099242233671e-06,0.0
1921,1.087446548808657e-06,0.0
1922,1.289663146053499e-06,0.0
1923,1.1305984344289755e-06,0.0
1924,1.0983663969454938e-06,0.0
1925,1.231795977219008e-06,0.0
1926,1.0822900549101178e-06,0.0
1927,1.0959688552247826e-06,0.0
1928,1.131178123614518e-06,0.0
1929,1.2176463997093379e-06,0.0
1930,1.1795547152360086e-06,0.0
1931,1.195281356558553e-06,0.0
1932,1.3874773685529362e-06,1.0959536611565568e-09
1933,1.1195365914318245e-06,0.0
1934,1.0735495834524045e-06,0.0
1935,1.123821903092903e-06,0.0
1936,1.1615476296356064e-06,0.0
1937,1.1860832955790102e-06,0.0
1938,1.242067583007156e-06,0.0
1939,1.0889364148169989e-06,0.0
1940,1.0574215139058651e-06,0.0
1941,1.156989014816645e-06,0.0
1942,1.0073582643599366e-06,0.0
1943,9.464546906201576e-07,0.0
1944,9.671690577306435e-07,0.0
1945,1.1001445727742976e-06,0.0
1946,1.1192568081241916e-06,0.0
1947,1.0394999208074296e-06,0.0
1948,1.1219788120797602e-06,0.0
1949,1.092633056032355e-06,0.0
1950,1.1071410881413613e-06,0.0
1951,1.0053702226286987e-06,0.0
1952,1.0344452903154888e-06,0.0
1953,1.1053947446271195e-06,0.0
1954,1.052502170750813e-06,0.0
1955,1.104686020880763e-06,1.8771215692936494e-09
1956,1.090142745852063e-06,0.0
1957,1.1397198704798939e-06,0.0
1958,1.099381165658997e-06,0.0
1959,1.1316092241031583e-06,0.0
1960,1.112869995267829e-06,0.0
1961,1.0727958397183102e-06,0.0
1962,1.0806693353515584e-06,0.0
1963,1.1916936273337342e-06,0.0
1964,1.1614295090112137e-06,0.0
1965,1.1551483112270944e-06,0.0
1966,1.101721977647685e-06,0.0
1967,1.0969996537824045e-06,0.0
1968,1.1848354688481777e-06,0.0
1969,1.652745709179726e-06,0.0
1970,1.4062901527722715e-06,4.5987250119061684e-10
1971,1.1700130926328711e-06,0.0
1972,1.23380027616804e-06,5.130146862875051e-10
1973,1.1847874930026592e-06,0.0
1974,1.2921938150611822e-06,0.0
1975,1.24510268051381e-06,0.0
1976,1.2552618500194512e-06,0.0
1977,1.1735933185264003e-06,1.1753563677885381e-09
1978,1.1821776979559218e-06,5.940591352171509e-10
1979,1.2084325362593518e-06,0.0
1980,1.293371724386816e-06,5.685150683554241e-10
1981,1.1556778645172017e-06,0.0
1982,1.2439834335964406e-06,0.0
1983,1.2308551049500238e-06,0.0
1984,1.29317891151004e-06,0.0
1985,1.4250856565922732e-06,6.015558051686298e-10
1986,1.2996044915780658e-06,0.0
1987,1.3914329883846221e-06,0.0
1988,1.3264376548249857e-06,0.0
1989,1.5015501730886172e-06,5.488122178931576e-10
1990,1.3474514162226114e-06,0.0
1991,1.4407481785383425e-06,0.0
1992,1.3736290611632285e-06,0.0
1993,1.4224684719010838e-06,0.0
1994,1.5191789088930818e-06,0.0
1995,1.3740490203417721e-06,0.0
1996,1.481320623497595e-06,0.0
1997,1.4667582490801578e-06,0.0
1998,1.5129273833736079e-06,0.0
1999,1.5703211602158262e-06,0.0
2000,1.616115923752659e-06,0.0
2001,1.8326609279029071e-06,0.0
2002,1.82915994173527e-06,4.38122149670761e-10
2003,1.8396964378553093e-06,0.0
2004,1.44653347433632e-06,0.0
2005,1.5722589523647912e-06,0.0
2006,1.4416732483368833e-06,0.0
2007,1.4200375062500825e-06,0.0
2008,1.3777074627796537e-06,0.0
2009,1.419490899934317e-06,0.0
2010,1.2650317557927337e-06,0.0
2011,1.202639168695896e-06,0.0
2012,1.1002545079463744e-06,0.0
2013,1.0891533293033717e-06,0.0
2014,9.480319249632885e-07,0.0
2015,9.797263373911846e-07,0.0
2016,9.973501846616273e-07,0.0
