year,devant_VERB entrer_VERB,devant_VERB rentrer_VERB
1800,1.2576657937302116e-08,3.144164484325529e-09
1801,2.3811825844433088e-09,1.4287095950749062e-08
1802,4.2518962573012686e-08,4.475680270843441e-09
1803,7.411289004721766e-08,7.801356893821776e-09
1804,3.9549615138412264e-08,4.943701892301533e-09
1805,7.675770063997334e-08,2.842877711017877e-09
1806,3.1698359492793315e-08,2.881669125542885e-08
1807,4.555128185756985e-08,8.540865792383556e-09
1808,4.758755522971114e-08,2.039466551195801e-08
1809,6.7770917766551975e-09,6.7770917766551975e-09
1810,2.3401266702194334e-08,7.020380277111826e-09
1811,7.771937760026049e-08,5.0141535368197765e-09
1812,1.3336041604361526e-08,2.6672082320544632e-09
1813,4.601186631703058e-08,0.0
1814,6.293354282149721e-09,0.0
1815,3.776112933451259e-08,1.0788894222457657e-08
1816,1.3905623319487859e-08,1.1588019432906549e-08
1817,2.80237220096069e-08,9.341240669868967e-09
1818,2.026600220972341e-08,7.152706427149269e-09
1819,7.03871378959775e-08,2.173720581311045e-08
1820,3.441279616822612e-08,1.779972080839798e-08
1821,7.297501269931672e-08,5.9168927535324656e-09
1822,2.0051231786055723e-08,1.1028177482330648e-08
1823,3.4589405117912975e-08,2.8659792761231984e-08
1824,3.2000230021367315e-08,1.431589158329416e-08
1825,1.8491430608946757e-08,8.805443485471187e-09
1826,3.8755132436563144e-08,4.403992281964975e-09
1827,3.502563927781921e-08,5.530363722527909e-09
1828,5.870272801189458e-08,3.485474309172787e-08
1829,2.1432940755516938e-08,1.3717081692732336e-08
1830,6.053365098068753e-08,4.174734336004349e-09
1831,2.3386808933878456e-08,1.2472964883158966e-08
1832,4.329590197471589e-08,1.488296597074168e-08
1833,5.09679658478035e-08,1.6217079235048004e-08
1834,2.42697808516823e-08,1.6802156110884425e-08
1835,2.7227116561334697e-08,1.5882484660778573e-08
1836,2.9571300075303952e-08,2.016225053580456e-08
1837,4.0355768504696243e-08,1.3219993100221927e-08
1838,3.787297231383491e-08,4.418513555037862e-09
1839,3.915226187700682e-08,2.7965899818127582e-08
1840,3.821813265858509e-08,1.592422194107712e-08
1841,3.78812359258518e-08,1.0914932957462042e-08
1842,2.2808102073668124e-08,4.695785538189057e-09
1843,3.5441466650354414e-08,2.4809025944705354e-08
1844,3.3480223038395707e-08,2.25031016043431e-08
1845,2.511102614732863e-08,8.37034175305007e-09
1846,2.9272506196775794e-08,2.7516156686502313e-08
1847,4.7460368080010085e-08,4.0449176452739266e-08
1848,2.976732105253177e-08,1.206783295515379e-08
1849,3.854530916669319e-08,2.4300303991253713e-08
1850,4.8880771430503955e-08,2.4440385715251978e-08
1851,1.483370937194195e-08,2.644269869733762e-08
1852,6.510545347282459e-08,2.3437962681782665e-08
1853,1.7318601663873778e-08,1.970737528722566e-08
1854,2.909572138776184e-08,2.7017454939937124e-08
1855,2.2819829581521844e-08,7.429711956774554e-09
1856,3.986435714864456e-08,2.9509978460851016e-08
1857,2.6848299583548396e-08,1.0739319655783675e-08
1858,2.6915218498402282e-08,1.565976326389773e-08
1859,3.1571474323754956e-08,2.34239969643113e-08
1860,5.767251565202969e-08,2.5632230560290736e-08
1861,3.772770895693611e-08,2.5466203368296192e-08
1862,2.0782737308877586e-08,8.132375661773494e-09
1863,5.2942979777981236e-08,1.9978482868054925e-08
1864,3.5960461275408306e-08,2.5412058235474433e-08
1865,3.9066808454890634e-08,9.88437331983505e-09
1866,3.113992264047738e-08,1.702964524952222e-08
1867,4.270474107670452e-08,1.8925964795357686e-08
1868,4.544684273355415e-08,1.877152122631287e-08
1869,2.8812763730456936e-08,9.278686263769487e-09
1870,3.2110673231500186e-08,2.2936195165357276e-08
1871,2.8677177965619194e-08,2.6552942955504477e-08
1872,6.77301983387224e-08,2.3584624031514068e-08
1873,5.267683889087493e-08,1.7958013742713774e-08
1874,2.7483201492373155e-08,1.7923827755339516e-08
1875,5.149374260327022e-08,4.062284375550007e-08
1876,4.111290152764013e-08,2.1765652835625815e-08
1877,2.968711676487601e-08,2.1028374708187414e-08
1878,5.012443438090486e-08,2.717589886458427e-08
1879,4.520900631632685e-08,2.4437301737734174e-08
1880,4.6208491255583795e-08,2.631317030932223e-08
1881,6.902782700990429e-08,2.7890029841159958e-08
1882,5.1912003584675404e-08,1.1979693681496428e-08
1883,4.802697617378726e-08,1.2638677659992936e-08
1884,5.6114423330200225e-08,3.498899303622238e-08
1885,5.349877696403382e-08,2.0626034213933053e-08
1886,3.355801325710672e-08,2.774989482645651e-08
1887,5.157850324621904e-08,1.4363633948910604e-08
1888,5.0090857683926515e-08,3.550744054336974e-08
