year,grand_ADJ établissement_NOUN,grand_ADJ etablissement_NOUN,grand_ADJ rétablissement_NOUN
1800,3.0498395631184394e-07,3.144164484325529e-09,0.0
1801,3.8575157645936997e-07,1.904946067554647e-08,0.0
1802,4.856112809648039e-07,6.713520406265161e-09,8.951360541686881e-09
1803,3.6276310311222915e-07,3.900678446910888e-09,0.0
1804,3.287561867182376e-07,2.4718509461507665e-09,0.0
1805,2.842877790953935e-07,2.842877711017877e-09,0.0
1806,3.486819650788675e-07,0.0,0.0
1807,3.416346032736328e-07,0.0,0.0
1808,3.4217717370665923e-07,9.064295980465431e-09,0.0
1809,4.3147483097527584e-07,0.0,0.0
1810,2.574139443822787e-07,0.0,0.0
1811,4.964011850461247e-07,1.7549536934780008e-08,0.0
1812,4.027484408197779e-07,2.6672082320544632e-09,0.0
1813,5.003790306545852e-07,1.1502966579257645e-08,0.0
1814,4.342414570146502e-07,0.0,0.0
1815,4.5852800667489646e-07,0.0,0.0
1816,3.8472225583063846e-07,2.3176038865813098e-09,0.0
1817,2.5221348209925054e-07,1.556873407970727e-09,0.0
1818,4.0532003708904085e-07,2.384235475716423e-09,0.0
1819,3.5918142771151906e-07,3.1053151161586356e-09,0.0
1820,3.8922058820389793e-07,4.746592452420373e-09,2.3732962262101864e-09
1821,5.039220241087605e-07,9.86148829262845e-10,0.0
1822,4.2207841488561826e-07,0.0,0.0
1823,3.9234265614140895e-07,1.9765373782121287e-09,0.0
1824,4.488452987061464e-07,5.894778887238772e-09,0.0
1825,4.1385581539543637e-07,0.0,0.0
1826,3.5055776947956474e-07,1.7615968683770689e-09,0.0
1827,5.696275025002251e-07,0.0,0.0
1828,3.723954193901591e-07,4.586150625929264e-09,0.0
1829,3.909368331278529e-07,9.430493386197725e-09,0.0
1830,3.5380872986934264e-07,5.218417697960831e-09,1.0436835840010872e-09
1831,4.537041036201117e-07,1.5591206103948707e-09,1.5591206103948707e-09
1832,5.506697675627947e-07,2.4353944860777688e-08,0.0
1833,5.803398153148009e-07,4.6334514003376626e-09,0.0
1834,4.5925892777631816e-07,5.600718555598405e-09,1.8669061851994684e-09
1835,3.5622144878288964e-07,3.025235173481633e-09,5.294161553592858e-09
1836,4.73812889367764e-07,6.720750067579218e-10,1.1425274948351216e-08
1837,4.4739238092006417e-07,4.87052354003481e-09,4.174734336004349e-09
1838,4.6646877649436647e-07,2.5248647617104325e-09,1.8936485712828244e-09
1839,6.068600555408921e-07,0.0,7.690622361167243e-09
1840,5.286841542329057e-07,2.547875410652267e-09,1.2739377330817092e-09
1841,6.054577283975959e-07,3.2102742686390684e-09,1.926164561183441e-09
1842,4.90374191031151e-07,3.3541325272778977e-09,3.3541325272778977e-09
1843,4.7078080456230964e-07,2.953455535692484e-09,7.678984559333912e-09
1844,5.142782129041734e-07,0.0,0.0
1845,6.623730541832629e-07,2.2320912340667576e-09,0.0
1846,5.46810440482659e-07,2.3418005312692003e-09,5.854501328173001e-10
1847,5.608952733382466e-07,3.235934187273415e-09,0.0
1848,5.454660367831821e-07,8.045221711050488e-10,1.6090443422100975e-09
1849,7.206296572803694e-07,0.0,1.6758829879393033e-09
1850,5.641655889121466e-07,2.7155984128057753e-09,6.788996032014438e-10
1851,5.694854507964919e-07,7.739326512989919e-09,5.159551008659946e-09
1852,6.074338898542919e-07,1.3021090872200602e-09,0.0
1853,6.109286232458544e-07,1.1943863675867306e-09,0.0
1854,5.808752803204698e-07,1.558699391779328e-09,2.5978321716024766e-09
1855,5.80048208576045e-07,2.653468555990912e-09,5.306937111981824e-10
1856,6.921902127032808e-07,5.177189232874468e-10,1.0354378465748937e-09
1857,6.956150286896445e-07,2.9289055070158554e-09,9.274867096564776e-09
