year,avait_VERB acheté_VERB,avait_VERB racheté_VERB
1800,8.17482771253708e-07,3.772997558826319e-08
1801,4.143257683608681e-07,1.904946067554647e-08
1802,3.3567602031325805e-07,2.2378401354217203e-09
1803,3.881175132391945e-07,1.5602713787643552e-08
1804,8.948100571615214e-07,4.943701981119375e-08
1805,6.709191211484722e-07,2.2743021688143017e-08
1806,6.137955210760992e-07,8.645007376628655e-09
1807,9.451890718992217e-07,8.540865792383556e-09
1808,7.749973178761138e-07,2.945896149242344e-08
1809,7.477390795429528e-07,2.0331274441787173e-08
1810,6.833170118625276e-07,3.2761775514700275e-08
1811,7.797008834131702e-07,2.2563691359778204e-08
1812,1.0055374559669872e-06,2.6672083208723052e-08
1813,1.0237640708510298e-06,2.5881675469463516e-08
1814,8.842162628752703e-07,6.293354282149721e-09
1815,7.741031708974333e-07,1.0788894222457657e-08
1816,8.088437652986613e-07,1.8540831092650478e-08
1817,7.208323609120271e-07,2.1796227045456362e-08
1818,8.237533393185004e-07,3.5763530803478716e-08
1819,7.142224376366357e-07,2.070209959015301e-08
1820,8.496400596413878e-07,5.22125169766241e-08
1821,1.0749022294476163e-06,8.382264837791809e-08
1822,1.2271353853066103e-06,5.81485721795616e-08
1823,9.853039273366448e-07,8.30145694408202e-08
1824,1.1183237802470103e-06,3.789500624407083e-08
1825,1.2257177104402217e-06,8.189061873054015e-08
1826,1.1423956038925098e-06,7.662946188702335e-08
1827,1.3346611922315788e-06,4.7929820112813104e-08
1828,1.37859683491115e-06,3.118582370120748e-08
1829,1.5534594695054693e-06,4.4580517055692326e-08
1830,1.19293031275447e-06,1.0019362406410437e-07
1831,1.2098776096536312e-06,8.731075240575592e-08
1832,1.4734137039340567e-06,9.470978312720035e-08
1833,1.5718983377155382e-06,5.444305273272221e-08
1834,1.2284242529858602e-06,1.0174638731541563e-07
1835,1.3522801509679994e-06,6.201732105637348e-08
1836,1.1720987913577119e-06,9.341842854837523e-08
1837,1.456982317904476e-06,4.313892532081809e-08
1838,1.3785761439066846e-06,1.1298769919676488e-07
1839,1.3360709090193268e-06,6.711816524784808e-08
1840,1.6159899587364634e-06,1.5414646270528465e-07
1841,1.3187806189307594e-06,8.346712832008052e-08
1842,1.4610601510867127e-06,1.0531976357697204e-07
1843,1.3845799458067631e-06,7.088293330070883e-08
1844,1.5455788116014446e-06,7.190015338665035e-08
1845,1.5155899291130481e-06,7.86812108799495e-08
1846,1.284477548324503e-06,7.962121628679597e-08
1847,1.380665253236657e-06,1.0678582640366585e-07
1848,1.247813884219795e-06,6.436177102386864e-08
1849,1.525891434539517e-06,9.049767868418712e-08
1850,1.230166049026593e-06,1.2491753409449302e-07
1851,1.254415792573127e-06,6.707416133622246e-08
1852,1.3854440794602851e-06,7.422021752745422e-08
1853,1.4129590226730215e-06,8.181546462537881e-08
1854,1.2116289553887327e-06,7.221973419291317e-08
1855,1.5729762026239769e-06,1.0083180512765466e-07
1856,1.492065962338529e-06,1.1959306789322e-07
1857,1.5201019323285436e-06,8.445010735158576e-08
1858,1.5072522501213825e-06,8.319248934185453e-08
1859,1.400347628077725e-06,8.045633848041689e-08
1860,1.5827902188902954e-06,1.1946450229061156e-07
1861,1.4949605429137591e-06,9.196129013844256e-08
1862,1.4773814882573788e-06,1.0526908056363027e-07
1863,1.4409481536858948e-06,1.0388811233497108e-07
1864,1.4216368526831502e-06,1.0979926656773387e-07
1865,1.5923254750305205e-06,9.696099567690908e-08
1866,1.4796329423916177e-06,7.784980482483661e-08
1867,1.3879040352549055e-06,1.1064410188055263e-07
1868,1.3604412743006833e-06,9.286963376098356e-08
1869,1.247739191967412e-06,1.1525105492182774e-07
1870,1.5384453035949264e-06,1.1926820775443048e-07
1871,1.2309944850130705e-06,8.815577245968598e-08
1872,1.201606323775195e-06,7.982487915114689e-08
1873,1.4109012909102603e-06,4.8486636927691507e-08
1874,1.4494402194031863e-06,9.380136134495842e-08
1875,1.4023463563717087e-06,8.010137975134057e-08
1876,1.4709953575220425e-06,7.920279188056156e-08
1877,1.4998179267422529e-06,9.833857461671869e-08
1878,1.4185819736667327e-06,8.515115013096874e-08
