year,voulait_VERB assurer_VERB,voulait_VERB rassurer_VERB
1800,2.5153315874604232e-08,0.0
1801,1.1905912700171939e-08,0.0
1802,0.0,0.0
1803,2.9255089017965474e-08,0.0
1804,3.9549615138412264e-08,1.4831105232815389e-08
1805,4.8328921309348516e-08,0.0
1806,1.729001475325731e-08,2.5935023018064385e-08
1807,8.825561081948763e-08,0.0
1808,9.064295980465431e-09,0.0
1809,3.162642769893864e-08,2.259030518203531e-09
1810,4.680253518074551e-09,2.3401267590372754e-09
1811,3.259199843341776e-08,0.0
1812,4.267533171287141e-08,2.6672082320544632e-09
1813,2.0130190847567064e-08,0.0
1814,1.4474714760126517e-07,3.1466771410748606e-09
1815,2.966945977789237e-08,0.0
1816,7.879853569647821e-08,9.270415546325239e-09
1817,2.80237220096069e-08,0.0
1818,3.2187177367859476e-08,0.0
1819,8.073818946741085e-08,1.035105001712111e-09
1820,7.594547923872597e-08,1.1866481131050932e-09
1821,1.2819934624985763e-07,2.9584463767662328e-09
1822,1.4737655362750957e-07,0.0
1823,1.3440454438296e-07,2.9648061783404955e-09
1824,1.3136936161117774e-07,1.431589158329416e-08
1825,1.1094858365368054e-07,0.0
1826,1.1626539020426208e-07,0.0
1827,8.664236617050847e-08,3.6869092223668076e-09
1828,1.0364700386844561e-07,3.668920500743411e-09
1829,1.2345373079369892e-07,2.0575622983187714e-08
1830,8.76694201679129e-08,8.349468672008697e-09
1831,3.897801548191637e-08,0.0
1832,4.6001897402447867e-08,5.411987746839486e-09
1833,1.0077756940063409e-07,3.4750886612755494e-09
1834,4.85395617033646e-08,1.4935249481595747e-08
1835,6.806779140333674e-08,7.563087933704082e-09
1836,8.535352691296794e-08,4.032449929525228e-09
1837,1.2941677596245427e-07,4.87052354003481e-09
1838,1.3192418180096865e-07,6.312161904276081e-09
1839,1.6080393550055305e-07,1.2584655095793096e-08
1840,1.6815978653994534e-07,1.3376346252869098e-08
1841,1.3097918838411715e-07,1.2841097074556274e-08
1842,1.442276982288604e-07,1.1404051036834062e-08
1843,8.565021403228457e-08,2.3627644285539873e-09
1844,1.3721403036015545e-07,6.037417232818143e-09
1845,1.6294265492433624e-07,3.4039391749729475e-08
1846,1.3289718481246382e-07,1.0538101946622191e-08
1847,1.1919023990003552e-07,3.775256551818984e-09
1848,1.0700144770225961e-07,4.82713291560799e-09
1849,8.379414850878675e-08,7.54147322368226e-09
1850,4.412847331991543e-08,1.1541293254424545e-08
1851,8.835731080125697e-08,2.4507867735223954e-08
1852,7.877760310748272e-08,1.3672145193766028e-08
1853,8.480143520728234e-08,1.6124216628554677e-08
1854,1.2209811472985166e-07,1.0391328908454511e-09
1855,1.0826151708442922e-07,1.326734277995456e-08
1856,1.1907535224509047e-07,1.501384794266869e-08
1857,7.810414359710194e-08,1.3180074809326925e-08
1858,1.0815023898658183e-07,1.0766087576996597e-08
1859,8.605773160752506e-08,1.884104072757964e-08
1860,1.4006182880166307e-07,9.612086238064421e-09
1861,9.29044858821726e-08,1.131831339762357e-08
1862,1.0120289317683273e-07,1.2650361647104091e-08
1863,9.140156009834755e-08,1.9978483312144135e-09
1864,8.678457419364349e-08,4.794728170054441e-09
1865,1.4591218189252686e-07,2.3534221238463715e-09
1866,1.0023162388961282e-07,1.1190909532388105e-08
1867,1.111293812527947e-07,1.164674756637396e-08
1868,6.718228462432307e-08,2.0253484223076157e-08
1869,1.0792577143092785e-07,1.1720445947105418e-08
1870,9.747883211730368e-08,6.880858549607183e-09
1871,7.541035529357032e-08,3.186353225714811e-08
1872,7.196333484671413e-08,1.3304146229131675e-08
1873,6.584605216630735e-08,9.577607151811662e-09
1874,6.930546447847519e-08,1.2546679251101978e-08
1875,7.952922942422447e-08,9.154443425529735e-09
1876,1.0822366647289527e-07,2.418405919968336e-09
1877,8.782438953858218e-08,2.4739263970730008e-09
1878,9.722932503564152e-08,6.6429977074733415e-09
1879,9.958200308801679e-08,6.109325489944695e-09
1880,9.305877313181554e-08,4.492492600149944e-09
1881,9.900960407094317e-08,2.7890030285249168e-09
1882,8.785108462916469e-08,1.9966155395678697e-09
1883,9.4158153274293e-08,5.0554711528150165e-09
1884,9.308392634466145e-08,6.601696966868076e-10
1885,9.023889901982329e-08,4.511945039809007e-09
1886,9.357522401387541e-08,1.936039106809062e-09
1887,9.271072798355817e-08,1.2404957061562527e-08
1888,1.0715638865121946e-07,6.340614699951175e-10
1889,1.052542941692991e-07,6.891650361495749e-09
1890,1.1011369593916243e-07,5.898947996740844e-09
1891,8.923908012548054e-08,1.9122659011827636e-09
1892,7.835640758457885e-08,3.761107425503951e-09
1893,8.252278149711856e-08,1.1085149687062312e-08
1894,6.679631781025819e-08,5.041231432301174e-09
1895,1.0592761157113273e-07,1.9259566386153892e-08
1896,1.0791563198608856e-07,6.486732040400511e-09
1897,5.884980680548324e-08,8.157399200570126e-09
1898,9.166534908899848e-08,5.6583548957434e-10
1899,1.033657142102129e-07,3.3165470370022376e-09
1900,5.3467847038746186e-08,5.710158568206225e-09
1901,7.097698073721403e-08,7.265360757457984e-09
1902,6.874397229239548e-08,7.365425602756659e-09
1903,1.0638434133625196e-07,6.480264325148255e-09
1904,7.255744094436523e-08,1.6123875568041512e-08
1905,1.0992416576982578e-07,3.096455536422127e-09
1906,7.253299827425508e-08,3.600929110447737e-09
1907,1.0439971731557307e-07,6.685696440911215e-09
1908,7.907336652124286e-08,1.1296195090437777e-08
1909,1.0066799660535253e-07,8.801573692096554e-09
1910,6.680188135987919e-08,2.67207544979442e-09
1911,9.629876984718067e-08,1.5961122423746588e-09
1912,9.168581271978837e-08,3.646594803896619e-09
1913,8.962052788774599e-08,1.060597942803554e-09
1914,9.241506404578104e-08,2.678697486047099e-09
1915,8.599955947374838e-08,9.424609537234119e-09
1916,8.789969285771804e-08,6.592477230782379e-09
1917,9.211796481167767e-08,1.2063066989753679e-08
1918,8.040463228553563e-08,1.4932290071101306e-08
1919,8.379142002468143e-08,1.2890987832747669e-08
1920,7.950843183834877e-08,9.843901693784574e-09
1921,5.5281056177136634e-08,1.438822039290244e-08
1922,6.49258353746518e-08,9.591316185719734e-09
1923,4.671016995416721e-08,7.431163684401554e-09
1924,7.86389122708897e-08,6.445812328337297e-09
1925,7.038833871320094e-08,7.698724324711748e-09
1926,7.57937428375044e-08,5.57306911730393e-09
1927,7.469980545238286e-08,1.5608915049369898e-08
1928,6.170062505361784e-08,1.2568645679778001e-08
1929,7.464072382390441e-08,1.5596569369336066e-08
1930,9.033099246380516e-08,7.352522590764465e-09
1931,6.158892773555635e-08,4.5621426636444085e-09
1932,7.562080384104775e-08,0.0
1933,9.635355979753513e-08,3.4411986593596566e-09
1934,7.907843269094883e-08,5.990790086229936e-09
1935,6.343190506186147e-08,3.590485242455088e-09
1936,6.183604739362636e-08,2.424942913137329e-09
1937,9.065605155456069e-08,1.1332006444320086e-08
1938,6.223302762009553e-08,3.8895642262559704e-09
1939,8.258787431714154e-08,1.5294050470515685e-09
1940,7.60734906180005e-08,7.607348528892999e-09
1941,7.37875680556499e-08,0.0
1942,5.461581054078124e-08,6.068423541449874e-09
1943,1.0741970157823744e-07,0.0
1944,9.318240046241044e-08,6.4263723231761105e-09
1945,8.496165548876888e-08,1.5249527862692958e-08
1946,6.821341003160342e-08,6.960552134671616e-09
1947,7.510148947176276e-08,2.3841741914054637e-09
1948,7.066726936955092e-08,1.3046265401328583e-08
1949,5.792034940554913e-08,1.0798709482173763e-08
1950,6.912984673590472e-08,5.317680518146517e-09
1951,6.503454841322309e-08,1.1727541604500402e-08
1952,7.697706649878455e-08,2.1089607837865287e-09
1953,4.955960619668076e-08,2.1547654771580937e-09
1954,6.254423112750374e-08,2.9317608341017376e-09
1955,9.104039833118804e-08,3.754243138587299e-09
1956,5.755953580433015e-08,1.4825940475304833e-08
