year,ait_VERB envoyé_VERB,ait_VERB renvoyé_VERB
1800,1.0690159513160324e-07,3.144164484325529e-09
1801,1.9049460320275102e-07,3.5717739876872656e-08
1802,2.1483265300048515e-07,1.5664880947952042e-08
1803,9.166594594489652e-08,9.751696339321825e-09
1804,1.7302956223375077e-07,2.4718509905596875e-08
1805,1.1087222873129576e-07,0.0
1806,1.4696512096179504e-07,6.051504897186533e-08
1807,1.1103124819555887e-07,3.4163463169534225e-08
1808,1.5182695278781466e-07,2.7192887941396293e-08
1809,1.6490922405409947e-07,6.7770917766551975e-09
1810,2.5975407424994046e-07,2.8081521108447305e-08
1811,1.4039629547824006e-07,1.0028307073639553e-08
1812,7.20146218213813e-08,2.400487453257938e-08
1813,1.2365688917270745e-07,1.4378708002027452e-08
1814,1.4474714760126517e-07,1.2586708564299443e-08
1815,1.1598061178119679e-07,2.6972236000233352e-08
1816,1.3905622608945123e-07,6.952811659743929e-09
1817,1.479029805295795e-07,4.826307531402563e-08
1818,1.9073883095188648e-07,2.384235386898581e-08
1819,2.5360071731483913e-07,3.519356894798875e-08
1820,2.6106258133040683e-07,3.441279616822612e-08
1821,2.6034328470814216e-07,5.226588939422072e-08
1822,2.0151487944986002e-07,1.9048670196752937e-08
1823,1.9370065729162889e-07,1.7788837070042973e-08
1824,2.4168593881768174e-07,2.7789671008804362e-08
1825,2.0340573314570065e-07,3.522177394188475e-08
1826,2.5543155857121747e-07,8.80798456392995e-09
1827,1.7973682986394124e-07,2.949527377893446e-08
1828,1.7060480672626e-07,3.393751413227619e-08
1829,1.79179380666028e-07,2.6576845613135447e-08
1830,1.6907674194044375e-07,1.6698937344017395e-08
1831,2.7128697865919094e-07,2.9623292263636358e-08
1832,2.692463851872162e-07,4.464889968858188e-08
1833,1.4711207541040494e-07,1.0425265983826648e-08
1834,1.5962048394158046e-07,1.120143711119681e-08
1835,1.2932881077176717e-07,9.075705520444899e-09
1836,1.6869083196979773e-07,2.016225053580456e-08
1837,2.024746237339059e-07,1.2524203896191466e-08
1838,1.7674052799065976e-07,2.019891809368346e-08
1839,1.8177836125232716e-07,3.4957377437194737e-08
1840,1.738925021754767e-07,1.592422194107712e-08
1841,1.3418946309684543e-07,2.5040138851295524e-08
1842,1.5496092942157702e-07,3.152884531232303e-08
1843,1.2699858586984192e-07,7.678984559333912e-09
1844,1.289811848437239e-07,2.305195678786731e-08
1845,1.0658235538585359e-07,1.4508592549589139e-08
1846,1.5807152919933287e-07,1.4636253098387897e-08
1847,1.3159466050183255e-07,1.5640349459999925e-08
1848,1.5125016261663404e-07,2.413566591030758e-08
1849,1.248532868203256e-07,3.4355601030711114e-08
1850,1.2763312895458512e-07,1.5614691761811628e-08
1851,1.8445395255639596e-07,1.870337307252612e-08
1852,1.40627776090696e-07,9.114764054629632e-09
1853,1.0868915722994643e-07,2.5679307569248522e-08
1854,1.2053941134126944e-07,9.871762074453727e-09
1855,1.1197637661553017e-07,3.237231638308913e-08
1856,1.2684112959959748e-07,1.346069211649592e-08
1857,1.4790973068556923e-07,1.757343248698362e-08
1858,1.3604419280000002e-07,2.4468379322684086e-08
1859,1.5887580673279444e-07,9.165912473463322e-09
1860,1.945303154116118e-07,1.785101666484934e-08
1861,1.5138243725232314e-07,1.1789909493131745e-08
1862,1.7258707885048352e-07,1.626475132354699e-08
1863,1.598278629444394e-07,4.2454278315062766e-08
1864,1.4575972784314217e-07,2.7329949858767577e-08
1865,1.3555711575463647e-07,2.729969672543575e-08
1866,1.5521305840593413e-07,3.8924902412418305e-08
1867,1.1792332088589319e-07,2.4749338578544666e-08
1868,1.4128039538263693e-07,1.3831646938911035e-08
1869,1.4455216046371788e-07,1.5138908793232986e-08
1870,1.370437701098126e-07,2.0069171213776826e-08
1871,9.559059321873065e-08,2.7615060460561835e-08
1872,1.342509392543434e-07,2.963196266136947e-08
1873,1.0355788049309922e-07,1.6760813181804224e-08
