year,faut_VERB abattre_VERB,faut_VERB rabattre_VERB
1800,1.5720821977538435e-08,3.772997558826319e-08
1801,6.191074675143682e-08,5.9529565277216534e-08
1802,1.1860552717735118e-07,2.4616241489638924e-08
1803,3.1205427575287104e-08,8.776526527753958e-08
1804,7.168367943677367e-08,5.19088700912107e-08
1805,8.812921237222326e-08,1.421438877713399e-08
1806,1.3832011802605848e-07,5.4751712497136396e-08
1807,1.195721210933698e-07,1.9928686256776018e-08
1808,3.852325747288887e-08,4.5321478125970316e-08
1809,5.421673421324158e-08,4.292158095609011e-08
1810,4.914266327205041e-08,9.360507036149102e-09
1811,1.7549536934780008e-08,7.771937760026049e-08
1812,3.467370746079723e-08,5.3344164641089264e-09
1813,6.039057609541487e-08,3.163315653864629e-08
1814,1.8880061958270744e-08,2.2026739543434815e-08
1815,1.1058616422587875e-07,3.236668177919455e-08
1816,9.733936678912869e-08,9.502176112619054e-08
1817,6.07180652423267e-08,6.227493631882908e-09
1818,6.556647491606782e-08,8.344824387052086e-09
1819,2.070209959015301e-08,5.175524897538253e-09
1820,5.577246042776096e-08,1.542642635854463e-08
1821,5.9168929311681495e-08,1.4792232327920374e-08
1822,5.514088741165324e-08,3.107940926838637e-08
1823,3.9530746676064155e-08,2.8659792761231984e-08
1824,9.094802067011187e-08,1.8526447931321854e-08
1825,7.57268097117958e-08,1.1447076175841175e-08
1826,5.108631029315802e-08,7.927186018719112e-09
1827,7.005127855563842e-08,5.1616730445402936e-08
1828,6.145441489024961e-08,1.559291185060374e-08
1829,3.429270378774163e-08,2.6576845613135447e-08
1830,6.992679857376061e-08,3.5485243188304594e-08
1831,5.456922025359745e-08,1.870944643656003e-08
1832,2.705993829010822e-08,2.976593194148336e-08
1833,7.41352224054026e-08,4.6334514003376626e-09
1834,3.827157613045529e-08,2.240287422239362e-08
1835,6.201732105637348e-08,2.571449897459388e-08
1836,4.301280043250699e-08,1.2097349788575684e-08
1837,5.0792603900617905e-08,7.653680356156656e-09
1838,6.185918977053007e-08,1.009945904684173e-08
1839,5.453350482298447e-08,1.8876983531868063e-08
1840,7.070354257621148e-08,1.52872523528913e-08
1841,4.8154113585496816e-08,2.5040138851295524e-08
1842,6.909512961783548e-08,1.475818312002275e-08
1843,5.5524964182041003e-08,1.7130041385371442e-08
1844,3.1284798751585186e-08,2.360081374774836e-08
1845,4.9664027557128065e-08,3.2923345827384765e-08
1846,4.5665110803838616e-08,1.3465353276842507e-08
1847,6.579733025091627e-08,7.011190739092399e-09
1848,6.436177102386864e-08,2.252662056889676e-08
1849,6.703531596485846e-08,1.9272654583346593e-08
1850,3.394497838371535e-08,2.5119284430275002e-08
1851,6.900899762740664e-08,1.1608989325395669e-08
1852,4.6224872818356744e-08,1.8229528109259263e-08
1853,1.970737528722566e-08,3.0456853039595444e-08
1854,2.3900057044556888e-08,1.2469595134234623e-08
1855,5.519214596461097e-08,1.963566731433275e-08
1856,5.4360487666826884e-08,2.0708757375587084e-08
1857,6.248331629876702e-08,1.0251168802710708e-08
1858,4.6489923022363655e-08,2.3489644007668176e-08
1859,6.670747154657874e-08,2.6988518087023294e-08
1860,5.1722178540103414e-08,8.696649622663699e-09
1861,5.989274143303192e-08,4.715963619617014e-09
1862,4.834245359575107e-08,3.3884898442693157e-08
1863,6.343168479361339e-08,1.6482248454963155e-08
1864,6.808513575151665e-08,1.2466292886870178e-08
1865,4.23615986733239e-08,2.023943146411966e-08
1866,4.719644408623935e-08,1.6056523222118813e-08
1867,5.28956434209249e-08,1.94112459439566e-08
1868,6.224241388963492e-08,5.236266531483125e-08
1869,3.90681549333749e-08,2.197583626184496e-08
1870,2.5803219116937726e-08,1.6055336615750093e-08
1871,6.585129597169725e-08,8.496941816815706e-09
1872,4.656451224605007e-08,2.8422494580127022e-08
1873,5.986004225633224e-08,2.334541804316359e-08
1874,4.719941060216115e-08,1.4936523129449597e-08
1875,5.664312041631092e-08,2.345826111138649e-08
1876,4.957732002708326e-08,2.6602464231473277e-08
1877,5.690030846494665e-08,1.7317484335421796e-08
1878,4.3481438893877566e-08,3.140326043649111e-08
1879,4.3376211067425174e-08,1.8327975581655664e-08
1880,2.6954953824542827e-08,2.5671385017744797e-08
1881,5.9266312746331096e-08,3.346803723047742e-08
1882,4.3925542314582344e-08,3.5939081044489285e-08
1883,3.854796659652493e-08,2.5909288936531993e-08
1884,6.073561564789998e-08,4.15906917794473e-08
1885,5.0920522909336796e-08,2.4493415295978593e-08
1886,5.420909587883216e-08,2.3232470169887165e-08
1887,3.9173546184656516e-08,2.0892558794116667e-08
1888,4.057993407968752e-08,2.599652049184442e-08
1889,5.951880055476977e-08,3.4458253139746375e-08
1890,5.440140782297931e-08,3.0150179242127706e-08
1891,5.2268603667471325e-08,2.1672347472190268e-08
1892,6.205826963423533e-08,1.56712811616444e-08
1893,8.190693989718056e-08,2.2170299374124625e-08
1894,3.4028310835765296e-08,1.449354058991048e-08
1895,5.8982422501685505e-08,1.6852119699706236e-08
1896,6.486732218036195e-08,1.592197840238896e-08
1897,6.467652013952829e-08,1.806281169081103e-08
1898,6.733442603490403e-08,1.9238406423482957e-08
1899,3.15071986278781e-08,1.6029977345510815e-08
1900,4.5162163786471865e-08,1.038210584169974e-08
1901,4.973977496547377e-08,1.7325090695408107e-08
1902,4.271947062761683e-08,1.4730851205513318e-08
1903,6.102249017203576e-08,1.1340462791054051e-08
1904,4.3534463145533664e-08,3.7622376325430196e-09
1905,6.399341145879589e-08,1.651442893546573e-08
1906,5.555719440053508e-08,1.2346042410626978e-08
1907,4.0628464148539933e-08,1.2342823652033985e-08
1908,6.532147267535038e-08,1.817213934884876e-08
1909,7.811396329771014e-08,1.6502950117569526e-08
1910,5.2907090264397993e-08,2.4583092894658876e-08
1911,6.544060227042792e-08,1.0640748726586935e-08
1912,7.032718940536142e-08,2.4484279492753558e-08
1913,4.18936174639839e-08,1.6439267724877027e-08
1914,7.701255100300841e-08,1.6072185360371805e-08
1915,1.260541466763243e-07,5.890381071793627e-09
1916,8.130722051191697e-08,5.493730803607377e-09
1917,1.1185753123754694e-07,3.289927441585405e-09
1918,1.1601240146319469e-07,4.594550517822427e-09
1919,1.0589025833951382e-07,1.3811772170413406e-08
1920,7.117898093156327e-08,1.665890891899835e-08
1921,6.739745117556595e-08,3.0290989716519334e-09
1922,5.976127681606158e-08,1.0329110011753073e-08
1923,6.157249998750558e-08,1.0615948120573648e-08
1924,6.316896161706609e-08,1.1602462102189293e-08
1925,5.49908882874206e-08,5.499089184013428e-09
1926,6.13037585139864e-08,1.4489979882625903e-08
1927,5.9090890403012963e-08,2.2298449753321847e-09
1928,3.6563331917705e-08,1.1426041224282812e-09
1929,5.23599084090165e-08,8.912325100141061e-09
1930,5.461873797685257e-08,7.352522590764465e-09
1931,6.615106684648708e-08,3.4216069977333063e-09
1932,5.370172928564898e-08,1.2055489939655217e-08
1933,5.1617981000617874e-08,8.02946331646126e-09
1934,8.866369682891673e-08,2.516131836216573e-08
1935,5.864459140525469e-08,1.6755597798123745e-08
1936,9.457277627689109e-08,1.091224355320719e-08
1937,7.554670844456268e-08,1.0072894518486919e-08
1938,8.297737252860315e-08,5.186085783037697e-09
1939,5.6587985852729616e-08,9.176430282309411e-09
1940,5.832300686847702e-08,2.5357829169792012e-09
1941,7.37875680556499e-08,1.4757512545315876e-08
1942,5.158160121254696e-08,6.068423541449874e-09
1943,7.548411673496958e-08,1.1612940831184915e-08
1944,8.996921252446555e-08,1.927911696952833e-08
1945,1.3942425880486553e-07,6.535512131478072e-09
1946,1.0301616981678308e-07,8.352662561605939e-09
1947,6.318061451793255e-08,1.7881307101674793e-08
1948,7.066726936955092e-08,8.697510267552389e-09
1949,7.559096104614582e-08,3.9268033269479474e-09
1950,7.87016745107394e-08,3.190608444114673e-09
1951,7.782823274737893e-08,4.264560704569931e-09
1952,6.115985939914026e-08,2.1089607837865287e-09
1953,6.033343424860504e-08,4.3095309543161875e-09
1954,6.352148318455875e-08,6.840775057526116e-09
1955,4.598947711542678e-08,8.447047505910632e-09
1956,7.238547539145657e-08,6.104799332717903e-09
1957,8.039884136223918e-08,1.0602045463770082e-08
1958,8.685855590329083e-08,9.099467845885556e-09
