year,veulent_VERB avoir_VERB,veulent_VERB ravoir_VERB
1800,4.181738688657788e-07,0.0
1801,4.309940493385511e-07,2.3811825844433088e-09
1802,4.296653060009703e-07,2.2378401354217203e-09
1803,6.728670314259944e-07,5.851017448321727e-09
1804,4.3998946352985513e-07,0.0
1805,5.401467433330254e-07,0.0
1806,2.881669161070022e-07,5.76333825108577e-09
1807,4.128085038246354e-07,2.8469551160981155e-09
1808,4.282879899619729e-07,4.5321479902327155e-09
1809,4.02107446006994e-07,0.0
1810,4.001616673576791e-07,0.0
1811,4.061464267124393e-07,0.0
1812,4.3475495203892933e-07,0.0
1813,3.9110085481297574e-07,0.0
1814,4.5941484927425336e-07,0.0
1815,3.37152954443809e-07,2.697223555614414e-09
1816,4.519327490015712e-07,2.3176038865813098e-09
1817,4.5305014850782754e-07,9.341240669868967e-09
1818,3.945909838876105e-07,1.1921177378582115e-09
1819,6.572916504410387e-07,3.1053151161586356e-09
1820,4.900856538370135e-07,3.5599443393152796e-09
1821,5.216727458901005e-07,5.9168927535324656e-09
1822,6.215881853677274e-07,2.0051231786055723e-09
1823,4.862282025897002e-07,2.9648061783404955e-09
1824,3.3852873571049713e-07,1.9368560089105813e-08
1825,5.107157221573289e-07,8.805443485471187e-09
1826,4.4832640355707554e-07,1.4092774947016551e-08
1827,3.613170918015385e-07,1.8434546111834038e-09
1828,6.264681928769278e-07,0.0
1829,4.3894661416743475e-07,2.571952872898464e-09
1830,4.654828842376446e-07,1.0436835395921662e-08
1831,3.4300654760954785e-07,7.795603274018958e-09
1832,2.9765931230940623e-07,2.705993873419743e-09
1833,3.475088590221276e-07,1.50587169400751e-08
1834,4.079190034644853e-07,1.8669061851994684e-09
1835,4.636172832306329e-07,1.0588323107185715e-08
1836,4.65747973521502e-07,2.016224964762614e-09
1837,4.814860403712373e-07,1.3915781860163179e-09
1838,4.626814700259274e-07,7.574594285131298e-09
1839,3.642558681349328e-07,0.0
1840,3.5351771998648474e-07,2.5478754661634184e-09
1841,3.524881151406589e-07,6.420548537278137e-10
1842,3.8773771393607603e-07,2.0124795163667386e-09
1843,4.2057206428580685e-07,5.906911071384968e-10
1844,4.017626906716032e-07,1.097712254427563e-09
1845,3.950801499286172e-07,0.0
1846,5.046580326961703e-07,4.6836010625384006e-09
1847,4.0233447862192406e-07,0.0
1848,4.336374388458353e-07,2.413566457803995e-09
1849,3.795875045398134e-07,0.0
1850,4.039452505821828e-07,8.146795238417326e-09
1851,3.934157746243727e-07,6.449438760824933e-09
1852,4.07560150961217e-07,4.557382027314816e-09
1853,4.0967452719087305e-07,5.971931837933653e-10
1854,4.2708362002485956e-07,1.0391328908454511e-09
1855,3.7573113331745844e-07,2.1227748447927297e-09
1856,4.1779915704864834e-07,1.5531567143511893e-09
1857,3.3535968668729765e-07,4.881509085841174e-10
1858,3.5283403576613637e-07,4.893676019968041e-10
1859,3.406663893201767e-07,7.129042689513199e-09
1860,3.5702035461326886e-07,9.154367819341758e-10
1861,4.02743296490371e-07,9.431927461278633e-10
1862,3.347827828292793e-07,9.035972525772706e-10
1863,4.1105730019808107e-07,1.9978483312144135e-09
1864,3.0830099717604753e-07,4.794727948009836e-10
1865,4.1467299638497934e-07,3.294791106611683e-09
1866,3.970340003434103e-07,7.298419202328432e-09
