year,eût_VERB acheté_VERB,eût_VERB racheté_VERB
1800,3.144164395507687e-08,3.144164484325529e-09
1801,2.8574191901498125e-08,0.0
1802,2.4616241489638924e-08,6.713520406265161e-09
1803,8.386458461018265e-08,1.950339223455444e-09
1804,1.1864884186252311e-07,1.4831105232815389e-08
1805,3.695740957709859e-08,0.0
1806,5.4751712497136396e-08,0.0
1807,5.693910054560547e-08,5.693910232196231e-09
1808,1.4276265858370607e-07,2.2660739951163578e-09
1809,4.969867006821005e-08,3.388545621874073e-08
1810,7.722418615685456e-08,0.0
1811,5.0141537144554604e-08,3.008491944456182e-08
1812,6.401299401659344e-08,0.0
1813,6.901780125190271e-08,5.751483289628823e-09
1814,1.604805390797992e-07,6.293354282149721e-09
1815,7.552225866902518e-08,4.045835311217161e-08
1816,6.257530316133852e-08,4.6352077731626196e-09
1817,6.07180652423267e-08,0.0
1818,4.887682791832049e-08,9.536941902865692e-09
1819,9.212434548544479e-08,1.8631890696951814e-08
1820,4.50926265216367e-08,1.898636980968149e-08
1821,1.065040748926549e-07,1.577838126820552e-08
1822,9.123310462655354e-08,1.0025615893027862e-09
1823,9.289725966254991e-08,8.894418535021487e-09
1824,4.463189640091514e-08,2.5263338088166165e-09
1825,5.0191026446100295e-08,3.0819052199149155e-08
1826,5.460950447400137e-08,9.688783109140786e-09
1827,8.479891278057039e-08,1.8434546111834038e-09
1828,6.970948618345574e-08,7.337841001486822e-09
1829,8.487444347338169e-08,7.715858174606183e-09
1830,8.036363396968227e-08,3.1310507520032616e-09
1831,3.741889287312006e-08,2.0268567268999504e-08
1832,5.141388470519814e-08,5.411987746839486e-09
1833,9.266902623039641e-08,5.791814139399776e-09
1834,6.534171603789218e-08,3.733812370398937e-09
1835,5.7479468296151026e-08,1.5126175867408165e-08
1836,6.787957573806125e-08,7.392825018825988e-09
1837,8.279890550966229e-08,1.3915782304252389e-08
1838,5.870310459954453e-08,1.0730675015224733e-08
1839,7.620707975775076e-08,3.4957374772659477e-09
1840,5.414235459966221e-08,6.3696887764308485e-09
1841,6.805781538332667e-08,1.1556987367100646e-08
1842,8.385331540239349e-08,0.0
1843,8.624090241937665e-08,1.4767278067040479e-08
1844,1.0538037997775973e-07,6.586273748609983e-09
1845,6.02664584903323e-08,7.254296274794569e-09
1846,2.985795788390533e-08,1.0538101946622191e-08
1847,7.226919507274943e-08,1.294373674909366e-08
1848,5.953464210506354e-08,1.126331028444838e-08
1849,5.1952373070207614e-08,2.513824481908955e-09
1850,5.634866795389826e-08,1.3577992064028876e-09
1851,5.868989205737307e-08,1.2898877521649865e-09
1852,7.096494414327026e-08,1.6276363368206148e-08
1853,7.584353767242646e-08,2.030456869306363e-08
1854,3.636965217879151e-08,1.1430461910322265e-08
1855,4.776243400783642e-08,1.539011762474729e-08
1856,4.555926480520611e-08,5.694908100650764e-09
1857,5.418474913199134e-08,4.881508974818871e-09
1858,4.3553715300959084e-08,9.787352261980686e-09
1859,6.568903643255908e-08,2.189634606963864e-08
1860,4.073693560258107e-08,1.0069804545764782e-08
1861,8.017138242166766e-08,5.659156698811785e-09
1862,4.292087041335435e-08,1.581295272501393e-08
1863,4.6449972757045543e-08,3.496234635136375e-09
1864,5.5618844641003307e-08,4.794728170054441e-09
1865,3.153585836912498e-08,1.9298061815220535e-08
1866,4.4277076227672296e-08,2.919367858567057e-09
1867,3.736664666575962e-08,1.261730986357179e-08
1868,5.631456545529545e-08,6.915823469455518e-09
1869,4.395167252368992e-08,1.2208797528501236e-08
1870,4.185855573268782e-08,9.747882501187632e-09
1871,4.991953161948004e-08,1.0621177271019633e-09
1872,3.749350341308855e-08,4.23313739617015e-09
1873,4.788803664723673e-08,1.4366410283628284e-08
1874,4.421210775262807e-08,1.9716210886144836e-08
1875,2.8607635371713513e-08,1.4875970677508121e-08
1876,4.7158916771650183e-08,8.464420275799966e-09
1877,4.4530676035492434e-08,5.566334504436554e-09
1878,3.5026715750063886e-08,1.0266450800600069e-08
1879,4.7041805117942204e-08,4.887460214320072e-09
1880,4.3641353641987735e-08,1.7328185109022343e-08
1881,2.649552932609822e-08,8.367009307619355e-09
1882,4.5256619785050134e-08,5.989846840748214e-09
1883,2.1485751844352308e-08,4.423537092179686e-09
1884,4.357119820497246e-08,7.922036360241691e-09
1885,4.18966337178972e-08,1.8047780159236027e-08
1886,3.9366128135043255e-08,6.4534639854230136e-09
1887,4.7661149693567495e-08,1.1099172247952538e-08
1888,2.53624587998047e-08,1.268122939990235e-09
1889,4.2602930960811136e-08,1.2530273485467092e-09
1890,2.94947390955258e-08,1.3108772956016423e-09
1891,3.1871099537283953e-08,1.8485238229004608e-08
1892,3.5103667528346705e-08,6.268512375839919e-10
1893,3.818218274886931e-08,8.005941687372342e-09
1894,2.5836310868498913e-08,2.520615716150587e-09
1895,2.5278181325916194e-08,3.0093072478365457e-09
1896,1.7101383420481397e-08,1.7691086373616827e-09
1897,2.9716238358901137e-08,2.330685422435863e-09
1898,3.055511754723739e-08,9.05336783318944e-09
1899,3.2612710754165164e-08,5.527578395003729e-10
1900,1.453494924419374e-08,5.191053142894475e-10
1901,2.0678333711998675e-08,5.58873880507349e-09
1902,2.553347577816112e-08,2.455141867585553e-09
1903,2.7001101798873606e-08,1.6200660812870638e-09
1904,3.3860139581065596e-08,3.7622376325430196e-09
1905,3.302885787093146e-08,4.64468330463319e-09
1906,5.14418445618503e-08,7.201858220895474e-09
1907,2.828563872014911e-08,2.057137349353866e-09
1908,2.2101250607420297e-08,5.40252820258047e-09
