year,doit_VERB ajouter_VERB,doit_VERB rajouter_VERB
1800,8.206269512811559e-07,1.2576657937302116e-08
1801,8.715128387848381e-07,0.0
1802,8.145738092935062e-07,0.0
1803,8.718016601960699e-07,0.0
1804,9.318878255726304e-07,0.0
1805,9.097208817365754e-07,0.0
1806,7.694056307627761e-07,0.0
1807,1.0391386240371503e-06,0.0
1808,8.88301030954608e-07,0.0
1809,1.0685214419936528e-06,0.0
1810,1.076458261195512e-06,0.0
1811,7.972504363351618e-07,0.0
1812,1.4136203390080482e-06,0.0
1813,1.1876812777700252e-06,0.0
1814,1.2303507901378907e-06,0.0
1815,1.0492199180589523e-06,0.0
1816,9.015479349727684e-07,0.0
1817,9.605909099263954e-07,0.0
1818,7.271918320839177e-07,0.0
1819,8.094521035673097e-07,0.0
1820,8.626931844446517e-07,0.0
1821,9.319106197835936e-07,1.97229765852569e-09
1822,8.210979558498366e-07,0.0
1823,7.174830898293294e-07,0.0
1824,7.595843385388434e-07,0.0
1825,8.752610369811009e-07,0.0
1826,8.279505436803447e-07,0.0
1827,8.857799684847123e-07,0.0
1828,8.585274144934374e-07,0.0
1829,8.487444347338169e-07,0.0
1830,6.76306967761775e-07,0.0
1831,7.343458037212258e-07,0.0
1832,8.46976092816476e-07,0.0
1833,1.3529678426493774e-06,0.0
1834,8.718452022549172e-07,0.0
1835,5.422734261628648e-07,0.0
1836,6.51912728244497e-07,0.0
1837,6.909185685799457e-07,0.0
1838,8.243683282671554e-07,0.0
1839,7.096347189872176e-07,0.0
1840,7.751910970910103e-07,0.0
1841,7.47351862173673e-07,0.0
1842,5.527610369426839e-07,0.0
1843,7.50768379020883e-07,0.0
1844,6.586273570974299e-07,0.0
1845,7.025507215985272e-07,0.0
1846,7.218600330816116e-07,0.0
1847,6.973438075874583e-07,0.0
1848,5.864966396984528e-07,0.0
1849,5.471757731356774e-07,0.0
1850,6.490280384241487e-07,0.0
1851,5.037011874264863e-07,0.0
1852,5.546984880311356e-07,0.0
1853,5.822633397656318e-07,0.0
1854,5.969818630546797e-07,0.0
1855,6.437314823415363e-07,0.0
1856,5.399808173933707e-07,0.0
1857,5.26714813986473e-07,0.0
1858,5.339000495041546e-07,0.0
1859,5.005606453778455e-07,0.0
1860,4.7556940785398183e-07,0.0
1861,5.074376758784638e-07,0.0
1862,7.111310651453095e-07,0.0
1863,5.389196076066582e-07,0.0
1864,5.370095550460974e-07,0.0
1865,4.768033363689028e-07,0.0
1866,4.510423252668261e-07,0.0
1867,4.993543143427814e-07,0.0
1868,5.0139720997322e-07,0.0
1869,4.7663147029197717e-07,0.0
1870,5.395739890445839e-07,0.0
1871,5.607981847788324e-07,0.0
1872,5.744972213506117e-07,0.0
1873,4.633167520751158e-07,0.0
1874,4.970874556420313e-07,0.0
1875,4.39985427647116e-07,1.1443054281912168e-09
1876,5.084698386781383e-07,0.0
1877,5.368420374907146e-07,0.0
1878,4.221323024466983e-07,0.0
1879,4.245981131134613e-07,6.10932526790009e-10
1880,4.543835245840455e-07,0.0
1881,4.91561763737991e-07,2.091752326904839e-09
1882,4.8318094059141e-07,0.0
1883,4.4551339328791073e-07,6.319338941018771e-10
1884,4.258094463693851e-07,0.0
1885,4.189663229681173e-07,6.445635580831777e-09
1886,4.814284011445125e-07,6.453463874400711e-10
1887,4.211156294786633e-07,6.528924623161458e-10
1888,4.5652424773834355e-07,3.804368819970705e-09
1889,4.385595673284115e-07,0.0
1890,3.9260774542526633e-07,1.3108772956016423e-09
1891,4.6659289409944904e-07,1.9122659011827636e-09
1892,4.2563198121570167e-07,0.0
1893,4.2308320757911133e-07,6.158416554491453e-10
1894,4.4614898797590286e-07,1.2603078580752936e-09
1895,4.27923481538528e-07,1.8055843487019274e-09
1896,3.726922273017408e-07,1.7691086373616827e-09
1897,3.967991801800963e-07,1.1653427112179315e-09
1898,3.9325567513515125e-07,3.3950129374460403e-09
1899,3.8969426441326505e-07,0.0
1900,4.370866690805997e-07,0.0
1901,4.253030283507542e-07,0.0
1902,3.94786809465586e-07,0.0
1903,4.1743703604879556e-07,5.400220270956879e-10
1904,4.5093105427440605e-07,0.0
1905,4.31439445947035e-07,0.0
1906,3.786119862070336e-07,0.0
1907,4.2891312546089466e-07,1.5428529565042481e-09
1908,4.6559969746340357e-07,1.4734167219643268e-09
1909,3.8341855201906583e-07,1.1001967115120692e-09
1910,4.205846551030845e-07,4.809735720812114e-09
1911,4.34142521044123e-07,0.0
1912,4.329029081873159e-07,1.0418842455450772e-09
1913,4.13633188145468e-07,0.0
1914,4.567179132664023e-07,6.696743715117748e-10
1915,2.992313454797113e-07,1.1780761921542648e-09
1916,3.93351143657128e-07,0.0
1917,4.3975362018500164e-07,0.0
1918,3.526317584601202e-07,1.1486376294556067e-09
1919,4.0146218793779553e-07,0.0
1920,4.5887725264037726e-07,3.786115865267448e-09
1921,3.6424916061150725e-07,0.0
1922,3.7775029682052264e-07,7.377935484775833e-10
1923,3.2590961041023547e-07,0.0
1924,4.073753245847911e-07,1.289162443462999e-09
1925,3.4204333587695146e-07,0.0
1926,3.722810220097017e-07,0.0
