year,avait_VERB empli_VERB,avait_VERB rempli_VERB
1800,6.288328968651058e-09,4.08741385626854e-07
1801,0.0,4.0003868662097375e-07
1802,0.0,3.110597788236191e-07
1803,0.0,4.212732847008738e-07
1804,0.0,5.116731358612014e-07
1805,8.528632911009026e-09,4.975036063115112e-07
1806,0.0,4.5242205715112505e-07
1807,0.0,6.092483886277478e-07
1808,0.0,5.733166972277104e-07
1809,0.0,7.499981506953191e-07
1810,0.0,5.405692604654178e-07
1811,2.5070767684098882e-09,9.150830351245531e-07
1812,0.0,8.828459385767928e-07
1813,0.0,8.397165629503434e-07
1814,3.1466771410748606e-09,9.502965099272842e-07
1815,5.394447111228828e-09,7.498281320295064e-07
1816,0.0,6.442938911277452e-07
1817,1.556873407970727e-09,8.002329536793695e-07
1818,9.536941902865692e-09,8.785907539277105e-07
1819,5.175524897538253e-09,1.0382103710071533e-06
1820,0.0,9.350787308903818e-07
1821,0.0,8.776724484960141e-07
1822,8.02049271442229e-09,1.0376512591392384e-06
1823,0.0,9.378670142723422e-07
1824,0.0,1.1166395097461645e-06
1825,4.4027217427355936e-09,1.0751446097856387e-06
1826,2.642395191543301e-09,1.053434971254319e-06
1827,0.0,1.113446614908753e-06
1828,1.8344602503717056e-09,1.1502065717650112e-06
1829,2.571952872898464e-09,1.123086008192331e-06
1830,0.0,1.0238535423923167e-06
1831,0.0,1.0009554216594552e-06
1832,0.0,1.1094574574599392e-06
1833,1.1583628500844156e-09,1.0100924328071414e-06
1834,2.8003592777992026e-09,8.811797442831448e-07
1835,3.025235173481633e-09,9.446296758142125e-07
1836,7.392825018825988e-09,1.0161774071093532e-06
1837,1.3915782304252389e-08,1.1056088169425493e-06
1838,2.398621568033832e-08,9.790163630896132e-07
1839,7.690622361167243e-09,1.0955641300824936e-06
1840,7.0066574764382494e-09,1.0720185628088075e-06
1841,1.0914932957462042e-08,1.1922958265131456e-06
1842,1.341653010911159e-09,1.3369572116062045e-06
1843,1.1813822142769936e-09,1.1294014257146046e-06
1844,6.037417232818143e-09,1.2590759297381737e-06
1845,3.9061593959388574e-09,1.2248600569364498e-06
1846,3.5127007969038004e-09,1.0473702332092216e-06
1847,7.550513103637968e-09,1.3143286423655809e-06
1848,8.84974404868899e-09,9.67035703069996e-07
1849,1.6758829879393033e-09,9.76201818048139e-07
1850,8.146795238417326e-09,9.816887995839352e-07
1851,8.384270167027807e-09,1.0577080047369236e-06
1852,7.812654523320361e-09,1.0579636864349595e-06
1853,2.388772735173461e-09,1.0910719083767617e-06
1854,2.5978321716024766e-09,1.0635525313773542e-06
1855,1.5920811335945473e-08,1.1367459364919341e-06
1856,1.6049286344355096e-08,1.0261188663207577e-06
1857,3.4170564155999728e-09,1.034391743814922e-06
1858,2.4468380654951716e-09,1.1676311260089278e-06
1859,6.110608019582742e-09,1.1966607189606293e-06
1860,5.034902272882391e-09,1.2944276477355743e-06
1861,8.017138064531082e-09,1.0526031246627099e-06
1862,4.066187830886747e-09,1.1823569820990087e-06
1863,2.6471489888990618e-08,1.1113031632703496e-06
1864,8.151037178549814e-09,1.0116875728272134e-06
1865,3.765475486972036e-09,1.0303282351742382e-06
1866,9.731225603104576e-09,1.015453449326742e-06
1867,1.455843445796745e-09,9.72988686953613e-07
1868,4.93987406535723e-10,8.965871529653668e-07
1869,1.660396442559886e-08,9.664483968663262e-07
1870,2.8670243956696595e-09,1.1227267577851308e-06
1871,1.0621176826930423e-08,9.37849961246684e-07
1872,1.2094679036067646e-08,9.052866971615003e-07
1873,2.3944018323618366e-08,7.231093377413345e-07
1874,1.1949218503559678e-08,8.322630264956388e-07
1875,8.010138330405425e-09,9.125835731538245e-07
1876,1.269663130187837e-08,9.008562074086512e-07
1877,1.9172929910382663e-08,1.0235870604446973e-06
1878,8.4547240319921e-09,8.104457265289966e-07
1879,9.163987790827832e-09,8.956270676208078e-07
1880,1.4761046607247863e-08,9.042745432452648e-07
1881,1.4642266066289267e-08,9.008479651129164e-07
1882,2.9283693692150337e-08,8.086292950792995e-07
1883,1.3902545781263598e-08,8.758603939895693e-07
1884,5.281357573494461e-09,8.212510920202476e-07
1885,1.0313017106966527e-08,7.476937184947019e-07
1886,1.2906927970846027e-08,7.627994023096107e-07
1887,2.0239665943222462e-08,8.050163842199254e-07
1888,1.5851536971922542e-08,8.318886557390215e-07
1889,2.255449160770695e-08,7.931662935334316e-07
1890,1.3764211992395303e-08,7.714513117207389e-07
1891,1.7210394887001712e-08,6.928777338544023e-07
1892,2.4447198043731078e-08,7.829372066225915e-07
1893,4.187723234849727e-08,7.759604727652913e-07
1894,2.3945849747519787e-08,7.845416689633566e-07
1895,2.347259631108045e-08,7.998738738024258e-07
1896,2.6536630670648265e-08,7.872533842601115e-07
1897,2.0393496669157685e-08,7.155204002629034e-07
1898,2.8291774256672397e-08,7.033335123196593e-07
1899,1.6582735185011188e-08,6.832086683061789e-07
1900,1.764958135197503e-08,5.928182531533821e-07
1901,3.7444550571308355e-08,7.052988735267718e-07
1902,1.816805017540446e-08,5.838327297169599e-07
1903,1.83607493653426e-08,5.978043873255956e-07
1904,2.6873125946735854e-08,5.788471071355161e-07
1905,2.4771644291377015e-08,6.296126002780511e-07
1906,4.4754404626701216e-08,5.895235517527908e-07
