year,voulant_VERB emporter_VERB,voulant_VERB remporter_VERB
1800,0.0,0.0
1801,1.4287095950749062e-08,0.0
1802,1.1189200677108602e-08,0.0
1803,7.801356893821776e-09,1.950339223455444e-09
1804,1.9774808235339947e-08,0.0
1805,0.0,0.0
1806,2.0171682990621775e-08,0.0
1807,5.693910232196231e-09,0.0
1808,1.3596443970698147e-08,0.0
1809,2.710836621844237e-08,2.259030518203531e-09
1810,5.148278958699848e-08,0.0
1811,3.259199843341776e-08,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,1.8880564667256294e-08,0.0
1816,6.952811659743929e-09,0.0
1817,0.0,0.0
1818,1.3113294672351117e-08,2.1458118837358597e-08
1819,2.3807415150400857e-08,0.0
1820,1.779972080839798e-08,8.306536791735653e-09
1821,5.226588661866316e-08,1.97229765852569e-09
1822,3.0076847679083585e-09,0.0
1823,6.423746157224741e-08,0.0
1824,1.9368559200927393e-08,0.0
1825,8.805443041381977e-10,0.0
1826,1.6735169694470642e-08,1.0569580766173203e-08
1827,1.2904182611350734e-08,0.0
1828,1.2841221419535032e-08,2.7516904310687096e-09
1829,2.4862210068476998e-08,0.0
1830,8.349468672008697e-09,0.0
1831,2.6505050598757407e-08,1.5591206103948707e-09
1832,2.705993873419743e-09,0.0
1833,1.042526565075974e-08,0.0
1834,7.467624962842478e-09,0.0
1835,1.0588323107185715e-08,7.563087933704082e-10
1836,2.083432448785061e-08,0.0
1837,2.2961039292113128e-08,6.957890930081589e-10
1838,2.9667161172142187e-08,0.0
1839,2.7965900706306e-09,6.292327547896548e-09
1840,8.280595042986505e-09,6.3696887764308485e-09
1841,7.704658244733764e-09,6.420548537278137e-10
1842,2.95163662400455e-08,2.683306021822318e-09
1843,2.3627644285539873e-09,0.0
1844,7.1351298203126134e-09,0.0
1845,1.2276501426544684e-08,0.0
1846,3.5127007969038004e-09,0.0
1847,3.235934187273415e-09,0.0
1848,7.24069959545659e-09,0.0
1849,2.513824481908955e-09,0.0
1850,1.0862393651223101e-08,0.0
1851,8.384270167027807e-09,0.0
1852,1.3021090872200602e-08,6.510545436100301e-10
1853,7.166318205520383e-09,2.388772735173461e-09
1854,1.610655964157104e-08,1.0391328908454511e-09
1855,1.0083180512765466e-08,0.0
1856,8.28350277259915e-09,1.5531567143511893e-09
1857,1.562082929673636e-08,0.0
1858,1.663849857891364e-08,0.0
1859,5.09217357169689e-09,1.018434669930457e-09
1860,1.0069804545764782e-08,1.4189270203246451e-08
1861,1.7449064970698203e-08,3.3011746669586728e-09
1862,1.2650361869148696e-08,4.066187830886747e-09
1863,5.993545049154392e-09,1.4983863039219614e-09
1864,3.835782358407869e-09,0.0
1865,1.0825741858511151e-08,0.0
1866,1.702964524952222e-08,1.4596839292835284e-09
1867,1.5043715606566366e-08,9.7056229719783e-10
1868,8.89177353968762e-09,2.4699371437009177e-09
1869,4.883519366671862e-09,2.441759683335931e-09
1870,3.4404292748035914e-09,0.0
1871,1.0621177271019633e-09,2.1242354542039266e-09
1872,4.23313739617015e-09,0.0
1873,4.190203295451056e-09,1.1972008939764578e-09
1874,7.766991494406739e-09,4.182226565063729e-09
1875,2.8607636259891933e-09,0.0
1876,2.418405919968336e-09,0.0
1877,8.658742167710898e-09,3.0924081073635534e-09
1878,6.0390887290928674e-09,0.0
1879,6.109325378922392e-09,6.109325489944695e-09
1880,1.3477476912271413e-08,0.0
1881,8.367009307619355e-09,0.0
1882,1.0648615988984034e-08,0.0
1883,3.791603475633565e-09,0.0
1884,8.582206056928499e-09,6.601696966868076e-10
1885,7.734762663691441e-09,0.0
1886,3.872078213618124e-09,0.0
1887,7.1818169189441505e-09,6.528924623161458e-10
1888,1.0779044767872392e-08,0.0
1889,5.012109394186837e-09,0.0
1890,1.1797895993481688e-08,1.3108772956016423e-09
1891,5.736798147637501e-09,0.0
1892,1.191017329205124e-08,0.0
1893,4.310891643655168e-09,0.0
1894,1.07126170156846e-08,0.0
1895,1.2037229213390788e-08,0.0
1896,7.076434882513638e-09,0.0
1897,4.078699378240458e-09,0.0
1898,8.487532454637403e-09,3.960848538042683e-09
1899,4.4220627160029835e-09,0.0
1900,4.1528426253378825e-09,3.633737311048435e-09
1901,5.58873880507349e-09,0.0
1902,3.4371988033576883e-09,0.0
1903,8.100330184390714e-09,5.400220270956879e-10
1904,1.0749250378694342e-09,5.374625189347171e-10
1905,1.5482277682110634e-09,3.096455536422127e-09
1906,4.115347618238729e-09,0.0
1907,9.257117739025489e-09,0.0
1908,6.875944702500192e-09,9.822778146428846e-10
1909,6.0510818578052294e-09,2.7504918342913243e-09
1910,2.67207544979442e-09,5.344150677544235e-10
1911,1.5429085564733214e-08,0.0
1912,3.646594803896619e-09,0.0
1913,1.0075680290100308e-08,0.0
1914,1.3393487430235496e-09,0.0
1915,0.0,0.0
1916,0.0,0.0
1917,0.0,0.0
1918,2.2972752589112133e-09,0.0
1919,4.603924352863942e-09,0.0
1920,1.514446346106979e-09,7.572231730534895e-10
1921,3.786373770076068e-09,0.0
1922,4.426761179843197e-09,0.0
