year,peut_VERB attraper_VERB,peut_VERB rattraper_VERB
1800,1.2891074163690064e-07,3.144164484325529e-09
1801,5.714838380299625e-08,2.1430643926123594e-08
1802,7.384872446891677e-08,0.0
1803,1.2092102963379148e-07,0.0
1804,8.898663139689234e-08,0.0
1805,3.695740957709859e-08,0.0
1806,3.458002950651462e-08,0.0
1807,4.555128185756985e-08,0.0
1808,7.931259204951857e-08,0.0
1809,8.810219043198231e-08,0.0
1810,6.084329839950442e-08,0.0
1811,8.022645658911642e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,4.3136125782439194e-08,0.0
1814,4.72001566720337e-08,3.1466771410748606e-09
1815,1.6183340889597275e-08,0.0
1816,4.4034472068688046e-08,0.0
1817,8.874178547557676e-08,4.670620334934483e-09
1818,4.053200441944682e-08,0.0
1819,5.175525075173937e-08,0.0
1820,6.882559233645225e-08,0.0
1821,4.339054981983281e-08,1.97229765852569e-09
1822,4.511527151862538e-08,0.0
1823,2.668325471688604e-08,0.0
1824,6.231623217445303e-08,7.57900142644985e-09
1825,4.402721387464226e-08,0.0
1826,7.310627125889368e-08,0.0
1827,2.949527377893446e-08,4.608636583469661e-09
1828,3.944089499441361e-08,0.0
1829,2.8291481157793896e-08,1.714635211591542e-09
1830,2.7135772739939057e-08,0.0
1831,4.989185953263586e-08,4.677361609140007e-09
1832,2.705993829010822e-08,1.3529969367098715e-09
1833,3.359252431778259e-08,0.0
1834,2.14694217959277e-08,2.8003592777992026e-09
1835,6.958040899007756e-08,0.0
1836,5.511014933290426e-08,0.0
1837,2.365682938432201e-08,1.3915781860163179e-09
1838,3.092959488526503e-08,6.312161904276081e-10
1839,2.3771015378315496e-08,6.9914751765765e-10
1840,2.6752692505738196e-08,1.9109065441114126e-09
1841,3.146068650039524e-08,0.0
1842,2.884553929050071e-08,1.341653010911159e-09
1843,2.7762482091020502e-08,2.3627644285539873e-09
1844,1.4819115712327857e-08,5.488561272137815e-10
1845,1.7298706467272496e-08,5.580227946389016e-10
1846,1.7563504428608212e-08,5.854501328173001e-10
1847,1.6718992412734224e-08,0.0
1848,1.609044275596716e-08,1.689496542667257e-08
1849,6.703531951757213e-09,3.3517659758786067e-09
1850,3.6660580349234806e-08,0.0
1851,4.127640806927957e-08,1.2898877521649865e-09
1852,2.3437962681782665e-08,1.3021090872200602e-09
1853,3.523439673358553e-08,3.5831591027601917e-09
1854,1.7145692865483397e-08,0.0
1855,5.1477289986223695e-08,0.0
1856,1.7084724746041502e-08,0.0
1857,3.026535466688074e-08,1.4644527812635033e-09
1858,2.7404585267731818e-08,9.787352039936081e-10
1859,3.208069188076479e-08,5.092173349652285e-10
1860,2.288591893773173e-08,4.577183909670879e-10
1861,2.6880993431177558e-08,9.431927461278633e-10
1862,1.8071945717679228e-08,8.584174260306554e-09
1863,1.1487627737949424e-08,0.0
1864,1.965838514195184e-08,1.9178911792039344e-09
1865,3.95374932793402e-08,4.706844358715045e-10
1866,2.919367680931373e-08,0.0
1867,3.2513838732484146e-08,2.426405742994575e-09
1868,2.3711395513714706e-08,3.457911734727759e-09
1869,2.0999133099053324e-08,4.395167341186834e-09
1870,1.548193218070537e-08,2.2936195165357276e-09
1871,4.248470908407853e-09,0.0
1872,1.0280476914203973e-08,1.8142017887967654e-09
1873,1.4366410283628284e-08,1.1972008939764578e-09
1874,2.2106053876314036e-08,3.5847653734322193e-09
1875,1.4875970677508121e-08,0.0
1876,1.6928840551599933e-08,0.0
1877,3.030559980743419e-08,1.8554447978047506e-09
1878,2.113680963589104e-08,1.8117265465633636e-09
1879,2.932476128592043e-08,2.443730107160036e-09
