year,peut_VERB abaisser_VERB,peut_VERB rabaisser_VERB
1800,7.545995117652637e-08,3.144164484325529e-09
1801,5.9529565277216534e-08,4.7623651688866175e-09
1802,6.265952379180817e-08,2.2378401354217203e-09
1803,1.2677205063482688e-07,0.0
1804,7.415552971679062e-08,1.2359254952798437e-08
1805,3.980028751016107e-08,0.0
1806,2.5935023018064385e-08,0.0
1807,4.27043254092041e-08,0.0
1808,4.078933102391602e-08,2.2660739951163578e-09
1809,8.584316191218022e-08,2.259030518203531e-09
1810,7.254392642153107e-08,4.680253518074551e-09
1811,1.0279014617253779e-07,0.0
1812,8.001624962616916e-08,2.6672082320544632e-09
1813,1.00650957790549e-07,0.0
1814,7.866692897096073e-08,0.0
1815,9.440282155992463e-08,0.0
1816,1.0429217667251578e-07,1.3905623319487859e-08
1817,5.916118794857539e-08,7.784366928831332e-09
1818,3.5763530803478716e-08,0.0
1819,2.4842520929269085e-08,1.035105001712111e-09
1820,3.085285271708926e-08,7.119888678630559e-09
1821,1.972297702934611e-08,1.97229765852569e-09
1822,5.6143449000956025e-08,0.0
1823,3.360113609574e-08,9.882686891060644e-10
1824,3.621078548121659e-08,0.0
1825,9.774041842547376e-08,2.641632912414593e-09
1826,4.492072136486058e-08,1.7615968683770689e-09
1827,2.1199728195142598e-08,1.6591091167583727e-08
1828,4.494427585655103e-08,0.0
1829,5.915491385621863e-08,8.57317605795771e-10
1830,5.740259823028282e-08,2.0873671680021744e-09
1831,2.8064171431196883e-08,0.0
1832,2.841293600397421e-08,0.0
1833,4.6334513115198206e-08,0.0
1834,4.947301235347368e-08,7.467624740797874e-09
1835,3.857174846189082e-08,0.0
1836,5.1749776019960336e-08,1.3441500135158435e-09
1837,3.75726116885744e-08,2.0873671680021744e-09
1838,4.292270006089893e-08,0.0
1839,1.2724484577120165e-07,0.0
1840,7.261444778805526e-08,0.0
1841,5.1364388298225094e-08,1.926164561183441e-09
1842,4.762868144325694e-08,6.708265054555795e-09
1843,8.565021403228457e-08,4.7255288571079745e-09
1844,7.354672248993666e-08,0.0
1845,5.022205229465726e-08,5.580227946389016e-10
1846,6.557041842825129e-08,1.1709002656346001e-09
1847,6.68759696509369e-08,0.0
1848,7.723412664972784e-08,0.0
1849,4.273501730267526e-08,3.3517659758786067e-09
1850,4.820187271548093e-08,0.0
1851,7.15887722435582e-08,2.579775504329973e-09
1852,6.315229228448516e-08,0.0
1853,6.330247970254277e-08,5.971931837933653e-10
1854,7.58567040293201e-08,6.754363734984281e-09
1855,7.16436545644683e-08,0.0
1856,7.817556024747319e-08,0.0
1857,6.541222319356166e-08,0.0
1858,1.0619277190926368e-07,3.4255731584664773e-09
1859,5.4995471288066256e-08,0.0
1860,9.154367575092692e-08,4.119465657481669e-09
1861,1.207286715043665e-07,1.8863854922557266e-09
1862,9.397411560030378e-08,4.9697850279528666e-09
1863,7.741662244598047e-08,1.9978483312144135e-09
1864,1.3425238876152434e-07,0.0
1865,8.001635620757952e-08,1.882737743486018e-09
1866,7.493044051898323e-08,9.731225825149181e-10
1867,1.0627657331951923e-07,1.455843445796745e-09
1868,1.0867722721741302e-07,9.87974813071446e-10
1869,9.376356757684334e-08,1.4650557433881772e-09
1870,1.1410757139174166e-07,9.17447806614291e-09
1871,5.8416475212652585e-08,0.0
1872,6.833493415570047e-08,2.4189357183956872e-09
1873,1.2211448563448357e-07,1.7958012854535355e-09
1874,7.946230340394322e-08,5.974609251779839e-09
1875,7.8957071991681e-08,1.716458086775674e-09
1876,1.1245587216990316e-07,3.02300739996042e-09
1877,1.261702493593475e-07,0.0
1878,9.964496427983249e-08,3.0195443923020093e-09
1879,1.2157556739111897e-07,0.0
1880,1.007601895253174e-07,0.0
1881,9.761510710859511e-08,6.972507571312292e-10
1882,7.720246486542237e-08,5.324308105514319e-09
1883,8.531107908993363e-08,0.0
1884,7.195849605068361e-08,0.0
1885,1.0764211566538506e-07,5.156508553483263e-09
1886,1.1809839151055712e-07,1.936039106809062e-09
1887,8.030577447470932e-08,0.0
1888,9.067078821090035e-08,1.268122939990235e-09
1889,1.4660419367373834e-07,3.759081934617825e-09
1890,1.3305404422681022e-07,6.554386478008212e-10
1891,1.217476039983012e-07,3.824531802365527e-09
1892,1.4668319181510014e-07,3.1342561879199593e-09
1893,8.437030629693254e-08,1.847525021858587e-09
1894,1.0145478057665969e-07,0.0
1895,9.027921521465032e-08,1.8055843487019274e-09
1896,1.0083919477210657e-07,1.47425724961181e-08
1897,1.1245557374195414e-07,1.1070755867592652e-08
1898,1.0864041399827329e-07,1.6975064687230201e-09
1899,1.221594772005119e-07,2.7637891975018647e-09
1900,1.1160764046280747e-07,4.15284251431558e-09
1901,1.2239338786912413e-07,1.1177477832191585e-09
1902,1.7824329745508294e-07,2.9461704187383475e-09
1903,8.478345847606761e-08,1.0800440541913758e-09
1904,1.0426772689697827e-07,0.0
1905,1.223099843628006e-07,2.0643036169332163e-09
1906,1.2448926156594098e-07,1.5432553013283723e-09
1907,8.794262384981266e-08,5.142843373384665e-10
1908,9.429867020571692e-08,6.875944702500192e-09
1909,1.0616898293847044e-07,0.0
1910,1.1543365729949073e-07,1.068830135508847e-09
1911,1.032152567859157e-07,5.3203743632934675e-09
1912,9.741617645886436e-08,1.0418842455450772e-09
1913,9.439321502213716e-08,4.242391771214216e-09
1914,1.0915692172375202e-07,0.0
1915,9.424609714869803e-08,0.0
1916,8.789969285771804e-08,1.0987462051303964e-09
1917,7.347504293875318e-08,1.0966424435210342e-09
1918,1.0912057746281789e-07,1.8378202071289707e-08
1919,7.826670866961649e-08,0.0
1920,1.0222512969448871e-07,7.572231730534895e-10
1921,8.102839643697735e-08,3.0290989716519334e-09
1922,1.401807736556293e-07,2.951174193910333e-09
1923,9.023555946896522e-08,1.0615948120573648e-09
1924,8.379555538340355e-08,2.578324886925998e-09
1925,8.468597201272132e-08,0.0
1926,7.133528612257578e-08,0.0
1927,8.250426475342465e-08,1.1149224876660924e-09
1928,1.1426040913420366e-07,3.4278122562625413e-09
1929,8.466708578680482e-08,4.4561625500705304e-09
1930,1.008345975606062e-07,3.1510811737689437e-09
1931,1.0264820815564235e-07,2.2810713318222042e-09
1932,9.206010531670472e-08,2.1919073223131136e-09
1933,7.914756849913829e-08,5.735331320977366e-09
1934,7.7880272897346e-08,0.0
1935,1.1130504162792931e-07,0.0
