year,voulut_VERB entrer_VERB,voulut_VERB rentrer_VERB
1800,6.60274537267469e-08,9.432493897065797e-09
1801,1.73826322225068e-07,2.1430643926123594e-08
1802,3.088219386881974e-07,2.9091921760482364e-08
1803,1.170203560718619e-07,1.0531832117521844e-07
1804,1.408955085935304e-07,4.69651695311768e-08
1805,2.8713066058116965e-07,3.4114531644036106e-08
1806,2.305335300434308e-07,1.4408345627714425e-08
1807,1.822051274302794e-07,2.562259560079383e-08
1808,1.0197332755979005e-07,5.4385775882792586e-08
1809,1.7394535234416253e-07,3.840352036377226e-08
1810,1.7316938283329364e-07,3.510190182964834e-08
1811,1.6546707115594472e-07,7.771937760026049e-08
1812,1.0135391192989118e-07,1.8670457180292033e-08
1813,1.6679301495514665e-07,2.5881675469463516e-08
1814,1.5104049566616595e-07,9.44003133440674e-08
1815,2.1847510822681215e-07,7.282503844407984e-08
1816,1.6918508549679245e-07,9.733936678912869e-08
1817,2.2886038664182706e-07,2.6466848268569265e-08
1818,2.1100484559610777e-07,1.0490636270787945e-07
1819,2.71197507117904e-07,5.072014630513877e-08
1820,2.0173017389879533e-07,3.20394981656591e-08
1821,2.8992775469305343e-07,8.776724769177235e-08
1822,4.0904512843553675e-07,1.6341753905635414e-07
1823,4.111197711154091e-07,9.190898708766326e-08
1824,2.880020417705964e-07,1.044218009838005e-07
1825,2.43030228830321e-07,6.427973175959778e-08
1826,1.990604516777239e-07,2.1139161532346407e-08
1827,2.230580093964818e-07,8.019027575301152e-08
1828,2.604933513339347e-07,5.228211819030548e-08
1829,2.2033061952697608e-07,3.8579290873030914e-08
1830,1.07499410262335e-07,6.157733167810875e-08
1831,1.216114071667107e-07,4.053713453799901e-08
1832,1.352997003323253e-07,5.953186388296672e-08
1833,1.2973663388038403e-07,4.749287541017111e-08
1834,1.5588666713028942e-07,8.121041616959701e-08
1835,2.571449897459388e-07,7.941242330389287e-08
1836,3.004175255227892e-07,8.333729795140243e-08
1837,2.1986934939377534e-07,8.140732177253085e-08
1838,3.175017297962768e-07,8.268931850352601e-08
1839,1.8038005578091543e-07,9.368577025270497e-08
1840,1.834470282346956e-07,7.006657654073933e-08
1841,1.155698754473633e-07,6.613164771351876e-08
1842,1.3282364363931265e-07,9.726984018243456e-08
1843,1.388124104551025e-07,8.978504695278389e-08
1844,1.783782437314585e-07,7.958414016684401e-08
1845,1.3057733383448067e-07,6.863680113156079e-08
1846,1.5514429207996727e-07,4.859236213405893e-08
1847,1.6988654749638954e-07,7.172987182002544e-08
1848,1.8664914591681736e-07,1.930853166243196e-08
1849,1.340706319297169e-07,4.273501730267526e-08
1850,1.7583499811735237e-07,7.19633561629962e-08
1851,1.5478653381251206e-07,6.900899762740664e-08
1852,1.5495098182327638e-07,7.291811243703705e-08
1853,1.5467303171590174e-07,6.5094056367343e-08
1854,1.8028956105808902e-07,5.6113176327698966e-08
1855,1.6504574773534841e-07,7.748128183493463e-08
1856,1.8016618241745164e-07,7.403380664072756e-08
1857,2.0746414008954162e-07,7.51752367023073e-08
1858,1.7225740123194555e-07,6.85114613929727e-08
1859,1.3748868354923616e-07,6.517981887554924e-08
1860,1.7347527148103836e-07,5.904567146330919e-08
1861,1.5185403867690184e-07,5.14040046084574e-08
1862,2.0195398064970504e-07,3.975828022362293e-08
1863,1.22867675145244e-07,6.742737923559616e-08
1864,1.1123768928200661e-07,5.418042547944424e-08
1865,1.2708480312539905e-07,4.047886292823932e-08
1866,1.3185811553739768e-07,3.843834051053818e-08
1867,1.567458127738064e-07,6.017486242626546e-08
1868,1.615338760529994e-07,4.544684273355415e-08
1869,1.0060049504545532e-07,4.2974967584541446e-08
1870,1.2901610091375915e-07,8.02766848551073e-08
1871,1.0621177182201791e-07,2.973929724703339e-08
1872,1.348556679658941e-07,6.652073381019363e-08
1873,1.0116347226585276e-07,4.669083608632718e-08
1874,1.0455566012979034e-07,4.182226476245887e-08
1875,1.2301283902615978e-07,5.492665877682157e-08
1876,1.2636171220492542e-07,5.8041742079240066e-08
1877,1.1441909464338096e-07,4.824156363270049e-08
1878,1.2138568195041444e-07,5.012443438090486e-08
1879,8.858521738375202e-08,2.1993571408529533e-08
1880,1.2193908105473383e-07,6.225310755780811e-08
1881,9.064260098057275e-08,3.6257038260600893e-08
1882,9.317539451103585e-08,4.2594464844114555e-08
1883,9.226234709558412e-08,5.371438049905919e-08
1884,9.704494630113913e-08,5.479408571318345e-08
1885,1.3664747200436977e-07,4.060750313783501e-08
1886,9.809264867044476e-08,2.6459201052375647e-08
1887,8.814048158001242e-08,3.852065688647599e-08
1888,9.827952851537702e-08,3.61415040117663e-08
1889,8.771191772893872e-08,3.5084767091575486e-08
1890,8.586246025288347e-08,5.1124214195397144e-08
1891,8.541454832311501e-08,4.079500826037474e-08
1892,1.1220637219366836e-07,4.764069316820496e-08
1893,9.052872229631248e-08,5.1114856347567184e-08
1894,1.0082462864602348e-07,5.1042469806361623e-08
1895,7.101964882849643e-08,2.768562623600701e-08
1896,8.491721814607445e-08,3.3613066108273415e-08
1897,8.332200707172888e-08,4.7196380137393135e-08
1898,8.713866606058218e-08,4.5266837389590364e-08
1899,8.346643198819947e-08,2.984892333302014e-08
1900,8.409506335738115e-08,3.73755817406618e-08
1901,1.1121590404172821e-07,3.688567673520993e-08
1902,5.9414436037741325e-08,3.2407871941586563e-08
1903,7.182293160212794e-08,5.508224631967096e-08
1904,7.094504894666898e-08,3.869730136329963e-08
1905,8.153999431215198e-08,3.767354073147544e-08
1906,7.561951065326866e-08,5.5042775670699484e-08
1907,8.07426374649367e-08,5.0399865614281225e-08
1908,7.12151404513861e-08,6.286578013714461e-08
1909,5.115914802900079e-08,4.675835896250646e-08
1910,6.893954207498609e-08,4.756294202934441e-08
1911,7.342116248310049e-08,2.500575924102577e-08
1912,7.709943616873716e-08,5.3136098188133474e-08
1913,6.787826833942745e-08,5.46207949980726e-08
1914,5.2234600644851525e-08,4.151981158884155e-08
1915,4.830112487752558e-08,2.0027295377644805e-08
1916,6.812226160946011e-08,1.8678685265172135e-08
1917,5.263883906536648e-08,3.070598708632133e-08
1918,5.398596769623509e-08,3.445912710731136e-08
1919,5.800944435918609e-08,2.025726608678724e-08
1920,4.391894492528081e-08,3.48322650722821e-08
1921,4.695103328344885e-08,4.013556065274315e-08
1922,4.0578644444622114e-08,2.7298360905092522e-08
1923,7.749642350063368e-08,5.4141334970836397e-08
1924,5.801231139912488e-08,3.609654797287476e-08
1925,6.818870446068104e-08,3.959344141435395e-08
1926,5.9074533709235766e-08,3.009457216762712e-08
1927,8.696395070728613e-08,3.3447673075670536e-08
1928,6.627104198742018e-08,5.3702393643106916e-08
1929,6.350031611646045e-08,4.4561623724348465e-08
1930,7.142450186847782e-08,2.4158287814657342e-08
1931,6.50105320687544e-08,3.079446386777818e-08
1932,3.9454331357546835e-08,3.287861005674131e-08
1933,3.785318369864399e-08,2.523545639121494e-08
1934,4.7926320689839486e-08,1.1981580172459871e-08
1935,5.505410882733486e-08,3.231436807027421e-08
1936,4.364897421282876e-08,2.5461901032031165e-08
1937,3.5255130370615007e-08,3.399602022113868e-08
1938,4.019216603978748e-08,3.5006078036303734e-08
1939,6.576441791139587e-08,3.211750509990452e-08
1940,4.81798743123818e-08,2.7893612752905028e-08
1941,5.312704587367989e-08,1.1806010391524069e-08
1942,4.8547388331598995e-08,2.1239483061208375e-08
1943,5.2258233296242906e-08,5.2258233296242906e-08
1944,5.462416652335378e-08,2.5705489292704442e-08
1945,4.7927088075994106e-08,3.921307367704685e-08
1946,4.037120149291695e-08,4.1763314584386535e-08
1947,6.437270627657199e-08,2.0265479960812627e-08
1948,3.913879709216417e-08,2.0656587551570738e-08
1949,2.5524220959027843e-08,3.239612667016445e-08
1950,3.828730044119766e-08,2.8715476219076663e-08
1951,3.3050344683260846e-08,2.6653504292539765e-08
1952,2.8470971358274255e-08,2.741649041126948e-08
1953,3.3398865895151175e-08,2.693456835345387e-08
1954,4.10446503451567e-08,2.6385848173049453e-08
1955,4.129667274810345e-08,2.3464020060259827e-08
1956,4.7966278060584955e-08,1.657016923672927e-08
1957,5.47772351922049e-08,1.5903067307476704e-08
1958,6.535072571978162e-08,1.6544486669545222e-08
1959,4.417926291466756e-08,1.8601795659378695e-08
1960,5.052208251754564e-08,2.2838749558218296e-08
1961,4.168895628708924e-08,3.126671543896009e-08
1962,4.058852098864918e-08,1.585489073363533e-08
1963,4.396916253313066e-08,9.69907976156037e-09
1964,3.832900219435942e-08,2.068549243006146e-08
1965,5.8003660541317004e-08,1.7510538796727815e-08
1966,5.3729024784843205e-08,2.2710207048248776e-08
1967,4.831728972476412e-08,2.9088980113556318e-08
1968,6.243067929290191e-08,3.4134760795723196e-08
1969,4.67801051229344e-08,2.043791091921321e-08
1970,4.2768142805016396e-08,2.345349692234322e-08
