year,fallait_VERB assembler_VERB,fallait_VERB rassembler_VERB
1800,3.144164484325529e-09,0.0
1801,2.3811825844433088e-09,2.1430643926123594e-08
1802,0.0,1.5664880947952042e-08
1803,0.0,1.5602713787643552e-08
1804,1.2359254952798437e-08,2.4718509461507665e-09
1805,2.842877711017877e-09,3.980028751016107e-08
1806,0.0,3.7461699520235925e-08
1807,1.7081731584767113e-08,5.4092147649953404e-08
1808,1.1330369531492579e-08,4.5321479902327155e-09
1809,2.25903047379461e-08,1.129515236897305e-08
1810,0.0,2.3401267590372754e-09
1811,2.5070767684098882e-09,2.5070767684098882e-09
1812,0.0,1.3336041604361526e-08
1813,8.627225156487839e-09,0.0
1814,0.0,0.0
1815,0.0,1.3486118000116676e-08
1816,0.0,1.8540831092650478e-08
1817,7.784366928831332e-09,2.3353100786493997e-08
1818,1.1921177378582115e-09,0.0
1819,1.449147024601416e-08,3.519356894798875e-08
1820,1.779972080839798e-08,2.0173018810965004e-08
1821,9.86148829262845e-10,1.2819934447350079e-08
1822,0.0,7.017931125119503e-09
1823,1.9765373782121287e-09,0.0
1824,2.5263338088166165e-09,2.189489300974401e-08
1825,1.4969252504215547e-08,2.1133063299316746e-08
1826,0.0,1.76159691278599e-08
1827,1.8434546333878643e-08,8.295545583791863e-09
1828,1.2841221419535032e-08,2.7516904310687096e-09
1829,6.001223074036943e-09,2.4862210068476998e-08
1830,2.0873671680021744e-09,1.461157062010443e-08
1831,1.870944643656003e-08,1.5591206548037917e-08
1832,9.470978667991403e-09,8.117981842303834e-09
1833,1.1583628500844156e-09,3.8225973497674204e-08
1834,7.467624740797874e-09,1.4935249481595747e-08
1835,2.7983425354705105e-08,1.9664028627630614e-08
1836,1.2769425516978572e-08,8.736974699274924e-09
1837,2.0873671680021744e-09,1.3915782304252389e-08
1838,1.8936486156917454e-08,1.5780404538645598e-08
1839,1.4682098203877558e-08,2.0974425751774106e-08
1840,6.3696887764308485e-09,2.7389662093924017e-08
1841,1.9903700021473014e-08,2.3756030032018316e-08
1842,8.049918065466954e-09,1.2074877098200432e-08
1843,1.7130041385371442e-08,1.063243981747064e-08
1844,9.879410178825765e-09,2.4698525891153622e-08
1845,1.7298706467272496e-08,1.9530798311961917e-08
1846,9.367202125076801e-09,1.6392604607062822e-08
1847,1.4022381478184798e-08,2.1033571329098777e-08
1848,5.63165514222419e-09,2.011305433313737e-08
1849,8.379414939696517e-10,1.6758829879393033e-09
1850,9.504594444820214e-09,5.634866795389826e-08
1851,3.1602251482354404e-08,7.739326512989919e-09
1852,1.6276363368206148e-08,1.7578472011337e-08
1853,8.360704129017904e-09,1.1346670270029335e-08
1854,5.195664343204953e-09,2.909572138776184e-08
1855,4.2455496895854594e-09,1.2736649068756378e-08
1856,6.73034605824796e-09,3.158085348786699e-08
1857,2.147863931156735e-08,1.757343248698362e-08
1858,1.0276719919488642e-08,1.8106600663259087e-08
1859,1.0693564256314403e-08,1.5276519604867644e-08
1860,4.119465657481669e-09,2.5632230560290736e-08
1861,5.659156698811785e-09,6.6023493339173456e-09
1862,4.9697850279528666e-09,4.517986429419807e-09
1863,2.9967726078439227e-09,2.2475793670651e-08
1864,8.151037178549814e-09,1.582260189536555e-08
1865,9.88437331983505e-09,7.530950973944073e-09
1866,1.3623716377253459e-08,3.308616669528419e-08
1867,6.79393608038481e-09,1.3102591012170706e-08
1868,1.333765986544222e-08,3.457911734727759e-09
1869,9.278686263769487e-09,5.371870948067681e-09
1870,6.880858549607183e-09,9.17447806614291e-09
1871,2.1242354542039266e-09,1.5931766128574054e-08
1872,8.4662747923403e-09,8.4662747923403e-09
1873,4.190203295451056e-09,1.1373408881354408e-08
1874,1.7923826867161097e-09,8.961913877669758e-09
1875,1.830888685105947e-08,1.6592428764283795e-08
1876,6.04601479992084e-10,1.813804395567331e-08
1877,3.0924081073635534e-09,1.9172929910382663e-08
1878,6.039088673581716e-10,1.3285995414946683e-08
1879,1.3440515367335593e-08,1.649517855639715e-08
1880,7.059631101924424e-09,1.7328185109022343e-08
1881,0.0,9.064259565150223e-09
1882,7.986462158271479e-09,3.3276925659464496e-09
1883,7.58320695126713e-09,1.64302811356265e-08
1884,1.9805090900604227e-09,3.9610181801208455e-09
1885,5.80107206715752e-09,3.86738152613475e-09
1886,1.2906927748801422e-09,1.097088819790315e-08
1887,5.223139698529167e-09,4.570247291724172e-09
1888,5.07249175996094e-09,6.340614699951175e-10
1889,4.385595886446936e-09,5.012109394186837e-09
1890,4.5880703680722945e-09,1.2453334363726754e-08
1891,6.374220040683554e-10,6.3742202627281586e-09
1892,5.641661360300532e-09,7.522214851007902e-09
1893,3.695050043717174e-09,6.774258043407144e-09
1894,5.041231432301174e-09,6.9316934414587195e-09
1895,1.8055843487019274e-09,3.0093072478365457e-09
1896,1.47425724961181e-08,1.0024948871034667e-08
1897,4.078699600285063e-09,9.905413378419325e-09
1898,1.13167097914868e-09,1.1316709347397591e-08
1899,3.3165470370022376e-09,2.2110313580014918e-09
1900,5.19105292084987e-09,9.34389543516545e-09
1901,2.235495566438317e-09,3.912117296778206e-09
1902,5.4013122863239005e-09,1.178468167495339e-08
1903,5.400220270956879e-10,2.376096830403185e-08
1904,1.0749250378694342e-09,1.3436562973367927e-08
1905,1.2385822145688508e-08,1.0321517862621477e-08
