year,veulent_VERB acheter_VERB,veulent_VERB racheter_VERB
1800,3.144164395507687e-08,3.144164484325529e-09
1801,4.286128785224719e-08,0.0
1802,9.622712582313397e-08,0.0
1803,5.655983770225248e-08,0.0
1804,2.7190360185613827e-08,1.730295728918918e-08
1805,3.980028751016107e-08,1.7057265822018053e-08
1806,6.051504897186533e-08,2.881669125542885e-09
1807,4.839823830593559e-08,0.0
1808,4.078933102391602e-08,0.0
1809,5.421673421324158e-08,0.0
1810,1.1700633351097167e-08,4.680253518074551e-09
1811,3.760615285841595e-08,5.0141535368197765e-09
1812,3.467370746079723e-08,0.0
1813,2.5881675469463516e-08,0.0
1814,1.8880061958270744e-08,0.0
1815,1.3486118000116676e-08,2.697223555614414e-09
1816,1.3905623319487859e-08,0.0
1817,3.580808893843823e-08,0.0
1818,5.96058882251782e-08,8.344824387052086e-09
1819,2.3807414706311647e-08,1.1386155129855524e-08
1820,5.577246042776096e-08,0.0
1821,3.550135829755163e-08,0.0
1822,2.3058916553964082e-08,0.0
1823,5.138997138942614e-08,0.0
1824,4.126345132249298e-08,0.0
1825,5.195211372210906e-08,0.0
1826,5.0205510859768765e-08,5.284790383086602e-09
1827,2.3964910056406552e-08,0.0
1828,5.044765671868845e-08,9.172301251858528e-10
1829,2.2290258527846163e-08,0.0
1830,5.4271545479878114e-08,0.0
1831,2.8064171431196883e-08,1.2472964883158966e-08
1832,2.705993829010822e-08,0.0
1833,7.29768601104297e-08,5.791814139399776e-09
1834,3.547121707470069e-08,0.0
1835,3.857174846189082e-08,1.5126175867408165e-09
1836,3.696412420595152e-08,0.0
1837,4.800944708449606e-08,1.2524203896191466e-08
1838,4.7341213615936795e-08,6.312161904276081e-10
1839,5.453350482298447e-08,1.3982950353153e-09
1840,3.694419348221345e-08,0.0
1841,3.852328944731198e-08,3.852329122366882e-09
1842,4.9641162291891305e-08,1.341653010911159e-09
1843,5.2571508035725856e-08,0.0
1844,4.39084892889241e-08,0.0
1845,4.8547981634783355e-08,0.0
1846,5.854501239355159e-08,7.610851504580296e-09
1847,4.7999691332734074e-08,7.550513103637968e-09
1848,6.516629724728773e-08,8.045221711050488e-10
1849,2.0948537127196687e-08,9.217356655710773e-09
1850,2.987158254086353e-08,2.7155984128057753e-09
1851,5.224045551699419e-08,0.0
1852,4.427170807730363e-08,3.2552727180501506e-09
1853,4.240071760364117e-08,5.971931837933653e-10
1854,5.299577665596189e-08,6.754363734984281e-09
1855,4.086341576226005e-08,1.5920811335945473e-09
1856,3.209857268871019e-08,6.212626857404757e-09
1857,4.002837528105374e-08,0.0
1858,4.942612719105455e-08,0.0
1859,3.7172863898149444e-08,3.055304009791371e-09
1860,3.7990627532735743e-08,2.288591982591015e-09
1861,4.0557289082698844e-08,4.715963619617014e-09
1862,4.608346060308577e-08,4.9697850279528666e-09
1863,4.295374012031061e-08,2.4973103585068657e-09
1864,3.3563097190381086e-08,3.3563094525845827e-09
1865,4.3773653146672586e-08,4.706844247692743e-09
1866,3.113992264047738e-08,1.3137154475373336e-08
1867,3.688136729351754e-08,5.338092634588065e-09
1868,3.1615194018286275e-08,4.93987406535723e-10
1869,3.662639258550371e-08,9.767038289254515e-10
1870,4.243196016773254e-08,9.17447806614291e-09
1871,1.3807530230280918e-08,0.0
1872,3.688877114882416e-08,6.047339295989218e-10
1873,2.454261860407314e-08,7.183205141814142e-09
1874,4.122480135038131e-08,6.572069999322139e-09
1875,3.718992758194872e-08,1.1443054281912168e-09
1876,2.539326260375674e-08,3.02300739996042e-09
1877,3.277952487223956e-08,6.184816214727107e-09
1878,5.7975249490027636e-08,6.039088673581716e-10
1879,3.421222061206208e-08,6.10932526790009e-10
1880,2.888030792291829e-08,9.626769603698904e-09
1881,2.8587281875047665e-08,0.0
1882,3.527354053289855e-08,6.655385131892899e-10
1883,3.981183382961717e-08,2.5277355764075082e-09
1884,2.5086448474098688e-08,3.300848483434038e-09
1885,3.867381437316908e-08,4.511945039809007e-09
1886,4.711028722681476e-08,3.872078213618124e-09
1887,2.6768590899450828e-08,6.528924512139156e-09
1888,2.028996703984376e-08,3.1703073499755874e-09
1889,2.4434033463194282e-08,9.397704836544563e-09
1890,2.0974036729626278e-08,8.520702365899524e-09
1891,4.079500826037474e-08,8.92390783491237e-09
1892,2.193979398157353e-08,1.2537024751679837e-09
1893,3.94138659487453e-08,4.310891643655168e-09
1894,2.2055386850183822e-08,0.0
1895,2.5278181325916194e-08,4.814891596538473e-09
1896,3.774098544795379e-08,4.717623180994224e-09
1897,2.0976168357833558e-08,6.992056267307589e-09
1898,3.451596342074481e-08,5.6583548957434e-10
1899,3.758753308602536e-08,1.6582735185011188e-09
1900,3.4780054392058446e-08,2.595526460424935e-09
1901,2.794369535763508e-08,0.0
1902,2.4060391012881155e-08,2.9461704187383475e-09
1903,2.970121215639665e-08,0.0
1904,2.042357571951925e-08,0.0
1905,4.1286071450485906e-08,6.192911072844254e-09
1906,4.9384169642507914e-08,1.5432553013283723e-09
1907,3.445705232252294e-08,1.5428529565042481e-09
1908,5.058730678797474e-08,2.4556945366072114e-09
1909,4.1257376182102234e-08,7.151278680339601e-09
1910,2.8323999146095957e-08,5.34415089958884e-09
1911,3.298632123005518e-08,5.320374141248863e-10
1912,4.271725373428126e-08,3.125652625612929e-09
1913,2.7575547179026216e-08,3.181793939432964e-09
1914,4.2859159776753586e-08,6.696743604095445e-09
1915,2.9451904026700504e-08,0.0
1916,3.076489463182952e-08,0.0
1917,4.496234140560773e-08,0.0
1918,3.9053681177847466e-08,1.1486376294556067e-09
1919,2.9465114792515124e-08,0.0
1920,3.104614876292544e-08,7.572231730534895e-10
1921,4.013556065274315e-08,9.087297137000405e-09
1922,3.024953443286904e-08,2.951174193910333e-09
1923,3.290944050604594e-08,1.5923921736771263e-08
1924,2.707241186783449e-08,0.0
1925,3.519416935660047e-08,1.0998177923937646e-09
1926,3.232380052509143e-08,2.229227691330493e-09
1927,2.5643217327342427e-08,5.574612327308159e-09
1928,2.0566874425753667e-08,6.8556245125250825e-09
1929,2.2280811862174232e-08,1.1140406375176326e-09
1930,2.10072066408884e-08,0.0
1931,1.2545892325022123e-08,0.0
1932,1.8631212128639163e-08,1.0959536611565568e-09
1933,2.7529589274877253e-08,1.1470662197865522e-09
1934,3.2350264689284813e-08,7.188948103475923e-09
1935,2.6330225111337313e-08,3.590485242455088e-09
1936,1.8187071404440758e-08,3.6374143697059935e-09
1937,2.7700460591972842e-08,2.5182236296217297e-09
1938,4.537825049055755e-08,6.482607339819424e-09
1939,1.988226472349197e-08,6.117620188206274e-09
1940,2.7893612752905028e-08,0.0
1941,3.5418032950929046e-08,2.9515025978810172e-09
1942,3.6410540360520827e-08,3.034211770724937e-09
1943,2.6129116648121453e-08,2.9032352077962287e-09
1944,3.855823393905666e-08,3.2131861615880553e-09
1945,2.832055301382752e-08,6.535512131478072e-09
1946,4.037120149291695e-08,0.0
1947,4.649139739854036e-08,0.0
1948,2.5005341797168512e-08,4.348755133776194e-09
1949,2.5524220959027843e-08,3.9268033269479474e-09
1950,1.2762433776458693e-08,4.2541445921528975e-09
1951,3.0918066329377325e-08,2.1322803522849654e-09
1952,3.374337254058446e-08,2.1089607837865287e-09
1953,2.3702419582605216e-08,1.0773827385790469e-09
1954,2.9317607896928166e-08,9.772536113672459e-10
1955,2.5341140741375057e-08,2.815682353940474e-09
1956,3.8373023869553435e-08,8.72114158667614e-10
1957,3.3573144264664734e-08,3.534015080575159e-09
1958,2.8125628048769613e-08,3.3088973783179654e-09
1959,3.100299039715537e-08,2.325224457422337e-09
1960,3.668041514970355e-08,6.920833350854139e-10
1961,2.709782087606527e-08,0.0
1962,3.99543260698465e-08,6.341956404476434e-10
1963,4.2029345337368795e-08,5.1728425987107585e-09
1964,3.285342842218597e-08,1.8251904432275978e-09
1965,2.3529786119524942e-08,2.73602163147757e-09
1966,3.6557892713062756e-08,3.3234448526542337e-09
1967,3.69775179365206e-08,2.465167847631733e-09
1968,3.458390196442451e-08,1.3474247273492779e-09
1969,3.905911682977603e-08,2.7250546263957176e-09
1970,3.587005537042387e-08,3.6789800095249348e-09
1971,3.956565919338573e-08,5.138397263237948e-09
1972,3.8989117712162624e-08,1.0260293725750103e-09
1973,4.686223320504723e-08,5.513203782392395e-10
1974,4.500457251310763e-08,1.6876715580593782e-09
1975,3.655347313724633e-08,0.0
1976,3.428116102099921e-08,2.856763492431469e-09
1977,4.7014253823363106e-08,1.7630346071939584e-09
