year,voulaient_VERB amener_VERB,voulaient_VERB ramener_VERB
1800,6.288328968651058e-09,0.0
1801,1.1905912700171939e-08,1.904946067554647e-08
1802,6.713520406265161e-09,8.951360541686881e-09
1803,0.0,7.801356893821776e-09
1804,7.4155526164076946e-09,0.0
1805,0.0,1.421438877713399e-08
1806,0.0,0.0
1807,4.555128185756985e-08,1.9928686256776018e-08
1808,2.2660739951163578e-09,0.0
1809,2.25903047379461e-08,4.518061036407062e-09
1810,1.6380887757350138e-08,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,1.1502966579257645e-08,0.0
1814,0.0,3.1466772298927026e-08
1815,1.3486118000116676e-08,1.8880564667256294e-08
1816,2.3176038865813098e-09,1.3905623319487859e-08
1817,3.113746815941454e-09,2.3353100786493997e-08
1818,3.5763532135746345e-09,2.5034472272977837e-08
1819,1.0351049795076506e-08,7.24573512300708e-09
1820,1.898636980968149e-08,2.254631326081835e-08
1821,7.88919063410276e-09,1.1833785507064931e-08
1822,1.1028177482330648e-08,1.9048670196752937e-08
1823,2.668325471688604e-08,9.882686669016039e-09
1824,7.57900142644985e-09,4.5474010335055937e-08
1825,1.7610886970942374e-08,1.7610886970942374e-08
1826,2.554315514657901e-08,5.284790383086602e-09
1827,3.041700225026034e-08,1.566936447261469e-08
1828,2.109629271274116e-08,6.420610709767516e-09
1829,1.5431716349212365e-08,1.3717081692732336e-08
1830,3.1310507520032616e-09,3.444155893816969e-08
1831,2.494592976631793e-08,3.585977381703742e-08
1832,4.464889968858188e-08,8.117981842303834e-09
1833,9.266902800675325e-09,1.7375443306377747e-08
1834,1.7735608537350345e-08,2.333632664885954e-08
1835,1.285724948729694e-08,2.4201881387853064e-08
1836,1.0753200108126748e-08,1.344150035720304e-08
1837,1.530736071231331e-08,1.0436836284100082e-08
1838,1.830527018853445e-08,1.7674054220151447e-08
1839,1.11863602825224e-08,1.957613093850341e-08
1840,1.6561189752906103e-08,3.4396318682183846e-08
1841,5.1364388298225094e-09,3.0818632978935057e-08
1842,1.1404051036834062e-08,2.2808102073668124e-08
1843,1.063243981747064e-08,2.658109998776581e-08
1844,1.2074834465636286e-08,2.140538946093784e-08
1845,1.6182660544927785e-08,2.0088821273134272e-08
1846,1.5221703009160592e-08,2.6345256642912318e-08
1847,1.6718992412734224e-08,2.1033571329098777e-08
1848,6.43617736884039e-09,1.850401076808339e-08
1849,9.217356655710773e-09,5.781796375003978e-08
1850,9.504594444820214e-09,2.9192683825840504e-08
1851,2.192809134271556e-08,1.2253933867611977e-08
1852,1.3021090872200602e-08,1.2370036550635177e-08
1853,2.9859659189668264e-09,7.763511611358354e-09
1854,1.454786069388092e-08,1.3508727469968562e-08
1855,9.021793090369101e-09,6.8990182455763716e-09
1856,1.863788057221427e-08,2.3815070804289462e-08
1857,5.857811125054013e-09,3.0753508184488965e-08
1858,1.1255455234504552e-08,2.495774786837046e-08
1859,1.323965115318515e-08,1.2730433596175317e-08
1860,1.2358396972445007e-08,1.5104706818647173e-08
1861,1.5562680033553988e-08,1.226150558863992e-08
1862,7.680577063240435e-09,2.5752521892741242e-08
1863,8.490855130105501e-09,2.5472566278494924e-08
1864,1.5343129433631475e-08,2.1096802527154068e-08
