year,auront_VERB emporté_VERB,auront_VERB remporté_VERB
1800,1.5720821977538435e-08,5.345079756580162e-08
1801,9.524730337773235e-09,6.905429472681135e-08
1802,3.8043282302169246e-08,5.818384352096473e-08
1803,7.801356893821776e-09,7.021220937986072e-08
1804,2.4718509461507665e-09,1.0628959046243835e-07
1805,1.1371510844071508e-08,3.4114531644036106e-08
1806,5.76333825108577e-08,1.7290014397985942e-07
1807,5.693910232196231e-09,1.5942949005420815e-07
1808,2.4926814390369145e-08,4.985362878073829e-08
1809,2.710836710662079e-08,8.358412628695078e-08
1810,4.212228077449254e-08,7.488405628919281e-08
1811,3.760615285841595e-08,6.769107585569145e-08
1812,2.9339290108509886e-08,1.3336041604361526e-07
1813,1.4378708002027452e-08,5.7514832008109806e-08
1814,0.0,6.922689976818219e-08
1815,8.091670444798638e-09,7.012781111370714e-08
1816,6.952811659743929e-09,9.270415546325239e-09
1817,6.227493631882908e-09,1.2454987263765815e-08
1818,1.1921176934492905e-08,7.510341504257667e-08
1819,0.0,5.4860564091541164e-08
1820,3.678609061807947e-08,8.42520151422832e-08
1821,1.676452932031225e-08,3.4515210245444905e-08
1822,2.0051231786055723e-09,4.8122956286533736e-08
1823,9.882686669016039e-09,4.0519015698237126e-08
1824,0.0,4.21055617039201e-08
1825,1.7610886970942374e-08,1.4969252504215547e-08
1826,1.0569580766173203e-08,7.222546827279075e-08
1827,4.608636583469661e-09,3.133872894522938e-08
1828,1.8344602503717056e-09,2.659967357487858e-08
1829,2.571952872898464e-09,2.914879893012312e-08
1830,4.174734336004349e-09,4.279102583382155e-08
1831,0.0,3.585977381703742e-08
1832,0.0,9.065079353831607e-08
1833,3.4750886612755494e-09,3.59092489077284e-08
1834,2.0535967593104942e-08,3.9205030333278046e-08
1835,1.5882484660778573e-08,4.235329242874286e-08
1836,1.344150035720304e-08,5.040562456315456e-08
1837,2.0873671680021744e-09,3.5485243188304594e-08
1838,5.680945491803868e-09,2.5248647617104325e-08
1839,1.11863602825224e-08,2.307186797168015e-08
1840,1.3376346252869098e-08,2.5478755105723394e-08
1841,1.0914932957462042e-08,5.6500827128047604e-08
1842,7.379091560011375e-09,5.567860128508073e-08
1843,1.1223130869097986e-08,4.6073907356003474e-08
1844,1.0428266250528395e-08,1.866110821424627e-08
1845,2.2320911785556063e-09,2.622707206967334e-08
1846,1.1123552745573306e-08,2.2247105491146613e-08
1847,1.0247124926365814e-08,1.4022381478184798e-08
1848,6.43617736884039e-09,1.528592186161859e-08
1849,5.865590679832167e-09,2.4300303991253713e-08
1850,1.2220192857625989e-08,2.647708541303473e-08
1851,3.2247193804124663e-09,2.902247508984601e-08
1852,9.765818376195057e-09,1.1067927019325907e-08
1853,3.5831591027601917e-09,3.3442816516071616e-08
1854,4.676098175337984e-09,2.8576154775805662e-08
1855,1.5920811335945473e-09,1.6982198758341838e-08
