year,fallut_VERB entrer_VERB,fallut_VERB rentrer_VERB
1800,1.8864987794131594e-08,2.2009151834367913e-08
1801,5.000483582762172e-08,2.1430643926123594e-08
1802,1.7902721083373763e-08,3.1329761895904085e-08
1803,2.145373123596528e-08,1.1702034896643454e-08
1804,1.9774807569206132e-08,3.707776485839531e-08
1805,4.264316544322355e-08,4.264316544322355e-08
1806,1.729001475325731e-08,5.76333825108577e-09
1807,1.4234775136401367e-08,2.2775640928784924e-08
1808,6.798221985349073e-09,2.7192887941396293e-08
1809,1.581321384946932e-08,1.581321384946932e-08
1810,1.4040760554223652e-08,0.0
1811,2.5070768572277302e-08,7.521229861140455e-09
1812,1.0668832928217853e-08,2.1337665856435706e-08
1813,8.627225156487839e-09,2.8757416448144113e-09
1814,3.776012391654149e-08,3.1466771410748606e-09
1815,1.8880564667256294e-08,5.394447111228828e-09
1816,2.0858434979231788e-08,6.952811659743929e-09
1817,4.3592454090912724e-08,1.0898114055635233e-07
1818,9.536941902865692e-09,2.741870730460505e-08
1819,3.2088255608186955e-08,4.140419918030602e-08
1820,5.458581142647745e-08,3.441279616822612e-08
1821,1.2819934447350079e-08,1.7750679148775816e-08
1822,4.912551787583652e-08,1.5038423839541792e-08
1823,1.8777104315859106e-08,1.8777104315859106e-08
1824,1.6000115010683658e-08,9.263223965660927e-09
1825,4.0505039322624725e-08,1.4088708866211164e-08
1826,3.5231937367541377e-09,5.284790383086602e-09
1827,2.488663675137559e-08,3.041700225026034e-08
1828,3.118582370120748e-08,5.319934714975716e-08
1829,3.8579290873030914e-08,1.457439946506156e-08
1830,1.6698937344017395e-08,1.2524203008013046e-08
1831,1.091384405071949e-08,1.5591206103948707e-09
1832,3.788391467196561e-08,2.841293600397421e-08
1833,6.370995464521911e-08,8.108539617524002e-09
1834,2.14694217959277e-08,2.7070139907436896e-08
1835,2.4958190181223472e-08,1.9664028627630614e-08
1836,3.091545153210973e-08,1.0753200108126748e-08
1837,1.1828414692161004e-08,2.2961039292113128e-08
1838,3.408567295082321e-08,2.398621568033832e-08
1839,5.3135210009713774e-08,2.586845759822154e-08
1840,3.184844388215424e-08,1.9746034141121527e-08
1841,2.8250413564023802e-08,1.4125206782011901e-08
1842,3.7566284305512454e-08,2.683306021822318e-08
1843,4.666459574309556e-08,3.4260082770742883e-08
1844,2.5247381074677833e-08,3.622450606144412e-08
1845,2.2320911341466854e-08,1.4508592549589139e-08
1846,3.219975752699611e-08,2.4003455223464698e-08
1847,2.0494249852731627e-08,2.6966118227278457e-08
1848,3.942158599556933e-08,1.528592186161859e-08
1849,2.8490010350878947e-08,1.5920887719289567e-08
1850,1.9009188889640427e-08,3.8018377779280854e-08
1851,2.3217978650791338e-08,1.2898877521649865e-08
1852,9.765818376195057e-09,2.0833745395520964e-08
1853,2.329053394589664e-08,1.791579506971175e-08
1854,3.4291385730966795e-08,1.8184826089395756e-08
1855,4.192480318465641e-08,2.3350523292720027e-08
1856,2.2779632402603056e-08,1.7602443946884705e-08
1857,2.5383847912507917e-08,3.8075771868761876e-08
1858,3.8170671956549995e-08,2.0064071293290908e-08
1859,2.4442432078330967e-08,1.4258085379026397e-08
1860,3.249800428761773e-08,2.334363813361051e-08
1861,2.4994607272788016e-08,3.395494019287071e-08
1862,3.7951085829490694e-08,1.9427341513278407e-08
1863,2.4973104473247076e-08,2.597202808374277e-08
1864,1.6781548595190543e-08,1.6302074357099627e-08
1865,2.58876440284439e-08,2.9653119071326728e-08
1866,2.2868380966656332e-08,2.1408697037372804e-08
1867,2.3778776281346836e-08,2.426405742994575e-08
1868,2.5193358510477992e-08,2.321740844024589e-08
1869,9.767038733343725e-09,1.8557372527538973e-08
1870,1.4335121534259088e-08,2.2936195165357276e-08
1871,1.6993883633631413e-08,2.1242353653860846e-08
1872,2.3584624031514068e-08,1.3908880269752899e-08
1873,2.9331422624068182e-08,5.9860045809045914e-09
1874,2.7483201492373155e-08,1.8521287614703397e-08
1875,2.9179789251543298e-08,3.2612703648737806e-08
1876,3.204387866162506e-08,1.9951848173604958e-08
1877,3.3398006138440905e-08,2.535774612510977e-08
1878,1.268208649207736e-08,2.8383716710322915e-08
1879,2.443730195977878e-08,8.55305515301552e-09
1880,1.9253539207397807e-08,1.4761046607247863e-08
1881,2.091752193678076e-08,1.2550513517339823e-08
1882,3.1945848633085916e-08,1.6638463051776853e-08
1883,1.4534479397809719e-08,2.1485751844352308e-08
1884,2.442627788923346e-08,2.706695667598069e-08
1885,1.160214413431504e-08,2.3848851782304337e-08
1886,1.871504551331782e-08,2.3877817056927597e-08
1887,2.6115698048556624e-08,2.8074376601239237e-08
1888,1.7119660356001987e-08,2.599652049184442e-08
1889,1.1903759755682586e-08,2.944614330147033e-08
1890,1.5075089621063853e-08,4.391439034634459e-08
1891,1.529812720946211e-08,2.4859458491732767e-08
1892,2.1312942521944933e-08,2.8835156484774416e-08
1893,1.9091091374434654e-08,2.5249507373814595e-08
1894,9.452309157609307e-09,1.827446460822557e-08
1895,1.444467478961542e-08,2.5278181325916194e-08
1896,1.7101383420481397e-08,1.8870492723976895e-08
1897,1.806281169081103e-08,1.2818770045441852e-08
1898,1.640922953072277e-08,1.584339415217073e-08
1899,1.9346524382513053e-08,2.04520400615138e-08
1900,1.972600216504361e-08,1.0901211489056095e-08
1901,2.0678333711998675e-08,1.956058603980182e-08
1902,1.8659077838378835e-08,1.0311596021495006e-08
1903,1.0800440541913758e-08,1.1880484152015924e-08
1904,1.0211787859759625e-08,1.0749250378694342e-08
1905,1.3934049469810361e-08,1.8062657147766004e-08
1906,1.0802787109298606e-08,1.1317205839134203e-08
1907,1.2342823652033985e-08,2.4171363577352167e-08
1908,1.3751889405000384e-08,1.964555629285769e-08
1909,1.5402754627302784e-08,2.3104130164597336e-08
1910,1.336037680488289e-08,3.313373397872965e-08
1911,2.2877609140437016e-08,1.5961122201701983e-08
1912,2.1879568379290504e-08,2.4484279492753558e-08
1913,2.0151361468379037e-08,2.3863453435524207e-08
1914,1.6741859454327823e-08,1.808120764223986e-08
1915,1.4136913861761968e-08,2.3561524287174507e-08
1916,2.966614687238689e-08,1.8678685265172135e-08
1917,9.869782324756216e-09,2.631941953268324e-08
1918,1.4932290071101306e-08,4.3648228142956214e-08
1919,1.012863304339362e-08,1.2890987832747669e-08
1920,6.815008557481406e-09,2.1202248845497706e-08
1921,2.0446417892117097e-08,2.0446417892117097e-08
1922,1.3280283539529592e-08,1.8444838545406128e-08
1923,8.492758496458919e-09,1.5923921736771263e-08
1924,1.675911143195208e-08,2.4494086758863887e-08
1925,3.299453377181294e-09,1.9796720707176974e-08
1926,8.916910765321973e-09,3.009457216762712e-08
1927,2.7873062080630007e-08,2.4528294062520217e-08
1928,1.9424270192303084e-08,1.2568645679778001e-08
1929,1.0026365515614089e-08,2.785101571589621e-08
1930,1.470504518152893e-08,2.520864939015155e-08
1931,1.2545892325022123e-08,1.2545892325022123e-08
1932,1.2055489939655217e-08,1.753525857850491e-08
1933,9.176529758292418e-09,2.064719240024715e-08
1934,1.1981580172459871e-08,1.7972370258689807e-08
