year,avait_VERB envoyé_VERB,avait_VERB renvoyé_VERB
1800,1.8770662109091063e-06,1.7292904885835014e-07
1801,2.152589104298386e-06,2.881230898310605e-07
1802,1.3471797046804568e-06,1.5888664961494214e-07
1803,2.3404070361721097e-06,1.6577882888668682e-07
1804,2.0986014988011448e-06,2.2988213288499537e-07
1805,2.6836764845938887e-06,2.1321582721611776e-07
1806,2.3860220608185045e-06,1.613734639249742e-07
1807,4.0512172745366115e-06,5.209927849136875e-07
1808,2.0779898477485403e-06,1.8808414381510374e-07
1809,3.9397491491399705e-06,3.0496912017952127e-07
1810,1.811258130146598e-06,4.1888267787726363e-07
1811,5.249818968877662e-06,3.8107566524558933e-07
1812,2.7898997814190807e-06,9.068508006748743e-07
1813,3.7269612676027464e-06,4.744973693959764e-07
1814,3.288277639512671e-06,4.185080513252615e-07
1815,3.7761130897706607e-06,3.7761128623969853e-07
1816,2.8552879030030454e-06,2.64206846622983e-07
1817,4.292299763619667e-06,3.720927566064347e-07
1818,4.522894869296579e-06,2.7657131340674823e-07
1819,4.46751300842152e-06,3.115665947461821e-07
1820,5.491807314683683e-06,4.54486240641927e-07
1821,5.074721684650285e-06,4.0727945815888233e-07
1822,5.8880441429209895e-06,5.022833420298412e-07
1823,5.461172804643866e-06,5.692427862413751e-07
1824,6.7040477915725205e-06,6.189517876009631e-07
1825,6.128588211140595e-06,6.498416951217223e-07
1826,6.556663720402867e-06,7.759834375065111e-07
1827,5.847437932970934e-06,6.581133220606716e-07
1828,5.5941864047781564e-06,7.979901965882163e-07
1829,6.407591627066722e-06,6.369869538502826e-07
1830,5.317567683960078e-06,6.293411729529907e-07
1831,5.007895197195467e-06,5.566060394812666e-07
1832,5.3308081078284886e-06,7.414423066620657e-07
1833,5.257808879832737e-06,3.741511989119317e-07
1834,5.115322892379481e-06,4.4152332634439517e-07
1835,5.561138550547184e-06,5.384918608797307e-07
1836,5.35307754034875e-06,4.207189476801432e-07
1837,5.692250397260068e-06,4.905313062408823e-07
1838,6.286281859502196e-06,5.346400939743035e-07
1839,6.234298325580312e-06,4.866066660724755e-07
1840,7.035957878542831e-06,5.242253564574639e-07
1841,5.266776042844867e-06,4.48154281684765e-07
1842,6.669356935162796e-06,6.27222789262305e-07
1843,5.2618765948864166e-06,3.833585253687488e-07
1844,6.897475032019429e-06,4.77504841001064e-07
1845,6.369830316543812e-06,5.234253990238358e-07
1846,5.343988959793933e-06,5.444686053124315e-07
1847,5.679064543073764e-06,6.88175362029142e-07
1848,4.9236755330639426e-06,5.100670819047082e-07
1849,5.610018433799269e-06,6.16724946667091e-07
1850,4.831049409403931e-06,4.243122475600103e-07
1851,4.978321612725267e-06,4.7145397275016876e-07
1852,4.625742349162465e-06,4.69410338155285e-07
1853,4.888623607257614e-06,4.849208607993205e-07
1854,5.344780220184475e-06,4.421510482188751e-07
1855,5.289954970066901e-06,5.206105129218486e-07
1856,5.5261316447285935e-06,4.5559264094663376e-07
1857,5.379911272029858e-06,3.612316845647001e-07
1858,4.998889835405862e-06,4.6147366106197296e-07
1859,5.278037860989571e-06,3.8293143234113813e-07
1860,6.0542411119968165e-06,4.114888270123629e-07
1861,4.9154491534864064e-06,4.102888340185018e-07
1862,5.491160663950723e-06,4.2966050273207657e-07
1863,5.21488345839316e-06,4.5051478991808835e-07
1864,4.271143552614376e-06,4.166618623457907e-07
1865,4.827810244023567e-06,4.0761273112366325e-07
1866,4.8660995162208565e-06,3.644344133135746e-07
1867,4.579598225973314e-06,4.032686433674826e-07
1868,4.581733264785726e-06,3.6703264072457387e-07
1869,4.4566995711647905e-06,4.1412241102989356e-07
1870,4.979448021913413e-06,4.1055790234167944e-07
1871,4.581976099871099e-06,3.515609705573297e-07
1872,5.11967755301157e-06,3.743303125247621e-07
1873,4.559539775073063e-06,3.2623725587654917e-07
1874,5.048544608143857e-06,2.802091785270022e-07
1875,4.747151251649484e-06,3.4443593222022173e-07
1876,4.133660240768222e-06,3.240664057102549e-07
1877,4.80065409647068e-06,3.3830943380053213e-07
1878,4.569778411678271e-06,2.7719417516891554e-07
1879,4.4518651520775165e-06,3.1035372671794903e-07
1880,4.487358182814205e-06,3.420712175739027e-07
1881,4.302734396333108e-06,3.284050933416438e-07
1882,4.894370249530766e-06,3.9466434031965036e-07
1883,4.360975708550541e-06,3.0648794790977263e-07
1884,4.328072463977151e-06,2.917950041592121e-07
1885,4.134230948693585e-06,3.1648070830669894e-07
1886,4.4219136725587305e-06,3.3106269370364316e-07
1887,3.677090262499405e-06,3.1077681228453e-07
1888,3.984442173532443e-06,3.094220062394015e-07
1889,4.071085641044192e-06,3.665105055006279e-07
1890,3.8611892705375794e-06,3.1461055982617836e-07
1891,3.909946372004924e-06,3.5823117627842294e-07
1892,3.6977953641326167e-06,3.1781357279214717e-07
1893,3.5946677598985843e-06,2.7836043159368273e-07
1894,3.632207153714262e-06,3.112960484941141e-07
1895,3.938581357942894e-06,3.8699690207977255e-07
1896,3.943932824768126e-06,3.396688725842978e-07
1897,3.5933342132921098e-06,3.3620136719036964e-07
1898,3.3005183013301576e-06,2.761277073659585e-07
1899,3.6758397072844673e-06,3.007002646882029e-07
1900,3.605705614972976e-06,2.9225628850326757e-07
1901,3.2716477562644286e-06,2.8279018238208664e-07
1902,3.325735178805189e-06,2.2047174752515275e-07
1903,3.3556968901393702e-06,2.602906192805676e-07
1904,3.2145633213076508e-06,2.3325873144131037e-07
1905,3.3426235859224107e-06,2.8900251436425606e-07
1906,3.2233460842689965e-06,2.3508923163717554e-07
1907,3.065649025302264e-06,2.4068506832009007e-07
1908,3.3790356610552408e-06,3.2366054369958874e-07
1909,3.232378048778628e-06,2.4589397185081907e-07
1910,3.1225872589857318e-06,2.4903741291382175e-07
1911,3.3725850698829163e-06,2.4367312789763673e-07
1912,3.2944378745014546e-06,2.938113539130427e-07
1913,3.2109603580465773e-06,2.7999786311738717e-07
1914,3.1434515221917536e-06,2.745665028669464e-07
1915,2.9039579203526955e-06,1.955606450110281e-07
1916,2.9281586648721714e-06,1.7689814058030606e-07
1917,2.8435938475013245e-06,2.599042545625707e-07
1918,2.745244046309381e-06,2.366193569969255e-07
1919,2.575435246399138e-06,2.071765834443795e-07
1920,2.6427089778735535e-06,2.6805699349097267e-07
1921,2.5118802113865968e-06,1.9992053523765208e-07
1922,2.4465234673698433e-06,2.1322233578757732e-07
1923,2.652925331858569e-06,1.9427184838605172e-07
1924,2.7833016247313935e-06,2.114226447247347e-07
1925,2.9101179279678036e-06,2.5625755029068387e-07
1926,2.7687008241628064e-06,2.5301733330707066e-07
1927,2.98018790090282e-06,2.7204109187550785e-07
1928,2.6702657578425715e-06,1.9424270192303084e-07
1929,3.069181957471301e-06,2.317204490509539e-07
1930,2.8443757855711738e-06,2.2582747760679922e-07
1931,2.8570418635354144e-06,2.2240445218812965e-07
1932,2.8242725420568604e-06,2.016554674355575e-07
1933,3.2094912967295386e-06,1.7550112829667341e-07
1934,3.0133674044918735e-06,1.8691264358494664e-07
1935,2.623447926453082e-06,1.7593377776847774e-07
1936,2.708661213546293e-06,2.230947444559206e-07
1937,2.817892209350248e-06,2.329356902919244e-07
1938,2.4257915356429294e-06,1.815130019622302e-07
1939,2.3430484361597337e-06,1.5294050115244318e-07
1940,2.703144673432689e-06,1.9779106708028849e-07
1941,2.7360429157852195e-06,1.6528414903405064e-07
1942,2.6822431209438946e-06,1.2136847260535433e-07
1943,2.8538802325783763e-06,1.4806499848418753e-07
1944,2.946491804323159e-06,1.799384250489311e-07
1945,2.814627123370883e-06,2.418139501969563e-07
1946,2.589325504231965e-06,2.3944298277456255e-07
1947,2.6416651053295936e-06,3.218635242774326e-07
1948,2.3396303276967956e-06,2.837562647073355e-07
1949,2.0556815343297785e-06,1.9732186729015666e-07
1950,2.0685777144535678e-06,2.0845308768002724e-07
1951,2.408410637144698e-06,2.0256663901818683e-07
1952,2.1405951429187553e-06,2.2144088518416538e-07
1953,2.3109860194381326e-06,1.626847989655289e-07
1954,2.168525725210202e-06,2.013142506029908e-07
1955,2.2065564735385124e-06,1.745723068324878e-07
1956,2.138423951691948e-06,1.7703916910249973e-07
1957,2.229963456557016e-06,1.8995331174664898e-07
1958,2.010982370848069e-06,1.5882707771197602e-07
1959,2.205862756454735e-06,1.875680908369759e-07
1960,2.0762499843840487e-06,1.3910874940847862e-07
1961,2.2706583422404947e-06,1.917691889730122e-07
