year,devrait_VERB aller_VERB
1800,2.829747991484055e-08
1801,1.6668277424969347e-08
1802,2.6854081625060644e-08
1803,3.705644502360883e-08
1804,1.2359254952798437e-08
1805,2.2743021688143017e-08
1806,8.645007376628655e-09
1807,5.693910232196231e-09
1808,2.2660739062985158e-08
1809,3.840352036377226e-08
1810,2.8081521108447305e-08
1811,1.7549536934780008e-08
1812,6.668020802180763e-08
1813,0.0
1814,3.1466771410748606e-09
1815,4.315557688983063e-08
1816,4.6352077731626196e-09
1817,4.514932783195036e-08
1818,3.099506074022429e-08
1819,4.34744116262209e-08
1820,3.085285271708926e-08
1821,5.9168929311681495e-08
1822,4.712039469723095e-08
1823,2.2730180404550993e-08
1824,2.6947560627377243e-08
1825,3.258013947515792e-08
1826,3.787433300317389e-08
1827,8.664236617050847e-08
1828,4.494427585655103e-08
1829,7.544394975411706e-08
1830,4.0703660886265425e-08
1831,7.171954763407484e-08
1832,1.055337577327009e-07
1833,6.834341093053808e-08
1834,7.374279675786966e-08
1835,4.840376277570613e-08
1836,4.2340726480460944e-08
1837,6.192522761239161e-08
1838,4.3553917805638775e-08
1839,7.2012191765225e-08
1840,7.006657654073933e-08
1841,5.264849889385914e-08
1842,4.427455024824667e-08
1843,6.3794637128467e-08
1844,6.147188713612195e-08
1845,5.30121653241622e-08
1846,5.1519613464279246e-08
1847,4.907833428546837e-08
1848,3.700802153616678e-08
1849,7.206296714912241e-08
1850,6.653215933738466e-08
1851,9.02921399870138e-08
1852,3.906327350478023e-08
1853,7.046879346717105e-08
1854,6.598494195486637e-08
1855,5.837630823180007e-08
1856,8.387046790403474e-08
1857,6.053070933376148e-08
1858,7.732008100447274e-08
1859,6.212451353349024e-08
1860,6.408057373619158e-08
1861,5.3761986862355116e-08
1862,6.68661996883202e-08
1863,6.443060840410908e-08
1864,6.808513575151665e-08
1865,9.366620190576214e-08
1866,5.93604774223877e-08
1867,8.686532737556263e-08
1868,5.680855252876427e-08
1869,6.690421372468336e-08
1870,3.7844721134661086e-08
1871,7.222400455475508e-08
1872,6.047338985126771e-08
1873,4.908523720814628e-08
1874,5.317401985394099e-08
1875,6.522540729747561e-08
1876,5.1995726835230016e-08
1877,5.999271479595336e-08
1878,6.944951991272319e-08
1879,7.392283407625655e-08
1880,5.455169471701993e-08
1881,7.460582907015123e-08
1882,6.122954232523625e-08
1883,7.393626333396242e-08
1884,5.413391335196138e-08
1885,5.349877696403382e-08
1886,4.323820945728585e-08
1887,8.357023517646667e-08
1888,5.452928775184773e-08
1889,5.951880055476977e-08
1890,4.5880703680722945e-08
1891,4.9081492647928826e-08
1892,4.4506439422775657e-08
1893,5.665743074700913e-08
1894,8.192001388351855e-08
1895,8.125129369318529e-08
1896,7.31231608597227e-08
1897,6.001514663012131e-08
1898,3.960848360406999e-08
1899,5.638129962903804e-08
1900,7.267474444461186e-08
1901,7.153585812602614e-08
1902,6.481574388317313e-08
1903,6.696273402440056e-08
1904,7.578221783433037e-08
1905,8.721682576151579e-08
1906,1.0031159547452262e-07
