year,ont_VERB accroché_VERB,ont_VERB raccroché_VERB
1800,3.144164484325529e-09,0.0
1801,1.904946067554647e-08,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,2.842877755426798e-08,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,9.036122072814123e-09,0.0
1810,7.020380277111826e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,2.5881675469463516e-08,0.0
1814,6.293354282149721e-09,0.0
1815,5.394447111228828e-09,0.0
1816,4.1716869958463576e-08,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,2.070210003424222e-09,0.0
1820,4.746592452420373e-09,0.0
1821,3.4515210245444905e-08,0.0
1822,1.0025615893027862e-09,0.0
1823,5.929612356680991e-09,0.0
1824,1.0105335235266466e-08,0.0
1825,4.4027217427355936e-09,0.0
1826,3.5231937367541377e-09,0.0
1827,7.373818444733615e-09,0.0
1828,9.172301251858528e-10,0.0
1829,8.57317605795771e-10,0.0
1830,6.262101504006523e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,1.8941957335982806e-08,0.0
1833,2.3167257001688313e-09,0.0
1834,9.334530925997342e-10,0.0
1835,1.5126175867408165e-09,0.0
1836,2.688300027031687e-09,0.0
1837,2.435261770017405e-08,0.0
1838,1.2624323808552163e-08,0.0
1839,1.3982950353153e-09,0.0
1840,1.9109065441114126e-09,0.0
1841,7.0626033910059505e-09,0.0
1842,6.708265054555795e-10,0.0
1843,1.1813822142769936e-09,0.0
1844,1.6465684371524958e-09,0.0
1845,2.2320911785556063e-09,0.0
1846,2.3418005312692003e-09,0.0
1847,1.6179670936367074e-09,0.0
1848,2.413566457803995e-09,0.0
1849,2.513824481908955e-09,0.0
1850,2.0366988096043315e-09,0.0
1851,3.2247193804124663e-09,0.0
1852,0.0,0.0
1853,7.763511611358354e-09,0.0
1854,6.234797567117312e-09,0.0
1855,3.714855978387277e-09,0.0
1856,5.694908100650764e-09,0.0
1857,4.393358121745905e-09,0.0
1858,5.872411001917044e-09,0.0
1859,5.601390462572908e-09,0.0
1860,1.0069804545764782e-08,0.0
1861,1.4147890858851042e-08,0.0
1862,2.2589932147099034e-09,0.0
1863,9.489779628779615e-09,0.0
1864,5.753673537611803e-09,0.0
1865,7.0602665935837194e-09,0.0
1866,4.865612801552288e-09,0.0
1867,4.367530337390235e-09,0.0
1868,7.903798504571569e-09,0.0
1869,1.953407657850903e-09,0.0
1870,7.454262984651905e-09,0.0
1871,1.1683295220166201e-08,0.0
1872,6.047339518033823e-09,0.0
1873,1.616221290134945e-08,0.0
1874,2.3898436563030145e-09,0.0
1875,4.577221712764867e-09,0.0
1876,4.836811839936672e-09,0.0
1877,8.658742167710898e-09,0.0
1878,7.850815109122777e-09,0.0
1879,1.832797580370027e-09,0.0
1880,3.8507077526617195e-09,0.0
1881,5.5780060570498335e-09,0.0
1882,8.652000893505374e-09,0.0
1883,1.9589950994713945e-08,0.0
1884,1.386356363042296e-08,0.0
1885,1.0957580620640783e-08,6.445635691854079e-10
1886,9.680196200179125e-09,0.0
1887,1.6322312390570914e-08,0.0
1888,9.510921827882157e-09,1.9021844099853524e-09
1889,6.891650361495749e-09,6.265136742733546e-10
1890,7.209825181320184e-09,0.0
1891,2.5496880162734215e-09,0.0
1892,8.149066310636499e-09,0.0
1893,9.853466487186324e-09,0.0
1894,1.071261657159539e-08,6.301539290376468e-10
1895,9.629783193076946e-09,0.0
1896,8.845543852942228e-09,0.0
1897,8.157399200570126e-09,0.0
1898,2.26334195829736e-09,0.0
1899,1.4371703827009696e-08,5.527578395003729e-10
1900,6.22926377147337e-09,2.07642125715779e-09
1901,1.1736351446245408e-08,0.0
1902,1.3748794991386148e-08,6.874397495693074e-09
1903,1.2420506401156217e-08,1.0800440541913758e-09
1904,1.6123875568041512e-08,0.0
1905,9.28936660926638e-09,1.5482277682110634e-09
1906,1.8519063615940468e-08,4.629765903985117e-09
1907,7.71426478252124e-09,5.142843484406967e-09
1908,1.1787333775714615e-08,2.9468334439286537e-09
1909,1.5402754627302784e-08,0.0
1910,9.619471441624228e-09,0.0
1911,7.448523575703803e-09,1.0640748282497725e-09
1912,7.293189607793238e-09,1.5628263128064646e-09
1913,1.0075680734189518e-08,2.121195885607108e-09
1914,1.6072185360371805e-08,6.696743715117748e-10
1915,2.9451904026700504e-08,0.0
1916,3.076489463182952e-08,2.197492410260793e-09
1917,2.631941953268324e-08,0.0
1918,1.378365155346728e-08,0.0
1919,1.5653341733923298e-08,9.207848372660976e-10
1920,2.1959472462640406e-08,0.0
1921,1.8931869405491852e-08,0.0
1922,1.1804696775641332e-08,1.4755870969551665e-09
1923,1.4862327368803108e-08,4.246379248229459e-09
1924,1.804827398643738e-08,0.0
1925,8.798542339150117e-09,0.0
1926,1.2260752413340015e-08,0.0
