year,peuvent_VERB enseigner_VERB,peuvent_VERB renseigner_VERB
1800,1.5720821977538435e-08,0.0
1801,4.524246932646747e-08,0.0
1802,2.6854081625060644e-08,0.0
1803,3.510610468993036e-08,0.0
1804,2.2246657849223084e-08,0.0
1805,2.842877711017877e-09,0.0
1806,2.305335300434308e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,1.5862518409903714e-08,0.0
1809,7.00299480627109e-08,0.0
1810,1.6380887757350138e-08,0.0
1811,7.521229861140455e-09,0.0
1812,2.400487453257938e-08,0.0
1813,8.627225156487839e-09,0.0
1814,3.776012391654149e-08,0.0
1815,8.091670444798638e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,1.71256075987003e-08,0.0
1818,2.026600220972341e-08,0.0
1819,1.1386155129855524e-08,0.0
1820,1.4239777357261119e-08,0.0
1821,3.8459806006585495e-08,0.0
1822,3.909990198280866e-08,1.0025615893027862e-09
1823,1.7788837070042973e-08,0.0
1824,3.705289586264371e-08,0.0
1825,2.0252519661312363e-08,0.0
1826,3.963592831723872e-08,0.0
1827,4.424290978022327e-08,0.0
1828,5.319934714975716e-08,0.0
1829,3.8579290873030914e-08,0.0
1830,3.5485243188304594e-08,0.0
1831,5.14509785887185e-08,0.0
1832,3.788391467196561e-08,0.0
1833,3.243415847009601e-08,0.0
1834,5.0406466556296436e-08,9.334530925997342e-10
1835,2.4958190181223472e-08,0.0
1836,3.024337402735e-08,0.0
1837,2.365682938432201e-08,0.0
1838,2.3354999711955315e-08,0.0
1839,3.355908262392404e-08,0.0
1840,4.0766007458614695e-08,0.0
1841,4.1091510638580075e-08,0.0
1842,2.4820581145945653e-08,0.0
1843,4.666459574309556e-08,0.0
1844,4.555505839221041e-08,0.0
1845,2.7901139176833567e-08,0.0
1846,6.14722637237719e-08,0.0
1847,4.2067142658197554e-08,1.6179670936367074e-09
1848,5.148941895072312e-08,8.84974404868899e-09
1849,4.524883934209356e-08,0.0
1850,6.042206734946376e-08,0.0
