year,fallait_VERB appliquer_VERB
1800,1.8864987794131594e-08
1801,7.143547975374531e-09
1802,4.475680270843441e-09
1803,1.755305234496518e-08
1804,3.460591457837836e-08
1805,3.4114531644036106e-08
1806,2.305335300434308e-08
1807,3.131650672116848e-08
1808,4.985362878073829e-08
1809,3.388545621874073e-08
1810,5.148278958699848e-08
1811,4.262030373070047e-08
1812,5.601137331723294e-08
1813,5.463909147351842e-08
1814,2.5173417128598885e-08
1815,1.0788894222457657e-08
1816,1.8540831092650478e-08
1817,3.113746771532533e-08
1818,7.391130196765516e-08
1819,1.2421260464634543e-08
1820,6.289234733003468e-08
1821,5.226588939422072e-08
1822,5.6143449000956025e-08
1823,2.569498569471307e-08
1824,2.189489300974401e-08
1825,8.893497494000258e-08
1826,4.7563116112314674e-08
1827,7.281645508783186e-08
1828,6.604057034564903e-08
1829,4.886710414098161e-08
1830,7.931995327226105e-08
1831,8.886987501455224e-08
1832,6.900284432731496e-08
1833,6.139323005527331e-08
1834,1.0174638731541563e-07
1835,2.8739734148075513e-08
1836,5.376600142881216e-08
1837,5.5663129217009555e-08
1838,7.385229139345029e-08
1839,6.781731087812659e-08
1840,5.350538501147639e-08
1841,7.897274656443187e-08
1842,6.842430622100437e-08
1843,7.560846171372759e-08
1844,5.817874892954933e-08
1845,6.082448322786149e-08
1846,8.957387365171599e-08
1847,7.874106700000993e-08
1848,1.3757329497821047e-07
1849,7.960444037280467e-08
1850,7.671565782629841e-08
1851,5.0305622778523684e-08
1852,8.333498158208386e-08
1853,5.912212586167698e-08
1854,6.598494195486637e-08
1855,5.943769565419643e-08
1856,7.714012184578678e-08
1857,5.369659916709679e-08
1858,5.970284888690003e-08
1859,5.1940169498720934e-08
1860,7.735440732403731e-08
1861,6.083593007133459e-08
1862,4.608346060308577e-08
1863,5.1444594362237694e-08
1864,5.418042547944424e-08
1865,8.33111428732991e-08
1866,6.714545719432863e-08
1867,7.085104414272791e-08
1868,4.2482916740027576e-08
1869,6.153234011208042e-08
1870,7.0528798801206e-08
1871,4.248470730772169e-08
1872,5.624025689598966e-08
1873,5.8662845248136364e-08
1874,5.436894312538243e-08
1875,4.405575992905142e-08
1876,6.95291717534019e-08
1877,3.958282235316801e-08
1878,1.3587948899385083e-07
1879,5.1318330918093125e-08
1880,9.305877313181554e-08
1881,7.39085805889772e-08
1882,9.650308641084848e-08
1883,6.635305993540896e-08
1884,6.139578090369469e-08
1885,7.992588280103519e-08
1886,6.517998230037847e-08
1887,1.3123138842274784e-07
1888,7.22830080235326e-08
1889,6.891650627949275e-08
1890,9.045053417366944e-08
1891,7.904032628403002e-08
1892,9.277398049789554e-08
1893,1.0099802949525838e-07
1894,6.301539201558626e-08
1895,8.726991040930443e-08
1896,4.2458609073037223e-08
1897,6.933789364893528e-08
1898,5.545187775624072e-08
1899,6.522542150833033e-08
1900,6.333085167398167e-08
1901,6.985923306501718e-08
1902,5.548620762851897e-08
1903,7.020286574288548e-08
1904,4.998401337275027e-08
1905,4.18021492976095e-08
1906,5.555719440053508e-08
1907,6.119983453345412e-08
1908,5.402527847309102e-08
1909,5.611003217609323e-08
1910,7.374927690761979e-08
1911,7.714542249459555e-08
1912,4.532196484774431e-08
1913,7.530245227371779e-08
1914,7.232483056895944e-08
1915,5.183535378705528e-08
1916,3.955486249651585e-08
1917,3.947912929902486e-08
1918,4.3648228142956214e-08
1919,5.616787390749778e-08
1920,4.316171953178127e-08
1921,6.966927657003907e-08
1922,6.78770035733578e-08
1923,7.325004247604738e-08
1924,4.383152329978657e-08
1925,6.268961527666761e-08
1926,4.0126099776216506e-08
1927,7.358488574027433e-08
1928,3.313552099371009e-08
1929,6.238627747734427e-08
1930,5.7769820926978355e-08
1931,7.071321306284517e-08
1932,7.671675916753884e-08
1933,6.997103696448903e-08
1934,4.7926320689839486e-08
1935,4.0692164304800826e-08
1936,4.4861444337129797e-08
1937,5.414180748175568e-08
1938,3.1116513810047763e-08
1939,5.6587985852729616e-08
1940,2.5357829613881222e-08
1941,2.3612020783048138e-08
1942,3.034211815133858e-08
1943,4.064529335323641e-08
1944,2.2492303131116387e-08
1945,3.703456741277478e-08
1946,4.454753366189834e-08
1947,6.556479092978407e-08
1948,3.4790041070209554e-08
1949,3.5341230386620737e-08
1950,4.785912821603233e-08
1951,3.4116485636559446e-08
1952,6.643226413416414e-08
1953,3.663101466599983e-08
1954,4.29991580119804e-08
1955,6.382213513234092e-08
1956,3.750090726839517e-08
1957,4.4175187952077977e-08
1958,4.6324561964183886e-08
1959,4.4954337141689393e-08
1960,3.3220000972278285e-08
1961,5.419564175213054e-08
1962,5.45408234131628e-08
1963,4.267594988505152e-08
1964,4.258777863697105e-08
1965,5.581484074923537e-08
1966,4.154306054715562e-08
1967,3.64844829903177e-08
1968,5.88375463905777e-08
1969,4.5871754394966047e-08
1970,4.6447123480675145e-08
1971,4.059333846839763e-08
1972,4.15541911991113e-08
1973,3.473318344049403e-08
1974,3.1503201824989446e-08
1975,3.940921189382607e-08
1976,4.2280099421532213e-08
1977,3.761140376923322e-08
1978,2.1386128423728223e-08
1979,3.6282234106010947e-08
1980,2.3309118191150446e-08
1981,3.7320742052315836e-08
1982,2.9175261317959666e-08
1983,3.536576898000021e-08
1984,3.537395087960249e-08
1985,3.188245756291508e-08
1986,2.577628777089558e-08
1987,2.3221103262471843e-08
1988,6.056519197272792e-08
1989,3.347754429228189e-08
1990,3.650596269721973e-08
1991,4.2202550787351356e-08
1992,3.03046938654461e-08
1993,2.8803878393546256e-08
1994,3.164955941770131e-08
1995,3.5788175978268555e-08
1996,3.736664666575962e-08
1997,3.5482219828963935e-08
1998,4.052909829965756e-08
1999,3.3362468343511864e-08
2000,2.783359853708589e-08
2001,3.811654281093979e-08
2002,3.724038322161505e-08
2003,3.5835537204320644e-08
2004,3.7000248198637564e-08
2005,2.522099862289906e-08
2006,2.635449547483404e-08
2007,3.235528467371296e-08
2008,3.278228533076799e-08
2009,2.2410505451375684e-08
2010,1.8895171649546683e-08
2011,2.562061141020422e-08
2012,2.008509092377153e-08
2013,2.4544300814000053e-08
2014,2.663497511434798e-08
2015,2.4160671685535817e-08
2016,2.6306018696686806e-08
2017,2.5910797063488644e-08
2018,1.7295826992835828e-08
2019,2.5509876877549686e-08
