year,devait_VERB apporter_VERB,devait_VERB rapporter_VERB
1800,3.772997558826319e-08,4.087413785214267e-08
1801,3.333655484993869e-08,2.6193008650921e-08
1802,5.594600338554301e-08,1.5664880947952042e-08
1803,1.0336798084153997e-07,3.315576790896557e-08
1804,1.359518080334965e-07,4.69651695311768e-08
1805,1.1371511021707192e-07,7.107194477384837e-08
1806,7.204172902675055e-08,2.881669125542885e-09
1807,1.4234775846944103e-07,1.0249038240317532e-07
1808,7.931259204951857e-08,4.758755522971114e-08
1809,6.551188391767937e-08,1.5361408145508904e-07
1810,7.020380365929668e-08,7.020380365929668e-08
1811,4.763445815569867e-08,1.4039629547824006e-07
1812,4.800974906515876e-08,9.601949813031752e-08
1813,1.2653262615458516e-07,1.4091133948568313e-07
1814,2.5173417128598885e-08,5.349351184236184e-08
1815,6.47333635583891e-08,5.933891955578474e-08
1816,8.1116134253989e-08,3.7081662185300956e-08
1817,1.120948880384276e-07,2.0239355080775567e-08
1818,1.0490636270787945e-07,1.0729059596314983e-07
1819,1.0868602373648173e-07,5.589566853814176e-08
1820,5.93324074316115e-08,1.898636980968149e-08
1821,1.1636556251914953e-07,6.114122896860863e-08
1822,1.2832788343075663e-07,1.233150754842427e-07
1823,1.3143973376372742e-07,6.127265805844218e-08
1824,1.642116984612585e-07,5.052667617633233e-08
1825,9.15766094067294e-08,1.0038205289220059e-07
1826,1.1450379844291092e-07,1.039342123476672e-07
1827,1.2719836206542823e-07,9.217273344575005e-08
1828,1.2199160437376122e-07,9.447470006307412e-08
1829,1.4402935732960032e-07,9.601956918459109e-08
1830,2.1291144491897285e-07,6.366470017837855e-08
1831,1.6994414409055025e-07,5.6128342862393765e-08
1832,9.741577855493233e-08,1.1094574858816486e-07
1833,1.332117278707301e-07,7.645194699534841e-08
1834,1.474855935157393e-07,1.1948199585276598e-07
1835,1.701694714029145e-07,7.184933537018878e-08
1836,1.4718442287176003e-07,8.064900214321824e-08
1837,1.6072728215021925e-07,1.029767844329399e-07
1838,2.297626906511141e-07,5.617824072601252e-08
1839,2.1114254877829808e-07,1.1745678563102047e-07
1840,2.496917943517474e-07,6.942960339983983e-08
1841,1.4959877603359928e-07,1.1300165425609521e-07
