year,devraient_VERB envoyer_VERB,devraient_VERB renvoyer_VERB
1800,3.144164484325529e-09,0.0
1801,9.524730337773235e-09,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,8.645007376628655e-09,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,1.129515236897305e-08,0.0
1810,0.0,0.0
1811,0.0,5.0141535368197765e-09
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,1.3486118000116676e-08,0.0
1816,4.6352077731626196e-09,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,1.035105001712111e-09
1820,7.119888678630559e-09,0.0
1821,9.86148829262845e-10,0.0
1822,0.0,2.0051231786055723e-09
1823,6.917880934764753e-09,0.0
1824,0.0,8.421112696055388e-10
1825,4.4027217427355936e-09,7.924898959288385e-09
1826,4.403992281964975e-09,3.5231937367541377e-09
1827,1.6591091167583727e-08,3.6869092223668076e-09
1828,1.6510142586412258e-08,0.0
1829,1.5431716349212365e-08,4.286587973467704e-09
1830,0.0,0.0
1831,0.0,3.1182412207897414e-09
1832,1.3529969367098715e-09,4.058990921151917e-09
1833,1.1583628500844156e-09,1.853380560135065e-08
1834,2.8003592777992026e-09,1.8669061851994684e-09
1835,5.294161553592858e-09,5.294161553592858e-09
1836,5.376600054063374e-09,0.0
1837,4.87052354003481e-09,4.87052354003481e-09
1838,1.2624323808552163e-08,3.1560809521380406e-09
1839,6.9914751765765e-10,2.7965900706306e-09
1840,6.3696887764308485e-09,3.1848443882154243e-09
1841,5.778493683550323e-09,1.2841097074556274e-09
1842,5.366612043644636e-09,8.720745015011744e-09
1843,2.953455480181333e-09,2.953455480181333e-09
1844,3.841992946007622e-09,1.0977122322231025e-08
1845,2.2320911785556063e-09,6.138250796539069e-09
1846,2.3418005312692003e-09,1.1709002656346001e-08
1847,4.314578916364553e-09,2.6966118227278457e-09
1848,3.218088684420195e-09,2.413566457803995e-09
1849,3.3517659758786067e-09,7.54147322368226e-09
1850,5.431196825611551e-09,6.788996032014438e-10
1851,1.4188765717904062e-08,4.514607354622058e-09
1852,3.2552727180501506e-09,1.3021090872200602e-09
1853,4.180352064508952e-09,1.7915795513800958e-09
1854,1.1950028522278444e-08,9.352196350675968e-09
1855,5.837630823180007e-09,4.2455496895854594e-09
1856,9.836659486950339e-09,0.0
1857,6.345961978126979e-09,9.763018171682347e-10
1858,9.787352039936081e-10,0.0
1859,1.2221216039165483e-08,1.018434669930457e-09
1860,9.154367819341758e-10,9.154367819341758e-10
1861,8.017138064531082e-09,0.0
1862,9.035972525772706e-10,4.517986262886353e-10
1863,6.493007020935693e-09,9.989241656072068e-10
1864,5.753673537611803e-09,1.9178911792039344e-09
1865,2.3534221238463715e-09,1.882737743486018e-09
1866,1.3137154475373336e-08,3.8924903300596725e-09
1867,1.2132028714972876e-08,1.164674756637396e-08
1868,4.939874287401835e-09,5.433861360870651e-09
1869,5.860222973552709e-09,9.767038289254515e-10
1870,4.587239033071455e-09,0.0
1871,7.434824311758348e-09,0.0
1872,6.047339518033823e-09,2.4189357183956872e-09
1873,6.584604861359367e-09,0.0
1874,5.377148060148329e-09,2.9873046258899194e-09
1875,2.8607636259891933e-09,2.8607636259891933e-09
1876,4.836811839936672e-09,7.859819461941697e-09
1877,1.8554447978047506e-09,6.184816214727107e-09
1878,2.4156354694326865e-09,0.0
1879,5.498392852132383e-09,0.0
1880,1.2835692508872398e-09,6.417846254436199e-10
1881,1.8128519130300447e-08,6.972507571312292e-10
1882,6.655385131892899e-10,0.0
1883,6.319338829996468e-09,3.791603475633565e-09
1884,6.601696966868076e-09,0.0
1885,1.0957580620640783e-08,3.86738152613475e-09
1886,1.2261581083805595e-08,0.0
1887,1.6322312390570914e-08,1.3057849246322917e-09
1888,5.706553452000662e-09,1.9021844099853524e-09
1889,2.1301465480405568e-08,1.8795409673089125e-09
1890,7.865263995654459e-09,3.9326319978272295e-09
1891,7.649063604731055e-09,1.2748440081367107e-09
1892,1.5044429702015805e-08,3.1342561879199593e-09
1893,6.15841644346915e-09,6.158416554491453e-10
1894,5.041231432301174e-09,1.2603078580752936e-09
1895,7.824199066419624e-09,3.611168697403855e-09
1896,7.076434549446731e-09,0.0
1897,5.826713334045053e-09,3.4960281336537946e-09
1898,1.3580051749784161e-08,0.0
1899,1.7688250864011934e-08,0.0
1900,1.453494924419374e-08,5.191053142894475e-10
1901,1.8442838367604963e-08,5.588738916095792e-10
1902,4.910283735171106e-09,3.437198747846537e-09
1903,1.7280704867062013e-08,3.2401321625741275e-09
1904,4.837162670412454e-09,0.0
1905,8.257214467732865e-09,1.0321518084666081e-09
1906,1.0802787109298606e-08,0.0
1907,1.0799970695529737e-08,0.0
1908,1.1296195090437777e-08,1.964555629285769e-09
1909,9.901770070541716e-09,1.1001967115120692e-09
1910,8.550641084070776e-09,5.344150677544235e-10
1911,1.1704822888702893e-08,1.0640748282497725e-09
1912,1.1460726589973547e-08,6.251305251225858e-09
1913,3.71209285532359e-09,2.6514948014977335e-09
1914,1.339348720819089e-08,1.3393487430235496e-09
1915,3.180805663305364e-08,1.1780761921542648e-09
