year,ait_VERB appelé_VERB,ait_VERB rappelé_VERB
1800,1.0690159513160324e-07,1.2576657937302116e-08
1801,8.096020565062645e-08,7.143547975374531e-09
1802,1.857407312400028e-07,2.0140561218795483e-08
1803,1.1507001573818343e-07,2.7304748684287006e-08
1804,5.6852570651244605e-08,3.213406074564773e-08
1805,1.705726617728942e-07,5.401467717547348e-08
1806,6.339671898558663e-08,5.76333825108577e-09
1807,7.402083213037258e-08,5.693910232196231e-09
1808,1.246340701754889e-07,1.1330369531492579e-08
1809,1.2876473931555665e-07,6.551188391767937e-08
1810,1.2402671245581587e-07,3.042164919975221e-08
1811,7.019814773912003e-08,5.0141535368197765e-09
1812,9.868670503010435e-08,2.6672082320544632e-09
1813,8.339650747757332e-08,2.300593315851529e-08
1814,9.125363931161701e-08,9.440030979135372e-09
1815,1.1328339155625144e-07,8.091670444798638e-09
1816,7.879853569647821e-08,2.3176038865813098e-09
1817,2.631116160500824e-07,5.60474440192138e-08
1818,1.490147241156592e-07,3.457141417584353e-08
1819,1.801082731844872e-07,3.001804671498576e-08
1820,1.293446416639199e-07,3.797273961936298e-08
1821,2.0906355757688289e-07,2.7612166775270452e-08
1822,1.4236374568099563e-07,4.210758675071702e-08
1823,1.5318164514610544e-07,1.1859224713361982e-08
1824,9.094802067011187e-08,8.421112696055388e-09
1825,1.4617035049013793e-07,4.138558296062911e-08
1826,2.2019960965735663e-07,1.4973572604048968e-08
1827,2.2582318592867523e-07,5.2538457140371975e-08
1828,1.4217066279798019e-07,3.485474309172787e-08
1829,1.860379228446618e-07,7.715858174606183e-09
1830,1.2628571255390852e-07,3.5485243188304594e-08
1831,1.8709447147102765e-07,4.989185953263586e-08
1832,1.610066391322107e-07,5.141388470519814e-08
1833,1.8997150164068444e-07,2.7800709290204395e-08
1834,1.1948199585276598e-07,2.240287422239362e-08
1835,1.777325735474733e-07,4.0084366048631637e-08
1836,1.5256102869898314e-07,4.771732520225669e-08
1837,1.509862386228633e-07,1.530736071231331e-08
1838,2.0262039868157444e-07,2.2723781967215473e-08
1839,1.447235291607285e-07,2.23727205650448e-08
1840,2.0510397291673144e-07,1.3376346252869098e-08
1841,1.444623478619178e-07,4.687000298986277e-08
1842,1.542900918138912e-07,2.2808102073668124e-08
1843,1.3113341879034124e-07,1.4176587015413133e-08
1844,1.663034083776438e-07,2.030767731753258e-08
1845,1.054663059107952e-07,3.738752596404993e-08
1846,1.5163158195719006e-07,1.4636253098387897e-08
1847,1.4292042749275424e-07,1.294373674909366e-08
1848,1.1504666730388635e-07,2.252662056889676e-08
1849,1.3574651802628068e-07,3.100383594301093e-08
1850,1.1812853273340806e-07,3.530277936647508e-08
1851,1.5220675209093315e-07,2.3862924081186065e-08
1852,1.4323200048238505e-07,4.557381672043448e-08
1853,1.4034040418664517e-07,1.0749477752369785e-08
1854,1.1378504893855279e-07,1.7145692865483397e-08
1855,1.56023958197693e-07,2.812676669350367e-08
1856,1.4806761328145512e-07,2.7956822634678247e-08
1857,1.327770462467015e-07,3.026535466688074e-08
1858,1.428953453341819e-07,2.202154192332273e-08
1859,1.4512694690438366e-07,1.9350258284589472e-08
1860,1.3456920555654506e-07,3.8906062371779626e-08
1861,1.169559027403011e-07,2.9238975685075275e-08
1862,1.3644319096783875e-07,2.891511208247266e-08
1863,1.408483143450212e-07,2.2475793670651e-08
1864,1.1795030729899736e-07,2.445311331200628e-08
1865,1.0966947172619257e-07,2.58876440284439e-08
1866,1.5083399773629935e-07,2.6760870852626795e-08
1867,1.7906874916207016e-07,4.4160586298858107e-08
1868,1.3881046356800653e-07,2.766329387782207e-08
1869,1.6115613732381462e-07,2.3440891894210836e-08
1870,1.0550650131335715e-07,2.1789386295267832e-08
1871,7.116188527334089e-08,4.354682658913589e-08
1872,1.0582844112150269e-07,2.660829245826335e-08
1873,1.2450888675630267e-07,1.9155214303623325e-08
1874,1.0873788625076486e-07,3.943242177228967e-08
1875,1.676407492823273e-07,2.2886109007913547e-08
1876,1.4449975083152822e-07,1.6324239737741664e-08
1877,1.3853987468337436e-07,1.608052180301911e-08
1878,9.722932503564152e-08,2.4156355138416075e-08
1879,1.6861737606177485e-07,3.176849006081284e-08
1880,1.187301563732035e-07,2.631317030932223e-08
1881,1.289913882374094e-07,2.9284532132578533e-08
1882,1.504117079775824e-07,1.8635077481121698e-08
1883,9.352621788139004e-08,3.728409936343269e-08
1884,1.1486952899986136e-07,3.630933420595284e-08
1885,1.1602143956679356e-07,3.0294486919046903e-08
1886,1.1938908528463799e-07,2.5168509054651622e-08
1887,1.13603285001318e-07,3.003305337756501e-08
1888,8.369611492753393e-08,2.599652049184442e-08
1889,1.0588080812112821e-07,3.57112810434046e-08
1890,9.24168475080478e-08,3.47382496102e-08
1891,1.000752547497541e-07,4.143242904319777e-08
1892,9.841564718726659e-08,3.008885940403161e-08
1893,7.88277318974906e-08,2.894455697344256e-08
1894,7.120739553556632e-08,3.3398158905129094e-08
1895,1.1676112166014718e-07,2.888934957923084e-08
1896,9.376275755812458e-08,1.7101383420481397e-08
1897,8.914872040577393e-08,3.1464253424928756e-08
1898,1.1882545436492364e-07,1.9804241802034994e-08
1899,1.0999880828421738e-07,3.2612710754165164e-08
1900,9.655359178850631e-08,1.453494924419374e-08
1901,8.10367168924131e-08,2.4031576728589243e-08
1902,8.298379583493443e-08,1.5221880644844532e-08
