year,veut_VERB enseigner_VERB,veut_VERB renseigner_VERB
1800,4.087413785214267e-08,0.0
1801,5.714838380299625e-08,0.0
1802,4.923248297927785e-08,0.0
1803,1.950339267864365e-08,0.0
1804,8.404293083685843e-08,0.0
1805,7.107194477384837e-08,0.0
1806,2.0171682990621775e-08,0.0
1807,4.27043254092041e-08,0.0
1808,6.345007363961486e-08,0.0
1809,1.8072244145628247e-08,0.0
1810,3.978215445954447e-08,0.0
1811,8.273353557797236e-08,0.0
1812,5.601137331723294e-08,0.0
1813,1.7254450312975678e-08,0.0
1814,5.349351184236184e-08,0.0
1815,4.045835311217161e-08,0.0
1816,1.321034233114915e-07,0.0
1817,9.808302792180257e-08,0.0
1818,6.079800130009971e-08,0.0
1819,9.315944993204539e-08,0.0
1820,6.645229433388522e-08,0.0
1821,6.01550809165019e-08,0.0
1822,4.411270992932259e-08,0.0
1823,7.115534828017189e-08,0.0
1824,1.1536924660049408e-07,0.0
1825,4.226612659863349e-08,0.0
1826,5.9013494535520294e-08,8.807984341885344e-10
1827,7.005127855563842e-08,0.0
1828,4.586150481600271e-08,0.0
1829,7.201467866480016e-08,0.0
1830,7.097048637660919e-08,0.0
1831,6.080570358335535e-08,0.0
1832,7.84738247716632e-08,0.0
1833,5.6759780875381693e-08,0.0
1834,5.414027981487379e-08,0.0
1835,7.184933537018878e-08,0.0
1836,4.5029025841358816e-08,0.0
1837,6.331680424409569e-08,0.0
1838,5.112851297894849e-08,0.0
1839,6.641901251214222e-08,0.0
1840,6.17859825524647e-08,0.0
1841,7.961480008589206e-08,0.0
1842,4.695785449371215e-08,0.0
1843,7.619915010081968e-08,0.0
1844,1.0318495213823553e-07,0.0
1845,9.430585379277545e-08,0.0
1846,8.664662232149567e-08,0.0
1847,7.172987182002544e-08,0.0
1848,4.666228647920434e-08,4.82713291560799e-09
1849,2.9327951622803994e-08,8.379414939696517e-10
1850,7.807345525634446e-08,0.0
1851,5.224045551699419e-08,0.0
1852,6.185018008864063e-08,0.0
1853,4.478948767427937e-08,0.0
1854,5.6113176327698966e-08,0.0
1855,6.686740761097099e-08,0.0
1856,6.885661463229553e-08,0.0
1857,3.905207179855097e-08,0.0
1858,4.159624467092726e-08,0.0
1859,6.568903643255908e-08,0.0
1860,5.40107691904268e-08,0.0
1861,5.611996911625283e-08,0.0
1862,6.23482137029896e-08,0.0
1863,6.89257646513397e-08,0.0
1864,8.438721010861627e-08,1.9178911792039344e-09
1865,7.625087761198301e-08,0.0
1866,5.6441109563820646e-08,6.811858188626729e-09
1867,5.871901720411188e-08,0.0
1868,8.595380762699278e-08,4.44588676984381e-09
1869,6.495080384638641e-08,0.0
1870,4.243196016773254e-08,5.734048791339319e-10
1871,5.947859449406678e-08,5.3105884134652115e-09
1872,6.349706183073067e-08,0.0
1873,4.070482972906575e-08,0.0
1874,4.301718448118663e-08,1.7923826867161097e-09
1875,5.549881265665135e-08,5.721527140956084e-10
1876,2.6602464231473277e-08,0.0
1877,3.0924081073635534e-08,0.0
1878,4.891661831152305e-08,0.0
1879,7.270097057698877e-08,0.0
1880,5.840239936105718e-08,0.0
1881,3.5559789779426865e-08,0.0
1882,8.3857855770475e-08,2.6621540527571597e-09
1883,3.728409936343269e-08,6.319338941018771e-10
1884,3.3668655419205606e-08,0.0
1885,7.090199005688191e-08,5.156508553483263e-09
1886,4.5174246565693466e-08,0.0
1887,6.202478175509896e-08,2.6115698492645834e-09
1888,6.02358412038484e-08,0.0
1889,6.327788071303075e-08,6.265136742733546e-10
1890,3.9326319978272295e-08,0.0
1891,4.9081492647928826e-08,6.374220040683554e-10
1892,6.895363924286357e-08,0.0
1893,4.92673315477532e-08,2.463366621796581e-09
1894,3.3398158905129094e-08,1.8904617871129403e-09
1895,5.11582243234443e-08,0.0
1896,3.007484750128242e-08,1.7691086373616827e-09
1897,2.9133568446582103e-08,5.826713556089658e-10
1898,6.054439438685222e-08,5.092519295146758e-09
1899,4.643165851803133e-08,4.9748205555033564e-09
1900,5.087231969014283e-08,2.595526460424935e-09
1901,4.63865319488832e-08,3.912117296778206e-09
1902,4.075535642300565e-08,9.820567692386817e-10
1903,7.182293160212794e-08,5.400220270956879e-10
1904,7.846952598811185e-08,0.0
1905,4.541468001661997e-08,3.096455536422127e-09
1906,5.812928449699939e-08,5.658602919567102e-09
1907,4.577130496841164e-08,1.028568674676933e-09
1908,5.402527847309102e-08,2.9468334439286537e-09
1909,4.34577707153494e-08,1.1001967115120692e-09
1910,7.374927690761979e-08,1.6032452032632705e-09
1911,4.149891807969652e-08,5.320374141248863e-10
1912,5.4177981212433224e-08,3.125652625612929e-09
1913,7.795394907361697e-08,1.113627856597077e-08
1914,4.2859159776753586e-08,8.036092680185902e-09
1915,2.238344798399794e-08,2.3561523843085297e-09
1916,2.0876177231343718e-08,3.2962386153911893e-09
1917,3.289927263949721e-08,3.289927441585405e-09
1918,3.2161853624756986e-08,1.1486376294556067e-09
1919,4.511845830279526e-08,1.8415696745321952e-09
1920,5.2248399384779987e-08,7.572231730534895e-09
1921,3.634918854800162e-08,0.0
1922,3.9840852394945614e-08,2.2133805899215986e-09
1923,4.0340601970001444e-08,0.0
1924,5.9301473953610184e-08,1.289162443462999e-09
1925,7.038833871320094e-08,5.499089184013428e-09
1926,6.687682940764716e-08,5.57306911730393e-09
1927,5.351628118432927e-08,1.0034302277972529e-08
1928,4.4561559775502246e-08,3.4278122562625413e-09
1929,2.6736975300423182e-08,3.342121912552898e-09
1930,4.936693542845205e-08,1.0503603542488804e-09
1931,4.334035708097872e-08,0.0
1932,4.822195975862087e-08,7.6716757391182e-09
1933,5.850037609889114e-08,5.735331320977366e-09
1934,4.553000465534751e-08,8.38710612072191e-09
1935,4.308582290946106e-08,2.393656828303392e-09
1936,6.062357016389797e-08,0.0
1937,2.7700460591972842e-08,2.5182236296217297e-09
1938,2.5930429359277696e-08,2.5930428915188486e-09
1939,5.047036566452334e-08,3.058810094103137e-09
1940,4.81798743123818e-08,0.0
1941,3.836953510472085e-08,0.0
1942,4.247896612241675e-08,0.0
1943,6.096794180621146e-08,0.0
1944,6.7476911169706e-08,0.0
1945,5.446259976338297e-08,1.089252066321933e-08
1946,3.897909195416105e-08,2.7842208538686464e-09
1947,4.4107220986688844e-08,3.5762612871081956e-09
