year,faudrait_VERB ouvrir_VERB,faudrait_VERB rouvrir_VERB
1800,5.345079756580162e-08,0.0
1801,2.3811825400343878e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,1.1702034896643454e-08,0.0
1804,1.730295728918918e-08,0.0
1805,2.842877711017877e-09,0.0
1806,1.152667650217154e-08,0.0
1807,8.540865792383556e-09,0.0
1808,2.4926814390369145e-08,0.0
1809,6.7770917766551975e-09,0.0
1810,2.3401266702194334e-08,0.0
1811,1.504245972228091e-08,2.5070767684098882e-09
1812,1.0668832928217853e-08,2.6672082320544632e-09
1813,2.8757416004054903e-08,2.8757416448144113e-09
1814,6.293354282149721e-09,0.0
1815,1.0788894222457657e-08,0.0
1816,1.8540831092650478e-08,0.0
1817,3.113746815941454e-09,6.227493631882908e-09
1818,1.3113295338484932e-08,2.384235475716423e-09
1819,4.0369094733705424e-08,0.0
1820,5.933240565525466e-09,7.119888678630559e-09
1821,2.1695274909916407e-08,0.0
1822,1.4035862250239006e-08,0.0
1823,1.4824030003524058e-08,0.0
1824,1.51580028528997e-08,0.0
1825,1.6730341556581152e-08,0.0
1826,2.025836387531399e-08,9.688783109140786e-09
1827,3.410390903013649e-08,0.0
1828,2.8434133270138773e-08,0.0
1829,1.3717081692732336e-08,9.430493719264632e-09
1830,1.878630406793036e-08,0.0
1831,3.1182413096075834e-08,0.0
1832,6.3590853471851e-08,0.0
1833,1.9692167896323554e-08,1.1583628500844156e-09
1834,3.173740381612333e-08,5.600718555598405e-09
1835,2.0420337421001022e-08,0.0
1836,3.36037508930076e-08,0.0
1837,2.852735292435682e-08,0.0
1838,2.1461350030449466e-08,6.312161904276081e-10
1839,2.516931019158619e-08,1.3982950353153e-09
1840,2.8663599493938818e-08,1.9109065441114126e-09
1841,2.3113974734201292e-08,5.1364388298225094e-09
1842,2.3478927246856074e-08,1.341653010911159e-09
1843,3.36693943836508e-08,0.0
1844,2.7991662321369404e-08,0.0
1845,1.7298706467272496e-08,0.0
1846,2.0490753982471688e-08,0.0
1847,2.2651539310913904e-08,1.1325769655456952e-08
1848,2.091757700384278e-08,3.218088684420195e-09
1849,4.776266493422554e-08,0.0
1850,2.0366988096043315e-08,0.0
1851,2.257303499675345e-08,6.449438760824933e-10
1852,2.539112742283578e-08,0.0
1853,3.2248433257109355e-08,1.1943863675867306e-09
1854,1.7665259477439577e-08,0.0
1855,7.429711956774554e-09,0.0
1856,1.1389816201301528e-08,0.0
1857,2.2943092758964667e-08,4.881509085841174e-10
1858,2.397901255335455e-08,0.0
1859,3.7172863898149444e-08,5.092173349652285e-10
1860,3.158256944857385e-08,1.373155145145688e-09
1861,1.6977470096435354e-08,1.4147891747029462e-09
1862,1.355395884417021e-08,9.035972525772706e-10
1863,2.447364266799923e-08,0.0
1864,2.1096802527154068e-08,0.0
1865,1.5061901947888146e-08,4.23615986733239e-09
1866,3.3572728597164314e-08,3.4059290943133647e-09
1867,1.747012134956094e-08,1.455843445796745e-09
1868,1.3831646938911035e-08,3.951899252285784e-09
1869,3.125452252561445e-08,1.4650557433881772e-09
1870,3.268407766654491e-08,0.0
1871,2.2304472935275044e-08,1.0621177271019633e-09
1872,4.233137573805834e-08,0.0
1873,3.412022664406322e-08,0.0
1874,1.8521287614703397e-08,5.974609140757536e-10
1875,2.6319025181464895e-08,0.0
1876,3.143927784776679e-08,0.0
1877,3.5253449937044934e-08,0.0
1878,2.0532901601200138e-08,0.0
1879,1.4051448005147904e-08,0.0
1880,2.2462462112571302e-08,1.2835692508872398e-09
1881,2.2312024228199334e-08,6.972507571312292e-10
1882,2.5956001792337702e-08,0.0
1883,2.464542170343975e-08,1.8958017378167824e-09
1884,2.6406787867472303e-08,0.0
1885,1.8047780159236027e-08,3.2228177904158883e-09
1886,1.8069698626277386e-08,3.872078213618124e-09
1887,2.0892558794116667e-08,3.9173548849191775e-09
1888,2.1558090423923204e-08,5.07249175996094e-09
