year,pouvait_VERB égaler_VERB,pouvait_VERB régaler_VERB
1800,4.7162465932615305e-08,0.0
1801,4.0480102825313224e-08,0.0
1802,2.9091921760482364e-08,0.0
1803,2.7304748684287006e-08,0.0
1804,4.2021465418429216e-08,9.887403784603066e-09
1805,1.421438877713399e-08,2.842877711017877e-09
1806,2.305335300434308e-08,0.0
1807,4.839823830593559e-08,0.0
1808,6.798221985349073e-09,0.0
1809,3.162642769893864e-08,0.0
1810,8.658469141664682e-08,0.0
1811,8.273353557797236e-08,0.0
1812,1.2802598803318688e-07,0.0
1813,4.026038169513413e-08,0.0
1814,1.0698702368472368e-07,0.0
1815,2.966945977789237e-08,0.0
1816,6.257530316133852e-08,0.0
1817,4.203558034987509e-08,0.0
1818,8.344824209416402e-08,1.1921176934492905e-08
1819,3.519356894798875e-08,0.0
1820,8.42520151422832e-08,0.0
1821,4.339054981983281e-08,0.0
1822,6.015369535816717e-08,0.0
1823,8.400284201570685e-08,0.0
1824,7.410579172528742e-08,2.5263338088166165e-09
1825,5.811592274085342e-08,0.0
1826,8.279505436803447e-08,8.807984341885344e-10
1827,6.175572764277604e-08,0.0
1828,6.512333783348367e-08,5.503380862137419e-09
1829,1.363135027077078e-07,0.0
1830,9.288783786587373e-08,0.0
1831,7.951515357262906e-08,0.0
1832,5.547287429408243e-08,0.0
1833,5.444305273272221e-08,0.0
1834,7.654315226091057e-08,9.334530925997342e-10
1835,7.563087933704082e-08,0.0
1836,6.85516496901073e-08,0.0
1837,8.001574514082677e-08,6.957890930081589e-10
1838,6.56464820281144e-08,0.0
1839,6.432156851587933e-08,0.0
1840,1.1847620839944284e-07,0.0
1841,6.356343362767802e-08,0.0
1842,9.458653948968276e-08,0.0
1843,7.029224491361674e-08,0.0
1844,6.256959750317037e-08,0.0
1845,1.054663059107952e-07,0.0
1846,5.444686124178588e-08,0.0
1847,5.662884916546318e-08,0.0
1848,4.183515400768556e-08,0.0
1849,4.524883934209356e-08,0.0
1850,4.1412874907109654e-08,0.0
1851,4.5791015423901626e-08,0.0
1852,5.6641745516117226e-08,6.510545436100301e-10
1853,8.599582201895828e-08,5.971931837933653e-10
1854,5.195664343204953e-08,0.0
1855,8.119613426060823e-08,0.0
1856,7.403380664072756e-08,0.0
1857,5.857810947418329e-08,0.0
1858,5.627727261980908e-08,0.0
1859,6.619825398956891e-08,1.018434669930457e-09
1860,3.3871160098897235e-08,4.577183909670879e-10
1861,8.818852137437716e-08,0.0
1862,6.68661996883202e-08,0.0
1863,5.793760138317339e-08,0.0
1864,6.712619438076217e-08,9.589455896019672e-10
1865,3.4830648587558244e-08,0.0
1866,4.670988573707291e-08,0.0
1867,4.4160586298858107e-08,0.0
1868,5.878450082263953e-08,4.93987406535723e-10
1869,5.1765301378736694e-08,0.0
1870,7.11022067889644e-08,0.0
1871,6.585129597169725e-08,0.0
1872,6.047338985126771e-08,0.0
1873,4.6092235805872406e-08,0.0
1874,5.377148326601855e-08,0.0
1875,5.435450844970546e-08,0.0
1876,3.3857681103199866e-08,0.0
1877,4.329371350308975e-08,0.0
1878,4.891661831152305e-08,0.0
1879,3.4823152361695975e-08,0.0
1880,3.7223507831640745e-08,0.0
1881,2.091752193678076e-08,0.0
1882,2.2628309892525067e-08,0.0
1883,3.222862687835004e-08,0.0
1884,2.9047466654219534e-08,0.0
1885,3.4161868001092444e-08,0.0
1886,1.677900662855336e-08,1.936039106809062e-09
1887,3.003305337756501e-08,0.0
1888,2.0924028731883482e-08,0.0
1889,2.8819629349641218e-08,1.2530273485467092e-09
1890,2.2940351840361473e-08,0.0
1891,1.7210394887001712e-08,0.0
1892,3.5103667528346705e-08,0.0
1893,2.278614097406262e-08,0.0
1894,2.457600345451283e-08,0.0
1895,2.9491211250842753e-08,0.0
1896,2.4177818858106548e-08,0.0
1897,1.806281169081103e-08,0.0
1898,3.5647634177848886e-08,0.0
1899,4.2562355417885556e-08,0.0
1900,3.010810800674335e-08,0.0
1901,1.7883964531506535e-08,2.235495566438317e-09
1902,1.4730851205513318e-08,4.910283735171106e-09
1903,1.674068350610014e-08,0.0
1904,3.547252447333449e-08,0.0
1905,1.4450125540577119e-08,0.0
1906,2.1091157265118454e-08,0.0
1907,3.034277540336916e-08,5.142843373384665e-10
1908,2.1118973236866623e-08,0.0
1909,2.3104130164597336e-08,5.500983557560346e-10
1910,2.2979847358328698e-08,0.0
1911,2.128149745317387e-08,5.320374141248863e-10
1912,1.614920641657136e-08,1.5628263128064646e-09
1913,2.7575547179026216e-08,0.0
1914,2.4108278040557707e-08,0.0
1915,1.0602685840410686e-08,0.0
1916,1.7579939282086343e-08,0.0
1917,1.5352993543160665e-08,0.0
