year,doit_VERB égaler_VERB,doit_VERB régaler_VERB
1800,1.320549074534938e-07,0.0
1801,2.0478170803528428e-07,2.3811825844433088e-09
1802,9.175144555229053e-08,0.0
1803,4.4857802805609026e-08,0.0
1804,6.921182915675672e-08,0.0
1805,2.842877755426798e-08,0.0
1806,7.492339904047185e-08,0.0
1807,1.4234775846944103e-07,0.0
1808,5.6651849433819734e-08,0.0
1809,5.1957702140725814e-08,2.259030518203531e-09
1810,6.552355102940055e-08,1.6380887757350138e-08
1811,1.178326058948187e-07,0.0
1812,4.5342538612658245e-08,0.0
1813,6.326631307729258e-08,0.0
1814,4.405347908686963e-08,0.0
1815,2.1577788444915313e-08,0.0
1816,2.711596494009427e-07,0.0
1817,3.58080876061706e-08,3.113746815941454e-09
1818,3.576353191370174e-08,0.0
1819,8.9019032145643e-08,0.0
1820,3.797273961936298e-08,0.0
1821,1.2326860909794846e-07,9.861488514673056e-09
1822,1.0927921323400369e-07,0.0
1823,5.3366508767638265e-08,4.941343334508019e-09
1824,4.126345132249298e-08,0.0
1825,9.069606221601134e-08,0.0
1826,9.953022583886195e-08,0.0
1827,5.253845775099464e-08,0.0
1828,7.06267186956211e-08,0.0
1829,7.973054039212002e-08,0.0
1830,6.05336496484199e-08,0.0
1831,3.585977381703742e-08,3.1182412207897414e-09
1832,3.788391467196561e-08,0.0
1833,4.40177885252524e-08,1.1583628500844156e-09
1834,5.6940637760405366e-08,0.0
1835,4.9160071569076536e-08,7.563087933704082e-09
1836,3.8980349614803345e-08,6.720750067579218e-10
1837,8.071153567712486e-08,0.0
1838,6.501526672586522e-08,0.0
1839,4.1249702320556025e-08,0.0
1840,5.6690230731959446e-08,1.2739377330817092e-09
1841,5.778493816777086e-08,0.0
1842,6.77534757187459e-08,0.0
1843,6.674809438500517e-08,1.1813822142769936e-09
1844,5.598332464273881e-08,2.195424508855126e-09
1845,5.8034370198356555e-08,3.348136878855712e-09
1846,4.507965911670908e-08,0.0
1847,5.501087940729121e-08,5.393223645455691e-10
1848,4.9880375163624535e-08,0.0
1849,4.776266493422554e-08,0.0
1850,5.0917471128286707e-08,6.788996032014438e-10
1851,8.513259075471069e-08,3.8696632564949596e-09
1852,7.031389048783865e-08,4.557382027314816e-09
1853,6.091370607919089e-08,0.0
1854,5.2995776489428437e-08,2.0782657816909023e-09
1855,4.617035287424187e-08,1.5920811335945473e-09
1856,4.504154532680715e-08,0.0
1857,4.344543236278753e-08,8.298565390418844e-09
1858,6.606462932268187e-08,0.0
1859,2.8516170758052795e-08,5.092173349652285e-10
1860,3.1124849447783376e-08,1.8308735638683515e-09
1861,3.772770895693611e-08,3.772770984511453e-09
1862,3.7047487744246155e-08,9.035972525772706e-10
1863,2.1476870060155306e-08,0.0
1864,4.698833244720646e-08,0.0
