year,veulent_VERB appliquer_VERB
1800,0.0
1801,2.8574191901498125e-08
1802,6.713520406265161e-09
1803,4.095712213825209e-08
1804,9.887403784603066e-09
1805,5.685755422035754e-09
1806,1.152667650217154e-08
1807,0.0
1808,4.5321479902327155e-09
1809,3.162642769893864e-08
1810,2.8081521108447305e-08
1811,5.0141535368197765e-09
1812,3.7340914360584065e-08
1813,0.0
1814,2.8320094713762956e-08
1815,1.8880564667256294e-08
1816,0.0
1817,7.784366928831332e-09
1818,1.668964877410417e-08
1819,2.6912729822470283e-08
1820,3.20394981656591e-08
1821,9.861488514673056e-09
1822,1.2030739071633434e-08
1823,2.569498569471307e-08
1824,1.0947446504872005e-08
1825,8.805443485471187e-09
1826,7.927186018719112e-09
1827,2.3964910056406552e-08
1828,3.8523666034961934e-08
1829,1.8860987438529264e-08
1830,3.861629238599562e-08
1831,2.0268567268999504e-08
1832,4.7354891563600177e-08
1833,3.4750886612755494e-09
1834,5.600718555598405e-09
1835,1.1344631900556124e-08
1836,2.4866775305554256e-08
1837,1.7394727436226276e-08
1838,3.029837714052519e-08
1839,1.8876983531868063e-08
1840,3.821813265858509e-08
1841,3.723918240439161e-08
1842,9.391571076378114e-09
1843,2.7171790151214736e-08
1844,2.195424464446205e-08
1845,1.562463758375543e-08
1846,6.030136034951283e-08
1847,2.1572894581822766e-08
1848,2.333114323960217e-08
1849,1.6758828991214614e-08
1850,3.2587180953669304e-08
1851,3.1602251482354404e-08
1852,1.9531636752390114e-08
1853,2.329053394589664e-08
1854,1.9743524148907454e-08
1855,2.0166361025530932e-08
1856,1.0872097000458325e-08
1857,1.2203773103180993e-08
1858,2.6915218498402282e-08
1859,1.884104072757964e-08
1860,3.524431591017674e-08
1861,2.1221836732365773e-08
1862,2.5300723294208183e-08
1863,3.096664968893492e-08
1864,6.712618905169165e-09
1865,4.1890913848874334e-08
1866,1.8489329178805747e-08
1867,2.426405742994575e-08
1868,3.507310708528166e-08
1869,2.6859355628516823e-08
1870,3.2110673231500186e-08
1871,1.5931766128574054e-08
1872,2.1770421909650395e-08
1873,3.352162636360845e-08
