year,ont_VERB appelé_VERB,ont_VERB rappelé_VERB
1800,2.1757618924311828e-06,1.5720821977538435e-07
1801,1.7739810118655441e-06,1.976381582835529e-07
1802,1.7029963146342197e-06,1.9021641151084623e-07
1803,2.3287050225917483e-06,1.4237475909339992e-07
1804,1.7970356793739484e-06,8.898663139689234e-08
1805,1.6915122387217707e-06,2.1890159018767008e-07
1806,1.81256984888023e-06,1.0374009207225754e-07
1807,1.3067524378129747e-06,1.6227643584443285e-07
1808,2.016805865423521e-06,1.6995555540688656e-07
1809,1.6174658412637655e-06,1.3328279635516083e-07
1810,1.829979169087892e-06,2.0125089861267043e-07
1811,1.5142743450269336e-06,2.2312983105621242e-07
1812,1.4722988908033585e-06,3.5207148130211863e-07
1813,1.4723797221449786e-06,2.444380413635372e-07
1814,1.7589925391803263e-06,2.7690759907272877e-07
1815,1.7666814073891146e-06,6.25755887995183e-07
1816,1.9792337297985796e-06,2.943357060303242e-07
1817,2.132916506525362e-06,2.086210315610515e-07
1818,1.9073884232057026e-06,2.038521387248693e-07
1819,1.790731630535447e-06,1.9459973543689557e-07
1820,1.634014438423037e-06,2.563159853252728e-07
1821,1.8066247093884158e-06,1.370746929296729e-07
1822,1.7945852732736967e-06,2.887377377192024e-07
1823,1.3875292097509373e-06,1.917241263527103e-07
1824,1.3633781463795458e-06,2.113699224537413e-07
1825,1.5550411944786902e-06,2.3598587972628593e-07
1826,1.6470930859213695e-06,2.1315321419024258e-07
1827,1.6277704162348527e-06,2.0923209831380518e-07
1828,2.0756917820108356e-06,2.8342410018922237e-07
1829,1.7832205685408553e-06,1.4145740578896948e-07
1830,1.5811806406418327e-06,2.3065406651312514e-07
1831,1.6557860362809151e-06,2.354272083948672e-07
1832,1.527533527223568e-06,2.8954133313163766e-07
1833,1.4896546645104536e-06,2.409394710412016e-07
1834,1.606472778803436e-06,1.9975895781954023e-07
1835,1.6805181530799018e-06,1.520180603620247e-07
1836,1.3596077224065084e-06,1.6667459590280487e-07
1837,1.5870949710006244e-06,1.899504269431418e-07
1838,1.3823635072185425e-06,1.8999607220848702e-07
1839,1.557001496621524e-06,1.7408773089755414e-07
1840,1.4210775134415599e-06,2.216651608932807e-07
1841,1.5210279116217862e-06,2.112360419914694e-07
1842,1.5844922245378257e-06,1.9722298816304829e-07
1843,1.5186668633759837e-06,2.0792326438368036e-07
1844,1.4890466673023184e-06,1.7892709536226903e-07
1845,1.5127998267416842e-06,2.1316471077170718e-07
1846,1.4817742339801043e-06,1.984675890298604e-07
