year,eût_VERB apporté_VERB,eût_VERB rapporté_VERB
1800,1.2891074163690064e-07,5.0306631749208464e-08
1801,1.381085894536227e-07,2.6193008650921e-08
1802,2.9091921760482364e-07,2.2378401354217203e-08
1803,1.4237475909339992e-07,7.021220937986072e-08
1804,1.5819846055364906e-07,7.168367943677367e-08
1805,1.9900143399809167e-07,1.7057265822018053e-08
1806,1.613734639249742e-07,6.627838899930794e-08
1807,1.8789903322158352e-07,1.9928686256776018e-08
1808,1.6768947830314573e-07,4.078933102391602e-08
1809,1.581321384946932e-07,4.0662548883574345e-08
1810,2.0593115834799391e-07,6.552355102940055e-08
1811,1.0028307428910921e-07,3.760615285841595e-08
1812,1.1735716043403954e-07,2.400487453257938e-08
1813,1.5241430162404868e-07,2.5881675469463516e-08
1814,1.258670891957081e-07,1.8880061958270744e-08
1815,2.2386954867670283e-07,5.1247248222807684e-08
1816,2.2712518443768204e-07,2.0858434979231788e-08
1817,1.977229260319291e-07,7.472992535895173e-08
1818,1.5616741677604296e-07,4.172412104708201e-08
1819,2.0184548077395448e-07,6.003609342997152e-08
1820,2.17156610915481e-07,4.153268307049984e-08
1821,1.8638212395671871e-07,8.480879643002481e-08
1822,1.884815787889238e-07,5.012807946513931e-08
1823,2.203839244430128e-07,6.522573414713406e-08
1824,2.0210670470532932e-07,6.82110155025839e-08
1825,1.664228790332345e-07,3.78634048558979e-08
1826,2.219612014187078e-07,6.34174881497529e-08
1827,1.98171363763322e-07,6.91295483079557e-08
1828,1.9445278098828567e-07,7.521286704559316e-08
1829,1.9546841656392644e-07,6.687077558353849e-08
1830,2.671829975042783e-07,4.4878394334091354e-08
1831,2.8375995952956146e-07,1.7150327380477393e-08
1832,2.4218644512075116e-07,3.3824925083081325e-08
1833,1.760711541010096e-07,5.09679658478035e-08
1834,1.521528503189984e-07,3.453776287187793e-08
1835,1.2781617897417163e-07,3.479020449503878e-08
1836,1.518889547469371e-07,5.443807538085821e-08
1837,1.6768517241416703e-07,7.584100814028716e-08
1838,1.3823634503751236e-07,4.5447563934430946e-08
1839,1.4052865537905745e-07,4.61437359433603e-08
1840,1.6688584025814635e-07,6.815567132889555e-08
1841,1.6308193551139993e-07,3.274479709602929e-08
1842,1.7038993860296614e-07,2.817471411731276e-08
1843,1.3999378722928668e-07,3.7804230856863796e-08
1844,1.6301027017107117e-07,6.696044607679141e-08
1845,1.4062175068829674e-07,3.850357188639464e-08
1846,1.5572973666166945e-07,3.454155717008689e-08
1847,1.693472171382382e-07,3.55952778363644e-08
1848,1.520546959454805e-07,3.298540818263973e-08
1849,1.4999152142536332e-07,4.022119171054328e-08
1850,1.5954140053509036e-07,4.480737203493845e-08
1851,1.1737978411474614e-07,3.998652076120379e-08
1852,1.2955985084772692e-07,2.3437962681782665e-08
1853,1.23618988823182e-07,4.658106789179328e-08
1854,1.3041118052115053e-07,3.013485283531736e-08
1855,1.284278710045328e-07,6.899018245576372e-08
1856,1.3874867477170483e-07,6.471486813097727e-08
1857,1.6499500077316043e-07,4.246912865824015e-08
1858,1.3163987944153632e-07,4.0128142586581816e-08
1859,1.4716380292156828e-07,3.106225676674512e-08
1860,1.716444018029506e-07,4.851814949802247e-08
1861,1.4666646563910035e-07,9.431927239234028e-09
1862,1.7981585642701248e-07,2.2589931703009825e-08
1863,1.4933915792880725e-07,4.994620894649415e-08
1864,1.6206180930566916e-07,3.5960461275408306e-08
1865,1.3226232908891689e-07,3.153585836912498e-08
1866,1.1920751319394185e-07,4.670988573707291e-08
1867,1.3684928035218036e-07,3.979305418511103e-08
1868,1.5116015106286795e-07,3.507310708528166e-08
1869,1.259947879361789e-07,5.4207063726607885e-08
1870,1.5252570051416114e-07,4.816600807089344e-08
1871,1.3064048687283503e-07,2.7615060460561835e-08
1872,1.5662608632283082e-07,4.2936108002322726e-08
1873,1.6820672499306966e-07,2.21482157058972e-08
1874,1.1949218503559678e-07,1.1949218503559678e-08
1875,1.0527610072585958e-07,2.689117728493784e-08
1876,1.305939179019333e-07,2.7811667635546655e-08
1877,1.1256365439749061e-07,4.2056747417973384e-08
1878,1.3225604789113277e-07,1.9928991790152395e-08
1879,1.4173635065617418e-07,2.6270098985037293e-08
1880,8.407378260244514e-08,3.401458670282409e-08
1881,8.506459181489845e-08,1.9523021421719022e-08
1882,1.3843201429608598e-07,3.394246306243076e-08
1883,9.8581686813759e-08,1.516641390253426e-08
1884,1.1817037659511698e-07,2.1125430293977843e-08
1885,1.1731057014685575e-07,2.3848851782304337e-08
1886,8.905779935730607e-08,3.484870347847391e-08
1887,9.989254579068074e-08,3.982643903555072e-08
1888,1.204716824076968e-07,3.106901047544852e-08
1889,8.457934796979316e-08,1.50363277384713e-08
1890,8.848422083929108e-08,3.342736931699619e-08
1891,9.115134957937698e-08,9.561330394092238e-09
1892,7.584900174606446e-08,1.0656471260972467e-08
1893,1.0099802949525838e-07,1.9091091374434654e-08
1894,8.128985484745499e-08,1.764431090123253e-08
1895,8.125129369318529e-08,2.4074457982692365e-08
1896,7.725108019940308e-08,1.9460195233023114e-08
1897,1.0371550018817288e-07,1.5149455023788505e-08
1898,9.279702339881624e-08,1.584339415217073e-08
1899,9.673262013620842e-08,2.2110313580014918e-08
1900,8.66905907059845e-08,1.4015843596837385e-08
1901,1.2798211912468105e-07,1.900171220370339e-08
1902,8.003762985708818e-08,2.2096276808269977e-08
1903,8.154332675758269e-08,2.3220946943069976e-08
1904,7.846952598811185e-08,2.7948050984605288e-08
1905,1.052794829092818e-07,8.257214467732865e-09
1906,8.333579160080262e-08,3.343719967574543e-08
1907,8.485691438409049e-08,2.108565766434367e-08
1908,8.938727802387803e-08,2.6030361865991836e-08
1909,9.626721464428556e-08,2.585462333115629e-08
1910,8.71096546006811e-08,3.099607326362275e-08
1911,8.459394962301303e-08,9.044636151145369e-09
1912,7.449472150256042e-08,2.8651816919023076e-08
1913,1.3522624442430242e-07,1.3257474229533273e-08
1914,9.509376042160511e-08,1.7411533548283842e-08
1915,1.0249262771822032e-07,1.0602685840410686e-08
1916,1.1317085579776176e-07,2.307367097387214e-08
1917,1.1295416868506436e-07,2.631941953268324e-08
1918,1.0337738842736144e-07,2.412139110674616e-08
1919,1.0404868788782551e-07,1.3811772170413406e-08
1920,9.616734075734712e-08,2.8017257847068322e-08
1921,8.330022183145047e-08,2.3475516641724425e-08
1922,1.1878476158244666e-07,1.0329110011753073e-08
1923,1.273913738941701e-07,3.927900849021171e-08
1924,9.539802192648494e-08,1.675911143195208e-08
1925,9.788378463326808e-08,3.189471442510694e-08
1926,9.251294841305935e-08,1.7833821530643945e-08
1927,7.804457169413581e-08,2.2298449309232637e-08
1928,1.0968999220040132e-07,2.6279895593006586e-08
1929,8.466708578680482e-08,2.33948540540041e-08
1930,8.40288265635536e-08,1.995684684175103e-08
1931,7.413481739604322e-08,2.3951248095954725e-08
1932,1.1726704229886309e-07,2.301502632917618e-08
1933,1.2158902507053426e-07,2.408838994938378e-08
1934,8.74655370353139e-08,1.0783422155213884e-08
1935,7.77938495843955e-08,1.0771455727365264e-08
1936,9.33602990471627e-08,1.9399543305098632e-08
1937,8.436049370175169e-08,1.7627565185307503e-08
1938,7.001215607260747e-08,1.2965214679638848e-08
1939,1.1623478712863289e-07,2.9058696782158222e-08
1940,5.5787225505810056e-08,2.5357829613881222e-08
1941,6.198155233505531e-08,8.854508237732261e-09
1942,9.102635090130207e-08,2.730790527039062e-08
1943,9.290352664947932e-08,2.9032352077962287e-09
1944,8.996921252446555e-08,2.5705489292704442e-08
1945,1.241747327185294e-07,1.089252066321933e-08
1946,1.0023195073927127e-07,1.2528993842408909e-08
1947,1.0728783905733508e-07,2.8610090296865565e-08
1948,8.262635020628295e-08,1.522064252412747e-08
1949,7.362756093698408e-08,1.7670615193310368e-08
1950,9.040057591391815e-08,2.1270722072586068e-08
1951,9.382033283600322e-08,1.4925962688039363e-08
