year,voulaient_VERB appliquer_VERB
1800,0.0
1801,2.6193008650921e-08
1802,0.0
1803,2.145373123596528e-08
1804,4.943701892301533e-09
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,4.518061036407062e-09
1810,0.0
1811,1.2535384286138651e-08
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,8.344824387052086e-09
1819,1.035105001712111e-09
1820,7.119888678630559e-09
1821,5.9168927535324656e-09
1822,3.0076847679083585e-09
1823,1.9765373782121287e-09
1824,0.0
1825,3.522177216552791e-09
1826,2.6423952803611428e-08
1827,1.474763688946723e-08
1828,2.7516904310687096e-09
1829,8.57317605795771e-10
1830,5.218417697960831e-09
1831,2.494592976631793e-08
1832,8.117981842303834e-09
1833,9.266902800675325e-09
1834,2.14694217959277e-08
1835,8.31939672707449e-09
1836,1.0753200108126748e-08
1837,2.7831563720326358e-09
1838,1.3255539776935166e-08
1839,4.194885150354821e-08
1840,2.165694112932215e-08
1841,2.1829865914924085e-08
1842,6.037438549100216e-09
1843,9.451057714215949e-09
1844,6.586273748609983e-09
1845,1.3392547515422848e-08
1846,1.4636253098387897e-08
1847,5.3932236454556914e-09
1848,3.218088684420195e-09
1849,3.016589289472904e-08
1850,2.0366988096043315e-08
1851,1.3543821175687754e-08
1852,6.510545436100301e-09
1853,1.5527023222716707e-08
1854,1.9223959313308114e-08
1855,8.491099379170919e-09
1856,1.2425253714809514e-08
1857,2.4407544874094356e-09
1858,6.361778659424999e-09
1859,1.5276519604867644e-08
1860,8.696649622663699e-09
1861,1.7920662287451705e-08
1862,4.517986429419807e-09
1863,2.097740825490746e-08
1864,4.794728170054441e-09
1865,8.47231973466478e-09
1866,1.9462451206209153e-08
1867,1.6014277903764196e-08
1868,1.0867722721741302e-08
1869,6.8369265804335555e-09
1870,4.587239033071455e-09
1871,1.5931766128574054e-08
1872,2.6003558417642125e-08
1873,7.781805422268917e-09
1874,3.5847653734322193e-09
1875,6.865832347102696e-09
1876,1.6928840551599933e-08
1877,8.040260901509555e-09
1878,1.7513357875031943e-08
1879,7.94212251520321e-09
1880,4.492492600149944e-09
1881,7.669758161910067e-09
1882,1.0648616211028639e-08
1883,2.5277355764075082e-09
1884,2.178559910248623e-08
