year,veulent_VERB ajouter_VERB,veulent_VERB rajouter_VERB
1800,6.288328968651058e-09,0.0
1801,2.1430643926123594e-08,0.0
1802,1.5664880947952042e-08,0.0
1803,1.755305234496518e-08,0.0
1804,1.4831105232815389e-08,0.0
1805,0.0,0.0
1806,1.152667650217154e-08,0.0
1807,0.0,0.0
1808,2.4926814390369145e-08,0.0
1809,2.0331274441787173e-08,0.0
1810,4.680253340438867e-08,0.0
1811,2.5070768572277302e-08,0.0
1812,1.3336041604361526e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,3.776112933451259e-08,0.0
1816,2.7811246638975717e-08,0.0
1817,1.5568733857662664e-08,0.0
1818,1.9073883805731384e-08,0.0
1819,4.45095160728215e-08,0.0
1820,2.4919611263385377e-08,0.0
1821,7.88919063410276e-09,0.0
1822,4.712039469723095e-08,0.0
1823,1.3835761869529506e-08,0.0
1824,3.3684450784221553e-09,0.0
1825,1.4969252504215547e-08,0.0
1826,6.1655889282974385e-09,0.0
1827,6.452091305675367e-09,0.0
1828,1.4675682002973645e-08,0.0
1829,2.2290258527846163e-08,0.0
1830,6.262101504006523e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,1.2176972319366541e-08,0.0
1833,1.853380560135065e-08,0.0
1834,1.120143711119681e-08,0.0
1835,1.1344631900556124e-08,0.0
1836,1.5457725766054864e-08,0.0
1837,2.2265250976261086e-08,0.0
1838,1.5780404538645598e-08,0.0
1839,6.292327547896548e-09,0.0
1840,1.0191501864653674e-08,0.0
1841,8.988767952189392e-09,0.0
1842,1.9453969102301016e-08,0.0
1843,2.0674189471492355e-08,0.0
1844,1.811225303072206e-08,0.0
1845,1.1718478631905782e-08,0.0
1846,1.8734404250153602e-08,0.0
1847,8.089835468183537e-09,0.0
1848,1.609044275596716e-08,0.0
1849,2.4300303991253713e-08,0.0
1850,5.431196825611551e-09,0.0
1851,2.579775504329973e-09,0.0
1852,1.6276363368206148e-08,0.0
1853,1.1943863675867306e-08,0.0
1854,1.9223959313308114e-08,0.0
1855,1.2205955357558196e-08,0.0
1856,5.694908100650764e-09,0.0
1857,1.122747050885664e-08,0.0
1858,1.468102750479261e-09,0.0
1859,1.1202780925145817e-08,0.0
1860,5.492620580582752e-09,0.0
1861,8.017138064531082e-09,0.0
1862,6.776979422085105e-09,0.0
1863,2.097740825490746e-08,0.0
1864,6.712618905169165e-09,0.0
1865,1.5061901947888146e-08,0.0
1866,1.1677471434268227e-08,0.0
1867,1.844068364675877e-08,0.0
1868,1.432563490055827e-08,0.0
1869,6.8369265804335555e-09,0.0
1870,2.2936195165357276e-08,0.0
1871,7.434824311758348e-09,0.0
1872,1.3908880269752899e-08,0.0
1873,1.3169209722718733e-08,0.0
1874,8.961913877669758e-09,0.0
1875,1.0298748520654044e-08,0.0
1876,1.3301232115736639e-08,0.0
1877,8.040260901509555e-09,0.0
1878,9.662541877730746e-09,0.0
1879,3.0546627449723474e-09,0.0
1880,7.701415505323439e-09,0.0
1881,2.7890030285249168e-09,0.0
1882,6.655385131892899e-09,0.0
1883,3.791603475633565e-09,0.0
1884,1.0562715146988921e-08,0.0
1885,1.4824961702686323e-08,0.0
1886,5.808117542471791e-09,0.0
1887,1.1099172247952538e-08,0.0
1888,1.268122939990235e-08,0.0
1889,7.51816386923565e-09,0.0
1890,1.4419650362640368e-08,0.0
1891,6.374220040683554e-10,0.0
1892,0.0,0.0
1893,4.310891643655168e-09,0.0
1894,1.8904617871129403e-09,0.0
1895,1.3240951446391591e-08,0.0
1896,5.307326134129653e-09,0.0
1897,9.905413378419325e-09,0.0
1898,7.355861253444118e-09,0.0
1899,1.1055156790007459e-09,0.0
1900,8.30568502863116e-09,0.0
1901,7.824234593556412e-09,0.0
1902,1.0802624572647801e-08,0.0
1903,1.3500550899436803e-08,0.0
1904,6.449550227216605e-09,0.0
1905,6.708986699521802e-09,0.0
1906,1.7490227932626112e-08,0.0
1907,1.5428529565042481e-09,0.0
1908,8.840499887696751e-09,0.0
1909,1.1001967337165297e-08,0.0
1910,5.34415089958884e-09,0.0
1911,6.916486494645824e-09,0.0
1912,8.335073964360618e-09,0.0
1913,1.3787773589513108e-08,0.0
1914,1.808120764223986e-08,0.0
1915,5.890381071793627e-09,0.0
1916,8.789969641043172e-09,0.0
1917,9.869782324756216e-09,0.0
1918,3.44591288836682e-09,0.0
1919,5.524709134618888e-09,0.0
1920,1.3630017114962811e-08,0.0
1921,1.2873671018098776e-08,0.0
1922,8.115729421831475e-09,0.0
1923,8.492758496458919e-09,0.0
1924,3.867487219366694e-09,0.0
1925,1.0998177923937646e-09,0.0
1926,6.687683296036084e-09,0.0
1927,6.689535148041159e-09,0.0
1928,5.713020723163709e-09,0.0
1929,5.570202965543558e-09,0.0
1930,8.402882833991043e-09,0.0
1931,6.843213995466613e-09,0.0
1932,7.6716757391182e-09,0.0
1933,5.735331320977366e-09,0.0
1934,5.990790086229936e-09,0.0
1935,1.4361940969820353e-08,0.0
