year,avait_VERB éveillé_VERB,avait_VERB réveillé_VERB
1800,3.772997558826319e-08,6.917161954334006e-08
1801,1.4287095950749062e-08,4.286128785224719e-08
1802,3.8043282302169246e-08,4.4756802708434407e-08
1803,5.851017803593095e-08,4.290746247193056e-08
1804,7.4155526164076946e-09,5.6852570651244605e-08
1805,1.1371510844071508e-08,9.665784261869703e-08
1806,3.458002950651462e-08,2.5935023018064385e-08
1807,3.4163463169534225e-08,5.124519120158766e-08
1808,1.8128591960930862e-08,4.305540457494317e-08
1809,4.969867006821005e-08,4.969867006821005e-08
1810,3.2761775514700275e-08,5.8503168531842675e-08
1811,5.515568801683912e-08,1.504245972228091e-08
1812,7.20146218213813e-08,4.5342538612658245e-08
1813,5.463909147351842e-08,8.052076339026826e-08
1814,1.1013369771717407e-07,2.5173417128598885e-08
1815,1.1328339155625144e-07,6.203614333344376e-08
1816,7.648093003354006e-08,4.1716869958463576e-08
1817,4.0478710161551135e-08,4.0478710161551135e-08
1818,6.318224166079744e-08,5.364529798157491e-08
1819,8.177329391401145e-08,1.0040518816367694e-07
1820,1.18664814863223e-07,1.2697134366135288e-07
1821,9.861488337037372e-08,1.1044866710108181e-07
1822,8.922798144794797e-08,8.521773509073682e-08
1823,1.2155705064742506e-07,8.30145694408202e-08
1824,5.9789897477458e-08,1.0105335235266466e-07
1825,1.4617035049013793e-07,1.3560382683408534e-07
1826,7.134467239211517e-08,9.248383747717526e-08
1827,9.125100319806734e-08,8.848581956044654e-08
1828,7.06267186956211e-08,9.264024214417077e-08
1829,1.2516836989107105e-07,1.1659519572049248e-07
1830,7.097048637660919e-08,1.6072726793936454e-07
1831,1.0446107978623331e-07,1.4655734048574232e-07
1832,1.3259369779916597e-07,1.2312271735481772e-07
1833,1.3668682186107617e-07,1.934465956310305e-07
1834,1.0267984151823839e-07,1.0921401383257034e-07
1835,1.4899282518854307e-07,9.756383434478266e-08
1836,1.397915951883988e-07,1.317267077638462e-07
1837,1.6142307401878497e-07,1.092388899337493e-07
1838,1.5780405249188334e-07,1.401299982717319e-07
1839,1.3913034990764572e-07,1.2794399140148016e-07
1840,1.7835128574006376e-07,1.980973109994011e-07
1841,1.573034325019762e-07,1.5409315778924793e-07
1842,1.6435249960977671e-07,1.831356399861761e-07
1843,2.2446262448738707e-07,1.783887171313836e-07
1844,2.2228672946766892e-07,2.069187559072816e-07
1845,1.925178594319732e-07,1.78009273099633e-07
