year,aurait_VERB éveillé_VERB,aurait_VERB réveillé_VERB
1800,0.0,1.5720821977538435e-08
1801,0.0,2.3811825844433088e-09
1802,0.0,0.0
1803,7.801356893821776e-09,0.0
1804,9.887403784603066e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,2.3401267590372754e-09,9.360507036149102e-09
1811,0.0,0.0
1812,0.0,0.0
1813,2.0130190847567064e-08,8.627225156487839e-09
1814,3.1466771410748606e-09,3.776012391654149e-08
1815,1.3486118000116676e-08,1.0788894222457657e-08
1816,1.1588019432906549e-08,0.0
1817,9.341240669868967e-09,1.556873407970727e-09
1818,1.9073883805731384e-08,3.5763532135746345e-09
1819,4.140420006848444e-09,1.449147024601416e-08
1820,0.0,1.4239777357261119e-08
1821,2.9584463767662328e-09,4.930744257336528e-09
1822,1.2030739071633434e-08,2.0051231786055723e-09
1823,4.941343334508019e-09,0.0
1824,4.210556348027694e-09,0.0
1825,8.805443041381977e-10,2.641632912414593e-09
1826,8.80798456392995e-09,2.642395191543301e-09
1827,4.608636583469661e-09,3.6869092223668076e-09
1828,3.668920500743411e-09,2.5682442839070063e-08
1829,1.800366966620004e-08,3.6864655328372464e-08
1830,3.965997663613052e-08,6.262101504006523e-09
1831,1.5591206103948707e-09,2.182768810143898e-08
1832,2.705993873419743e-09,5.411987746839486e-09
1833,3.359252431778259e-08,1.2741991461950875e-08
1834,6.534171426153534e-09,1.4001796166951408e-08
1835,9.832014313815307e-09,6.050470346963266e-09
1836,2.419469957715137e-08,6.048674894287842e-09
1837,9.045257876039159e-09,1.1132625488130543e-08
1838,1.7042836475411605e-08,1.4517972601879592e-08
1839,1.3982949909063791e-08,6.9914749545318955e-09
1840,1.7198159341091923e-08,3.3122379505812205e-08
1841,5.1364388298225094e-09,2.1829865914924085e-08
1842,5.366612043644636e-09,8.720745015011744e-09
1843,7.678984559333912e-09,2.953455480181333e-09
1844,1.5916826967554698e-08,8.232841963717874e-09
1845,1.8414752389617206e-08,1.9530798311961917e-08
1846,9.367202125076801e-09,7.025401593807601e-09
1847,1.833696039454935e-08,1.1325769655456952e-08
1848,1.528592186161859e-08,9.65426583121598e-09
1849,1.0893239199560867e-08,1.6758829879393033e-09
1850,2.1724787302446202e-08,6.788996032014438e-10
1851,1.4188765717904062e-08,9.029214709244116e-09
1852,7.812654523320361e-09,6.510545436100301e-09
1853,4.180352064508952e-09,1.5527023222716707e-08
1854,2.0782657816909023e-09,2.5978321716024766e-09
1855,1.2205955357558196e-08,6.8990182455763716e-09
1856,8.801221973442352e-09,5.694908100650764e-09
1857,7.810414537345878e-09,9.274867096564776e-09
1858,1.4191660291373864e-08,5.872411001917044e-09
1859,1.018434669930457e-08,4.073738679721828e-09
1860,1.327383358784573e-08,7.781213007262977e-09
1861,9.903524222920623e-09,5.659156698811785e-09
1862,1.9879140111811466e-08,3.6143890103090826e-09
1863,1.6482248454963155e-08,7.991393324857654e-09
1864,1.965838514195184e-08,7.1920918109924514e-09
1865,1.1296426905005319e-08,9.88437331983505e-09
1866,1.2650593461671633e-08,4.379051787850585e-09
1867,1.2132028714972876e-08,1.1161466417775046e-08
1868,1.4819621974027086e-08,6.421836395986702e-09
1869,1.904572499711321e-08,1.953407746668745e-08
1870,1.490852596930381e-08,9.17447806614291e-09
1871,9.559059321873065e-09,4.248470908407853e-09
1872,1.5118347462816928e-08,9.675742873582749e-09
1873,1.3767810003173508e-08,1.7958012854535355e-09
1874,1.4339061493728877e-08,7.766991494406739e-09
1875,5.721527251978387e-09,5.721527251978387e-09
1876,9.673623679873344e-09,9.673623679873344e-09
1877,3.154256233983688e-08,1.9791411176584006e-08
1878,7.850815109122777e-09,7.2469061862534545e-09
1879,1.0996785704264767e-08,1.649517855639715e-08
1880,1.5402831010646878e-08,9.626769603698904e-09
1881,1.743126887276958e-08,9.761510710859511e-09
1882,1.3976308999019693e-08,6.655385131892899e-09
1883,6.951272890631799e-09,5.0554711528150165e-09
1884,1.1222884843675729e-08,9.242375753615306e-09
1885,1.160214413431504e-08,6.445635691854079e-10
1886,4.5174246565693466e-09,4.5174246565693466e-09
1887,9.140494583448344e-09,3.264462256069578e-09
1888,4.4384300679212174e-09,1.2047167707862627e-08
1889,8.771191772893872e-09,6.891650361495749e-09
1890,1.2453334363726754e-08,4.5880703680722945e-09
1891,7.0116419337296065e-09,3.1871101313640793e-09
1892,9.402768341715273e-09,7.522214851007902e-09
1893,7.390100087434348e-09,1.2316833108982905e-09
1894,1.6384001710889606e-08,6.9316934414587195e-09
1895,9.629783193076946e-09,1.2037228991346183e-09
1896,7.076434549446731e-09,2.948514543632541e-09
1897,9.905413378419325e-09,4.661370844871726e-09
1898,1.0750873968845553e-08,5.6583548957434e-10
1899,1.1607914629507832e-08,3.3165470370022376e-09
1900,1.5054054003371675e-08,7.786579381274805e-09
1901,1.8442838367604963e-08,1.0059729937950124e-08
1902,1.1293653123800595e-08,3.437198747846537e-09
1903,1.3500550899436803e-08,3.7801539676252105e-09
1904,1.6123875568041512e-08,2.6873125946735854e-09
1905,8.257214467732865e-09,5.676835002077496e-09
1906,1.0802787109298606e-08,1.1317205839134203e-08
1907,9.771402353919711e-09,1.131425531042396e-08
1908,1.1787333775714615e-08,3.437972351250096e-09
1909,4.950885035270858e-09,9.351672325408344e-09
1910,1.2825961626106164e-08,3.740905363258662e-09
1911,1.9685383989553884e-08,7.980561100850991e-09
1912,1.9795800554334164e-08,2.0837684910901544e-09
1913,1.6439267724877027e-08,6.363587878865928e-09
1914,6.696743604095445e-09,4.018046340092951e-09
1915,1.0602685840410686e-08,2.3561523843085297e-09
1916,1.0987462051303964e-09,3.2962386153911893e-09
1917,4.386569774084137e-09,1.2063066989753679e-08
1918,9.189101035644853e-09,1.722956355365568e-08
1919,2.6702760891339494e-08,0.0
1920,9.086678076641874e-09,7.572231730534895e-09
1921,6.058197943303867e-09,7.572747762196741e-09
1922,5.164555005876537e-09,4.426761179843197e-09
1923,1.0615948120573648e-08,5.307974060286824e-09
1924,1.289162443462999e-09,1.289162443462999e-09
1925,1.3197813508725176e-08,1.7597084678300234e-08
1926,1.7833821530643945e-08,6.687683296036084e-09
1927,1.0034302277972529e-08,7.804457524684949e-09
1928,1.1426041446327417e-08,1.2568645679778001e-08
1929,7.798284684668033e-09,1.3368487650211591e-08
1930,9.453243521306831e-09,6.302162347537887e-09
1931,1.1405356659111021e-08,1.4826963656844327e-08
1932,7.6716757391182e-09,3.287861094491973e-09
1933,1.0323596200123575e-08,1.0323596200123575e-08
1934,2.036868629318178e-08,1.3179738189705859e-08
1935,5.98414207075848e-09,1.555876849579363e-08
1936,6.0623572828433225e-09,6.0623572828433225e-09
1937,2.6441348666139675e-08,3.777335333410292e-09
1938,1.8151300906765755e-08,5.186085783037697e-09
1939,1.3764645423464117e-08,4.588215141154706e-09
1940,5.0715658339584024e-09,0.0
1941,1.7709016475464523e-08,2.9515025978810172e-09
1942,1.517105907566929e-08,3.034211770724937e-09
1943,1.7419411690866582e-08,2.9032352077962287e-09
1944,2.8918675454292497e-08,0.0
1945,8.714016175304096e-09,0.0
1946,1.1136883415474585e-08,9.744772988540262e-09
1947,1.907339353124371e-08,2.3841741914054637e-09
1948,5.435944139264848e-09,3.2615663503321457e-09
1949,8.835307596655184e-09,4.908504269707237e-09
1950,1.914365022059883e-08,1.1698897850465073e-08
1951,1.9190522948520083e-08,1.5992101864981123e-08
1952,1.1599284199803606e-08,1.0544804140977249e-08
1953,1.8315507332999914e-08,4.3095309543161875e-09
1954,5.863521668203475e-09,1.3681550115052232e-08
1955,9.385607846468247e-09,6.569925492527773e-09
1956,7.849027205963921e-09,6.104799332717903e-09
1957,7.068030161150318e-09,4.417518795207798e-09
1958,1.7371711180658167e-08,4.1361216673863055e-09
1959,8.525822714489095e-09,1.3951345856355601e-08
1960,1.3841666479663672e-08,8.997083078554624e-09
1961,5.55852741612739e-09,1.459113452284555e-08
1962,1.6489087428794846e-08,1.331810839388936e-08
1963,1.4871922360271128e-08,1.0992290633282664e-08
1964,1.3993127545575135e-08,8.517555549758526e-09
1965,9.849678406226303e-09,4.377634699181954e-09
1966,7.200797291773142e-09,8.862519607077957e-09
1967,6.902469706915326e-09,5.423369309198733e-09
