year,avait_VERB appelé_VERB,avait_VERB rappelé_VERB
1800,6.822837121944758e-07,8.489244152087849e-08
1801,5.929144890615134e-07,1.976381582835529e-07
1802,3.938598638342228e-07,1.0070280609397742e-07
1803,5.831514044984942e-07,1.2677205063482688e-07
1804,6.822308478149353e-07,1.1123329102247226e-07
1805,5.970043162051297e-07,2.2174445746259153e-07
1806,3.976703339958476e-07,1.181484350354367e-07
1807,9.394951803187723e-07,2.8469551693888207e-07
1808,8.475116715089825e-07,1.1330369886763947e-07
1809,8.200281058634573e-07,1.6265019553429738e-07
1810,7.418202017106523e-07,9.360506680877734e-08
1811,7.696725674577465e-07,3.4096242984560376e-07
1812,1.3896154769099667e-06,2.053750307595692e-07
1813,1.3400956504483474e-06,1.35159851311073e-07
1814,8.433094649262785e-07,2.674675556590955e-07
1815,1.0438254776090616e-06,2.589334542335564e-07
1816,6.697875392092101e-07,1.715026911597306e-07
1817,1.2096905948055792e-06,1.7748357095115352e-07
1818,1.2779502185367164e-06,2.992215399899578e-07
1819,1.4367257108460763e-06,3.053559680665785e-07
1820,1.293446416639199e-06,3.4531458936726267e-07
1821,1.4279435163189191e-06,2.5935713665603544e-07
1822,1.3464401718010777e-06,2.747018754689634e-07
1823,1.2096409136574948e-06,1.8480623964478582e-07
1824,1.4526419818139402e-06,2.517912776056619e-07
1825,1.6976894130493747e-06,2.3070261079283227e-07
1826,1.559013185215008e-06,3.091602422955475e-07
1827,1.4876678733344306e-06,3.760647473427525e-07
1828,1.8170328530686675e-06,4.4669107523986895e-07
1829,1.5980400576154352e-06,3.292099677310034e-07
1830,1.4893364550516708e-06,2.682266710962722e-07
1831,1.7462150481151184e-06,2.5725489649630617e-07
1832,1.7115411310442141e-06,3.20660262786987e-07
1833,1.6471919934701873e-06,3.4635050383258204e-07
1834,1.7334224367004936e-06,4.05118640856017e-07
1835,1.6336269936800818e-06,2.412625121905876e-07
1836,1.5672789004383958e-06,3.313329841603263e-07
1837,1.6587612208240898e-06,2.5187566166096076e-07
1838,1.9580327261792263e-06,4.652063410048868e-07
1839,1.8275716229254613e-06,3.726456156982749e-07
1840,2.2408564746001502e-06,3.694419490329892e-07
1841,1.8009639006777434e-06,3.088283904162381e-07
1842,2.164757233913406e-06,4.6421195065704524e-07
1843,1.923290255945176e-06,3.6504710010376584e-07
1844,2.27445980272023e-06,5.505027047547628e-07
1845,2.2655724478681805e-06,5.184031692806457e-07
1846,1.9548178897821344e-06,3.992769848082389e-07
1847,2.1977386950311484e-06,4.4655891429101757e-07
1848,1.671797122071439e-06,2.9606417228933424e-07
1849,1.7404045138391666e-06,3.184177614912187e-07
1850,1.7488454204794834e-06,3.5710118595488893e-07
1851,1.9032294176213327e-06,3.6761801425200247e-07
1852,1.8066763232127414e-06,3.5742894510804035e-07
1853,1.8083009081237833e-06,2.645565757575241e-07
1854,1.88186970717652e-06,3.403160349080281e-07
1855,1.8632656519912416e-06,3.359291156357358e-07
1856,1.8622349671204574e-06,3.230566107959021e-07
1857,1.8554616190158413e-06,4.959613306709798e-07
1858,1.9232147678849287e-06,3.77791792516291e-07
1859,1.832164002735226e-06,4.4454674252847326e-07
1860,2.0002294149890076e-06,5.387345254348475e-07
1861,1.9627841538749635e-06,3.659587832771649e-07
1862,1.978877889996511e-06,5.484835128299892e-07
1863,1.8739817733148811e-06,3.995696715719532e-07
1864,1.8430934005664312e-06,3.677556321690645e-07
1865,1.8121351104127825e-06,3.90668077443479e-07
1866,2.0026861875521718e-06,3.863296740291844e-07
1867,1.9391834484849824e-06,3.1494747076976637e-07
1868,1.6499179764650762e-06,3.2800764415696904e-07
1869,1.719975443847943e-06,3.643105230821675e-07
1870,1.7649401797825703e-06,3.8188764506230655e-07
1871,1.6675248843966983e-06,3.9404568497047876e-07
1872,1.60738272825256e-06,3.676782398542855e-07
1873,1.5587555708407308e-06,3.2264563287753845e-07
1874,1.543241523904726e-06,3.0948476137382386e-07
1875,1.5202097074507037e-06,3.410030160466704e-07
1876,1.6717231119400822e-06,2.6844304557016585e-07
1877,1.4775525869481498e-06,2.9687117830690113e-07
1878,1.540571474833996e-06,3.055778847738111e-07
1879,1.4540194115397753e-06,3.5617367188933713e-07
1880,1.4953582194721093e-06,3.3757871165107645e-07
1881,1.4405200090550352e-06,3.0190958000275714e-07
1882,1.5986234984666226e-06,2.588944880699273e-07
1883,1.3757201031694422e-06,2.395029525814607e-07
1884,1.4589750207960606e-06,3.241433148559736e-07
1885,1.314909695793176e-06,3.119687619346223e-07
1886,1.4352503967529628e-06,2.9105120802341844e-07
