year,voulant_VERB avoir_VERB,voulant_VERB ravoir_VERB
1800,1.3205491100620748e-07,0.0
1801,1.9525697325661895e-07,4.7623651688866175e-09
1802,2.64065135979763e-07,2.2378401354217203e-09
1803,1.1116933507082649e-07,1.950339223455444e-09
1804,2.3235398383114614e-07,1.4831105232815389e-08
1805,2.7860200724205697e-07,0.0
1806,1.5561013011478053e-07,0.0
1807,1.8505208743135881e-07,0.0
1808,2.198091770821975e-07,6.798221985349073e-09
1809,3.140052298178375e-07,0.0
1810,1.0998595723066273e-07,0.0
1811,2.5572182771327334e-07,1.2535384286138651e-08
1812,1.0935553440560852e-07,0.0
1813,2.1855636589407368e-07,2.8757416448144113e-09
1814,3.3354777428939997e-07,0.0
1815,2.1038343511747826e-07,0.0
1816,1.344210218690023e-07,0.0
1817,2.3041725860650786e-07,1.401186100480345e-08
1818,1.9789154137583864e-07,1.1921177378582115e-09
1819,2.701624097767308e-07,0.0
1820,2.373296252855539e-07,0.0
1821,3.195122335597489e-07,9.86148829262845e-10
1822,3.338529950269731e-07,0.0
1823,2.8956272135616246e-07,9.882686891060644e-10
1824,3.14949609503401e-07,2.5263338088166165e-09
1825,1.4793144487157406e-07,8.805443041381977e-10
1826,2.721667282656881e-07,0.0
1827,2.571619184266183e-07,0.0
1828,2.34810907162597e-07,0.0
1829,2.1861599464045867e-07,0.0
1830,1.7533883855946897e-07,0.0
1831,1.3720261504701625e-07,0.0
1832,2.8007035934862756e-07,0.0
1833,2.0387185983850031e-07,0.0
1834,2.0255932131618692e-07,5.600718555598405e-09
1835,1.9966552144978778e-07,7.563087933704082e-10
1836,2.419470015446734e-07,3.36037508930076e-09
1837,2.6231248462238455e-07,0.0
1838,2.947779531581318e-07,0.0
1839,2.1323999810363148e-07,6.9914751765765e-10
1840,1.7644036898190052e-07,0.0
1841,1.707865848743495e-07,0.0
1842,1.5697340050024877e-07,1.341653010911159e-09
1843,1.5062623237582784e-07,2.3627644285539873e-09
1844,1.9319735500289426e-07,1.2074834465636286e-08
1845,2.1372273462105795e-07,0.0
1846,1.7504959259895259e-07,0.0
1847,1.6017874759910455e-07,4.853901280910122e-09
1848,1.6009990844167987e-07,0.0
1849,1.6842624006585538e-07,3.3517659758786067e-09
1850,2.0638547670870366e-07,2.7155984128057753e-09
1851,1.9799777106754846e-07,7.094382858952031e-09
1852,1.3802355702807745e-07,1.3021090872200602e-09
1853,1.6960286597367258e-07,2.388772735173461e-09
1854,2.3276576222031053e-07,0.0
1855,1.9688737395995304e-07,2.1227748447927297e-09
1856,2.428101737450561e-07,5.177189232874468e-10
1857,2.631133302344324e-07,1.4644527812635033e-09
1858,1.9183209420958747e-07,9.787352039936081e-10
1859,2.3576762941956986e-07,9.165912473463322e-09
1860,1.8308736215999488e-07,4.577183909670879e-10
1861,1.5326882607524794e-07,6.6023493339173456e-09
1862,2.0330937688939343e-07,1.3553959066214816e-09
1863,1.7481172420730218e-07,4.994620828036034e-10
1864,1.8939175383536622e-07,9.589455896019672e-10
1865,1.9062719047724386e-07,0.0
1866,2.0143637868841324e-07,0.0
1867,1.669367115653131e-07,4.85281148598915e-10
1868,1.857392710746808e-07,2.9639244392143382e-09
1869,1.2941326321680435e-07,3.4184632902167778e-09
1870,1.6456719720281399e-07,2.2936195165357276e-09
1871,1.093981252253684e-07,0.0
1872,1.8262965006954346e-07,6.652073114565837e-09
1873,1.310935031639815e-07,2.3944017879529156e-09
1874,1.780433533937753e-07,1.1949218281515073e-09
1875,1.4990401631109762e-07,1.716458086775674e-09
1876,1.8077584762465904e-07,6.04601479992084e-10
1877,1.74411812992048e-07,0.0
1878,1.775492135536183e-07,4.22736201599605e-09
1879,1.863344194497074e-07,6.10932526790009e-10
1880,1.3413299360109932e-07,1.2835692508872398e-09
1881,1.6245942280335157e-07,0.0
1882,2.0432032954431634e-07,0.0
1883,1.2638677571175094e-07,8.21514056781325e-09
1884,1.5381953843984775e-07,0.0
1885,1.147323147598911e-07,0.0
1886,1.3487739369821838e-07,0.0
1887,1.3580163304993675e-07,2.6115698492645834e-09
1888,1.7690315345930685e-07,0.0
1889,1.810624556952689e-07,2.5060546970934183e-09
1890,1.284659725264703e-07,0.0
