year,voudrait_VERB amener_VERB,voudrait_VERB ramener_VERB
1800,0.0,0.0
1801,2.3811825844433088e-09,0.0
1802,0.0,1.3427040812530322e-08
1803,0.0,0.0
1804,1.730295728918918e-08,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,2.2660739951163578e-09
1809,0.0,1.3554183553310395e-08
1810,0.0,2.3401267590372754e-09
1811,0.0,3.5099073869560016e-08
1812,0.0,2.6672082320544632e-09
1813,0.0,0.0
1814,6.293354282149721e-09,1.8880061958270744e-08
1815,8.091670444798638e-09,1.8880564667256294e-08
1816,0.0,4.6352077731626196e-09
1817,7.784366928831332e-09,2.3353100786493997e-08
1818,3.5763532135746345e-09,2.026600220972341e-08
1819,4.140420006848444e-09,2.070210003424222e-09
1820,1.542642635854463e-08,1.3053129244156025e-08
1821,7.88919063410276e-09,1.97229765852569e-09
1822,2.0051231786055723e-09,2.3058916553964082e-08
1823,1.3835761869529506e-08,5.929612356680991e-09
1824,1.0105335235266466e-08,6.736890156844311e-09
1825,1.7610886082763955e-09,1.7610886082763955e-09
1826,1.8496766784892316e-08,2.025836387531399e-08
1827,1.013900075008678e-08,1.013900075008678e-08
1828,1.7427371545863934e-08,1.3758452155343548e-08
1829,1.714635211591542e-09,2.1432940755516938e-08
1830,2.1917355041978226e-08,2.2961039292113128e-08
1831,7.795603274018958e-09,7.795603274018958e-09
1832,8.117981842303834e-09,1.8941957335982806e-08
1833,1.853380560135065e-08,5.791814139399776e-09
1834,1.9602515166639023e-08,2.0535967593104942e-08
1835,6.806779140333674e-09,1.2100940693926532e-08
1836,1.008112526790228e-08,1.1425274948351216e-08
1837,1.0436836284100082e-08,1.3915781860163179e-09
1838,1.8936486156917454e-08,5.680945491803868e-09
1839,1.5381244722334486e-08,2.6567605004856887e-08
1840,1.6561189752906103e-08,2.6115722917552375e-08
1841,1.5409316489467528e-08,3.2102742686390684e-09
1842,1.542900918138912e-08,9.391571076378114e-09
1843,7.678984559333912e-09,4.7255288571079745e-09
1844,1.3721403568922597e-08,6.037417232818143e-09
1845,1.4508592549589139e-08,6.138250796539069e-09
1846,1.4636253098387897e-08,1.5221703009160592e-08
1847,8.629157832729106e-09,1.5101026207275936e-08
1848,1.287235473768078e-08,8.84974404868899e-09
1849,8.379414495607307e-09,4.9438547478075634e-08
1850,6.788996032014438e-09,1.425689166723032e-08
1851,2.579775504329973e-08,2.0638204034639784e-08
1852,2.6042181744401205e-09,1.6927417689771573e-08
1853,1.4929829816878737e-08,1.2541057081705276e-08
1854,8.313063126763609e-09,1.506742641765868e-08
1855,3.1841622671890946e-09,2.653468555990912e-09
1856,3.6240324075009767e-09,1.9155599773057475e-08
1857,2.147863931156735e-08,8.78671624349181e-09
1858,1.565976326389773e-08,2.0064071293290908e-08
1859,4.582956236731661e-09,4.277425702525761e-08
1860,6.865775947773045e-09,2.7920821210614122e-08
1861,1.226150558863992e-08,2.4051415081771665e-08
1862,1.0391368654438793e-08,1.445755604123633e-08
1863,6.493007020935693e-09,4.0955889346605545e-08
1864,1.6781548595190543e-08,5.274200631788517e-09
1865,1.3649848362717876e-08,1.9298061815220535e-08
1866,4.379051787850585e-09,1.556996132023869e-08
1867,6.79393608038481e-09,2.717574432153924e-08
1868,5.9278488784286765e-09,2.5193358510477992e-08
1869,6.8369265804335555e-09,5.518376511304268e-08
1870,9.747882501187632e-09,1.2614907340946502e-08
1871,0.0,1.911811864374613e-08
1872,4.23313739617015e-09,1.1489944995446422e-08
1873,1.1373408881354408e-08,3.412022664406322e-08
1874,1.0156835372754358e-08,5.377148060148329e-09
1875,4.005069165202713e-09,1.5448122780981066e-08
1876,7.255217759905008e-09,3.748529309177684e-08
1877,1.9172929910382663e-08,1.2988113695655557e-08
1878,6.039088673581716e-10,6.039088784604019e-09
1879,5.498392852132383e-09,2.2604503158163425e-08
1880,7.701415505323439e-09,2.1178893305773272e-08
1881,6.9725074602899895e-09,2.649552932609822e-08
1882,9.317538740560849e-09,2.1962771157291172e-08
1883,1.0110942305630033e-08,1.579834751908038e-08
1884,1.1883054540362536e-08,1.2543224237049344e-08
1885,1.0313017106966527e-08,1.2891271161663553e-08
1886,4.5174246565693466e-09,1.4197620856748472e-08
1887,1.566941953967671e-08,2.7421483750345033e-08
1888,8.876860135842435e-09,1.3949351895803375e-08
1889,2.380751951136517e-08,9.397704836544563e-09
1890,1.2453334363726754e-08,1.1142456735058204e-08
1891,8.92390783491237e-09,1.6572972327821844e-08
1892,1.002961980134387e-08,1.6924984080901595e-08
1893,4.310891643655168e-09,1.6627724974682678e-08
1894,4.411077725308132e-09,2.7096618282484997e-08
1895,7.22233739480771e-09,2.046328972937772e-08
1896,4.717623180994224e-09,1.1794058174530164e-08
1897,1.631479840114025e-08,1.3401440845939305e-08
1898,2.6028432742464247e-08,2.6594268121016285e-08
1899,1.3818945987509323e-08,1.492446166651007e-08
1900,1.142031713641245e-08,2.180242297811219e-08
1901,8.38310842965484e-09,1.397184767881754e-08
1902,3.437198747846537e-09,1.6203935970793282e-08
1903,5.400220270956879e-09,2.430099144135056e-08
1904,1.3436562973367927e-08,1.4511488011237361e-08
1905,9.28936660926638e-09,2.4771644291377015e-08
1906,1.7490227932626112e-08,1.594697174311932e-08
1907,6.685696440911215e-09,2.5199932807140613e-08
1908,6.875944702500192e-09,1.080505640516094e-08
1909,5.5009836685826485e-09,1.2102163715610459e-08
1910,3.206490406526541e-09,2.672075360976578e-08
1911,1.3300935464144459e-08,2.074945903984826e-08
1912,1.5628263128064646e-08,1.8753915753677575e-08
1913,9.545381374209683e-09,1.484837142129436e-08
1914,1.0045115850232378e-08,1.0045115850232378e-08
1915,1.4136913861761968e-08,2.1205371680821372e-08
1916,4.394984820521586e-09,2.7468654906215306e-08
1917,9.869782324756216e-09,3.3995917192441993e-08
1918,1.9526840588923733e-08,1.9526840588923733e-08
1919,2.762354567309444e-09,1.5653341733923298e-08
1920,9.843901693784574e-09,1.2872794385998532e-08
1921,1.1359120755116692e-08,1.1359120755116692e-08
1922,1.8444838545406128e-08,3.39385017866789e-08
1923,1.2739137744688378e-08,2.0170300985000722e-08
1924,6.445812328337297e-09,2.5783249313349188e-08
1925,1.3197813508725176e-08,1.6497267552040284e-08
1926,2.1177662290483568e-08,2.1177662290483568e-08
1927,6.689535148041159e-09,2.2298449309232637e-08
1928,1.9424270192303084e-08,1.82816659588525e-08
1929,2.33948540540041e-08,2.1166771446701205e-08
1930,2.2057568216382606e-08,2.6259009189288918e-08
1931,2.3951248095954725e-08,5.7026783295555106e-09
1932,1.2055489939655217e-08,1.8631212128639163e-08
1933,1.4911860191091364e-08,2.6382522833046096e-08
1934,1.0783422155213884e-08,8.38710612072191e-09
1935,1.9149254626427137e-08,1.0771455727365264e-08
1936,4.849885826274658e-09,8.487299751891442e-09
1937,6.295559185076627e-09,1.1332006444320086e-08
1938,1.0372171566075394e-08,7.779128452511941e-09
1939,1.2235240376412548e-08,1.8352860564618823e-08
1940,5.0715658339584024e-09,3.550096039361961e-08
1941,1.1806010391524069e-08,1.1806010391524069e-08
1942,3.034211770724937e-09,9.102635090130207e-09
1943,2.9032352077962287e-09,2.0322646676618206e-08
1944,6.4263723231761105e-09,6.4263723231761105e-09
1945,2.178504043826024e-09,1.089252066321933e-08
1946,1.2528993842408909e-08,1.6705325123211878e-08
1947,3.5762612871081956e-09,1.3112957830685446e-08
1948,9.784699273041042e-09,1.7395020535104777e-08
1949,1.2762110479513922e-08,1.570721330779179e-08
1950,1.701657836861159e-08,1.914365022059883e-08
1951,2.6653504292539765e-08,9.595261474260042e-09
1952,7.381362632230548e-09,1.7926167217297007e-08
1953,6.464296653518886e-09,8.619061908632375e-09
1954,6.840775057526116e-09,1.2704297169818801e-08
1955,8.447047505910632e-09,1.5016972554349195e-08
1956,4.360570571293465e-09,9.593255967388359e-09
1957,1.236905244894615e-08,9.718541527092839e-09
