year,pourrait_VERB acheter_VERB,pourrait_VERB racheter_VERB
1800,8.803660733747165e-08,5.345079756580162e-08
1801,3.809892135109294e-08,0.0
1802,9.84649659585557e-08,0.0
1803,1.5602713787643552e-08,7.801356893821776e-09
1804,3.9549615138412264e-08,1.9774807569206132e-08
1805,3.1271653710973624e-08,2.842877711017877e-09
1806,2.881669125542885e-09,8.645007376628655e-09
1807,1.1387820464392462e-08,2.2775640928784924e-08
1808,3.3991110370834576e-08,9.064295980465431e-09
1809,2.9367397402779716e-08,4.292158095609011e-08
1810,7.020380277111826e-09,1.4040760554223652e-08
1811,7.771937760026049e-08,0.0
1812,4.000812481308458e-08,2.6672082320544632e-09
1813,7.189353823378042e-08,0.0
1814,2.8320094713762956e-08,0.0
1815,1.8880564667256294e-08,5.394447111228828e-09
1816,1.622322720606917e-08,4.6352077731626196e-09
1817,4.670620157298799e-08,2.3353100786493997e-08
1818,1.3113295338484932e-08,1.4305412854298538e-08
1819,8.69488232524418e-08,1.3456364911235141e-08
1820,1.1035827185423841e-07,1.898636980968149e-08
1821,6.607196922914227e-08,1.97229765852569e-09
1822,3.60922172149003e-08,1.0025615893027862e-09
1823,6.127265805844218e-08,1.9765373782121287e-09
1824,6.14741253457396e-08,1.0105335235266466e-08
1825,3.3460683113162304e-08,6.163809906922779e-09
1826,4.227832306469281e-08,2.2019960965735663e-08
1827,3.3182182335167454e-08,1.566936447261469e-08
1828,2.935136400594729e-08,2.109629271274116e-08
1829,8.658907546532646e-08,1.800366966620004e-08
1830,8.76694201679129e-08,3.235419043789989e-08
1831,5.76874619184764e-08,2.182768810143898e-08
1832,6.900284432731496e-08,2.4353944638733083e-08
1833,6.370995464521911e-08,4.6334514003376626e-09
1834,5.0406466556296436e-08,1.4935249481595747e-08
1835,6.579886502322552e-08,3.781543966852041e-09
1836,5.1749776019960336e-08,1.008112526790228e-08
1837,4.87052354003481e-08,7.653680356156656e-09
1838,6.501526428337456e-08,1.7674054220151447e-08
1839,6.85164565084051e-08,1.1885507689157748e-08
1840,8.089504888175725e-08,1.7198159341091923e-08
1841,7.191014361751513e-08,3.852328944731198e-08
1842,7.915753030829364e-08,1.8112315203211438e-08
1843,1.0218955992513656e-07,2.8943864194275193e-08
1844,5.872760411307354e-08,2.4698525891153622e-08
1845,6.02664584903323e-08,3.906159662392383e-08
1846,6.849766265304424e-08,1.9905304071698993e-08
1847,1.26740758332744e-07,1.3483059113639229e-08
1848,1.5607730574629386e-07,1.045878850192139e-08
1849,6.116972883773997e-08,2.011059585527164e-08
1850,6.44954596396019e-08,1.4935791270431764e-08
1851,8.706741994046752e-08,2.579775504329973e-09
1852,5.599068941819496e-08,2.799534470909748e-08
1853,3.941475057445132e-08,1.6721408258035808e-08
1854,5.819144277552368e-08,1.558699302961486e-08
1855,4.5108965451845506e-08,2.5473298137512757e-08
1856,4.34883880018333e-08,1.0354378687793542e-08
1857,3.8075771868761876e-08,1.7085282522089074e-08
1858,3.670256987220455e-08,2.838332058274773e-08
1859,7.027199444564758e-08,2.5970084749360467e-08
1860,4.577183787546346e-08,1.5562426014525954e-08
