year,devraient_VERB appeler_VERB,devraient_VERB rappeler_VERB
1800,3.144164484325529e-09,6.288328968651058e-09
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,4.5321479902327155e-09,1.8128591960930862e-08
1809,0.0,4.518061036407062e-09
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,2.6672082320544632e-09
1813,0.0,8.627225156487839e-09
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-08,4.6352077731626196e-09
1817,1.556873407970727e-09,4.670620334934483e-09
1818,1.3113295338484932e-08,2.026600220972341e-08
1819,1.035105001712111e-09,1.035105001712111e-09
1820,9.493184904840746e-09,7.119888678630559e-09
1821,9.86148829262845e-10,0.0
1822,1.0025615893027862e-09,2.0051231786055723e-09
1823,9.882686669016039e-09,1.3835761869529506e-08
1824,0.0,1.6842225392110777e-09
1825,0.0,2.641632912414593e-09
1826,0.0,8.807984341885344e-10
1827,0.0,9.217273166939322e-09
1828,1.8344602503717056e-09,1.8344602503717056e-09
1829,1.714635211591542e-09,2.571952872898464e-09
1830,9.39315203396518e-09,0.0
1831,9.354723218280014e-09,1.5591206103948707e-09
1832,1.3529969367098715e-09,2.570694235259907e-08
1833,9.266902800675325e-09,0.0
1834,6.534171426153534e-09,9.334530925997342e-10
1835,3.781543966852041e-09,1.5126175867408165e-09
1836,0.0,4.032449929525228e-09
1837,1.0436836284100082e-08,6.262101948095733e-09
1838,9.468243078458727e-09,2.5248647617104325e-09
1839,6.292327547896548e-09,8.38977065598101e-09
1840,5.732719632334238e-09,6.369688665408546e-10
1841,6.420548537278137e-10,2.5682194149112547e-09
1842,1.1404051036834062e-08,1.6770663080478698e-08
1843,7.088293507706567e-09,5.31621990873532e-09
1844,6.586273748609983e-09,5.488561161115513e-09
1845,1.674068350610014e-08,1.674068439427856e-09
1846,1.3465353276842507e-08,1.7563503984519002e-09
1847,1.6179670936367074e-09,0.0
1848,1.528592186161859e-08,1.6090443422100975e-09
1849,1.4245005175439474e-08,0.0
1850,1.6972489191857676e-08,4.073397619208663e-09
1851,6.449438760824933e-10,1.2898877521649865e-09
1852,1.3021090872200602e-09,1.3021090872200602e-09
1853,5.971931837933653e-10,0.0
1854,2.5978321716024766e-09,0.0
1855,2.1227748447927297e-09,0.0
1856,6.73034605824796e-09,3.6240324075009767e-09
1857,1.4644527368545823e-08,2.9289055625270066e-09
