year,devaient_VERB établir_VERB,devaient_VERB rétablir_VERB
1800,3.144164484325529e-09,0.0
1801,9.524730337773235e-09,9.524730337773235e-09
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,7.4155526164076946e-09,0.0
1805,5.685755422035754e-09,2.842877711017877e-09
1806,0.0,1.152667650217154e-08
1807,1.4234775136401367e-08,7.686778502602465e-08
1808,9.064295980465431e-09,4.5321479902327155e-09
1809,2.710836710662079e-08,4.518061036407062e-09
1810,9.360507036149102e-09,0.0
1811,7.521229861140455e-09,2.5070767684098882e-09
1812,1.600324850414836e-08,1.3336041604361526e-08
1813,0.0,5.751483289628823e-09
1814,9.440030979135372e-09,0.0
1815,2.1577788444915313e-08,1.0788894222457657e-08
1816,9.270415546325239e-09,1.3905623319487859e-08
1817,3.269434145636296e-08,6.227493631882908e-09
1818,2.5034472272977837e-08,1.9073883805731384e-08
1819,2.794783426907088e-08,1.6561680027393777e-08
1820,1.898636980968149e-08,2.3732962262101864e-09
1821,5.621048160264763e-08,1.2819934447350079e-08
1822,4.8122956286533736e-08,2.90742860897808e-08
1823,1.581229902569703e-08,0.0
1824,1.6000115010683658e-08,8.421112696055388e-10
1825,4.6668848341369085e-08,7.044354433105582e-09
1826,1.6735169694470642e-08,6.1655889282974385e-09
1827,3.3182182335167454e-08,4.608636583469661e-09
1828,4.3109814384934e-08,5.503380862137419e-09
1829,4.200856196234781e-08,1.0287811491593857e-08
1830,3.026682549034376e-08,1.461157062010443e-08
1831,3.4300654760954785e-08,0.0
1832,6.22378593106987e-08,2.705993873419743e-09
1833,4.51761508202253e-08,8.108539617524002e-09
1834,8.401078055442213e-09,7.467624740797874e-09
1835,3.327758690829796e-08,1.8151411040889798e-08
1836,1.8818100855355624e-08,3.36037508930076e-09
1837,3.1310509740478665e-08,2.0873671680021744e-09
1838,1.1361890983607736e-08,1.830527018853445e-08
1839,2.586845759822154e-08,1.677954131196202e-08
1840,2.6752692505738196e-08,1.7835128929277744e-08
1841,3.723918240439161e-08,8.346713542550788e-09
1842,4.293289634915709e-08,1.1404051036834062e-08
1843,2.2446261738195972e-08,1.0041748765843295e-08
1844,3.2931367854871496e-08,7.683985892015244e-09
1845,3.5155437672074186e-08,7.254296274794569e-09
1846,3.454155717008689e-08,9.952652035849496e-09
1847,4.961765753819236e-08,3.775256551818984e-09
1848,2.896279838182636e-08,8.045221711050488e-10
1849,9.217356655710773e-09,3.3517659758786067e-09
1850,2.0366988096043315e-08,7.467895635215882e-09
1851,3.998652076120379e-08,5.159551008659946e-09
1852,3.971432604998881e-08,1.4323200403509873e-08
1853,2.448492075757258e-08,4.180352064508952e-09
1854,2.4419623656513068e-08,5.7152309551611324e-09
1855,4.9354515141430966e-08,6.368324534378189e-09
1856,1.4496129630003907e-08,9.318940286107136e-09
1857,3.661131842136456e-08,4.881509085841174e-10
1858,2.202154192332273e-08,1.1744822003834088e-08
1859,4.379269213927728e-08,5.092173349652285e-10
1860,2.6089947979812678e-08,2.746310290291376e-09
1861,2.357981898626349e-08,2.357981809808507e-09
1862,3.11741068514948e-08,7.680577063240435e-09
1863,2.3474717281146695e-08,8.990317823531768e-09
1864,2.4932585773740357e-08,6.712618905169165e-09
1865,1.4591217123438582e-08,2.8241067262513297e-09
1866,4.525020003143254e-08,1.1677471434268227e-08
1867,2.9602150064533816e-08,4.367530337390235e-09
1868,2.222943251695142e-08,4.939874287401835e-09
1869,3.41846337903462e-08,1.6115613732381462e-08
