year,veut_VERB appeler_VERB,veut_VERB rappeler_VERB
1800,6.917161954334006e-08,4.087413785214267e-08
1801,7.857902772911984e-08,5.476719877606229e-08
1802,1.208433673127729e-07,5.370816325012129e-08
1803,7.216254971353919e-08,6.631153581793114e-08
1804,7.909923027682453e-08,3.213406074564773e-08
1805,1.0802935435094696e-07,7.107194477384837e-08
1806,7.204172902675055e-08,3.1698359492793315e-08
1807,9.394951661079176e-08,5.4092147649953404e-08
1808,5.891792298484688e-08,8.157866204783204e-08
1809,6.09938268780752e-08,7.228897658251299e-08
1810,1.0764583180389309e-07,2.574139479349924e-08
1811,7.019814773912003e-08,5.264861258069686e-08
1812,9.068507722531649e-08,5.067695596494559e-08
1813,1.4666282766029326e-07,1.2653262615458516e-07
1814,2.6117419338334e-07,9.125363931161701e-08
1815,1.4565007688815967e-07,5.933891955578474e-08
1816,3.383701709935849e-07,4.8669683394564345e-08
1817,1.6814232139950036e-07,8.56280379935015e-08
1818,1.6689648418832803e-07,6.079800130009971e-08
1819,1.2524770909294602e-07,8.177329391401145e-08
1820,1.0086508694939766e-07,7.475883023744245e-08
1821,1.4003313708599308e-07,6.903042049088981e-08
1822,9.323822780515911e-08,4.8122956286533736e-08
1823,1.5021683452687284e-07,4.5460360809101985e-08
1824,1.0779024250950897e-07,8.336901657912676e-08
1825,1.1359021812040737e-07,5.987701001686219e-08
1826,9.160303449107232e-08,9.248383747717526e-08
1827,1.2351145528555207e-07,7.373818533551457e-08
1828,1.3024667566696735e-07,6.787502826455238e-08
1829,1.4402935732960032e-07,6.001223340490469e-08
1830,1.2211097555336892e-07,5.740259823028282e-08
1831,9.198811312671751e-08,4.5214498811674275e-08
1832,1.0959275442701255e-07,5.817886972181441e-08
1833,1.285782786908385e-07,3.359252431778259e-08
1834,1.0548019702127931e-07,8.121041616959701e-08
1835,1.505054569861386e-07,2.949604294144592e-08
1836,1.754115714902582e-07,4.9061476659062464e-08
1837,1.1828414869796688e-07,3.75726116885744e-08
1838,1.1488134532555705e-07,2.019891809368346e-08
1839,9.57832071435405e-08,3.705481788074394e-08
1840,1.0255198645836572e-07,8.471685930544481e-08
1841,1.4317822660814272e-07,8.66774030328088e-08
1842,1.1873628835701311e-07,4.628702754416736e-08
1843,1.4826346728114004e-07,5.316219997553162e-08
1844,1.1525978749205024e-07,3.1833653935109396e-08
1845,1.2109094882362115e-07,5.245414413934668e-08
1846,1.4753342725271068e-07,2.6930706553685013e-08
1847,1.2620142797459266e-07,6.741529290366088e-08
1848,6.516629724728773e-08,6.436177102386864e-08
1849,1.0139092410099693e-07,3.267971848686102e-08
1850,1.0319273968661946e-07,5.634866795389826e-08
1851,8.706741994046752e-08,3.9341575330809064e-08
1852,1.0742400036178879e-07,3.5156944022674e-08
1853,9.614809926006274e-08,4.060913738612726e-08
1854,1.1066765637224307e-07,3.948704829781491e-08
1855,1.0666943239812099e-07,4.4578271740647324e-08
1856,9.111852961041222e-08,9.526028321715785e-08
1857,8.64027143165913e-08,8.103305049189657e-08
1858,9.151174396038186e-08,4.79580251067091e-08
1859,1.2170293928193132e-07,5.14309519417111e-08
1860,1.240416906966857e-07,4.027921818305913e-08
1861,1.1129674248877564e-07,5.94211435611669e-08
