year,doivent_VERB ajouter_VERB,doivent_VERB rajouter_VERB
1800,6.288328791015374e-08,0.0
1801,1.0239084957675004e-07,0.0
1802,5.147032311469957e-08,0.0
1803,6.631153581793114e-08,0.0
1804,9.145848167690929e-08,0.0
1805,7.675770063997334e-08,0.0
1806,1.2679343797117326e-07,0.0
1807,6.547996633798903e-08,0.0
1808,5.6651849433819734e-08,0.0
1809,5.421673421324158e-08,0.0
1810,3.978215445954447e-08,0.0
1811,5.0141537144554604e-08,0.0
1812,4.800974906515876e-08,0.0
1813,8.339650747757332e-08,0.0
1814,8.810695817373926e-08,0.0
1815,4.315557688983063e-08,0.0
1816,7.184571870766376e-08,0.0
1817,9.652615062805125e-08,0.0
1818,3.337929754820834e-08,0.0
1819,7.24573467891787e-08,0.0
1820,9.8491796052258e-08,0.0
1821,9.762873531826699e-08,0.0
1822,6.51665033046811e-08,0.0
1823,6.522573414713406e-08,0.0
1824,4.21055617039201e-08,0.0
1825,4.754939197937347e-08,0.0
1826,2.7304752237000685e-08,0.0
1827,5.069500019772022e-08,0.0
1828,4.494427585655103e-08,0.0
1829,3.429270378774163e-08,0.0
1830,5.322786122974321e-08,0.0
1831,4.2096257146795324e-08,0.0
1832,5.276687886635045e-08,0.0
1833,3.1275796175123105e-08,0.0
1834,5.600718466780563e-08,0.0
1835,3.6302822081779595e-08,0.0
1836,4.435695188931277e-08,0.0
1837,6.122944284925325e-08,0.0
1838,7.132742751991827e-08,0.0
1839,3.985140750728533e-08,0.0
1840,3.3122379505812205e-08,0.0
1841,5.778493772368165e-08,0.0
1842,7.781587640920407e-08,0.0
1843,3.603215859016018e-08,0.0
1844,4.9945906965831455e-08,0.0
1845,3.4039391749729475e-08,0.0
1846,1.7563504428608212e-08,0.0
1847,5.177494699637464e-08,0.0
1848,4.022610866627474e-08,0.0
1849,3.267971848686102e-08,0.0
1850,2.5119284430275002e-08,0.0
1851,2.192809134271556e-08,0.0
1852,3.190167419120371e-08,0.0
1853,4.299791100947914e-08,0.0
1854,3.688921879074769e-08,0.0
1855,2.5473298137512757e-08,0.0
1856,3.4169449492083004e-08,0.0
1857,3.270611159678083e-08,0.0
1858,3.866004050223637e-08,0.0
1859,6.619825576592575e-09,0.0
1860,2.8836257826014844e-08,0.0
1861,2.357981898626349e-08,0.0
1862,2.3493528900075944e-08,0.0
1863,2.097740825490746e-08,0.0
1864,2.589153069720851e-08,0.0
1865,5.7894187222018445e-08,0.0
1866,3.2113046444237625e-08,0.0
1867,3.299911810472622e-08,0.0
1868,4.00129813726835e-08,0.0
1869,3.955650385023546e-08,0.0
1870,5.045962936378601e-08,0.0
1871,4.885741589077952e-08,0.0
1872,3.507456725060365e-08,0.0
1873,3.5317427204972773e-08,0.0
1874,3.0470506118263074e-08,0.0
1875,2.8607635371713513e-08,0.0
1876,1.874264654588842e-08,0.0
1877,1.6699003069220453e-08,0.0
1878,2.6571990829893366e-08,0.0
1879,3.0546626561545054e-08,0.0
1880,4.3641353641987735e-08,0.0
1881,3.416528571165145e-08,0.0
1882,3.793569547383413e-08,0.0
1883,2.464542170343975e-08,0.0
1884,3.762967182296961e-08,0.0
1885,1.160214413431504e-08,0.0
1886,2.3877817056927597e-08,0.0
1887,3.264462478114183e-08,0.0
1888,2.53624587998047e-08,0.0
1889,1.0024218788373673e-08,0.0
1890,3.9326319978272295e-08,0.0
1891,2.6134301833735663e-08,0.0
1892,2.0686091062316336e-08,0.0
1893,1.539604177480669e-08,0.0
1894,1.827446460822557e-08,0.0
1895,2.2268872967856623e-08,0.0
1896,1.1204354777305525e-08,0.0
1897,1.981082675683865e-08,0.0
1898,3.168678830434146e-08,0.0
1899,2.819064981451902e-08,0.0
1900,1.764958135197503e-08,0.0
1901,1.0618603774048552e-08,0.0
1902,1.915010727771005e-08,0.0
1903,1.5660639007819555e-08,0.0
1904,1.7198800605910947e-08,0.0
1905,3.4577084306874895e-08,0.0
1906,2.4692084821253957e-08,0.0
1907,1.8514235478050978e-08,0.0
1908,1.080505640516094e-08,0.0
1909,3.355599886845084e-08,0.0
1910,1.4429207162436342e-08,0.0
1911,1.1172785363555704e-08,0.0
1912,1.82329742415277e-08,0.0
1913,1.590896836489719e-08,0.0
1914,1.339348720819089e-08,0.0
1915,3.534228554258334e-08,0.0
1916,2.4172416956957932e-08,0.0
1917,1.0966424213165737e-08,0.0
1918,2.067547733020092e-08,0.0
1919,1.6574126959767455e-08,0.0
1920,1.817335615328375e-08,0.0
1921,1.2116395886607734e-08,0.0
1922,1.1066902949607993e-08,0.0
1923,2.229349149729387e-08,0.0
1924,1.933743654092268e-08,0.0
1925,1.9796720707176974e-08,0.0
1926,1.4489979882625903e-08,0.0
1927,1.0034302277972529e-08,0.0
1928,1.2568645679778001e-08,0.0
1929,1.3368487650211591e-08,0.0
1930,2.2057568216382606e-08,0.0
1931,1.9389105432310316e-08,0.0
1932,2.520693342944469e-08,0.0
1933,1.3764794637438627e-08,0.0
1934,2.3963160344919743e-08,0.0
1935,2.0346082152400413e-08,0.0
1936,1.33371855781661e-08,0.0
1937,1.2591118370153254e-08,0.0
1938,1.0372171566075394e-08,0.0
1939,3.5176316970364496e-08,0.0
1940,1.7750480196809804e-08,0.0
1941,1.7709016475464523e-08,0.0
1942,1.2136847082899749e-08,0.0
1943,1.1612940831184915e-08,0.0
1944,2.2492303131116387e-08,0.0
1945,2.832055301382752e-08,0.0
1946,2.227376683094917e-08,0.0
1947,1.1920871401116528e-08,0.0
1948,8.697510267552389e-09,0.0
1949,9.817008539414473e-09,0.0
1950,7.444753258312176e-09,0.0
1951,8.529121409139861e-09,0.0
1952,1.687168627029223e-08,0.0
1953,1.6160740301529586e-08,0.0
1954,1.2704297169818801e-08,0.0
1955,2.0648336374051723e-08,0.0
1956,1.744228228517386e-08,0.0
1957,7.068030161150318e-09,0.0
1958,1.9026160202884057e-08,0.0
1959,1.4726420971555854e-08,0.0
1960,1.038124963770315e-08,0.0
1961,1.111705483225478e-08,0.0
1962,1.4586500007851555e-08,0.0
1963,1.5518526907953856e-08,0.0
1964,2.068549243006146e-08,0.0
1965,1.4227312661319047e-08,0.0
1966,2.1048483844765542e-08,0.0
1967,1.6763140209263838e-08,0.0
1968,1.4372530721118437e-08,0.0
1969,2.3162964879475112e-08,0.0
1970,1.7015283404475667e-08,0.0
1971,1.644287195290417e-08,0.0
1972,1.9494558856081312e-08,0.0
1973,1.268036875501366e-08,0.0
1974,1.2376257352286757e-08,0.0
1975,1.2565256390928425e-08,0.0
1976,1.085570122683066e-08,0.0
1977,7.639816779203557e-09,0.0
1978,2.316830638449119e-08,0.0
1979,9.948355028654987e-09,0.0
