year,voulut_VERB appeler_VERB,voulut_VERB rappeler_VERB
1800,3.144164484325529e-09,9.432493897065797e-09
1801,3.095537337571841e-08,7.143547975374531e-09
1802,1.5664880947952042e-08,2.4616241489638924e-08
1803,1.1702034896643454e-08,3.315576790896557e-08
1804,1.2359254952798437e-08,3.707776485839531e-08
1805,1.7057265822018053e-08,1.9900143755080535e-08
1806,5.76333825108577e-09,8.645007376628655e-09
1807,1.4234775136401367e-08,9.11025637151397e-08
1808,1.1330369531492579e-08,4.5321478125970316e-08
1809,2.25903047379461e-08,3.6144488291256494e-08
1810,3.042164919975221e-08,3.510190182964834e-08
1811,1.7549536934780008e-08,1.2535384286138651e-08
1812,7.20146218213813e-08,4.267533171287141e-08
1813,4.3136125782439194e-08,2.8757416448144113e-09
1814,2.5173417128598885e-08,6.293354282149721e-09
1815,8.091670444798638e-09,1.0788894400093341e-07
1816,1.8540831092650478e-08,5.7940098940889584e-08
1817,1.8682481339737933e-08,2.6466848268569265e-08
1818,2.1458118837358597e-08,4.053200441944682e-08
1819,1.2421260464634543e-08,5.693077653745604e-08
1820,2.8479554714522237e-08,1.898636980968149e-08
1821,3.254291058851777e-08,2.070912508145284e-08
1822,4.010246357211145e-09,4.411270992932259e-08
1823,2.8659792761231984e-08,1.7788837070042973e-08
1824,7.57900142644985e-09,1.9368560089105813e-08
1825,1.1447076175841175e-08,2.7296874094417944e-08
1826,2.9947145208097936e-08,5.0205510859768765e-08
1827,1.935627302884768e-08,3.6869092667757286e-08
1828,3.118582370120748e-08,2.659967357487858e-08
1829,2.5719527840806222e-08,2.1432940755516938e-08
1830,2.817945699007396e-08,2.7135772739939057e-08
1831,7.795603274018958e-09,4.677361786775691e-08
1832,4.7354891563600177e-08,2.1647950987357945e-08
1833,2.3167256557599103e-08,1.9692167896323554e-08
1834,5.2273371409228275e-08,3.080395316601425e-08
1835,2.571449897459388e-08,3.932805725526123e-08
1836,1.0753200108126748e-08,3.49478987970997e-08
1837,1.6698937344017395e-08,3.6181031504156635e-08
1838,2.9667161172142187e-08,5.049729523420865e-08
1839,3.4957377437194737e-08,2.0974425751774106e-08
1840,5.095751021144679e-08,2.356784811752277e-08
1841,4.3017674755674307e-08,1.2841097074556274e-08
1842,7.110760691375617e-08,4.628702754416736e-08
1843,3.18973185642335e-08,3.2488010504039266e-08
1844,4.006649589882727e-08,3.0187088384536764e-08
1845,3.682950477923441e-08,3.348136701220028e-08
1846,2.9272506196775794e-08,2.1076203893244383e-08
1847,5.2314270249098627e-08,2.2112217834546755e-08
1848,3.057184372323718e-08,1.528592186161859e-08
1849,2.9327951622803994e-08,6.703531951757213e-09
1850,1.9009188889640427e-08,1.6972489191857676e-08
1851,3.8696633453128015e-08,1.2253933867611977e-08
1852,1.0416872697760482e-08,1.6927417689771573e-08
1853,4.299791100947914e-08,1.7318601663873778e-08
1854,3.3252252507054436e-08,2.6497888327980945e-08
1855,3.3964397516683675e-08,8.491099379170919e-09
1856,4.659470320689252e-08,2.174419400091665e-08
1857,2.782460128969433e-08,2.7336451324799782e-08
1858,3.52344677878591e-08,2.6425849952715907e-08
1859,3.258990943777462e-08,2.2405561850291633e-08
1860,6.133426211363258e-08,8.238931314963338e-09
1861,2.6409397335669382e-08,2.4051415081771665e-08
1862,3.7499287230957634e-08,2.801151488540654e-08
1863,2.996772607843923e-08,1.1487627737949424e-08
1864,3.308362295229017e-08,2.349416661218129e-08
1865,4.424433797112215e-08,2.8241067262513297e-09
1866,2.4814625021463144e-08,1.9949013108089275e-08
1867,4.270474107670452e-08,1.7955402498159856e-08
1868,3.210918109175509e-08,1.778354707937524e-08
1869,2.6859355628516823e-08,1.8069020057964735e-08
1870,3.4404294524392753e-08,2.5229814681893004e-08
1871,5.416800519242315e-08,1.274541272522356e-08
1872,3.265563108811875e-08,1.3304146229131675e-08
1873,2.2746817762708815e-08,2.21482157058972e-08
1874,2.8080663128093875e-08,1.0156835372754358e-08
1875,2.460256709468922e-08,1.6592428764283795e-08
1876,3.264847947548333e-08,1.3905833817773328e-08
1877,1.6699003069220453e-08,2.040989244278535e-08
1878,1.8117265909722846e-08,1.1474268646338714e-08
1879,3.4823152361695975e-08,2.2604503158163425e-08
1880,1.8611753915820373e-08,1.9253539207397807e-08
1881,3.067903264764027e-08,2.2312024228199334e-08
1882,2.5290463057103807e-08,2.1297232422057277e-08
1883,2.5909288936531993e-08,6.319338829996468e-09
1884,3.036780782394999e-08,1.2543224237049344e-08
1885,2.513797880965285e-08,1.4180398189012067e-08
1886,2.710454793941608e-08,1.871504551331782e-08
1887,2.6768590899450828e-08,8.48760173255414e-09
1888,1.7119660356001987e-08,1.9021844099853524e-09
1889,3.3205225236088154e-08,1.2530273707511697e-08
1890,2.4251230357208442e-08,1.3108772733971819e-08
1891,3.505821055682645e-08,1.5935549768641977e-08
1892,3.008885940403161e-08,8.775916882086676e-09
1893,1.970693297437265e-08,1.6011883374744684e-08
1894,1.3863386882917439e-08,1.071261657159539e-08
1895,1.9861428057765806e-08,7.824199066419624e-09
1896,2.299841384001411e-08,1.2383760683576384e-08
1897,2.0976168357833558e-08,1.2236098356765979e-08
1898,1.3014216371232123e-08,1.5277558773618694e-08
1899,9.39688327150634e-09,6.080336234504102e-09
1900,1.6092265298084385e-08,3.633737311048435e-09
1901,2.0678333711998675e-08,1.5648469187112823e-08
1902,1.6694965410124496e-08,1.6203935970793282e-08
1903,2.4841012802312434e-08,3.7801539676252105e-09
1904,1.6123875568041512e-08,1.3974025492302644e-08
1905,2.4255568220610257e-08,9.28936660926638e-09
1906,1.594697174311932e-08,1.5432553013283723e-08
1907,1.7485668024619372e-08,1.2342823652033985e-08
1908,2.2101250607420297e-08,5.893666887857307e-09
1909,9.351672325408344e-09,2.3654228797909127e-08
1910,1.7101282168141552e-08,5.34415089958884e-09
1911,9.044636151145369e-09,6.384448969498635e-09
1912,1.2502610502451716e-08,9.897900277167082e-09
1913,1.6969567084856862e-08,1.2727175757731857e-08
1914,1.4063162190325329e-08,5.357394972094198e-09
1915,4.712304768617059e-09,1.295883844676382e-08
1916,5.493730803607377e-09,4.394984820521586e-09
1917,9.869782324756216e-09,5.483212106582869e-09
1918,1.2635013924011673e-08,1.6080926812378493e-08
1919,6.4454939163738345e-09,1.5653341733923298e-08
1920,1.2115570768855832e-08,9.843901693784574e-09
1921,2.0446417892117097e-08,1.1359120755116692e-08
1922,2.5084981203349344e-08,1.8444838545406128e-08
1923,2.7601466001669905e-08,1.4862327368803108e-08
1924,2.1915761649893284e-08,7.734974438733389e-09
1925,1.2097995494286806e-08,1.2097995494286806e-08
1926,1.2260752413340015e-08,4.458455382660986e-09
1927,1.5608915049369898e-08,1.0034302277972529e-08
1928,1.9424270192303084e-08,1.1426041446327417e-08
1929,2.2280811862174232e-08,1.1140405931087116e-08
1930,2.10072066408884e-08,8.402882833991043e-09
1931,3.307553342324354e-08,9.124285327288817e-09
1932,2.520693342944469e-08,1.0959536389520963e-08
1933,6.882397318719313e-09,6.882397318719313e-09
1934,5.990790086229936e-09,1.0783422155213884e-08
1935,2.8723881939640705e-08,9.574627313213568e-09
1936,1.576212937948185e-08,9.699771652549316e-09
1937,1.3850230295986421e-08,7.554670666820584e-09
1938,1.8151300906765755e-08,3.8895642262559704e-09
1939,7.647025235257843e-09,0.0
1940,7.607348528892999e-09,7.607348528892999e-09
1941,5.9030051957620344e-09,2.3612020783048138e-08
1942,9.102635090130207e-09,1.2136847082899749e-08
1943,2.9032352077962287e-09,2.9032352077962287e-09
1944,3.213186161588055e-08,0.0
1945,1.3071024262956144e-08,1.089252066321933e-08
1946,6.960552134671616e-09,1.3921104269343232e-08
1947,2.5033829231801974e-08,1.6689218895749036e-08
1948,1.195907639583993e-08,3.2615663503321457e-09
1949,6.8719057111366055e-09,1.1780409536754632e-08
1950,1.1698897850465073e-08,5.317680518146517e-09
1951,2.8785784422780125e-08,8.529121409139861e-09
1952,2.003512733494972e-08,1.1599284199803606e-08
1953,1.2928593307037772e-08,8.619061908632375e-09
1954,1.7590565448699635e-08,5.863521668203475e-09
1955,1.9709776921672528e-08,1.407841132561316e-08
1956,1.744228228517386e-08,6.104799332717903e-09
1957,4.417518795207798e-09,5.301022731885041e-09
1958,1.8198935691771112e-08,1.5717262158432277e-08
1959,1.1626121398933265e-08,4.650448914844674e-09
1960,1.314958364417862e-08,2.076250060767393e-09
1961,4.16889545107324e-09,6.948159270159238e-10
1962,1.2049716779927166e-08,7.610347907416326e-09
1963,1.939815952312074e-08,3.2330267352165265e-09
1964,1.6426714211092985e-08,3.6503808864551957e-09
1965,8.20806533852192e-09,3.2832261354087677e-09
1966,1.38476865529924e-08,8.308612464702492e-09
1967,1.7256175155466735e-08,3.944268467392931e-09
1968,1.4372530721118437e-08,6.287982134978165e-09
1969,1.2716921737876419e-08,9.991866889436096e-09
1970,1.1956685419534097e-08,5.058597540852361e-09
1971,7.707596338946132e-09,3.083038491169532e-09
1972,1.0260293947794707e-08,5.130146973897354e-09
1973,1.543697081274331e-08,3.859242703185828e-09
1974,1.012602890426706e-08,3.937900228123681e-09
1975,5.711480177694739e-09,2.2845920710778955e-09
1976,1.314111219841152e-08,6.2848797277581525e-09
1977,7.052138428775834e-09,4.7014254711541525e-09
1978,1.0099005187669263e-08,8.910887139279566e-09
1979,1.0533551808578068e-08,4.681578680276743e-09
1980,1.1370301145063877e-08,6.822181042309694e-09
1981,1.2651098835192442e-08,2.5302198114474095e-09
1982,1.0552754226011984e-08,3.7245013739806154e-09
1983,6.946847541655643e-09,5.68378455412244e-09
1984,9.858314165001048e-09,6.378909400694965e-09
1985,9.02333674446254e-09,4.812446441349039e-09
1986,1.7983456501724504e-08,4.7955883708539204e-09
1987,1.3443797186596385e-08,2.4443267410134695e-09
1988,6.596209356501959e-09,3.597932174415064e-09
1989,1.3171493229435782e-08,6.585746614717891e-09
1990,5.448650863826288e-09,6.538381391862913e-09
1991,8.7921980806982e-09,5.2753188484189195e-09
1992,8.264915862810085e-09,2.7549720282848966e-09
1993,6.093128224193833e-09,4.4313659408601325e-09
1994,1.0549853435293244e-08,5.274926717646622e-09
1995,5.964695848348356e-09,4.337960657352369e-09
1996,1.1209993822092201e-08,5.3380921904988554e-09
1997,1.054876808126437e-08,6.233362714880286e-09
1998,9.059445638115449e-09,2.86087753487152e-09
1999,1.0968483010742602e-08,4.113180906983871e-09
2000,5.3016377954406835e-09,2.2090156370779823e-09
2001,1.5772362971233633e-08,3.5049694258049158e-09
2002,1.1391176002462089e-08,3.066854992184176e-09
2003,1.3750845795357236e-08,5.416999737661854e-09
2004,1.3654853248112886e-08,4.845270407116686e-09
2005,7.656374201303606e-09,4.954124666056714e-09
2006,1.6471560115860484e-08,8.64756888319107e-09
2007,1.3980677948666198e-08,4.393927444112933e-09
2008,1.7455501932772677e-08,4.6831836186811415e-09
2009,2.098004614481397e-08,3.814554005998616e-09
2010,3.023227534981743e-08,8.030448306328708e-09
2011,3.709252638373073e-08,7.265546830836911e-09
2012,4.731911218414098e-08,6.127654827992046e-09
2013,5.6898151967743615e-08,7.2517249982695375e-09
2014,4.980524082043303e-08,8.445236510112863e-09
2015,6.317240064390717e-08,9.087958829923082e-09
2016,6.814708797264757e-08,1.3877977877996273e-08
2017,5.408564263120752e-08,7.798394818792076e-09
2018,5.343635933741098e-08,7.228107001822082e-09
2019,5.101975375509937e-08,8.673358031785483e-09
