year,peut_VERB assembler_VERB,peut_VERB rassembler_VERB
1800,1.8864987794131594e-08,2.0122652699683385e-07
1801,7.143547975374531e-08,1.1905913055443307e-07
1802,3.5805442166747525e-08,2.103569727296417e-07
1803,5.851017448321727e-09,1.5212646076179226e-07
1804,2.7190360185613827e-08,1.7055771195373381e-07
1805,3.1271653710973624e-08,1.3077237781544682e-07
1806,1.2391177506287931e-07,1.4696512096179504e-07
1807,2.8469551160981155e-09,1.9643989901396708e-07
1808,3.852325747288887e-08,2.1527702642742952e-07
1809,9.036122072814123e-09,1.8975856619363185e-07
1810,5.148278958699848e-08,1.5444837231370911e-07
1811,5.0141537144554604e-08,1.1031137603367824e-07
1812,2.6672083208723052e-08,2.1337666566978442e-07
1813,3.163315653864629e-08,1.4091133948568313e-07
1814,6.293354282149721e-09,1.6677388714469998e-07
1815,2.6972236000233352e-08,7.552225866902518e-08
1816,5.3304887615013286e-08,1.5064425440414198e-07
1817,3.89218364205135e-08,1.1520863552050287e-07
1818,6.437435473571895e-08,1.418620172444207e-07
1819,5.2790355198339967e-08,8.69488232524418e-08
1820,7.713212824000948e-08,2.5038275452970993e-07
1821,6.903042049088981e-08,9.762873531826699e-08
1822,2.8071724500478012e-08,2.1956098805731017e-07
1823,5.5343047478118024e-08,7.510841726343642e-08
1824,5.3895121254754486e-08,1.0105335235266466e-07
1825,4.6668848341369085e-08,7.220463515977826e-08
1826,4.844391554570393e-08,8.631824499616414e-08
1827,4.424290978022327e-08,1.1890282536342056e-07
1828,2.7516904310687096e-08,6.420610532131832e-08
1829,3.943661042171698e-08,8.916103411138465e-08
1830,3.235419043789989e-08,9.288783786587373e-08
1831,2.3386808933878456e-08,6.860130952190957e-08
1832,1.488296597074168e-08,1.3259369779916597e-07
1833,1.7375443306377747e-08,8.80355770505048e-08
1834,1.5868701908061666e-08,7.841006066655609e-08
1835,2.0420337421001022e-08,5.899208588289184e-08
1836,7.728862527756064e-08,8.804182272115213e-08
1837,2.1569462660409044e-08,5.357576071673975e-08
1838,6.185918977053007e-08,7.953323688525415e-08
1839,1.5381244722334486e-08,4.055055669027752e-08
1840,1.8472096741106725e-08,6.242294858793684e-08
1841,2.3756030032018316e-08,6.613164771351876e-08
1842,3.018719141323345e-08,7.043678351692506e-08
1843,2.4218335781256428e-08,7.797122947295065e-08
1844,2.7991662321369404e-08,1.1745520822614708e-07
1845,2.2320911341466854e-08,6.41726245476093e-08
1846,4.5665110803838616e-08,6.205771541090144e-08
1847,3.289866512545814e-08,6.795461615638487e-08
1848,4.585776380849893e-08,9.252004673498959e-08
1849,3.351765798242923e-08,7.625267528510449e-08
1850,1.4935791270431764e-08,8.011015495412721e-08
1851,1.9993260380601896e-08,5.804495017969202e-08
1852,2.278690836021724e-08,7.812654700956045e-08
1853,4.896984151514516e-08,6.270528274399112e-08
1854,2.5458755104068587e-08,5.247621004400571e-08
1855,1.4328730202350926e-08,5.625353338700734e-08
1856,1.65670055451983e-08,5.7466799319172424e-08
1857,2.1966791052818735e-08,7.859229356199648e-08
1858,3.572383633354548e-08,7.438387683578185e-08
1859,4.0228169240208445e-08,6.110607841947058e-08
1860,2.4259074749011234e-08,5.996110985506675e-08
1861,1.8863854478468056e-08,2.971057178058345e-08
1862,1.7620147119146168e-08,4.834245359575107e-08
1863,3.7459656709870615e-08,4.894728533599846e-08
1864,1.726102105692462e-08,4.411149845395812e-08
1865,2.8241066374334878e-08,6.213034708935083e-08
1866,1.3137154475373336e-08,5.20620595523269e-08
1867,1.455843445796745e-08,2.3778776281346836e-08
1868,7.903798504571569e-09,3.556709415875048e-08
1869,2.6859355628516823e-08,6.104399119521986e-08
1870,2.2936195165357276e-08,4.816600807089344e-08
1871,9.559059321873065e-09,4.354682658913589e-08
1872,1.8746751706544273e-08,4.354084381930079e-08
