year,pouvant_VERB accompagner_VERB
1800,0.0
1801,0.0
1802,0.0
1803,1.950339223455444e-09
1804,0.0
1805,0.0
1806,0.0
1807,1.9928686256776018e-08
1808,1.1330369531492579e-08
1809,2.259030518203531e-09
1810,2.3401267590372754e-09
1811,0.0
1812,2.9339290108509886e-08
1813,0.0
1814,0.0
1815,0.0
1816,1.1588019432906549e-08
1817,4.670620334934483e-09
1818,2.384235475716423e-09
1819,0.0
1820,0.0
1821,1.97229765852569e-09
1822,3.0076847679083585e-09
1823,3.063632902922109e-08
1824,8.421112696055388e-10
1825,6.163809906922779e-09
1826,2.9947145208097936e-08
1827,1.013900075008678e-08
1828,1.1923991571904935e-08
1829,7.715858174606183e-09
1830,0.0
1831,1.5591206103948707e-09
1832,2.705993873419743e-09
1833,2.3167257001688313e-09
1834,8.401078055442213e-09
1835,4.5378527602224494e-09
1836,4.704525213838906e-09
1837,2.7831563720326358e-09
1838,6.312161904276081e-09
1839,1.3982950353153e-09
1840,9.554533164646273e-09
1841,6.420548537278137e-10
1842,6.037438549100216e-09
1843,3.5441467538532834e-09
1844,1.6465684371524958e-09
1845,7.254296274794569e-09
1846,1.1709002656346001e-09
1847,6.47186837454683e-09
1848,0.0
1849,9.217356655710773e-09
1850,6.788996032014438e-10
1851,4.514607354622058e-09
1852,1.1718981340891332e-08
1853,5.971931837933653e-10
1854,1.558699391779328e-09
1855,1.0613874223963649e-09
1856,5.177189343896771e-09
1857,1.0251168802710708e-08
1858,2.4468380654951716e-09
1859,5.092173349652285e-09
1860,1.8308735638683515e-09
1861,2.8295783494058924e-09
1862,6.325180823552046e-09
1863,9.989241656072068e-10
1864,1.0068928801842958e-08
1865,3.765475486972036e-09
1866,2.919367858567057e-09
1867,5.338092634588065e-09
1868,8.89177353968762e-09
1869,5.371870948067681e-09
1870,8.027668307875047e-09
1871,1.911811864374613e-08
1872,3.0236697590169115e-09
1873,1.7958012854535355e-09
1874,8.364453130127458e-09
1875,8.010138330405425e-09
1876,1.753344314181504e-08
1877,1.1751150275074451e-08
1878,6.6429977074733415e-09
1879,3.665595160740054e-09
1880,1.9253538763308597e-09
1881,1.6036766581351003e-08
1882,3.3276925659464496e-09
1883,9.479008689083912e-09
1884,5.941527270181268e-09
1885,1.933690718658454e-08
1886,1.871504551331782e-08
1887,5.876032105334161e-09
1888,5.07249175996094e-09
1889,7.51816386923565e-09
1890,1.2453334363726754e-08
1891,1.2748440081367107e-09
1892,5.641661360300532e-09
1893,6.774258043407144e-09
1894,1.071261657159539e-08
1895,1.0833506536300774e-08
1896,6.486732040400511e-09
1897,1.3401440845939305e-08
1898,1.584339415217073e-08
1899,6.080336234504102e-09
1900,1.038210584169974e-08
1901,1.3412973842719111e-08
1902,3.928227076954727e-09
1903,3.7801539676252105e-09
1904,5.912087708281888e-09
1905,5.160758931310738e-09
1906,3.600929110447737e-09
1907,1.1828539925318182e-08
1908,2.4556945366072114e-09
