year,devrait_VERB éveiller_VERB,devrait_VERB réveiller_VERB
1800,0.0,0.0
1801,0.0,4.7623651688866175e-09
1802,2.2378401354217203e-09,0.0
1803,0.0,3.900678446910888e-09
1804,0.0,0.0
1805,0.0,2.842877711017877e-09
1806,0.0,2.881669125542885e-09
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,2.3401267590372754e-09
1811,0.0,2.5070768572277302e-08
1812,0.0,0.0
1813,3.4508900625951355e-08,0.0
1814,6.293354282149721e-09,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,0.0,1.1921177378582115e-09
1819,6.210630232317271e-09,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,1.5038423839541792e-08,0.0
1823,2.9648061783404955e-09,1.9765373782121287e-09
1824,0.0,1.3473780313688621e-08
1825,7.924898959288385e-09,0.0
1826,5.284790383086602e-09,2.642395191543301e-09
1827,6.452091305675367e-09,0.0
1828,0.0,0.0
1829,1.2859763920403111e-08,0.0
1830,0.0,0.0
1831,1.5591206103948707e-09,0.0
1832,1.488296597074168e-08,1.3529969367098715e-09
1833,2.3167257001688313e-09,1.1583628278799551e-08
1834,4.667265685043276e-09,1.8669061851994684e-09
1835,4.5378527602224494e-09,0.0
1836,5.376600054063374e-09,2.688300027031687e-09
1837,7.653680356156656e-09,1.3915781860163179e-09
1838,6.312161904276081e-10,3.1560809521380406e-09
1839,1.3982950353153e-09,6.9914751765765e-10
1840,3.1848443882154243e-09,1.9109065441114126e-09
1841,1.2841097074556274e-09,2.5682194149112547e-09
1842,7.379091560011375e-09,1.341653010911159e-09
1843,4.7255288571079745e-09,2.953455480181333e-09
1844,1.6465684371524958e-09,6.586273748609983e-09
1845,4.464182357111213e-09,2.7901139176833567e-09
1846,3.5127007969038004e-09,1.1709002656346001e-09
1847,2.1572894581822766e-09,1.6179670936367074e-09
1848,7.24069959545659e-09,8.045221711050488e-10
1849,0.0,8.379414495607307e-09
1850,2.0366988096043315e-09,1.0183494048021657e-08
1851,1.9348316282474798e-09,6.449438760824933e-10
1852,6.510545436100301e-10,6.510545436100301e-10
1853,4.777545470346922e-09,2.9859659189668264e-09
1854,4.676098175337984e-09,9.871762074453727e-09
1855,3.1841622671890946e-09,2.653468555990912e-09
1856,6.73034605824796e-09,5.177189343896771e-09
1857,1.3180074809326925e-08,1.4644527812635033e-09
1858,1.0766087576996597e-08,0.0
1859,1.2730433596175317e-08,5.092173349652285e-10
1860,8.696649622663699e-09,1.373155145145688e-09
1861,5.659156698811785e-09,2.357981809808507e-09
1862,5.421583626485926e-09,2.2589932147099034e-09
1863,3.496234635136375e-09,4.994620828036034e-10
1864,9.589455896019672e-10,9.589455896019672e-10
1865,2.8241067262513297e-09,0.0
1866,1.0217787504984699e-08,9.731225825149181e-10
1867,7.76449837758264e-09,9.7056229719783e-10
1868,0.0,4.44588676984381e-09
1869,8.30198221279943e-09,0.0
1870,4.587239033071455e-09,2.2936195165357276e-09
1871,8.496941816815706e-09,1.0621177271019633e-09
1872,1.2094678591978436e-09,2.4189357183956872e-09
1873,3.591602570907071e-09,1.7958012854535355e-09
1874,4.779687312606029e-09,5.974609140757536e-10
1875,6.865832347102696e-09,2.2886108563824337e-09
1876,5.441413541973361e-09,6.04601479992084e-10
1877,5.566334504436554e-09,1.2369631985365004e-09
1878,3.6234530931267273e-09,0.0
1879,6.10932526790009e-10,0.0
1880,2.5671385017744797e-09,0.0
1881,6.9725074602899895e-09,6.972507571312292e-10
1882,5.989846840748214e-09,6.655385131892899e-10
1883,1.2006744043446815e-08,1.8958017378167824e-09
1884,5.281357573494461e-09,6.601696966868076e-09
1885,6.445635580831777e-09,3.86738152613475e-09
1886,9.680196200179125e-09,1.2906927748801422e-09
1887,1.9586774424595887e-09,0.0
1888,3.1703073499755874e-09,0.0
1889,6.265136742733546e-10,3.132568426877924e-09
1890,7.209825181320184e-09,5.898947996740844e-09
1891,7.649063604731055e-09,0.0
1892,8.775916882086676e-09,1.2537024751679837e-09
1893,5.542574843531156e-09,6.158416554491453e-10
1894,6.301539290376468e-10,1.2603078580752936e-09
1895,7.22233739480771e-09,0.0
1896,8.255840455717589e-09,5.89702897624278e-10
1897,2.9133566670225264e-09,1.7480140668268973e-09
1898,6.224190496340043e-09,1.6975064687230201e-09
1899,9.949641111006713e-09,0.0
1900,7.786579381274805e-09,5.191053142894475e-10
1901,3.353243460679778e-09,1.1177477832191585e-09
1902,3.437198747846537e-09,2.9461704187383475e-09
1903,2.7001101354784396e-09,0.0
1904,8.599400302955473e-09,4.837162670412454e-09
1905,1.7546581076999246e-08,2.580379465655369e-09
1906,8.745113966313056e-09,5.144184522798412e-10
1907,7.199980611716228e-09,0.0
1908,4.4202499438483756e-09,0.0
1909,1.6502950117569526e-09,1.6502950117569526e-09
1910,4.809735720812114e-09,4.275320542035388e-09
1911,7.448523575703803e-09,0.0
1912,8.335073964360618e-09,0.0
1913,6.893886794756554e-09,0.0
1914,6.696743604095445e-09,6.696743715117748e-10
1915,3.534228465440492e-09,0.0
1916,1.4283700444650549e-08,0.0
1917,2.1932848870420685e-09,1.0966424435210342e-09
1918,4.594550517822427e-09,2.2972752589112133e-09
1919,3.6831393490643904e-09,0.0
1920,8.329454459499175e-09,3.028892692213958e-09
1921,9.844571380313027e-09,0.0
1922,1.1066902949607993e-08,7.377935484775833e-10
1923,6.369568872344189e-09,1.0615948120573648e-09
1924,0.0,0.0
1925,5.499089184013428e-09,0.0
1926,5.57306911730393e-09,0.0
1927,4.4596899506643695e-09,0.0
1928,1.1426041224282812e-09,0.0
1929,3.342121912552898e-09,1.1140406375176326e-09
1930,0.0,4.201441416995522e-09
1931,5.7026783295555106e-09,0.0
1932,9.863582839386709e-09,0.0
1933,2.2941324395731044e-09,0.0
1934,7.188948103475923e-09,0.0
1935,1.6755597798123745e-08,0.0
1936,6.0623572828433225e-09,2.424942913137329e-09
1937,2.5182236296217297e-09,2.5182236296217297e-09
1938,6.482607339819424e-09,2.5930428915188486e-09
1939,0.0,0.0
1940,7.607348528892999e-09,0.0
1941,2.9515025978810172e-09,0.0
1942,1.517105907566929e-08,0.0
1943,1.1612940831184915e-08,0.0
1944,2.2492303131116387e-08,0.0
1945,1.3071024262956144e-08,0.0
1946,1.9489545977080525e-08,2.7842208538686464e-09
1947,8.344609447874518e-09,7.152522574216391e-09
1948,6.523132700664291e-09,0.0
1949,9.817008317369869e-10,1.9634016634739737e-09
1950,5.317680518146517e-09,0.0
1951,3.1984206394497505e-09,0.0
1952,6.326882129314981e-09,1.0544803918932644e-09
1953,4.3095309543161875e-09,0.0
1954,6.840775057526116e-09,2.9317608341017376e-09
1955,7.508486277174597e-09,1.8771215692936494e-09
1956,7.849027205963921e-09,1.744228317335228e-09
1957,7.951533653738352e-09,0.0
1958,1.0753916868111446e-08,1.6544486891589827e-09
1959,9.300897829689347e-09,1.5501495642666896e-09
1960,9.689166802218097e-09,1.3841666701708277e-09
1961,8.33779090214648e-09,2.08444772553662e-09
1962,3.805173953708163e-09,6.341956404476434e-10
1963,6.466053470433053e-09,6.466053248388448e-10
1964,4.258777774879263e-09,2.4335873316516654e-09
1965,1.2038495533772675e-08,5.472043373977442e-10
1966,5.539074976468328e-09,0.0
1967,1.1832804958089582e-08,4.930335584241163e-10
1968,1.3474247495537384e-08,8.982831700699023e-10
1969,8.175163657142548e-09,1.8167031212712459e-09
1970,1.1496812390987543e-08,6.438214850135182e-09
1971,8.735275613958038e-09,3.083038491169532e-09
1972,7.182205497002769e-09,1.0260293725750103e-09
1973,8.821126051827832e-09,0.0
1974,9.00091468025721e-09,1.6876715580593782e-09
1975,1.3707552426467373e-08,2.2845920710778955e-09
1976,1.085570122683066e-08,1.7140580066410394e-09
1977,8.22749424145286e-09,3.526069214387917e-09
1978,5.346532105932056e-09,5.940591352171509e-10
1979,9.948355028654987e-09,2.3407893401383717e-09
1980,4.548120546843393e-09,2.2740602734216964e-09
1981,1.2651098835192442e-08,8.223214109648325e-09
1982,7.449002747961231e-09,4.966001831974154e-09
1983,1.0104505676622466e-08,3.78918940668882e-09
1984,7.538710988796993e-09,5.799008384599347e-09
1985,6.617113967877231e-09,3.0077789148208467e-09
1986,7.792831269171074e-09,1.7983456945813714e-09
1987,1.2221633483022742e-08,2.4443267410134695e-09
1988,5.99655392008458e-09,1.798966087207532e-09
1989,6.585746614717891e-09,4.390497743145261e-09
1990,6.538381391862913e-09,7.083246433836621e-09
1991,1.1722930182145319e-08,2.9307325455363298e-09
1992,7.162927584403178e-09,2.7549720282848966e-09
1993,8.862731881720265e-09,4.4313659408601325e-09
1994,4.2199412852994556e-09,3.6924485691258724e-09
1995,8.133675954979935e-09,3.253470381991974e-09
1996,5.871901187504136e-09,2.6690460952494277e-09
