year,pourront_VERB enseigner_VERB,pourront_VERB renseigner_VERB
1800,6.288328968651058e-09,0.0
1801,7.143547975374531e-09,0.0
1802,4.475680270843441e-09,0.0
1803,0.0,0.0
1804,3.460591457837836e-08,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,1.1387820464392462e-08,0.0
1808,2.039466551195801e-08,0.0
1809,1.8072244145628247e-08,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,5.3344164641089264e-09,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,3.559944161679596e-08,0.0
1821,0.0,0.0
1822,3.0076847679083585e-09,0.0
1823,3.9530747564242574e-09,0.0
1824,4.210556348027694e-09,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,1.1060727445055818e-08,0.0
1828,0.0,0.0
1829,8.57317605795771e-10,0.0
1830,3.1310507520032616e-09,0.0
1831,0.0,0.0
1832,1.3529969367098715e-09,0.0
1833,8.108539617524002e-09,0.0
1834,2.333632664885954e-08,0.0
1835,1.8907719834260206e-08,0.0
1836,0.0,0.0
1837,2.7831563720326358e-09,0.0
1838,1.8936485712828244e-09,0.0
1839,6.292327547896548e-09,0.0
1840,5.732719632334238e-09,0.0
1841,1.6051371787284552e-08,0.0
1842,6.708265054555795e-09,0.0
1843,1.2995204023980023e-08,0.0
1844,9.879410178825765e-09,0.0
1845,2.2320911785556063e-09,0.0
1846,2.3418005312692003e-09,1.1709002656346001e-09
1847,1.240441438454809e-08,0.0
1848,0.0,0.0
1849,2.513824481908955e-09,0.0
1850,1.0862393651223101e-08,0.0
1851,7.094382858952031e-09,0.0
1852,1.9531636308300904e-09,0.0
1853,4.777545470346922e-09,0.0
1854,0.0,0.0
1855,6.368324534378189e-09,0.0
1856,3.1063134287023786e-09,0.0
1857,1.4644527812635033e-09,0.0
1858,3.9149408159744326e-09,0.0
1859,3.055304009791371e-09,0.0
1860,1.0069804545764782e-08,0.0
1861,1.226150558863992e-08,2.8295783494058924e-09
1862,8.584174260306554e-09,0.0
1863,6.99246927027275e-09,0.0
1864,9.589455896019672e-10,0.0
1865,6.589582213223366e-09,0.0
1866,2.432806400776144e-09,0.0
1867,1.94112459439566e-09,0.0
1868,8.89177353968762e-09,0.0
1869,4.395167341186834e-09,1.4650557433881772e-09
1870,8.027668307875047e-09,1.7202146374017957e-09
1871,1.911811864374613e-08,3.18635318130589e-09
1872,3.628403577593531e-09,1.2094678591978436e-09
1873,5.986004469882289e-10,2.9930022904522957e-09
1874,1.7923826867161097e-09,0.0
1875,5.149374260327022e-09,1.1443054281912168e-09
1876,1.0278225381910033e-08,1.209202959984168e-09
1877,6.184815992682502e-10,1.8554447978047506e-09
1878,2.4156354694326865e-09,6.039088673581716e-10
1879,1.8938909107646396e-08,3.0546627449723474e-09
1880,1.9895322722618403e-08,1.2835692508872398e-09
1881,1.5339516323820135e-08,1.3945015142624584e-09
1882,7.986462158271479e-09,1.3310770263785798e-09
1883,1.3902545781263598e-08,2.5277355764075082e-09
1884,1.3203393933736152e-08,1.1883054540362536e-08
1885,8.379326565943757e-09,3.2228177904158883e-09
1886,9.034849313138693e-09,1.2906927748801422e-09
1887,9.793386546164129e-09,0.0
1888,1.9021844099853524e-09,3.804368819970705e-09
1889,1.4409814674820609e-08,0.0
1890,5.243509182406569e-09,3.9326319978272295e-09
1891,1.0836173736095134e-08,1.9122659011827636e-09
1892,1.3790726782758611e-08,6.268512375839919e-09
1893,1.2932674486876294e-08,1.2316833108982905e-09
1894,1.071261657159539e-08,1.2603078580752936e-09
1895,1.3842813118003505e-08,6.6204757231957956e-09
1896,1.4152869098893461e-08,1.47425724961181e-08
1897,1.3401440845939305e-08,5.826713334045053e-09
1898,5.092519295146758e-09,5.092519295146758e-09
1899,6.080336234504102e-09,5.527578395003729e-09
1900,4.15284251431558e-09,1.038210628578895e-09
1901,7.824234593556412e-09,5.029864968975062e-09
1902,2.455141867585553e-09,1.4730852093691738e-09
1903,5.940242076007962e-09,2.7001101354784396e-09
1904,2.042357571951925e-08,2.6873125946735854e-09
1905,8.773290538499623e-09,4.1286072338664326e-09
1906,7.201858220895474e-09,1.0288369045596824e-09
1907,3.0857059130084963e-09,6.685696440911215e-09
1908,9.822778146428846e-09,1.4734167219643268e-09
1909,1.2102163715610459e-08,1.6502950117569526e-09
1910,6.412980813053082e-09,8.01622590529405e-09
1911,3.1922244847493175e-09,2.6601871816467337e-09
1912,5.730363294986773e-09,5.2094213387476884e-09
1913,6.363587878865928e-09,3.181793939432964e-09
1914,1.0714789944188396e-08,3.3483718020477227e-09
1915,1.1780762143587253e-08,5.890381071793627e-09
1916,3.4061130804730055e-08,3.2962386153911893e-09
1917,3.070598708632133e-08,3.289927441585405e-09
1918,8.040463406189247e-09,2.2972752589112133e-09
1919,1.8415696745321952e-09,1.8415696745321952e-09
1920,9.843901693784574e-09,1.514446346106979e-09
1921,4.543648568500203e-09,4.543648568500203e-09
1922,2.951174193910333e-09,1.0329110011753073e-08
1923,4.246379248229459e-09,5.307974060286824e-09
1924,0.0,6.445812328337297e-09
1925,2.1996355847875293e-09,3.299453377181294e-09
1926,6.687683296036084e-09,4.458455382660986e-09
1927,1.0034302277972529e-08,4.4596899506643695e-09
1928,4.570416489713125e-09,2.2852082448565625e-09
1929,1.4482528065684619e-08,2.2280812750352652e-09
1930,3.1510811737689437e-09,3.1510811737689437e-09
1931,5.7026783295555106e-09,1.1405356659111021e-09
1932,2.1919073223131136e-09,3.287861094491973e-09
1933,3.4411986593596566e-09,4.588264879146209e-09
1934,1.0783422155213884e-08,1.1981580172459871e-09
1935,1.3165112555668657e-08,2.393656828303392e-09
1936,6.0623572828433225e-09,1.091224355320719e-08
1937,6.295559185076627e-09,2.5182236296217297e-09
1938,3.8895642262559704e-09,2.5930428915188486e-09
1939,4.588215141154706e-09,0.0
1940,7.607348528892999e-09,0.0
1941,0.0,2.066051862925633e-08
1942,0.0,1.2136847082899749e-08
1943,5.806470415592457e-09,0.0
1944,1.2852744646352221e-08,3.2131861615880553e-09
1945,4.357008087652048e-09,1.5249527862692958e-08
1946,5.568441707737293e-09,6.960552134671616e-09
1947,1.1920870957027319e-09,2.3841741914054637e-09
1948,2.174377566888097e-09,3.2615663503321457e-09
1949,9.817008539414473e-09,9.817008317369869e-10
1950,9.571825110299415e-09,5.317680518146517e-09
1951,6.396841278899501e-09,4.264560704569931e-09
1952,7.381362632230548e-09,6.326882129314981e-09
1953,1.0773827163745864e-08,1.0773827385790469e-09
1954,3.9090144454689835e-09,9.772536113672459e-10
1955,9.385607846468247e-10,9.385607846468247e-10
1956,5.232684952005684e-09,3.488456634670456e-09
1957,1.7670075402875796e-09,0.0
1958,3.3088973783179654e-09,2.4816730892496253e-09
1959,7.750747599288843e-09,7.750747821333448e-10
1960,6.920833239831836e-09,6.920833350854139e-10
1961,6.94815938118154e-09,0.0
1962,1.0147130247162295e-08,3.805173953708163e-09
1963,8.405868889838075e-09,0.0
1964,4.258777774879263e-09,1.8251904432275978e-09
1965,4.377634699181954e-09,2.188817349590977e-09
1966,8.862519607077957e-09,1.6617224263271169e-09
1967,5.423369309198733e-09,9.860671168482327e-10
1968,1.122853987567396e-08,8.982831700699023e-10
1969,1.1354394757745467e-08,2.2708788183223305e-09
1970,4.1388523719376735e-09,4.5987250119061684e-10
1971,6.679916619845017e-09,2.0553589941130213e-09
1972,1.0260293947794707e-08,5.130146862875051e-10
1973,3.859242703185828e-09,5.513203782392395e-10
1974,3.937900228123681e-09,2.812785782069227e-09
1975,4.569184142155791e-09,1.1422960355389478e-09
1976,5.713526984862938e-09,0.0
1977,1.7630346071939584e-09,2.3507127355770763e-09
1978,5.346532105932056e-09,0.0
1979,2.925986564150662e-09,5.851973350345929e-10
1980,3.411090521154847e-09,1.7055452605774235e-09
1981,4.427884725544118e-09,1.8976649140967083e-09
1982,3.1037510339615437e-09,0.0
1983,1.89459470334441e-09,0.0
1984,1.739702604197646e-09,5.799008495621649e-10
1985,4.210890747202711e-09,0.0
1986,2.997242676272549e-09,5.994485463567401e-10
1987,4.888653482026939e-09,1.2221633705067347e-09
1988,4.197587610832443e-09,5.996553809062277e-10
1989,6.585746614717891e-09,5.488122178931576e-10
1990,2.724325431913144e-09,5.44865097484859e-10
1991,1.1722930404189924e-09,5.861465202094962e-10
1992,7.713921945651236e-09,0.0
1993,3.877445031719162e-09,5.539207426075166e-10
1994,6.329911705904578e-09,0.0
1995,2.1689803286761844e-09,1.0844901643380922e-09
1996,1.067618438099771e-09,1.067618438099771e-09
1997,5.753873377756236e-09,0.0
1998,3.814503379828693e-09,9.536258449571733e-10
1999,2.285100553223174e-09,4.570201161957499e-10
2000,4.418031274155965e-09,0.0
2001,2.190605918883648e-09,4.3812117822561447e-10
2002,8.76244299341522e-10,1.752488598683044e-09
2003,6.250384210204629e-09,8.333845835650777e-10
2004,3.9643119897903034e-09,4.404791253964646e-10
2005,1.3511248786457486e-09,9.007499190971657e-10
2006,4.941467679486777e-09,4.1178899179428186e-10
2007,3.1955835755326234e-09,1.1983438685803094e-09
2008,4.257439734089985e-09,1.2772318758180745e-09
2009,4.291373478793048e-09,1.430457752249481e-09
2010,2.3618964561933353e-09,1.4171379625338432e-09
2011,3.823971805871906e-09,7.64794394481072e-10
2012,2.7234021704458655e-09,1.7021263287730903e-09
2013,3.0680376017500066e-09,1.3945624655065103e-09
2014,1.2992671383216248e-09,2.165445156521173e-09
2015,2.659890530054554e-09,1.10828768384863e-09
2016,3.314144070287739e-09,1.2428040818690533e-09
2017,1.509366853724714e-09,2.515611330355938e-10
2018,2.8396134332808742e-09,2.8396134332808742e-09
2019,1.53059265262101e-09,2.04079020349468e-09
