year,veut_VERB abaisser_VERB,veut_VERB rabaisser_VERB
1800,6.288328968651058e-09,6.288328968651058e-09
1801,2.3811825844433088e-09,2.3811825844433088e-09
1802,1.1189200677108602e-08,2.2378401354217203e-09
1803,5.851017448321727e-09,5.851017448321727e-09
1804,1.9774807569206132e-08,2.4718509905596875e-08
1805,5.685755422035754e-09,6.538618890772341e-08
1806,5.76333825108577e-09,2.881669125542885e-09
1807,4.839823830593559e-08,1.4234775136401367e-08
1808,3.852325747288887e-08,1.5862518409903714e-08
1809,4.518061036407062e-09,1.129515236897305e-08
1810,1.1700633351097167e-08,2.574139479349924e-08
1811,3.008491944456182e-08,2.5070767684098882e-09
1812,2.1337665856435706e-08,4.000812481308458e-08
1813,2.300593315851529e-08,2.8757416448144113e-09
1814,5.349351184236184e-08,9.440030979135372e-09
1815,0.0,5.394447111228828e-09
1816,6.721051448721482e-08,9.270415546325239e-09
1817,7.784366928831332e-09,4.203558034987509e-08
1818,1.1921177378582115e-09,2.384235386898581e-08
1819,4.243930362690662e-08,3.3123360054787554e-08
1820,2.8479554714522237e-08,2.3732962262101864e-08
1821,2.3667571014129862e-08,2.465372084259343e-08
1822,5.6143449000956025e-08,9.023054303725075e-09
1823,8.894418535021487e-09,6.917880934764753e-09
1824,1.6000115010683658e-08,2.5263338088166165e-08
1825,1.2327619813845558e-08,1.6730341556581152e-08
1826,1.4092774947016551e-08,9.688783109140786e-09
1827,2.7651818612639545e-08,5.530363722527909e-09
1828,1.7427371545863934e-08,1.7427371545863934e-08
1829,1.0287811491593857e-08,2.6576845613135447e-08
1830,0.0,7.305785310052215e-09
1831,2.9623292263636358e-08,1.5591206103948707e-09
1832,2.976593194148336e-08,4.058990921151917e-09
1833,2.7800709290204395e-08,0.0
1834,1.4001796166951408e-08,4.667265685043276e-09
1835,3.479020449503878e-08,2.7983425354705105e-08
1836,1.6129799718100912e-08,1.3441500135158435e-09
1837,1.461157062010443e-08,4.87052354003481e-09
1838,2.9035945203759184e-08,8.2058102535143e-09
1839,8.38977065598101e-09,1.3982950353153e-09
1840,3.05745047057826e-08,5.732719632334238e-09
1841,1.4125206782011901e-08,5.1364388298225094e-09
1842,2.683306021822318e-09,1.341653010911159e-09
1843,1.8311423488626133e-08,4.7255288571079745e-09
1844,2.5247381074677833e-08,1.097712254427563e-09
1845,1.5066614622583074e-08,2.2320911785556063e-09
1846,2.6930706553685013e-08,7.610851504580296e-09
1847,2.1572894581822766e-08,6.47186837454683e-09
1848,4.82713291560799e-09,8.84974404868899e-09
1849,1.256912263158938e-08,2.6814127807028854e-08
1850,2.3761487000228954e-08,1.1541293254424545e-08
1851,1.805842941848823e-08,4.514607354622058e-09
1852,1.5625309046640723e-08,2.6042181744401205e-09
1853,2.6873692604567623e-08,7.166318205520383e-09
1854,1.506742641765868e-08,2.5978321716024766e-09
1855,2.7065379271107304e-08,6.368324534378189e-09
1856,1.7602443946884705e-08,1.8120163147727908e-08
1857,2.001418764052687e-08,9.763018171682347e-10
1858,1.8106600663259087e-08,1.0276719919488642e-08
1859,1.3748867822016564e-08,2.5460867192350634e-08
1860,3.112485202905191e-08,5.492620580582752e-09
1861,1.3204698667834691e-08,3.772770984511453e-09
1862,1.400575744270327e-08,4.517986429419807e-09
1863,1.8480097452311384e-08,1.3485475847119233e-08
1864,1.2945765348604255e-08,3.835782358407869e-09
1865,1.3179164426446732e-08,2.3534221238463715e-09
1866,2.0435575009969398e-08,2.919367858567057e-09
1867,2.0867089389753346e-08,1.3102591012170706e-08
1868,1.7289560005906424e-08,6.421836395986702e-09
1869,1.8069020057964735e-08,1.3185501579471293e-08
1870,3.096386436141074e-08,5.160643912205387e-09
1871,2.0180236148803488e-08,1.0621177271019633e-09
1872,1.5118347462816928e-08,7.256807155187062e-09
1873,1.5563610844537834e-08,6.584604861359367e-09
1874,2.2106053876314036e-08,9.559374625212058e-09
1875,2.0597497041308088e-08,1.716458086775674e-09
1876,3.264847947548333e-08,6.04601479992084e-10
1877,9.895705588292003e-09,1.0514186854493346e-08
1878,2.113680963589104e-08,1.1474268646338714e-08
1879,1.4051448005147904e-08,6.109325489944695e-09
1880,2.3746030919369332e-08,6.417846254436199e-10
1881,2.7890029841159958e-08,6.972507571312292e-10
1882,3.3276925659464496e-09,3.3276925659464496e-09
1883,1.7694148368718743e-08,2.5277355764075082e-09
1884,1.5183903911974994e-08,3.9610181801208455e-09
1885,1.353583467533781e-08,2.5782542767416317e-09
1886,1.0325542199041138e-08,7.744156427236248e-09
1887,1.828098916689669e-08,3.9173548849191775e-09
1888,1.3315291091942072e-08,1.0779045211961602e-08
1889,1.0024218788373673e-08,3.759081934617825e-09
1890,1.6385966361553983e-08,6.554386478008212e-10
1891,1.784781566982474e-08,2.5496880162734215e-09
1892,1.1283322720601063e-08,3.1342561879199593e-09
1893,2.3401982574000613e-08,1.2316833108982905e-09
1894,2.0164925729204697e-08,3.150769645188234e-09
1895,3.5509824414248214e-08,4.213029924926559e-09
1896,1.4152869098893461e-08,7.66613794667137e-09
1897,1.2236098356765979e-08,5.826713556089658e-10
1898,1.1882545614128048e-08,3.3950129374460403e-09
1899,8.291367592505594e-09,0.0
1900,1.453494924419374e-08,1.038210628578895e-09
1901,2.0119459875900247e-08,2.235495566438317e-09
1902,3.731815567675767e-08,7.365425602756659e-09
1903,1.4040573148577096e-08,9.1803746826713e-09
1904,1.827372564378038e-08,1.0749250378694342e-09
1905,2.631987072732045e-08,5.160759042333041e-10
1906,8.745113966313056e-09,7.716276506641861e-09
1907,1.491424583832668e-08,5.142843373384665e-10
1908,2.2101250607420297e-08,6.384805573134145e-09
1909,8.251475058784763e-09,8.251475058784763e-09
1910,1.0153886620400954e-08,5.344150677544235e-10
1911,7.980561100850991e-09,1.0640748282497725e-09
1912,1.0418842677495377e-08,3.646594803896619e-09
1913,1.96210621083992e-08,1.060597942803554e-09
1914,1.6741859454327823e-08,6.696743715117748e-10
1915,8.246533234057551e-09,7.068456930880984e-09
1916,7.69122365795738e-09,0.0
1917,3.289927441585405e-09,2.1932848870420685e-09
1918,8.040463406189247e-09,5.743188147278033e-09
1919,2.301962176431971e-08,5.524709134618888e-09
1920,1.0601124422748853e-08,7.572231730534895e-10
1921,1.6660044011018726e-08,4.543648568500203e-09
1922,1.4018077365562931e-08,2.951174193910333e-09
1923,1.3800733000834953e-08,1.0615948120573648e-09
1924,3.867487219366694e-09,2.578324886925998e-09
1925,7.698724324711748e-09,3.299453377181294e-09
1926,1.4489979882625903e-08,1.1146138456652466e-09
1927,5.574612327308159e-09,2.2298449753321847e-09
1928,5.713020723163709e-09,4.570416489713125e-09
1929,4.4561625500705304e-09,1.1140406375176326e-09
1930,2.100720708497761e-09,2.100720708497761e-09
1931,1.1405356659111021e-08,1.1405356659111021e-09
1932,1.4247397928102146e-08,1.0959536611565568e-09
1933,1.261772819560747e-08,4.588264879146209e-09
1934,9.585264137967897e-09,0.0
1935,1.3165112555668657e-08,0.0
1936,1.9399543305098632e-08,6.0623572828433225e-09
1937,3.777335333410292e-09,1.2591118148108649e-09
1938,7.779128452511941e-09,3.8895642262559704e-09
1939,4.588215141154706e-09,4.588215141154706e-09
1940,1.2678914806940611e-08,0.0
1941,3.5418032950929046e-08,5.9030051957620344e-09
1942,3.034211770724937e-09,0.0
1943,1.7419411690866582e-08,0.0
1944,9.639558484764166e-09,0.0
1945,8.714016175304096e-09,0.0
1946,1.3921104269343232e-09,2.7842208538686464e-09
1947,1.0728784083369192e-08,0.0
1948,1.4133454406817236e-08,4.348755133776194e-09
1949,9.817008539414473e-09,6.8719057111366055e-09
1950,1.914365022059883e-08,7.444753258312176e-09
1951,1.2793682557799002e-08,3.1984206394497505e-09
1952,1.0544804140977249e-08,2.1089607837865287e-09
1953,1.0773827385790469e-09,1.0773827385790469e-09
1954,5.863521668203475e-09,2.9317608341017376e-09
1955,1.0324168187025862e-08,0.0
1956,1.1337483840634377e-08,1.744228317335228e-09
1957,7.068030161150318e-09,3.534015080575159e-09
1958,7.445019267748876e-09,0.0
1959,8.525822714489095e-09,2.325224457422337e-09
1960,6.920833239831836e-09,1.3841666701708277e-09
1961,7.64297514166401e-09,4.86371165564492e-09
1962,5.7077609305622445e-09,4.43936931660005e-09
1963,6.466053470433053e-09,2.5864212993553792e-09
1964,1.5818317322668918e-08,3.041984220075733e-09
1965,5.47204326295514e-09,2.188817349590977e-09
1966,9.416426749453422e-09,4.431259803538978e-09
1967,7.395503320850594e-09,2.9582012395223956e-09
1968,7.635406973349745e-09,4.4914158503495116e-10
1969,6.8126366770115965e-09,1.3625273131978588e-09
1970,6.438214850135182e-09,4.598724956395017e-09
1971,1.3873672877195986e-08,5.138397263237948e-09
1972,5.643161493651405e-09,1.0260293725750103e-09
1973,7.1671650836435674e-09,3.3079223804577396e-09
1974,2.2502286700643026e-09,5.625571675160757e-10
1975,5.140332159925265e-09,3.998036124386317e-09
1976,7.427584769459372e-09,2.285410749536254e-09
1977,6.464460078348111e-09,3.526069214387917e-09
1978,4.158414057542359e-09,5.940591352171509e-10
1979,5.851973350345929e-10,3.5111840102075575e-09
1980,7.390696055153967e-09,3.97960553399912e-09
1981,2.5302198114474095e-09,1.2651099057237047e-09
1982,8.690503427999374e-09,3.1037510339615437e-09
1983,5.68378455412244e-09,5.052252838311233e-09
1984,5.219107812592938e-09,5.799008384599347e-09
1985,4.812446441349039e-09,1.2031116103372597e-09
1986,4.7955883708539204e-09,1.1988970927134801e-09
1987,8.555143260480236e-09,1.2221633705067347e-09
1988,2.398621523624911e-09,2.398621523624911e-09
1989,7.134558721588746e-09,5.488122178931576e-10
1990,7.628111475810329e-09,2.179460389939436e-09
1991,7.033758464558559e-09,2.344586080837985e-09
1992,3.30596661157756e-09,3.30596661157756e-09
1993,6.647049133334804e-09,3.323524566667402e-09
1994,6.857404422078162e-09,5.274926717646622e-09
1995,5.4224509327127635e-09,5.964695848348356e-09
1996,1.014237493990322e-08,1.067618438099771e-09
1997,6.233362714880286e-09,3.3564262480467733e-09
1998,5.2449422582867555e-09,3.337690568372409e-09
1999,4.113180906983871e-09,5.484241505371301e-09
2000,6.627047355323157e-09,2.2090156370779823e-09
2001,2.6287270138425356e-09,2.6287270138425356e-09
2002,8.762443215459825e-09,2.1906108038649563e-09
2003,2.5001538617175356e-09,2.083461403401543e-09
2004,2.2023955992267474e-09,3.0833537945085254e-09
2005,4.053374524914943e-09,1.8014998381943315e-09
2006,3.294311934354255e-09,4.529678854225949e-09
2007,4.393927444112933e-09,1.997239706952314e-09
2008,2.554463751636149e-09,1.7029758714315335e-09
2009,4.76819250749827e-09,2.384096253749135e-09
2010,2.8342759250676863e-09,2.3618964561933353e-09
2011,2.6767803529281764e-09,3.4415748029203996e-09
2012,1.7021263287730903e-09,1.0212758416727752e-09
2013,2.2313000336282585e-09,1.6734750252211938e-09
2014,3.897801192920269e-09,1.9489005964601347e-09
2015,1.329945265027277e-09,2.21657536769726e-09
2016,3.72841224560716e-09,5.799752234025846e-09
2017,4.528100561174142e-09,1.509366853724714e-09
2018,2.581466596041082e-09,5.162933414126769e-10
2019,1.02039510174734e-09,3.826481798085979e-09
