year,auraient_VERB établi_VERB,auraient_VERB rétabli_VERB
1800,9.432493897065797e-09,0.0
1801,7.143547975374531e-09,0.0
1802,3.5805442166747525e-08,0.0
1803,1.3652374342143503e-08,5.851017448321727e-09
1804,3.9549615138412264e-08,0.0
1805,1.9900143755080535e-08,2.842877711017877e-09
1806,2.5935023018064385e-08,0.0
1807,2.8469550272802735e-08,0.0
1808,4.5321479902327155e-09,2.2660739951163578e-09
1809,3.6144488291256494e-08,0.0
1810,1.3572734758326988e-07,0.0
1811,6.769107585569145e-08,0.0
1812,4.000812481308458e-08,1.3336041604361526e-08
1813,3.163315653864629e-08,0.0
1814,3.1466772298927026e-08,3.1466771410748606e-09
1815,3.236668177919455e-08,2.697223555614414e-09
1816,2.3176038865813098e-08,1.622322720606917e-08
1817,4.0478710161551135e-08,6.227493631882908e-09
1818,3.9339884239097955e-08,1.1921176934492905e-08
1819,4.243930362690662e-08,3.622867339458935e-08
1820,3.085285271708926e-08,1.3053129244156025e-08
1821,2.070912508145284e-08,6.903041693817613e-09
1822,1.4035862250239006e-08,9.023054303725075e-09
1823,5.138997138942614e-08,2.075364236020505e-08
1824,6.82110155025839e-08,0.0
1825,1.8491430608946757e-08,1.4969252504215547e-08
1826,1.76159691278599e-08,8.80798456392995e-09
1827,4.7929820112813104e-08,2.027800150017356e-08
1828,6.328887991458032e-08,2.659967357487858e-08
1829,7.030004667285539e-08,1.2859763920403111e-08
1830,5.0096812032052185e-08,1.6698937344017395e-08
1831,5.3010101197514814e-08,0.0
1832,2.570694235259907e-08,6.764984572527055e-09
1833,5.09679658478035e-08,5.791814139399776e-09
1834,7.841006066655609e-08,2.7070139907436896e-08
1835,3.2521278114927554e-08,7.563087933704082e-10
1836,4.301280043250699e-08,1.0753200108126748e-08
1837,3.270208637218275e-08,5.5663127440652715e-09
1838,3.7241754569095065e-08,9.468243078458727e-09
1839,2.586845759822154e-08,6.9914749545318955e-09
1840,4.0766007458614695e-08,8.280594876453051e-09
1841,3.659712533021775e-08,5.778493683550323e-09
1842,4.092041550052272e-08,9.391571076378114e-09
1843,4.4892523476391943e-08,1.5357969118667825e-08
1844,4.281077892187568e-08,6.037417232818143e-09
1845,5.4686232431322424e-08,2.7901139176833567e-09
1846,6.205771541090144e-08,1.9319854160926297e-08
1847,4.368511241636952e-08,5.3932236454556914e-09
1848,5.148941895072312e-08,8.045221711050488e-10
1849,3.016589289472904e-08,0.0
1850,4.0055077477063605e-08,4.752297222410107e-09
1851,7.932809609201286e-08,4.514607354622058e-09
1852,3.6459056218518526e-08,5.208436348880241e-09
1853,1.4929829816878737e-08,2.9859659189668264e-09
1854,3.844791862661623e-08,6.754363734984281e-09
1855,3.6087172361476405e-08,8.491099379170919e-09
1856,1.501384794266869e-08,3.1063134287023786e-09
1857,2.245494101771328e-08,4.393358121745905e-09
1858,2.2510910469009104e-08,0.0
1859,5.29586046127406e-08,1.5276519604867644e-08
1860,5.034902272882391e-08,9.612086238064421e-09
1861,4.480165571862926e-08,5.659156698811785e-09
1862,4.111367601922211e-08,1.3102160245637151e-08
1863,1.9479021062807078e-08,1.0988165932701577e-08
1864,4.2193605054308136e-08,4.794727948009836e-10
1865,3.294790928975999e-08,1.0355057256106193e-08
1866,3.8924902412418305e-08,7.298419202328432e-09
1867,4.949867715708933e-08,9.7056229719783e-10
1868,4.100095551962113e-08,7.409810987013543e-09
1869,2.7347706321734222e-08,1.5627261262807224e-08
1870,3.669791226457164e-08,6.307453670473251e-09
1871,5.629224020253787e-08,1.5931766128574054e-08
1872,6.107812566824578e-08,6.652073114565837e-09
1873,4.968383748860106e-08,2.3944017879529156e-09
1874,3.584765551067903e-08,6.572069999322139e-09
1875,2.803548326824057e-08,6.293679799540541e-09
1876,2.1161051577678336e-08,8.464420275799966e-09
1877,3.587193120324628e-08,4.9478527941460015e-09
1878,3.563062378475479e-08,3.0195443923020093e-09
1879,2.871382953628654e-08,4.27652757650776e-09
1880,4.813384535395926e-08,7.701415505323439e-09
1881,4.113779539238749e-08,1.2550513517339823e-08
1882,5.856738738430067e-08,1.3310770263785798e-09
1883,4.676310894069502e-08,3.159669414998234e-09
1884,2.442627788923346e-08,5.941527270181268e-09
1885,4.060750313783501e-08,1.160214413431504e-08
1886,3.743009102663564e-08,6.453463874400711e-10
1887,3.656197833379338e-08,7.1818169189441505e-09
1888,4.56524276160053e-08,6.340614699951175e-10
1889,4.385595886446936e-08,1.8795409673089125e-09
1890,4.784702056781498e-08,1.9663159989136147e-09
1891,3.1871099537283953e-08,1.0836173736095134e-08
1892,2.6327752422616868e-08,6.8953633913793055e-09
1893,3.633465794905533e-08,6.15841644346915e-09
1894,1.9534772022211655e-08,1.1972924873759894e-08
1895,5.356566745717828e-08,6.018614495673091e-09
1896,3.892039046604623e-08,7.076434549446731e-09
1897,2.7968225069230357e-08,4.078699600285063e-09
1898,4.583267454449924e-08,3.3950129374460403e-09
1899,3.814029270188257e-08,4.9748205555033564e-09
1900,3.010810800674335e-08,4.15284251431558e-09
1901,3.409130755471779e-08,5.58873880507349e-09
1902,4.0264328760031276e-08,2.9461704187383475e-09
1903,3.348136701220028e-08,5.400220270956879e-09
1904,4.245953988402107e-08,1.0749250378694342e-08
1905,7.328277717988385e-08,1.8062657147766004e-08
1906,6.275904951280609e-08,1.5432553013283723e-09
1907,4.782844342798853e-08,6.1714118260169926e-09
1908,2.2592390180875555e-08,2.4556945366072114e-09
1909,4.1257376182102234e-08,9.901770070541716e-09
1910,3.2599320576309765e-08,8.01622590529405e-09
1911,4.309503154331651e-08,6.916486494645824e-09
1912,3.0735584743979416e-08,4.167536982180309e-09
1913,5.090870303092743e-08,2.121195885607108e-09
1914,2.678697441638178e-08,6.027069510139427e-09
1915,4.005459075528961e-08,0.0
1916,4.394984642885902e-08,1.0987462051303964e-09
1917,5.04455535121906e-08,1.315970976634162e-08
1918,2.6418664589300533e-08,9.189101035644853e-09
1919,5.893022958503025e-08,9.207848372660976e-10
1920,2.8774479687854182e-08,8.329454459499175e-09
1921,6.512562578109282e-08,8.330022005509363e-09
1922,3.24629176873259e-08,1.1804696775641332e-08
1923,4.564857647437748e-08,1.0615948120573648e-09
1924,1.933743654092268e-08,1.289162443462999e-09
1925,3.189471442510694e-08,1.0998177923937646e-09
1926,3.6782257240020044e-08,4.458455382660986e-09
1927,3.3447673075670536e-08,8.919379901328739e-09
1928,4.570416578530967e-08,6.8556245125250825e-09
1929,3.5649300400564243e-08,6.684243825105796e-09
1930,3.466189113510154e-08,4.201441416995522e-09
1931,2.167017854048936e-08,1.1405356659111021e-08
1932,2.849479585620429e-08,0.0
1933,4.817677989876756e-08,8.02946331646126e-09
1934,2.2765002327673756e-08,9.585264137967897e-09
1935,3.111753699158726e-08,8.377798899061872e-09
1936,4.122403041151301e-08,2.424942913137329e-09
1937,1.510934133364117e-08,5.0364472592434595e-09
1938,2.9819993585533666e-08,1.2965214457594243e-09
1939,3.364691281149135e-08,1.5294050470515685e-09
1940,2.5357829613881222e-08,0.0
1941,3.5418032950929046e-08,0.0
1942,2.730790527039062e-08,3.034211770724937e-09
1943,3.4838823381733164e-08,0.0
1944,2.5705489292704442e-08,1.6065930807940276e-08
1945,3.921307367704685e-08,4.357008087652048e-09
1946,3.480275978517966e-08,4.1763312808029696e-09
1947,2.1457568166738383e-08,4.7683483828109274e-09
1948,2.174377655705939e-08,1.0871887834440486e-09
1949,4.515823803785679e-08,9.817008539414473e-09
1950,3.722376362702562e-08,0.0
1951,2.5587365115598004e-08,0.0
1952,1.1599284199803606e-08,1.0544803918932644e-09
1953,5.171437322815109e-08,7.54167928107563e-09
1954,2.14995790059902e-08,3.9090144454689835e-09
1955,2.440258128899586e-08,1.8771215692936494e-09
1956,1.5698054411927842e-08,3.488456634670456e-09
1957,2.03205861026845e-08,2.6505113659425206e-09
1958,1.9853384713997002e-08,2.4816730892496253e-09
1959,1.3176271629333769e-08,4.650448914844674e-09
1960,2.07624992754063e-08,2.7683333403416555e-09
1961,2.153929301584867e-08,0.0
1962,2.2831043722248978e-08,3.170978146727066e-09
1963,2.0044765847160306e-08,0.0
1964,1.3993127545575135e-08,6.083968329129164e-10
1965,3.009623839034248e-08,7.660860390501512e-09
1966,1.606331601067268e-08,3.3234448526542337e-09
1967,1.824224149515885e-08,7.888536934785861e-09
1968,2.0660513300185812e-08,7.186265360559219e-09
1969,3.451735963722058e-08,8.175163657142548e-09
1970,3.127133041402885e-08,2.2993624781975086e-09
1971,2.1067430466814585e-08,1.541519245584766e-09
1972,1.7955514408640738e-08,4.104117490300041e-09
1973,1.598829157956061e-08,1.6539611902288698e-09
1974,2.8690415376786405e-08,3.3753431161187564e-09
1975,1.6563292959403952e-08,3.4268881066168433e-09
1976,1.4855169538918744e-08,7.427584769459372e-09
1977,1.704266772151186e-08,1.1753563677885381e-09
1978,1.6039596317796168e-08,1.1881182704343018e-09
1979,1.6385525825057812e-08,5.851973350345929e-10
