year,voudrait_VERB emporter_VERB,voudrait_VERB remporter_VERB
1800,1.2576657937302116e-08,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,1.1387820464392462e-08,1.1387820464392462e-08
1808,0.0,0.0
1809,2.259030518203531e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,0.0,2.6672082320544632e-09
1813,1.1502966579257645e-08,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,4.6352077731626196e-09,0.0
1817,1.556873407970727e-09,0.0
1818,1.3113295338484932e-08,0.0
1819,2.070210003424222e-09,0.0
1820,1.1866481131050932e-08,0.0
1821,9.861488514673056e-09,0.0
1822,0.0,1.0025615893027862e-09
1823,4.941343334508019e-09,0.0
1824,2.5263338088166165e-09,0.0
1825,8.805443485471187e-09,0.0
1826,5.284790383086602e-09,8.807984341885344e-10
1827,2.7651818612639545e-09,0.0
1828,3.668920500743411e-09,0.0
1829,1.714635211591542e-09,1.714635211591542e-09
1830,0.0,0.0
1831,1.5591206103948707e-09,0.0
1832,6.764984572527055e-09,0.0
1833,0.0,1.1583628500844156e-09
1834,9.334530925997342e-10,0.0
1835,1.5126175867408165e-09,0.0
1836,6.720750067579218e-10,6.720750067579218e-10
1837,3.478945576063097e-09,0.0
1838,4.418513555037862e-09,0.0
1839,4.194885327990505e-09,0.0
1840,5.732719632334238e-09,1.2739377330817092e-09
1841,5.1364388298225094e-09,0.0
1842,1.0062397137744483e-08,6.708265054555795e-10
1843,6.497602011990011e-09,0.0
1844,1.5916826967554698e-08,1.097712254427563e-09
1845,3.348136878855712e-09,0.0
1846,3.5127007969038004e-09,1.1709002656346001e-09
1847,4.314578916364553e-09,0.0
1848,0.0,8.045221711050488e-10
1849,5.865590679832167e-09,0.0
1850,3.394498016007219e-09,0.0
1851,1.9348316282474798e-09,3.2247193804124663e-09
1852,3.2552727180501506e-09,0.0
1853,1.7915795513800958e-09,0.0
1854,7.27393034694046e-09,5.195664454227256e-10
1855,5.306937111981824e-10,2.653468555990912e-09
1856,1.2425253714809514e-08,0.0
1857,6.345961978126979e-09,0.0
1858,7.34051397444091e-09,9.787352039936081e-10
1859,6.619825576592575e-09,0.0
1860,1.4646988510946812e-08,1.8308735638683515e-09
1861,9.431927239234028e-09,0.0
1862,5.421583626485926e-09,0.0
1863,4.495158911765884e-09,9.989241656072068e-10
1864,3.3563094525845827e-09,1.9178911792039344e-09
1865,5.6482134525026595e-09,4.706844358715045e-10
1866,2.432806400776144e-09,0.0
1867,1.164674756637396e-08,0.0
1868,9.87974857480367e-09,1.4819622196071691e-09
1869,5.860222973552709e-09,0.0
1870,4.013834153937523e-09,0.0
1871,1.274541272522356e-08,0.0
1872,3.0236697590169115e-09,0.0
1873,2.9930022904522957e-09,5.986004469882289e-10
1874,2.9873046258899194e-09,5.974609140757536e-10
1875,4.005069165202713e-09,0.0
1876,1.813804439976252e-09,0.0
1877,4.9478527941460015e-09,0.0
1878,1.8117265465633636e-09,0.0
1879,5.498392852132383e-09,0.0
1880,7.059631101924424e-09,0.0
1881,7.669758161910067e-09,0.0
1882,1.1979693681496428e-08,0.0
1883,8.21514056781325e-09,0.0
1884,1.3203393933736152e-09,0.0
1885,7.090199094506033e-09,0.0
1886,1.936039106809062e-09,0.0
1887,1.3057849246322917e-09,0.0
1888,0.0,1.9021844099853524e-09
1889,3.759081934617825e-09,0.0
1890,3.9326319978272295e-09,0.0
1891,1.9122659011827636e-09,0.0
1892,3.761107425503951e-09,0.0
1893,0.0,0.0
1894,6.301539290376468e-10,0.0
1895,1.2037228991346183e-09,0.0
1896,4.1279202278587945e-09,0.0
1897,2.9133566670225264e-09,0.0
