year,pourrait_VERB assembler_VERB,pourrait_VERB rassembler_VERB
1800,0.0,2.2009151834367913e-08
1801,0.0,6.667310969987739e-08
1802,0.0,3.1329761895904085e-08
1803,1.3652374342143503e-08,1.950339267864365e-08
1804,0.0,2.7190360185613827e-08
1805,0.0,3.695740957709859e-08
1806,2.881669125542885e-09,5.76333825108577e-09
1807,5.693910232196231e-09,4.839823830593559e-08
1808,0.0,2.4926814390369145e-08
1809,6.7770917766551975e-09,2.0331274441787173e-08
1810,7.020380277111826e-09,2.8081521108447305e-08
1811,0.0,6.267691787797958e-08
1812,0.0,2.9339290108509886e-08
1813,0.0,1.1502966579257645e-08
1814,0.0,6.608021863030444e-08
1815,0.0,1.6183340889597275e-08
1816,0.0,2.7811246638975717e-08
1817,0.0,2.80237220096069e-08
1818,1.1921177378582115e-09,3.814776761146277e-08
1819,1.035105001712111e-09,6.521161566297451e-08
1820,7.119888678630559e-09,5.6959109429044474e-08
1821,1.2819934447350079e-08,3.8459806006585495e-08
1822,7.017931125119503e-09,5.213320264374488e-08
1823,0.0,3.063632902922109e-08
1824,0.0,7.494790565942822e-08
1825,9.68598712347557e-09,3.522177394188475e-08
1826,8.807984341885344e-10,5.460950447400137e-08
1827,3.6869092223668076e-09,4.516463647519231e-08
1828,1.1006761724274838e-08,5.870272801189458e-08
1829,8.57317605795771e-10,5.401101077495696e-08
1830,4.174734336004349e-09,2.922314124020886e-08
1831,1.091384405071949e-08,4.5214498811674275e-08
1832,1.3529969367098715e-09,4.329590197471589e-08
1833,0.0,1.853380560135065e-08
1834,0.0,2.333632664885954e-08
1835,2.4958190181223472e-08,6.277362984974388e-08
1836,2.9571300075303952e-08,6.51912728244497e-08
1837,6.957890930081589e-10,6.192522761239161e-08
1838,9.468243078458727e-09,6.438405364406208e-08
1839,6.292327547896548e-09,5.942753844578874e-08
1840,1.592422194107712e-08,7.197748175258312e-08
1841,3.2102742686390684e-09,5.200644181968528e-08
1842,1.6770663080478698e-08,3.7566284305512454e-08
1843,5.31621990873532e-09,2.658109998776581e-08
1844,1.6465684371524958e-09,4.8848196598783034e-08
1845,1.674068439427856e-09,5.357019006169139e-08
1846,7.610851504580296e-09,1.9319854160926297e-08
1847,5.9325460100012606e-09,3.55952778363644e-08
1848,1.6090443422100975e-09,5.470750608083108e-08
1849,2.262441967104678e-08,4.1897074254393374e-08
1850,1.8330290174617403e-08,2.4440385715251978e-08
1851,1.2898877521649865e-09,2.96674187438839e-08
1852,6.510545436100301e-10,1.8880582430824688e-08
1853,5.971931837933653e-10,2.20961471342207e-08
1854,6.754363734984281e-09,4.9358813924982314e-08
1855,2.1227748447927297e-09,3.343370380548549e-08
1856,5.177189343896771e-09,3.002769588533738e-08
1857,9.763018171682347e-10,2.636014961865385e-08
1858,4.893676130990343e-09,2.202154192332273e-08
1859,1.1202780925145817e-08,3.6154432336843456e-08
1860,6.865775947773045e-09,4.8060432078500526e-08
1861,9.431927461278633e-10,1.650587222457034e-08
1862,7.680577063240435e-09,1.7168348520613108e-08
1863,3.496234635136375e-09,1.9479021062807078e-08
1864,4.794728170054441e-09,2.2535221688713136e-08
1865,9.41368871743009e-10,2.58876440284439e-08
1866,1.9462451650298362e-09,8.271541673821048e-09
1867,9.7056229719783e-10,1.3102591012170706e-08
1868,4.939874287401835e-09,2.1735445443482604e-08
1869,8.790334682373668e-09,2.0999133099053324e-08
1870,4.013834153937523e-09,2.2362790730312554e-08
1871,1.1683295220166201e-08,1.805600113868877e-08
1872,6.652073114565837e-09,1.0885210954825197e-08
1873,5.986004469882289e-10,1.616221290134945e-08
1874,0.0,6.572069999322139e-09
1875,0.0,5.149374260327022e-08
1876,4.836811839936672e-09,2.2370254981751714e-08
1877,0.0,1.7317484335421796e-08
1878,0.0,2.0532901601200138e-08
1879,4.27652757650776e-09,1.0385853066452455e-08
1880,1.9253538763308597e-09,1.7969970400599777e-08
1881,6.972507571312292e-10,2.8587281875047665e-08
1882,3.3276925659464496e-09,4.059785041476971e-08
1883,1.2638677882037541e-09,1.3270612164717477e-08
1884,1.3203393933736152e-09,1.8484751507230612e-08
1885,0.0,1.4824961702686323e-08
1886,1.936039106809062e-09,1.7424351739236954e-08
1887,0.0,2.6115698048556624e-08
1888,7.60873763994141e-09,1.775372027168487e-08
1889,1.0024218788373673e-08,2.0674951528576457e-08
1890,0.0,8.520702365899524e-09
1891,6.374220040683554e-10,1.0836173736095134e-08
1892,0.0,1.9432388143059143e-08
1893,2.463366621796581e-09,1.4780200174868696e-08
1894,1.2603078580752936e-09,1.449354058991048e-08
1895,3.0093072478365457e-09,1.8657704714541978e-08
1896,5.89702897624278e-10,1.7691087705884456e-08
1897,0.0,5.2440420894583895e-09
1898,2.8291773368493978e-09,1.2448380992680086e-08
1899,1.1055156790007459e-09,1.879376654301268e-08
1900,2.07642125715779e-09,7.786579381274805e-09
1901,2.794369402536745e-09,2.6825947685438223e-08
1902,6.874397495693074e-09,9.329538919189417e-09
1903,0.0,1.296052865029651e-08
1904,3.2247751136083025e-09,9.13686282189019e-09
1905,5.160759042333041e-10,1.0837593933388234e-08
1906,5.144184522798412e-10,5.144184633820714e-09
1907,0.0,6.1714118260169926e-09
1908,1.4734167219643268e-09,9.331639461152008e-09
1909,1.1001967115120692e-09,1.320236009405562e-08
1910,1.068830135508847e-09,1.4963621453034648e-08
1911,4.25629931299909e-09,1.276889793899727e-08
1912,5.209421227725386e-10,1.5628263128064646e-08
1913,3.181793939432964e-09,1.6969567084856862e-08
1914,0.0,1.9420557606508737e-08
1915,0.0,2.591767689352764e-08
1916,1.0987461607214755e-08,1.9777431248257926e-08
1917,1.0966424435210342e-09,1.315970976634162e-08
1918,0.0,9.189101035644853e-09
1919,0.0,4.603924352863942e-09
1920,4.543339038320937e-09,1.590168707821249e-08
1921,0.0,6.058197943303867e-09
1922,0.0,8.853522359686394e-09
1923,0.0,8.492758496458919e-09
1924,3.867487219366694e-09,2.3204924204378585e-08
1925,4.399271169575059e-09,1.0998178368026856e-08
1926,3.343841648018042e-09,6.687683296036084e-09
1927,0.0,1.6723836537835268e-08
1928,1.1426041224282812e-09,1.1426041446327417e-08
1929,4.4561625500705304e-09,1.0026365515614089e-08
1930,2.100720708497761e-09,2.2057568216382606e-08
1931,2.2810713318222042e-09,1.2545892325022123e-08
1932,0.0,6.575722188983946e-09
1933,3.4411986593596566e-09,1.4911860191091364e-08
1934,3.5944740517379614e-09,2.3963160344919743e-09
1935,0.0,2.0346082152400413e-08
1936,2.424942913137329e-09,2.3036957230715416e-08
1937,1.2591118148108649e-09,1.6368453259474336e-08
1938,5.186085783037697e-09,1.0372171566075394e-08
1939,6.117620188206274e-09,2.141167065872196e-08
1940,0.0,1.0143131667916805e-08
1941,5.9030051957620344e-09,8.854508237732261e-09
1942,0.0,1.8205270180260413e-08
1943,0.0,5.806470415592457e-09
1944,0.0,2.2492303131116387e-08
1945,0.0,1.5249527862692958e-08
1946,2.7842208538686464e-09,9.744772988540262e-09
1947,3.5762612871081956e-09,1.1920871401116528e-08
1948,4.348755133776194e-09,2.391815279167986e-08
1949,0.0,1.47255123650325e-08
1950,3.190608444114673e-09,2.6588404367089424e-08
1951,5.330700769690111e-09,3.0918066329377325e-08
1952,2.1089607837865287e-09,1.1599284199803606e-08
1953,1.0773827385790469e-09,1.939288907237824e-08
1954,9.772536113672459e-10,2.247683283940205e-08
1955,0.0,1.407841132561316e-08
1956,1.744228317335228e-09,2.0930739808022736e-08
1957,6.184526224473075e-09,1.236905244894615e-08
1958,8.272243445794913e-10,1.1581140491045971e-08
1959,5.425523585955716e-09,1.3176271629333769e-08
1960,2.076250060767393e-09,1.6610000486139143e-08
1961,2.08444772553662e-09,1.528595028332802e-08
1962,2.5367825617905737e-09,1.9025868880362395e-08
1963,2.5864212993553792e-09,1.8751554975438012e-08
1964,1.2167936658258327e-09,3.04198408684897e-08
1965,1.6416130677043839e-09,1.4227312661319047e-08
1966,1.6617224263271169e-09,2.9357096309468034e-08
1967,1.4791006197611978e-09,2.3172576746333107e-08
1968,4.4914158503495116e-10,2.6050212653672133e-08
1969,1.8167031212712459e-09,2.9067249940339934e-08
1970,1.8394900047624674e-09,2.989171221656761e-08
1971,1.541519245584766e-09,1.9012070140433934e-08
1972,1.0260293725750103e-09,2.667676390899487e-08
1973,3.3079223804577396e-09,2.3706776985932265e-08
1974,3.937900228123681e-09,2.4752514704573514e-08
1975,0.0,2.5701661243715535e-08
1976,1.142705374768127e-09,2.5710871653927825e-08
1977,1.7630346071939584e-09,3.6436048844734614e-08
1978,0.0,3.9207904478644195e-08
1979,0.0,3.2185852205657284e-08
1980,2.8425752862659692e-09,2.1603572264439208e-08
1981,1.8976649140967083e-09,3.0362638625547334e-08
1982,6.207502289967692e-10,2.7933760193832313e-08
1983,6.315316047889041e-10,2.462973291983417e-08
1984,3.479405208395292e-09,2.551563760277986e-08
1985,2.4062232206745193e-09,3.549179083961462e-08
1986,5.994485463567401e-10,1.9182353483415682e-08
1987,2.4443267410134695e-09,2.688759437319277e-08
1988,1.798966087207532e-09,1.9788627625416666e-08
1989,4.390497743145261e-09,2.1952487827547884e-08
1990,5.44865097484859e-10,2.2884334427430986e-08
1991,2.344586080837985e-09,2.3445860364290638e-08
1992,1.1019888335184191e-09,2.5345743281945943e-08
1993,3.323524566667402e-09,2.2710750613441633e-08
1994,1.0549853213248639e-09,3.270454485004848e-08
1995,1.0844901643380922e-09,2.4943274112843028e-08
1996,5.338092190498855e-10,2.028474987980644e-08
1997,2.3974471297094624e-09,2.6371919759071716e-08
1998,2.3840645013706308e-09,2.43174582692518e-08
1999,3.1991407301035224e-09,2.422206613061917e-08
2000,1.7672125984802278e-09,3.004261373007466e-08
2001,2.190605918883648e-09,3.1982846593336944e-08
2002,2.6287327870022636e-09,2.6725450297249154e-08
2003,4.166922806803086e-09,3.2501997537792704e-08
2004,2.2023955992267474e-09,2.1583476339515073e-08
2005,1.8014998381943315e-09,2.432024714948966e-08
2006,1.2353669198716943e-09,2.7178073125355695e-08
2007,1.1983438685803094e-09,3.07574907765229e-08
2008,2.1287198670449925e-09,1.958422224390688e-08
2009,1.430457752249481e-09,2.62250594573743e-08
2010,9.447586046817946e-10,1.747803501928047e-08
2011,1.1471915639660324e-09,3.250376323649107e-08
2012,2.382976926895708e-09,2.382976838077866e-08
2013,3.6258624991347688e-09,2.621777461797592e-08
2014,1.5158115873603606e-09,2.9016964830930192e-08
2015,3.32486305154589e-09,3.324863229181574e-08
2016,3.1070099826280284e-09,3.624845135163923e-08
2017,2.7671724911471074e-09,2.1634257052483008e-08
2018,3.0977600484760615e-09,2.1684320117287825e-08
2019,4.846876677788714e-09,2.244869179435227e-08
